SA2_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
217031473,782,400,355,283,249,184,227,394,49,2934
217031474,653,273,290,276,216,153,223,350,42,2481
217031475,1169,358,401,284,230,213,280,601,65,3604
217031476,407,303,235,177,155,135,75,270,36,1793
217041477,1101,418,419,334,236,222,209,550,66,3551
217041478,1043,863,639,529,444,350,260,555,94,4779
217041479,1157,2058,1570,1465,1252,1223,631,1473,182,11016
217041480,769,1427,870,833,625,573,325,935,122,6484
297979799,0,4,0,0,0,0,0,4,0,15
299999499,174,334,250,227,143,129,177,308,49,1797
