SA2_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
206031116,0,3,8,8,13,46,95,236,148,551,4,0,10,5,5,10,21,43,38,130,20,32,111,66,71,85,66,83,40,569,265,1105,3138,2416,2130,1934,1357,752,415,13508
206031501,4,0,4,6,8,34,89,163,139,451,0,5,10,6,5,11,13,33,19,93,33,42,84,79,82,59,63,56,49,551,382,1171,1946,2095,2497,2079,1380,733,479,12765
206031502,0,0,5,4,6,31,53,101,69,282,0,0,7,7,5,11,7,16,18,72,16,50,106,76,45,56,41,32,12,431,221,938,2268,1801,1597,1453,1094,514,220,10103
206041117,3,5,15,17,30,41,31,43,32,220,0,6,39,17,21,37,25,15,8,173,53,249,390,158,120,72,53,56,47,1186,925,4027,5591,1809,1041,852,690,449,217,15601
206041118,0,0,8,10,9,18,13,10,7,75,0,11,54,14,14,17,3,3,0,116,14,131,586,266,116,113,75,28,0,1327,143,1567,6027,2890,1397,1200,695,206,42,14170
206041119,0,0,8,0,0,0,6,11,16,49,0,0,4,0,3,0,0,0,0,9,6,16,52,52,40,31,55,20,12,295,44,275,1144,784,552,663,651,324,119,4551
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36,21,11,3,0,0,0,78
206041121,0,0,8,8,16,25,52,55,32,197,0,0,3,9,9,23,22,26,12,104,11,23,86,91,63,34,46,31,24,411,132,757,2544,2135,1328,958,666,296,134,8942
206041124,0,0,0,0,6,6,11,15,50,78,0,0,3,9,0,3,0,6,0,19,88,66,94,64,33,30,24,25,11,440,1107,1529,1696,760,446,400,342,245,155,6682
206041125,0,0,3,5,3,3,9,6,8,33,0,0,3,3,4,4,4,5,0,12,24,17,81,75,45,45,70,79,91,523,73,320,1516,995,666,658,701,521,241,5690
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041503,0,0,12,11,4,0,11,8,4,58,0,12,32,12,9,0,0,0,0,73,24,179,424,199,119,80,37,26,6,1098,249,1844,3530,1654,799,632,413,171,41,9342
206041504,0,11,43,16,13,14,9,3,0,109,0,15,62,23,18,5,0,0,0,130,93,436,608,169,76,59,32,11,0,1490,824,5516,6723,1791,702,419,241,66,17,16304
206041505,0,9,30,18,10,10,12,10,4,93,0,15,54,21,10,3,5,3,0,119,31,262,617,250,89,65,30,8,0,1363,387,3291,7153,2367,864,573,290,85,18,15028
206041506,0,5,17,15,30,45,62,50,28,252,0,13,18,19,19,21,26,14,5,135,59,191,387,215,121,127,101,45,15,1261,394,2164,4600,2439,1525,1136,795,338,118,13519
206041507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041508,0,0,3,8,5,10,10,6,5,40,0,0,7,5,5,6,7,0,0,30,6,27,144,100,55,49,34,23,5,440,76,598,2365,1219,613,528,336,171,35,5948
206041509,0,3,16,4,5,5,15,9,6,67,0,3,41,22,9,5,0,0,0,74,11,111,389,163,63,35,31,18,0,817,247,2242,7003,2978,1128,783,526,185,27,15129
206041510,0,0,4,3,6,12,14,10,8,66,0,0,22,3,0,0,3,5,0,35,9,63,164,77,41,29,27,4,0,418,109,1009,2971,1300,647,415,226,84,15,6777
