SA2_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
215031404,368,50,417,1659,621,66,2342,6036,661,9037
215031405,85,21,105,897,344,34,1268,3486,557,5305
216011406,412,116,540,2227,874,87,3194,8920,891,13008
216011407,338,71,412,1631,632,59,2317,6104,657,9081
216011408,53,11,55,608,210,17,837,2025,329,3195
216011409,148,26,171,481,199,18,698,2406,280,3391
216011410,86,16,103,457,241,19,716,2456,396,3569
216021411,236,26,259,772,282,29,1081,3933,416,5427
216021412,33,4,34,403,159,17,576,1556,215,2354
216021413,315,45,364,1735,754,72,2560,6899,929,10389
216021414,314,73,390,1130,437,39,1602,5201,503,7306
216031415,191,47,238,1073,412,38,1529,4613,766,6909
216031416,488,82,573,3192,947,96,4237,10525,1257,16016
216031418,36,3,42,654,273,22,945,2028,279,3254
216031419,169,30,196,1545,529,59,2134,5491,943,8562
216031593,170,12,185,1727,439,43,2215,4480,337,7032
216031594,370,44,413,2114,656,81,2851,9206,1189,13251
217011420,203,36,245,1098,508,54,1659,5290,638,7590
217011421,375,51,426,1473,526,54,2052,6036,516,8612
217011422,309,31,346,1467,614,49,2128,6722,618,9468
217011423,143,18,161,899,300,28,1221,3613,374,5206
217031471,118,14,131,433,190,14,628,2085,232,2951
217031472,435,58,502,1798,751,84,2635,7347,595,10580
217031473,62,10,77,872,317,28,1222,3081,332,4635
217031474,153,39,186,700,324,37,1059,3088,379,4527
217031475,169,29,198,1048,408,28,1485,3960,476,5919
217031476,68,19,81,477,207,14,708,2401,386,3491
217041477,111,14,128,1163,386,42,1587,3618,424,5625
217041478,206,40,245,1572,634,52,2258,5304,615,8171
217041479,428,89,525,3671,1347,144,5162,11950,1093,18199
217041480,462,85,549,1961,806,76,2834,7708,744,11285
297979799,0,0,0,0,0,0,0,12,27,38
299999499,17,17,29,695,281,39,1013,3668,3262,7946
