SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
20102100917,44,1980,742,311,2239,0.8,2106,2.9
20102101001,47,1517,729,275,1859,0.8,1591,2.6
20102101002,42,1322,594,248,1491,0.7,1318,2.4
20102101003,53,1200,634,290,1387,0.6,900,1.9
20102101004,43,1344,621,230,1712,0.8,1204,2.4
20102101005,77,1059,475,230,1124,0.6,696,1.6
20102101006,53,1300,647,308,1518,0.7,1180,2.2
20102101007,45,1500,802,253,1958,0.8,1784,2.9
20102101008,45,1300,700,208,1906,0.8,1666,2.7
20102101009,45,1517,783,210,2050,0.8,1674,2.5
20102101010,46,1300,752,200,2069,0.8,1531,2.4
20102101011,46,1504,731,175,1949,0.7,1678,2.6
20102101012,55,1200,550,220,1350,0.7,1006,1.8
20102101013,49,867,473,275,1191,0.7,1012,2.3
20102101014,49,1408,498,200,1275,0.8,1107,2.5
20102101015,54,1560,725,230,1875,0.7,1442,2.3
20102101016,51,1365,696,200,1625,0.6,1268,2
20102101017,48,1975,747,150,2173,0.7,1562,2.5
20102101018,47,1400,731,240,1792,0.8,1536,2.6
20102101021,53,1083,540,300,1329,0.6,961,1.9
20102101022,53,1235,559,250,1520,0.7,959,2.2
20102101023,55,1221,589,143,1625,0.7,900,1.9
20102101024,51,1129,497,200,1471,0.8,1053,2.2
20102101025,45,1447,646,290,1569,0.7,1233,2.3
20102101101,48,1677,693,275,2166,0.8,1666,2.5
20102101102,49,1677,751,325,1843,0.8,1458,2.3
20102101103,44,1666,822,200,1906,0.7,1520,2.3
20102101104,47,1950,612,175,1792,0.7,1350,2.2
20102101105,56,1700,657,321,1724,0.7,1333,2.1
20102101106,56,1519,725,400,1697,0.7,1357,2.1
20102101107,47,1500,624,280,1625,0.8,1330,2.4
20102101108,58,1800,850,350,2100,0.7,1291,1.8
20102101109,59,1444,722,395,2146,0.8,1449,2.1
20102101110,51,1925,734,331,2108,0.7,1781,2.3
20102101111,55,1300,644,415,1699,0.7,1194,1.9
20102101112,56,1517,682,371,1640,0.7,1215,2
20102101113,51,1500,718,355,1625,0.7,1275,2.2
20102101114,51,2027,817,346,2062,0.7,1259,2
20102101115,59,1625,662,296,1764,0.7,1008,1.8
20102101116,52,1600,748,311,1972,0.7,1304,1.9
20102101117,50,1306,684,295,1402,0.8,1080,2
20102101118,57,1517,702,350,1589,0.7,1277,2
20102101119,56,1137,629,280,1583,0.8,1301,2.1
20102101120,51,1597,704,225,1875,0.8,1408,2.3
20102101121,46,1733,564,246,1597,0.8,1302,2.3
20102101122,55,1571,694,316,1823,0.7,1492,2.2
20102101123,58,1343,700,273,1458,0.7,1192,2
20102101124,52,1733,696,300,1775,0.9,1462,2.2
20102101125,56,1733,750,271,1894,0.8,1739,2.3
20102101201,44,1647,738,166,1899,0.8,1768,2.5
20102101202,50,1189,733,300,2343,0.7,1437,2.2
20102101203,44,1955,739,415,2291,0.8,2078,2.9
20102101204,50,1600,680,245,1875,0.7,1542,2.3
20102101205,40,1636,621,400,2083,0.8,1863,2.9
20102101206,40,1517,818,200,2050,0.9,1981,2.9
20102101207,44,1788,709,350,1895,0.8,1812,2.9
20102101208,44,1300,728,175,1949,0.8,1521,2.6
20102101209,43,1780,793,270,2263,0.8,2071,2.7
20102101210,46,1663,695,250,1739,0.8,1577,2.6
20102101211,49,1322,843,240,2154,0.7,1491,2.6
20102101212,44,1733,824,275,2083,0.8,1771,2.7
20102101213,44,1842,856,280,2294,0.8,2118,2.6
20102101214,37,1654,870,315,2250,0.8,2008,2.7
20102101215,42,1500,774,270,2229,0.8,1613,2.4
20102101216,46,1723,776,250,1971,0.8,1850,2.6
20102101217,48,1950,767,320,2156,0.8,2010,2.6
20103101301,50,1030,534,208,1277,0.8,905,2.2
20103101302,46,1083,495,220,1329,0.7,900,2.2
20103101303,53,1083,542,200,1333,0.7,962,2.2
20103101304,55,913,487,143,1180,0.7,949,2
20103101305,58,1083,480,160,1111,0.7,1005,2.1
20103101306,57,867,478,200,1138,0.7,868,2.1
20103101307,56,845,583,233,1406,0.7,1050,2
20103101308,50,1118,679,200,1625,0.7,1214,2.3
