CED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
CED222,21,171,552,2568,1670,1512,970,288,144,7895,0,0,0,7,0,5,4,3,0,27,0,0,12,36,9,3,0,0,0,68,33,206,334,1402,762,765,686,502,253,4953,197,344,486,1217,390,368,336,266,151,3757,5169,10099,12134,29877,12155,10420,8668,5704,2941,97169,3,18,61,286,69,37,18,4,0,493,9743,16604,14368,19158,9448,6656,4473,2449,1319,84215,8,52,73,410,77,61,29,3,0,716,0,5,19,193,104,174,115,68,22,696,3,7,11,96,27,15,0,0,0,165,28,221,878,2846,1388,1160,831,309,101,7763,4,24,19,99,45,20,16,0,0,220,0,5,8,79,84,72,121,104,21,483,22,245,1204,4923,1158,1315,809,286,184,10143,0,0,5,43,41,65,140,155,51,496,0,31,48,94,28,58,127,110,41,540,18,117,127,425,338,395,412,327,162,2317,0,3,17,136,86,80,39,16,3,394,0,5,14,78,26,21,20,11,19,190
CED223,9,19,11,75,12,6,4,0,0,131,0,0,0,8,4,12,9,9,4,49,0,4,6,21,5,3,3,0,0,49,5,70,76,244,141,149,165,133,66,1049,181,544,503,1163,737,844,711,544,286,5500,3932,9253,7664,17381,10324,11910,10640,5933,2575,79610,0,0,0,12,0,0,0,0,0,16,7398,17095,14052,27590,16438,18574,16604,8306,3019,129088,0,0,3,18,9,0,5,0,0,39,0,0,0,4,9,4,6,8,0,33,0,5,0,30,5,0,0,3,0,39,0,13,6,24,5,0,0,0,0,48,0,14,10,79,33,39,31,10,0,226,0,0,0,8,9,5,0,6,0,27,0,20,17,121,39,33,23,6,3,266,0,0,0,0,11,44,41,61,22,182,0,4,3,13,3,6,9,3,0,37,10,63,101,414,470,941,996,733,226,3954,0,0,0,28,15,15,9,4,0,78,0,0,13,42,9,22,29,8,0,125
CED224,3,16,34,402,323,233,116,29,11,1165,0,3,4,26,16,14,10,7,4,88,0,0,3,27,14,11,3,0,0,62,11,129,167,1143,637,490,432,272,120,3406,137,231,197,719,290,264,293,253,164,2545,4528,9864,8591,22403,12143,9793,7836,4912,2620,82689,7,99,195,795,171,71,36,12,0,1391,8735,17527,13958,24971,13975,10679,7645,4340,2296,104131,0,5,5,68,24,17,17,5,0,145,0,0,8,129,59,109,32,17,0,349,0,14,22,135,30,19,7,5,0,227,5,31,112,581,373,260,148,56,11,1572,3,29,24,150,68,42,22,7,0,356,0,3,3,62,66,45,50,29,3,258,13,231,336,1878,676,654,376,159,53,4372,0,0,4,47,37,85,85,79,30,375,0,3,8,28,32,60,93,65,27,303,18,340,384,1366,1171,1018,921,717,285,6211,0,0,17,133,80,97,52,10,10,398,3,7,13,107,43,37,31,4,4,259
CED225,6,12,36,189,110,68,48,13,6,480,0,0,4,11,16,17,7,9,5,72,0,0,9,15,14,9,0,3,0,53,15,101,142,766,360,327,276,196,97,2277,90,233,196,585,290,250,295,219,148,2300,4270,9756,8558,21100,11333,10305,8707,5018,2403,81452,0,0,3,17,4,3,4,0,0,33,8349,17873,15344,27905,15946,13586,10506,5556,2138,117204,0,6,7,49,8,4,5,0,0,71,0,0,3,34,6,38,25,9,3,116,0,5,11,56,22,6,0,0,0,99,0,0,5,25,16,4,8,0,0,57,8,24,15,127,62,39,26,6,0,311,0,7,6,41,24,20,10,7,6,117,14,169,345,1930,632,609,359,103,51,4215,0,0,4,17,48,107,116,97,34,431,0,7,11,53,17,44,87,49,15,282,30,216,268,923,847,895,764,604,233,4782,0,0,8,40,25,16,18,4,4,114,0,4,12,80,32,23,26,11,3,185
CED226,0,28,136,347,264,204,107,26,16,1125,0,0,5,8,8,16,7,7,0,49,0,0,3,33,5,7,9,7,0,74,12,94,120,739,313,239,224,201,117,2065,63,195,287,633,324,249,262,247,187,2449,3095,9492,11635,21220,12363,10519,8461,5347,3168,85306,0,0,5,5,3,3,0,0,0,15,5829,15444,18088,22076,13487,12137,9162,5396,2940,104559,0,7,12,85,14,3,9,3,0,136,0,0,0,26,3,12,6,0,3,58,0,15,6,96,24,7,3,4,0,156,0,3,20,24,27,17,8,3,0,103,7,34,33,146,79,57,31,18,0,407,0,3,3,55,17,19,14,4,4,115,78,1165,1626,4817,2472,1925,1055,374,179,13699,0,0,0,21,16,32,31,47,24,170,0,9,18,63,30,31,59,44,18,270,38,369,435,857,702,804,686,536,194,4620,0,0,5,50,36,44,14,10,4,171,0,33,30,122,61,40,26,16,5,329
CED227,0,12,18,118,32,20,5,0,5,207,0,0,0,22,9,18,12,4,0,67,0,9,25,107,44,12,6,0,0,205,15,125,256,879,399,321,238,140,44,2405,231,530,408,1119,456,382,321,246,141,3835,6513,12951,10019,27147,10612,8044,6162,3402,1271,86111,5,56,171,604,165,86,27,13,3,1126,12602,22091,15370,28661,12557,9419,6655,3485,1148,111990,0,29,27,226,50,21,10,0,0,370,0,0,0,77,27,16,12,11,0,146,0,4,13,33,12,10,6,3,0,78,0,5,19,122,36,26,8,7,0,222,0,21,14,59,40,22,16,4,0,183,0,5,13,84,71,48,40,9,4,273,4,99,109,822,243,184,118,32,7,1619,0,0,0,41,35,67,51,50,12,252,4,63,84,211,82,48,41,25,0,558,8,215,401,840,936,1169,1056,786,250,5667,3,11,31,230,92,63,30,11,0,469,0,0,5,28,16,20,5,6,4,77
CED228,4,32,62,414,146,122,54,17,3,853,0,0,4,7,12,11,9,4,0,46,0,0,20,76,18,9,4,0,0,127,41,392,639,2298,979,578,343,169,39,5475,424,863,638,1938,518,352,283,203,129,5355,8459,15399,11514,36377,10575,8693,5721,2555,1038,100333,0,9,13,127,31,24,13,0,3,223,15693,23181,13504,21688,9553,8185,4961,2039,622,99417,6,138,124,1231,275,82,33,6,0,1903,0,0,0,93,51,62,37,19,0,263,0,6,13,87,16,8,0,0,0,135,0,5,3,52,33,11,14,4,0,124,11,17,14,62,33,24,10,4,0,172,0,7,4,59,61,74,73,34,6,322,10,84,227,1478,394,428,244,31,12,2903,0,0,0,53,52,90,71,55,13,342,8,30,92,68,18,36,28,22,10,320,18,126,183,507,468,747,621,394,133,3206,3,26,50,383,187,136,71,14,0,865,0,5,8,38,7,12,12,8,0,84
CED229,0,23,91,314,97,51,31,10,0,615,0,0,8,37,13,13,4,3,0,76,0,0,10,51,16,14,7,5,0,100,29,157,308,2895,595,502,633,470,293,5880,148,284,436,2022,546,452,394,291,208,4772,3474,6213,8981,35253,10935,8802,6911,3650,1757,85969,5,5,12,69,9,0,3,0,0,93,6407,10334,11222,32045,13196,10646,7347,3292,1014,95504,0,3,12,89,0,9,7,3,0,111,3,0,0,91,20,21,13,9,0,164,6,18,59,753,64,21,12,3,0,941,0,0,11,42,12,3,5,5,0,77,7,24,39,378,125,68,38,8,0,684,3,3,16,302,39,30,17,5,0,424,13,148,1005,2819,459,405,248,101,42,5246,0,0,0,59,33,55,38,30,6,227,0,3,11,76,14,35,62,63,22,294,51,224,352,2986,1147,1037,719,389,150,7048,0,6,11,83,44,22,10,7,0,185,14,50,74,668,116,52,75,32,24,1101
CED230,0,26,28,189,48,74,32,7,0,398,0,0,0,5,6,8,9,3,0,30,0,6,4,14,7,7,8,0,0,48,5,42,32,250,136,125,109,64,35,802,237,719,601,1459,849,941,865,682,465,6826,4440,9623,8189,18964,10412,12097,10641,6596,3339,84301,0,23,78,128,59,48,21,3,0,362,8253,17577,14739,27615,16337,19637,17153,9683,4144,135141,0,3,6,36,5,3,3,0,0,62,0,0,0,5,0,3,8,0,0,14,0,0,0,13,5,3,0,0,0,24,0,6,7,56,15,20,11,7,0,124,3,4,8,31,15,32,14,3,0,119,0,0,0,21,0,0,0,0,0,33,0,16,44,245,69,48,33,11,0,469,0,0,0,0,0,15,29,28,26,105,0,0,7,14,4,7,8,3,0,40,3,34,46,219,252,635,755,512,145,2609,0,3,11,57,46,19,21,8,0,170,0,0,5,31,3,19,5,5,0,67
CED231,7,28,62,478,352,365,232,91,71,1698,0,0,0,12,4,6,6,0,3,42,0,0,3,25,3,0,0,0,0,39,15,142,251,1451,501,409,386,262,137,3551,129,251,265,973,364,282,277,274,143,2957,3840,8130,8481,23724,10688,9057,7522,4889,2332,78659,0,0,4,17,7,3,6,0,0,37,7473,14746,14444,30096,14437,10921,6883,3318,1327,103645,0,7,12,78,14,7,5,0,0,117,0,0,0,75,22,44,28,21,6,196,0,7,8,174,12,7,9,0,0,215,0,0,3,11,19,17,15,0,3,79,6,31,21,140,67,38,12,9,0,318,0,10,10,90,64,37,58,33,0,297,6,51,133,797,306,332,240,135,108,2108,0,3,0,60,56,112,178,224,66,692,4,15,18,111,55,100,167,160,59,683,25,99,149,767,472,509,414,285,108,2823,0,0,8,71,49,53,26,20,7,239,0,4,7,86,24,21,22,5,3,176
CED232,4,4,20,96,26,10,5,0,0,173,0,0,9,13,12,13,21,4,6,73,4,10,28,99,38,24,4,0,0,206,5,97,122,505,292,197,163,109,34,1528,179,479,344,946,452,433,353,184,89,3452,5637,11859,8992,23078,11141,9004,6954,3069,1076,80801,0,0,4,20,5,0,0,0,0,27,11146,21823,15942,30704,16150,12719,9040,3931,1114,122561,0,5,3,75,15,5,3,0,0,109,0,0,0,21,3,3,8,3,0,39,0,0,0,38,3,3,3,0,0,60,0,3,5,21,8,12,3,0,0,47,0,9,9,69,49,28,25,3,3,195,0,0,0,18,25,12,9,4,0,66,0,24,34,241,90,57,37,11,3,510,0,0,0,25,28,64,56,33,9,208,0,19,23,94,29,26,46,22,3,266,17,200,326,719,897,1117,866,578,157,4877,0,10,16,88,54,33,8,5,0,215,0,0,4,34,17,23,21,9,0,110
CED233,5,41,574,855,456,394,313,106,64,2817,0,0,3,46,9,12,16,5,0,86,0,0,27,49,5,8,0,0,0,95,39,144,688,3169,524,358,269,172,80,5441,188,318,1234,3121,573,481,339,159,79,6499,3189,4797,19380,48756,8916,7154,5380,2731,1255,101559,5,13,22,74,10,0,3,0,0,128,5545,7386,15943,43087,9902,7872,5459,2396,699,98288,0,4,77,167,5,3,0,0,0,267,0,0,3,65,20,26,20,10,0,135,0,10,60,576,32,9,6,0,0,692,0,0,87,84,13,31,15,0,0,237,12,23,53,513,70,52,19,12,0,749,0,10,11,270,34,36,20,15,4,396,23,167,5686,7213,753,700,415,236,196,15376,0,0,0,53,20,38,47,34,18,218,3,14,27,94,14,35,45,27,17,274,33,132,540,2918,731,710,511,250,60,5880,0,0,19,97,21,28,13,4,0,179,5,19,62,586,69,34,27,11,5,809
CED234,0,18,67,287,222,230,152,60,18,1054,0,0,0,9,9,10,6,5,0,40,0,0,8,32,15,21,10,0,0,91,15,120,149,614,347,337,342,319,167,2418,121,206,245,715,335,282,296,325,258,2783,3994,9805,9905,22588,12220,11134,9097,6895,3383,89005,0,0,0,23,8,12,10,0,0,52,7477,16235,14861,17906,12641,10231,6522,5481,2412,93770,0,12,17,46,14,12,8,4,0,116,0,0,3,21,14,22,10,14,0,89,5,4,7,53,16,19,4,0,0,113,0,6,10,68,59,61,50,24,9,275,5,14,22,77,63,40,12,7,5,247,0,0,4,24,22,21,18,8,0,109,87,985,1714,8887,2688,2921,1992,707,389,20377,0,0,3,24,35,57,90,113,47,365,4,58,48,196,67,168,137,130,48,864,23,165,212,454,527,662,556,517,244,3365,0,3,0,55,55,46,54,27,14,250,0,7,9,37,24,20,14,10,6,133
CED235,0,3,10,63,23,7,4,0,0,110,0,0,0,6,11,23,22,14,3,78,0,7,3,16,12,8,4,3,0,52,6,27,34,216,111,172,173,131,39,905,218,537,368,1132,610,791,796,529,242,5211,3774,8395,6884,16263,9232,11269,10893,5811,2375,74883,0,0,0,4,0,0,0,0,0,8,7180,15869,12639,25424,14307,16537,15198,7329,2607,117092,0,0,0,8,0,0,0,0,0,10,0,0,0,14,7,17,11,9,0,56,0,0,0,19,5,4,3,0,0,33,3,3,6,21,9,5,0,0,0,47,3,11,5,65,25,42,34,6,3,188,0,4,0,15,10,24,16,12,0,79,0,18,11,137,57,56,30,12,0,321,0,0,0,4,14,21,36,38,10,126,0,0,5,11,0,7,29,8,0,56,4,72,109,455,580,1305,1697,1174,369,5783,0,4,5,36,19,17,4,4,0,82,0,4,4,27,3,8,14,13,4,73
CED236,0,6,5,59,18,4,4,0,0,93,0,0,3,6,8,6,8,9,0,35,0,0,0,16,10,3,0,3,0,34,18,90,120,373,122,126,128,82,35,1098,236,639,528,1385,695,834,784,600,352,6052,4142,9620,8270,18332,10082,11072,9904,5888,2694,80000,3,56,143,312,139,70,22,5,0,745,7972,17428,14763,26182,16006,17547,15315,8539,3235,126983,0,4,0,34,5,3,3,0,0,53,0,0,0,4,0,3,3,0,0,18,0,7,0,17,0,3,0,0,0,22,5,9,7,21,5,3,5,0,0,43,5,7,8,38,18,15,21,5,0,122,0,0,0,16,4,0,5,0,0,26,9,13,90,242,57,56,24,9,0,506,0,0,0,13,8,24,24,38,0,99,0,18,13,26,4,0,13,8,5,78,5,35,60,273,282,595,725,555,175,2702,3,10,16,66,28,14,9,0,0,143,0,0,0,30,13,19,11,3,0,77
CED237,6,40,89,755,452,361,188,54,25,1966,0,0,0,0,3,4,7,0,0,18,0,0,26,61,18,7,0,0,0,117,29,236,345,1342,571,548,448,210,86,3808,187,409,369,1021,370,341,327,328,231,3592,5400,10743,9970,26289,10603,9501,7206,4030,1762,85498,0,16,31,144,42,40,18,3,0,297,10543,18529,14507,24275,10912,7651,3905,1689,613,92633,3,25,23,232,55,18,4,0,0,359,0,0,3,119,83,107,56,29,9,407,0,12,8,73,16,16,7,0,0,136,0,4,17,87,46,85,40,8,0,290,3,6,12,52,26,17,3,0,0,116,0,6,0,34,45,22,23,21,0,160,8,78,222,1837,434,540,334,107,41,3601,0,0,3,58,69,112,138,137,34,558,0,24,55,175,91,148,186,101,36,806,3,85,99,284,199,323,272,161,51,1484,0,16,34,258,119,111,73,26,5,658,0,6,0,28,16,23,10,7,0,87
CED238,0,9,11,56,12,7,3,0,3,108,0,0,0,5,5,4,15,4,0,32,0,4,0,22,4,8,3,0,0,43,3,28,30,210,78,108,69,59,27,607,176,523,454,1102,640,812,745,531,306,5285,3728,8680,7483,16836,10016,11711,10494,5927,2849,77714,0,4,3,22,3,0,3,0,0,42,7191,16346,13960,26876,16548,19063,17185,8915,3585,129664,0,0,0,25,3,0,0,0,0,28,0,0,0,0,0,0,6,0,0,7,0,3,0,14,8,0,0,0,0,26,0,3,0,11,3,0,0,0,0,26,0,5,13,57,23,35,12,8,3,158,0,0,0,9,5,5,3,4,0,22,0,54,53,306,59,44,18,4,0,539,0,0,0,0,0,10,15,13,3,47,0,5,7,21,8,17,9,4,3,62,10,72,76,337,353,716,900,591,185,3232,0,0,5,28,16,5,3,0,0,62,0,3,8,41,12,9,11,3,0,85
CED239,0,12,52,276,135,122,74,14,10,693,0,0,3,14,6,3,3,0,0,35,0,0,7,38,0,0,0,0,0,52,22,122,171,1349,296,264,256,195,123,2795,154,311,344,1204,350,274,254,230,209,3324,4432,7639,9042,30549,9634,7560,5333,4127,2776,81096,0,11,10,51,13,8,4,0,0,102,8433,13137,13532,35530,12479,8654,4130,1666,1260,98820,3,40,52,313,65,43,22,0,0,532,0,0,0,55,17,31,14,7,6,139,0,15,11,248,35,7,5,4,0,331,0,0,0,19,6,5,0,3,0,45,3,16,16,249,64,18,16,3,0,389,3,3,11,131,30,33,12,10,8,237,4,37,173,829,233,299,217,57,22,1872,0,0,0,27,31,69,56,92,61,342,4,32,13,112,40,68,106,82,63,523,26,113,217,1530,550,445,255,141,70,3350,0,7,8,100,36,41,17,8,5,220,0,5,16,223,24,31,17,5,3,330
CED294,0,0,5,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,53,15,9,4,0,0,120,64,147,167,608,169,104,55,13,7,1339,189,361,556,1604,479,429,224,58,19,3915,0,0,4,6,0,0,0,0,0,8,251,367,607,1490,623,532,330,73,13,4283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,3,5,0,0,21,0,0,4,5,3,0,0,0,0,18,0,0,10,22,11,4,6,0,0,57,0,0,0,0,0,4,3,0,0,12,0,0,6,0,0,0,3,0,0,5,3,6,7,52,21,42,20,15,0,170,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,12
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
