CED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
CED223,0,0,0,12,0,0,0,0,0,13,3692,8724,7287,13510,7926,8984,8280,3981,1151,63545,0,0,3,14,8,0,5,0,0,25,0,0,0,0,0,0,4,4,0,13,0,0,0,10,4,0,0,0,0,13,0,4,6,7,0,0,0,0,0,19,0,4,8,33,20,18,12,6,0,101,0,0,0,0,0,0,0,0,0,6,0,13,9,38,18,12,6,3,0,97,0,0,0,0,7,25,20,30,9,87,0,0,0,14,3,0,4,3,0,24,8,24,52,203,229,461,508,356,92,1928,0,0,0,14,9,6,5,5,0,43,0,0,11,18,10,8,22,0,0,67,0,6,8,16,15,69,179,113,34,434,0,0,0,4,4,13,19,12,8,54,0,5,9,17,8,0,4,0,0,34,6,25,45,287,39,25,15,8,0,461,0,0,0,7,0,0,5,3,0,23,0,0,0,13,3,4,4,0,0,22
CED224,3,55,112,512,109,47,16,4,0,855,4434,8956,7100,12318,6713,5224,3553,1832,767,50905,0,3,5,36,12,8,8,0,0,73,0,0,4,65,31,45,15,7,0,173,0,9,11,50,12,3,4,3,0,98,0,10,46,253,182,112,78,28,4,715,0,17,10,50,34,21,9,0,0,149,0,0,0,31,32,18,23,17,3,127,9,124,185,754,261,291,165,68,20,1878,0,0,0,30,15,44,39,44,15,181,0,0,3,14,9,20,49,33,6,136,11,183,183,724,627,492,440,341,120,3116,0,0,13,52,31,40,22,8,0,168,0,4,5,50,28,17,17,0,0,130,0,7,16,60,60,48,77,79,17,359,0,3,7,43,59,134,161,242,103,764,0,12,17,93,25,23,20,7,0,201,9,95,256,1180,330,263,186,73,22,2414,0,5,11,58,13,4,17,11,0,113,0,7,23,88,16,7,14,6,0,158
CED225,0,0,4,13,3,3,0,0,0,19,4271,9100,8000,13828,7708,6463,4825,2504,758,57443,0,0,3,32,0,0,0,0,0,39,0,0,0,17,0,16,13,3,0,49,0,0,0,23,11,4,0,0,0,40,0,0,0,7,8,4,4,0,0,20,4,15,6,46,29,20,13,8,0,139,0,3,0,21,9,4,3,3,0,47,6,84,210,802,262,272,172,49,23,1883,0,0,4,10,23,48,43,54,15,191,0,0,4,27,8,19,41,23,0,138,18,104,141,506,493,455,376,287,89,2470,0,0,8,26,14,11,11,3,0,64,0,3,5,46,21,9,10,6,5,93,8,9,10,46,44,34,71,60,14,291,0,7,11,30,38,129,168,146,84,603,4,18,13,103,43,37,32,12,3,261,13,81,131,891,142,80,68,25,12,1439,0,10,13,48,16,14,14,5,3,122,0,15,24,321,71,34,16,4,0,477
CED226,0,0,0,5,0,0,0,0,0,7,2951,7882,9230,11112,6379,5849,4220,2319,986,50928,0,3,7,38,10,5,0,3,0,69,0,0,0,11,0,6,3,0,0,22,0,7,0,45,5,4,0,0,0,65,0,0,13,11,14,3,4,6,0,44,3,18,17,57,38,27,17,5,0,177,0,0,3,20,6,4,4,0,0,43,37,572,764,1874,884,859,495,174,66,5721,0,0,0,12,6,11,14,20,11,74,0,0,11,36,17,17,31,26,4,135,18,203,234,482,401,438,378,285,73,2514,0,0,3,25,12,19,11,3,0,78,0,21,19,64,36,20,8,10,0,174,0,4,8,51,39,34,57,45,19,259,0,6,7,18,30,119,155,226,141,692,17,122,79,233,138,151,135,52,7,935,18,138,201,1179,271,149,105,66,19,2141,0,11,19,143,46,30,38,21,0,315,0,23,26,212,97,31,30,15,4,440
CED227,0,29,77,331,78,50,9,0,0,593,6452,11202,7890,13878,5999,4576,3036,1594,438,55069,0,12,14,105,29,11,9,0,0,177,0,0,0,29,18,5,9,0,0,64,0,3,5,16,9,6,6,0,0,33,0,3,3,38,19,14,6,7,0,92,0,6,8,28,18,12,6,0,0,83,0,5,4,35,30,16,19,3,0,120,0,51,64,354,108,68,63,14,0,721,0,0,0,22,17,41,14,32,3,132,4,34,40,102,46,25,19,7,0,281,4,105,213,419,472,577,467,371,99,2736,3,6,15,107,47,26,14,8,0,218,0,0,0,15,6,8,4,6,0,40,0,3,7,31,20,32,62,68,19,244,0,0,6,9,11,14,14,10,7,74,0,9,10,30,7,15,14,0,0,76,38,364,488,4058,618,217,155,61,3,6005,0,5,8,54,17,12,3,4,0,111,0,16,11,65,28,13,0,0,0,130
CED228,0,5,3,71,16,10,5,0,3,125,8083,11855,6922,10702,4657,4014,2370,905,188,49694,0,56,66,567,188,44,19,9,0,949,0,0,0,37,23,27,23,17,0,120,0,0,9,42,16,0,0,0,0,61,0,0,0,13,12,3,7,0,0,42,4,11,8,24,15,13,9,5,0,80,0,3,5,25,29,36,39,14,0,148,3,44,113,631,177,174,120,16,3,1280,0,0,0,27,24,51,31,31,6,166,8,20,45,30,9,16,20,21,3,167,4,72,89,276,244,383,326,194,51,1638,0,14,22,175,88,50,33,7,0,392,0,5,7,10,3,10,6,3,0,43,0,0,6,26,18,23,64,33,4,190,0,0,7,17,20,43,62,41,17,212,0,10,11,88,21,31,22,0,0,195,200,1133,1947,12428,1255,378,369,88,11,17815,4,10,37,230,75,22,26,8,0,415,0,10,14,119,26,15,5,0,0,196
CED229,5,5,8,33,3,0,0,0,0,49,3259,5247,5379,15923,6448,5241,3559,1569,387,47018,0,0,8,45,0,6,3,0,0,59,0,0,0,40,11,6,7,5,0,66,4,13,25,350,33,6,3,0,0,438,0,0,4,21,3,3,0,5,0,36,3,14,16,137,53,30,22,8,0,288,0,3,12,144,22,16,11,0,0,214,3,76,441,1051,130,147,114,44,18,2026,0,0,0,25,20,28,22,13,5,119,0,0,8,41,6,14,29,30,11,146,19,115,160,1634,680,577,390,210,64,3864,0,0,0,34,29,3,7,5,0,87,4,27,40,356,52,24,36,17,4,569,4,5,16,183,63,44,121,58,23,507,0,0,6,56,27,110,103,224,97,630,7,33,64,195,36,38,30,8,0,414,31,95,343,2236,149,85,61,33,9,3035,6,7,106,304,33,16,18,3,0,489,0,6,12,276,41,19,11,7,0,377
CED230,0,15,38,77,43,36,17,0,0,230,4093,9071,7690,13504,7950,9793,8662,4602,1604,66969,0,0,4,18,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,6,0,0,0,4,3,0,0,0,0,12,0,4,3,18,3,11,3,4,0,53,0,3,0,12,9,13,7,0,0,45,0,0,0,8,0,0,0,3,0,15,0,13,18,96,28,21,13,7,0,197,0,0,0,0,0,9,15,20,13,51,0,4,0,9,4,7,3,3,0,29,3,20,15,107,104,301,355,260,56,1221,0,4,6,37,16,5,6,0,0,75,0,0,0,13,0,6,4,0,0,32,0,0,3,17,13,23,67,37,15,173,0,0,0,3,7,23,37,25,13,105,0,0,4,27,0,8,3,0,0,47,11,46,62,495,69,39,17,12,0,750,0,8,10,44,13,5,3,0,0,84,0,0,3,17,4,3,0,0,0,26
CED231,0,0,4,10,3,0,4,0,0,18,3870,7528,7359,15033,7062,5206,3223,1453,460,51205,0,4,8,48,3,0,4,0,0,69,0,0,0,31,14,16,10,9,3,82,0,4,0,80,3,0,0,0,0,92,0,0,3,3,12,7,10,0,0,31,0,11,9,57,34,12,6,6,0,138,0,5,6,36,34,18,19,12,0,132,6,23,53,303,95,140,113,55,47,824,0,3,0,22,34,46,73,112,24,313,0,12,10,55,23,46,73,72,21,322,18,48,76,410,266,248,214,139,40,1459,0,0,0,32,29,26,12,10,3,109,0,3,5,46,17,11,11,0,3,91,0,4,4,57,31,27,72,64,9,272,0,6,6,47,34,139,203,259,106,807,0,11,14,100,38,37,30,5,0,233,18,104,148,1069,187,131,121,71,16,1867,0,3,12,74,16,8,8,9,0,134,0,10,8,197,39,23,20,15,6,318
CED232,0,0,0,8,5,0,0,0,0,12,5758,11242,8283,14801,7750,6145,4260,1934,410,60577,0,5,3,38,5,5,0,0,0,58,0,0,0,13,6,0,0,0,0,21,0,0,0,16,0,0,3,0,0,21,0,0,0,9,7,3,0,0,0,17,0,7,4,30,23,17,13,4,0,100,0,0,0,9,11,6,7,0,0,35,0,14,22,72,30,23,16,3,4,177,0,0,0,10,12,27,30,20,3,103,0,7,9,48,17,14,23,12,0,133,9,100,166,360,449,576,428,288,60,2448,0,0,9,41,19,15,5,0,0,99,0,0,3,14,9,14,16,3,0,59,0,0,11,28,37,28,84,70,11,263,0,0,7,26,19,57,58,38,7,210,0,7,7,25,6,6,3,0,0,61,19,160,270,2294,219,106,67,25,6,3161,0,6,5,25,9,4,4,4,0,48,0,19,29,174,48,16,10,3,3,302
CED233,0,7,11,48,4,0,0,0,0,72,2795,3703,7261,22613,5178,4034,2628,1159,246,49613,0,0,47,95,4,6,0,0,0,146,0,0,0,31,6,9,6,5,0,61,0,6,18,283,13,3,3,0,0,331,0,0,47,48,3,14,10,0,0,114,5,7,23,200,40,31,7,4,0,322,0,4,9,132,18,24,7,5,5,200,10,84,2542,3015,219,239,173,90,82,6456,0,0,0,26,6,19,22,13,12,93,0,6,12,57,10,13,21,15,4,142,12,69,255,1675,453,428,277,124,23,3321,0,0,12,52,3,17,4,4,0,86,0,8,34,342,33,18,14,8,0,460,6,13,41,207,68,34,36,38,9,440,0,3,4,39,27,84,93,160,82,491,8,27,208,445,56,51,34,16,3,849,109,167,661,3532,137,48,35,18,4,4713,0,13,616,578,37,18,28,12,0,1290,0,9,26,311,35,11,9,4,0,410
CED234,0,0,0,15,3,8,4,0,0,23,3785,8332,7794,9186,6255,5036,2933,2326,909,46562,0,10,3,26,4,7,5,4,0,57,0,0,0,12,8,10,6,9,0,46,5,4,0,22,6,4,4,0,0,55,0,3,4,16,21,20,26,6,0,105,0,12,14,29,26,30,3,0,0,112,0,0,3,7,13,10,8,5,0,53,51,527,936,3816,1061,1252,988,330,180,9130,0,0,0,8,16,25,41,57,21,168,3,23,31,102,35,77,64,65,25,436,10,79,112,265,301,347,280,254,102,1748,0,0,0,26,23,27,22,9,8,119,0,4,4,19,19,4,11,4,3,80,0,6,10,43,34,37,71,99,25,328,0,18,23,42,69,211,331,556,231,1483,19,179,154,698,321,377,334,82,22,2191,12,143,223,1195,251,135,149,79,15,2192,0,17,26,163,64,31,37,29,6,379,13,149,185,765,340,176,86,47,9,1769
CED235,0,0,0,4,0,0,0,0,0,6,3664,8234,6446,12239,6903,7950,7399,3532,1010,57366,0,0,0,4,0,0,0,0,0,3,0,0,0,9,4,6,6,0,0,28,0,0,0,6,3,4,0,0,0,18,0,3,0,6,4,0,0,0,0,15,3,8,3,38,8,14,19,6,0,96,0,5,0,3,3,10,10,4,0,34,0,10,6,50,17,22,11,0,4,116,0,0,0,3,5,9,18,23,3,61,0,0,4,5,0,0,16,8,0,33,0,33,54,233,279,574,839,563,155,2747,0,3,5,22,3,9,4,3,0,48,0,4,4,12,3,6,6,9,0,34,0,7,4,33,14,42,158,125,32,407,0,0,0,0,6,16,29,32,5,88,0,0,3,14,0,5,9,0,0,26,0,12,27,227,41,16,29,16,0,375,0,3,3,21,0,5,9,0,0,46,0,0,0,5,4,0,0,0,0,16
CED236,0,35,70,185,83,51,17,0,0,438,4130,8975,7740,12835,7881,8666,7639,4117,1255,63234,0,3,0,19,0,4,0,0,0,32,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,3,8,4,0,0,0,0,19,0,3,3,15,8,3,10,5,0,50,0,0,0,10,0,0,0,0,0,12,3,9,77,96,23,24,13,3,0,246,0,0,0,3,0,10,11,24,0,59,0,13,4,12,3,0,7,3,4,45,5,22,40,142,141,272,333,293,74,1321,0,3,3,27,7,12,0,0,0,60,0,0,0,14,7,8,0,0,0,44,0,5,7,11,20,26,67,49,11,186,0,5,4,6,4,19,41,35,12,125,0,0,4,24,0,3,0,0,0,35,13,66,109,820,128,74,56,6,9,1276,0,0,11,28,7,4,0,3,0,53,0,11,25,19,4,3,3,0,0,74
CED237,0,3,19,84,16,25,10,0,0,160,5479,9580,7435,12263,5307,3612,1781,701,211,46359,0,12,15,112,38,12,0,0,0,199,0,0,0,55,32,64,26,21,3,199,0,6,4,35,10,10,0,0,0,59,0,0,8,37,21,38,22,0,0,129,0,4,8,21,14,12,0,0,0,51,0,0,0,16,19,11,11,8,0,69,0,40,135,865,165,248,150,54,19,1665,0,0,0,29,32,52,65,60,7,252,0,7,28,88,42,76,86,53,10,390,0,46,49,153,112,147,133,79,24,742,0,5,21,125,55,57,22,12,4,312,0,0,0,21,6,18,7,9,0,55,0,3,4,38,28,19,28,23,0,155,0,21,64,108,101,311,438,480,175,1696,0,0,13,70,10,24,23,3,0,150,44,284,964,4354,617,286,178,49,19,6788,0,8,19,76,33,15,25,6,0,183,4,103,127,551,154,56,23,7,0,1016
CED238,0,3,0,20,3,0,0,0,0,29,3677,8457,7290,13382,8104,9377,8573,4207,1314,64378,0,0,0,12,0,0,0,0,0,19,0,0,0,0,0,0,6,0,0,3,0,3,0,3,0,0,0,0,0,16,0,6,0,4,0,0,0,0,0,10,0,6,5,15,9,16,9,4,0,56,0,0,0,4,0,0,0,3,0,17,3,34,27,167,17,12,11,5,0,267,0,0,0,0,0,8,6,4,0,29,0,0,6,11,8,11,4,0,0,40,3,34,42,154,173,331,468,291,73,1562,0,0,0,19,4,4,0,0,0,29,0,0,0,18,3,0,5,0,0,39,0,0,3,25,13,21,68,44,11,184,0,0,0,0,3,11,18,8,3,54,0,0,5,7,4,3,0,0,0,21,4,28,26,241,32,15,12,10,3,373,0,3,0,33,5,0,0,0,0,51,0,0,0,9,0,0,0,0,0,14
CED239,0,3,6,27,8,4,4,0,0,56,4296,6633,6668,17371,6108,4097,1922,674,398,48177,3,16,29,152,40,25,10,0,0,282,0,0,0,32,6,16,3,4,5,65,0,8,3,117,18,8,3,0,0,152,0,0,0,7,5,0,0,4,0,22,3,6,7,94,27,9,5,3,0,150,0,6,7,58,14,17,5,9,0,115,4,17,92,310,77,122,109,19,8,761,0,0,3,16,17,46,23,33,34,164,0,14,10,57,21,40,52,36,20,252,15,59,101,808,306,249,122,72,16,1766,0,3,0,48,16,16,12,3,4,98,0,4,8,99,16,16,7,3,0,157,0,3,7,105,36,28,39,35,6,260,0,16,15,63,73,166,271,512,223,1338,0,3,13,86,21,6,6,0,0,133,21,135,215,1553,145,65,35,24,4,2204,6,16,28,117,19,5,11,0,0,208,5,16,16,193,33,21,10,7,0,291
CED294,0,0,3,5,0,0,0,0,0,7,138,183,312,806,389,274,199,43,5,2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,5,0,0,14,0,0,6,4,0,0,0,0,0,7,0,0,3,3,3,3,6,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,9,30,9,29,13,11,0,97,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,9,4,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,5,0,0,3,0,4,8,47,5,0,0,0,0,60,0,0,0,3,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,13
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
