CED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
CED224,0,0,0,48,335,196,301,183,54,54,60,84,19,3,23,1355,9,19,33,54,288,65,51,40,8,0,0,9,4,3,15,603,0,5,6,23,56,52,108,41,14,18,11,4,0,0,9,339,0,5,21,139,200,178,426,236,76,93,42,69,33,12,12,1536,3,15,111,232,463,261,467,184,40,31,51,61,16,4,44,1981,0,0,0,0,16,18,28,27,3,7,17,4,4,0,0,131,0,0,3,20,96,64,147,95,29,11,23,18,12,7,12,526,148,558,1336,909,825,546,1616,1030,156,132,135,104,24,19,197,7738,0,4,17,54,61,82,176,113,35,28,30,30,5,4,13,643,0,0,4,260,753,429,269,147,32,33,32,31,18,3,61,2078,86,276,702,1235,1728,2082,2140,1175,325,222,259,202,89,29,216,10755,429,2012,4381,4543,7264,6515,11743,7084,1461,1261,1498,1436,471,191,1033,51321
CED225,0,6,9,46,160,83,147,90,29,37,50,57,33,10,14,763,22,11,17,28,106,56,29,15,0,5,3,0,0,0,8,300,0,0,17,31,53,56,123,59,25,12,13,18,5,0,3,419,0,0,20,76,95,109,259,79,36,24,24,21,6,5,8,757,3,21,39,70,234,171,207,127,28,39,38,54,17,4,10,1052,0,0,0,4,24,55,47,43,3,8,4,7,0,0,5,208,0,0,0,15,43,40,117,64,13,13,17,15,11,0,3,366,135,510,1131,756,685,530,1172,476,76,70,84,51,32,19,111,5838,0,7,37,69,72,93,170,135,13,26,21,40,20,5,18,720,0,0,0,113,187,99,167,118,27,19,15,29,10,0,15,812,125,336,586,582,578,924,987,650,182,145,153,126,43,12,104,5525,590,2798,4175,3065,4184,4274,7809,4714,969,1058,1053,1046,430,133,708,37006
CED226,0,0,8,43,119,60,97,109,38,30,24,41,22,8,3,598,43,38,29,32,73,19,22,14,3,3,0,6,0,0,6,299,0,18,24,118,162,143,299,161,31,53,22,36,16,13,18,1113,4,4,30,104,155,165,289,87,30,17,24,22,8,4,11,957,0,15,52,133,305,204,248,165,38,45,57,56,34,7,7,1372,0,0,0,15,236,226,160,95,31,25,21,23,9,3,13,866,0,0,8,9,34,60,128,82,26,23,23,20,3,3,7,453,183,438,902,685,566,553,1015,538,90,75,106,97,56,14,122,5451,6,10,46,101,77,140,250,175,37,70,58,60,34,17,34,1106,0,0,11,475,544,163,182,175,94,52,82,108,55,5,42,1986,190,315,383,520,592,580,858,587,154,198,213,259,95,27,99,5066,770,2468,3599,4053,6974,6473,11064,7475,2002,2025,2183,2537,1176,320,922,54034
CED227,0,0,0,29,184,166,649,606,100,77,80,113,32,6,19,2063,4,4,18,22,128,39,25,13,4,0,0,0,0,4,4,263,0,6,4,13,25,27,143,74,25,16,7,11,3,5,0,348,0,0,18,87,152,128,416,175,30,37,47,37,6,11,8,1158,0,10,46,86,251,473,2206,1422,254,233,198,231,87,16,58,5572,0,0,0,0,8,18,36,42,9,5,38,38,13,0,3,210,0,0,0,7,34,38,90,67,18,14,7,23,9,0,8,323,152,574,1541,1125,954,396,1201,594,71,50,64,34,19,5,183,6954,0,4,7,24,40,54,104,80,9,12,11,9,3,3,11,373,0,0,0,15,57,52,69,65,17,9,6,12,10,0,7,325,46,168,481,616,946,859,2316,1101,211,166,155,153,45,20,148,7429,358,1643,2852,2714,3940,3867,15823,9859,1933,1824,1624,1792,619,204,843,49896
CED228,0,0,5,92,634,584,1823,1009,264,212,239,287,91,21,60,5308,10,11,23,31,185,67,34,11,0,3,0,0,0,0,10,379,0,4,3,23,24,47,331,156,24,36,14,37,10,5,9,724,0,3,16,24,32,64,210,113,32,40,26,44,12,8,14,619,0,3,7,22,103,240,749,465,75,89,100,122,45,11,16,2044,0,0,0,4,12,21,45,54,7,15,12,5,0,0,6,176,0,0,0,10,44,74,717,442,152,117,127,113,27,4,31,1863,61,377,1140,575,465,223,656,353,37,47,32,41,16,3,92,4132,0,5,8,23,29,35,126,86,16,15,19,33,9,0,11,432,0,0,0,107,260,245,336,253,58,61,43,53,33,9,48,1513,54,315,726,847,1254,1871,5007,2828,722,573,597,659,205,69,305,16023,312,1532,3154,2729,4632,6536,28677,19033,4709,4666,5148,5818,1862,552,1585,90932
CED229,0,0,11,35,161,138,234,208,80,87,106,164,70,13,18,1329,162,178,100,65,223,64,55,42,24,19,17,9,3,0,43,1014,3,10,13,34,80,93,238,131,37,31,34,30,21,14,12,772,0,15,40,170,470,530,536,177,28,50,61,81,15,9,16,2216,0,4,27,57,85,76,118,79,36,26,37,46,18,10,10,629,0,0,3,3,41,72,63,108,31,26,42,25,7,8,3,429,0,0,8,13,30,65,165,150,55,53,51,75,19,5,9,682,117,367,842,759,722,715,1665,1312,310,405,404,528,184,55,130,8504,5,18,67,150,151,230,403,381,80,111,143,124,78,44,44,2027,0,0,3,99,155,101,148,180,58,53,48,50,45,0,23,951,320,615,574,1098,1182,1707,2021,1990,761,909,1113,1416,603,85,262,14655,871,2077,3297,3644,5143,6132,11351,10015,3177,3687,4326,5438,2110,585,1096,62953
CED230,0,0,6,9,94,67,231,278,98,81,105,159,48,21,48,1225,0,5,7,3,17,5,6,4,0,0,0,0,0,0,4,58,0,0,3,3,0,5,12,5,0,6,3,0,6,0,0,50,0,0,6,24,18,55,119,47,14,24,13,47,21,3,9,393,0,0,11,0,6,5,37,48,14,14,20,16,0,0,0,177,0,0,0,0,0,0,28,57,22,29,37,67,16,0,8,268,0,0,0,0,11,27,167,158,34,39,26,39,13,0,35,546,135,473,1049,459,246,136,228,115,22,20,25,30,5,13,152,3106,0,0,13,37,20,20,49,38,9,0,0,7,3,3,3,208,0,0,0,15,91,91,140,92,25,79,89,30,23,6,59,741,47,146,227,260,262,306,502,302,62,56,134,285,72,98,169,2928,362,1497,1945,1232,1218,1123,2721,2402,810,974,1164,1427,445,189,844,18348
CED231,0,0,11,105,234,130,201,158,60,50,64,96,17,11,16,1163,28,32,56,33,119,42,27,22,5,0,4,8,0,0,7,385,0,0,9,25,41,43,103,59,15,15,15,14,10,8,0,354,0,5,9,23,52,51,98,46,14,21,23,13,7,12,10,372,0,8,48,99,152,202,200,96,24,31,42,57,13,0,13,982,0,0,0,8,22,14,45,44,10,3,7,8,0,0,5,172,0,0,0,10,26,47,122,89,41,24,32,27,4,4,20,450,95,331,692,403,373,285,599,412,60,59,58,65,40,11,67,3543,0,11,13,40,59,55,133,99,26,33,45,27,28,0,24,583,0,0,0,491,1103,481,299,234,55,39,53,88,29,19,74,2961,139,619,973,1035,963,1177,1431,998,434,403,470,427,136,23,175,9427,600,4066,6187,3987,5093,4516,6832,4854,1412,1370,1660,1665,531,193,917,43891
CED232,0,0,4,25,117,71,283,330,51,39,41,37,15,6,18,1041,7,8,16,5,53,13,11,12,0,0,0,0,0,0,4,139,0,0,6,17,20,19,111,53,12,22,16,0,3,5,0,280,0,0,13,35,42,91,237,145,20,22,27,22,5,0,8,660,3,12,26,22,41,94,405,247,48,38,37,38,21,3,8,1038,0,0,0,0,5,7,27,13,6,0,4,0,7,0,0,65,0,0,0,5,20,43,91,61,19,11,15,9,5,5,23,316,104,491,1230,796,621,446,1150,576,45,66,57,42,16,12,153,5803,0,3,19,53,50,54,109,71,10,22,10,9,15,0,6,442,0,0,0,14,39,30,64,58,19,9,11,13,6,6,8,279,63,308,456,467,421,436,1000,634,149,112,116,94,39,20,103,4421,343,1703,2924,2171,2363,2397,8153,5339,1036,1005,930,937,315,148,668,30423
CED233,0,0,0,35,215,191,356,298,125,141,245,462,136,44,38,2287,11,16,18,14,87,24,27,33,11,14,17,13,5,6,7,313,0,0,21,28,81,139,403,262,108,66,77,98,56,18,13,1380,0,4,25,58,97,151,251,111,31,27,32,46,32,10,4,866,0,11,8,45,113,102,160,116,63,73,78,106,67,14,15,963,0,0,0,3,52,105,207,301,112,131,184,136,63,10,18,1325,0,0,6,14,56,114,388,348,217,223,236,379,129,16,34,2175,81,267,657,509,641,742,1314,921,279,348,378,450,215,113,116,7028,3,3,33,78,136,234,408,372,102,138,167,205,146,68,40,2142,0,0,4,468,942,727,615,545,215,280,259,293,152,32,129,4658,66,176,398,542,892,1475,2339,1911,762,965,1242,2026,832,133,234,13984,307,1420,2643,2833,5373,7241,14370,14578,5762,7135,8488,10855,4661,1290,1486,88437
CED234,0,0,15,68,190,82,176,167,41,47,56,78,41,9,19,992,26,33,31,31,109,24,11,8,4,0,5,0,3,0,4,291,0,8,30,80,175,180,445,124,32,46,32,26,16,12,11,1227,0,7,15,80,199,226,416,134,46,34,38,39,28,9,12,1275,3,23,69,79,280,181,223,131,53,58,72,102,23,3,12,1303,0,0,5,9,220,333,272,174,41,28,37,30,11,3,18,1181,0,0,3,17,38,62,115,76,13,10,22,26,10,3,8,402,168,437,854,497,479,359,625,261,45,44,46,57,25,6,100,4005,0,8,20,47,55,78,132,126,22,17,34,37,16,6,25,620,0,0,3,592,575,192,169,118,26,39,38,48,25,4,48,1888,182,537,596,802,785,772,851,593,167,196,173,194,87,27,143,6108,836,4263,5439,4627,9054,8849,15971,10605,2477,2762,2807,2970,1252,405,1422,73741
CED235,0,0,0,18,125,65,106,120,34,21,29,48,24,17,38,641,9,7,18,21,57,17,12,0,0,0,0,0,0,0,0,142,0,0,0,11,0,8,15,11,0,0,0,0,0,0,0,55,0,3,21,63,72,68,115,45,13,14,6,7,14,0,9,439,3,9,29,33,33,25,60,45,9,17,3,8,4,0,3,284,0,0,0,0,8,8,12,17,6,6,33,42,15,0,0,132,0,0,0,4,12,23,54,77,7,11,21,12,5,4,6,218,309,1104,2056,1128,808,292,604,226,32,33,20,34,12,6,306,6957,3,7,26,66,43,38,80,57,16,15,8,3,0,0,4,374,0,0,0,19,10,15,41,35,5,5,3,26,16,0,9,184,81,315,425,330,314,190,342,168,38,61,35,69,46,31,91,2543,660,2872,3447,2336,2301,1300,2408,1355,283,299,275,406,209,76,726,18953
CED236,0,0,0,6,114,98,210,339,90,90,101,152,52,30,49,1330,8,8,9,3,11,0,9,4,0,0,0,0,0,0,0,57,0,0,3,10,7,0,8,3,4,0,6,0,4,0,0,43,0,0,5,11,10,36,85,26,3,10,20,21,4,8,9,256,0,0,6,3,10,10,62,96,18,29,28,19,8,11,4,305,0,0,0,3,0,13,17,44,9,11,38,67,8,0,8,223,0,0,0,3,10,38,97,66,19,14,26,25,13,0,24,332,147,522,1109,437,257,151,249,168,14,19,31,28,21,6,174,3339,8,0,4,31,23,25,40,37,12,0,7,12,12,0,5,214,0,0,0,0,16,7,43,35,3,8,10,15,8,6,17,164,43,166,250,199,146,320,653,395,98,64,143,239,84,18,105,2940,406,1818,2177,1191,1065,1460,3739,2949,814,821,983,1262,433,168,783,20069
CED237,0,0,3,75,480,279,622,447,90,95,112,125,48,10,42,2433,0,6,32,27,77,39,14,21,0,0,4,0,0,0,0,219,0,0,0,10,33,42,152,58,11,10,16,29,10,0,6,373,0,0,4,15,27,39,138,46,8,6,7,12,15,0,0,310,0,5,9,68,318,534,979,493,92,115,119,106,50,11,44,2940,0,0,0,0,8,23,37,37,6,0,7,9,3,6,0,144,0,0,0,9,54,35,104,84,17,12,27,13,5,0,11,371,17,149,494,290,220,127,256,159,23,28,23,22,0,5,56,1872,0,3,5,8,19,33,81,42,18,11,15,19,9,0,3,267,0,0,6,271,1060,673,634,399,91,63,69,80,35,10,134,3515,50,409,940,1295,1383,1649,2130,1363,341,432,342,307,113,19,217,10999,273,3010,7749,5411,6791,7548,16198,10543,2270,2393,2765,2921,888,194,1502,70471
CED238,0,0,3,21,73,61,146,178,52,54,81,94,28,14,21,827,5,3,3,9,19,0,6,3,0,0,0,0,0,0,4,61,0,0,3,4,5,9,8,5,0,0,0,4,0,0,3,45,0,4,6,27,30,44,111,48,6,13,9,33,0,9,11,364,0,8,6,5,10,5,43,58,13,9,15,19,7,3,10,211,0,0,0,0,5,0,17,45,30,32,53,73,17,0,3,266,0,0,0,6,4,17,57,44,17,13,21,18,15,0,11,215,148,584,1155,558,371,224,372,176,29,23,32,38,19,0,198,3932,0,0,20,52,28,32,51,51,6,6,17,10,8,3,7,299,0,0,0,3,12,10,15,25,11,20,14,61,13,0,20,209,46,122,161,154,129,148,296,186,33,39,60,132,49,60,120,1750,298,1336,1758,1242,1240,1089,2274,1528,367,450,637,733,257,134,758,14101
CED239,0,0,5,48,225,155,230,222,54,69,93,130,28,7,26,1310,29,19,38,24,108,36,37,19,0,3,4,3,6,0,14,345,0,0,0,17,46,63,104,61,15,22,13,15,4,6,5,365,0,3,10,31,57,63,128,54,8,17,10,11,9,4,5,408,0,5,26,48,105,135,240,137,48,42,43,45,32,8,11,924,0,0,0,0,22,20,45,46,9,14,17,5,3,0,0,182,0,0,0,7,30,48,107,99,20,26,16,26,5,0,10,405,45,198,413,322,439,443,894,621,126,150,117,110,46,23,95,4042,0,0,22,47,95,120,213,204,42,62,40,76,41,12,17,985,0,5,3,154,336,185,170,125,41,27,30,46,13,10,33,1177,120,475,803,1155,1080,1008,1322,1149,417,446,410,451,116,38,169,9174,484,3889,6172,4051,4573,4686,8961,7225,1999,2568,2777,2964,980,265,1200,52799
CED294,0,0,0,0,4,4,5,8,5,4,4,0,0,3,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,12,0,0,0,0,0,9,6,8,4,0,0,0,0,5,0,28,0,0,0,0,3,4,5,3,0,3,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,15,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,13,3,11,40,24,23,21,25,10,0,8,7,15,6,17,3,206,0,0,0,0,0,0,12,3,0,0,0,0,0,11,0,36,0,0,0,0,0,5,3,4,0,5,3,0,0,0,5,38,0,8,14,24,25,20,65,43,0,6,20,30,17,30,16,322,6,34,98,79,101,125,230,164,31,55,80,106,62,133,74,1390
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
