CED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED224,6,105,98,273,56,18,18,5,0,575,0,0,0,11,31,17,5,0,0,81,11,40,107,545,248,243,123,36,6,1355,0,3,8,145,81,120,162,56,25,603,0,0,8,24,15,12,11,4,3,79,0,30,60,207,178,197,183,147,73,1067,4,43,29,106,62,44,38,14,0,339,9,130,150,459,368,196,125,72,23,1536,5,31,100,609,329,353,311,171,69,1981,0,6,6,91,11,16,4,0,0,131,10,24,38,314,89,33,13,3,0,526,0,24,15,170,183,184,119,74,19,793,17,84,66,207,107,94,49,20,0,643,4,34,64,647,545,472,240,56,18,2078,0,9,6,45,28,27,28,16,8,169,0,0,9,56,32,21,13,6,3,126,23,278,316,2063,1218,946,821,498,207,6368,276,500,412,1476,603,562,541,453,257,5072,9217,20180,17588,43595,23399,19002,14574,8841,4126,160526
CED225,0,11,14,108,28,18,6,0,0,197,0,0,3,14,35,22,5,0,0,86,9,25,44,362,124,91,81,17,11,763,0,6,3,85,44,55,60,29,19,300,0,0,0,4,10,3,5,0,0,23,0,16,29,129,96,140,167,113,31,724,13,54,40,139,71,42,48,21,3,419,5,33,59,268,187,111,45,37,8,757,5,26,66,390,163,154,137,87,26,1052,3,8,6,133,26,15,12,0,0,208,5,30,43,151,80,43,10,3,4,366,0,10,0,49,23,33,20,8,0,152,23,93,79,215,121,75,77,34,3,720,4,35,65,287,190,119,74,21,6,812,0,0,6,27,26,24,20,19,9,134,0,0,6,27,29,10,11,5,0,95,24,206,264,1394,687,632,556,359,182,4307,185,473,457,1243,572,516,551,405,249,4661,8750,19820,17984,41220,21990,19590,16381,9268,3870,158869
CED226,4,21,45,162,28,26,14,0,0,301,0,6,3,17,39,22,11,0,0,91,0,33,66,291,109,44,48,15,5,598,0,0,3,61,25,38,67,53,45,299,0,0,0,3,0,3,0,0,0,9,0,7,19,84,81,106,112,95,38,551,20,159,145,308,160,137,120,44,10,1113,3,46,81,268,221,150,96,74,11,957,0,35,122,488,253,216,141,77,44,1372,9,43,39,415,137,79,109,24,4,866,6,27,54,234,72,42,19,6,0,453,0,7,3,59,43,32,11,16,7,174,53,196,176,306,144,103,82,34,6,1106,0,62,241,555,460,386,199,54,22,1986,0,0,7,18,20,28,14,17,4,110,0,0,9,54,14,19,15,7,0,119,27,195,244,1279,585,446,417,352,196,3746,138,429,562,1264,635,523,487,432,291,4762,6299,19347,23595,40741,22915,20099,15755,9605,4987,163354
CED227,11,145,114,661,90,56,30,10,0,1117,0,0,0,14,22,12,6,0,0,56,10,133,296,934,409,189,70,21,0,2063,0,0,5,78,48,42,58,20,5,263,0,20,34,75,67,31,11,9,0,248,0,23,31,120,140,192,208,131,46,890,0,62,66,98,60,43,18,3,0,348,7,75,147,346,279,155,86,47,13,1158,18,375,441,2916,993,452,265,100,15,5572,0,17,12,156,12,5,8,3,0,210,6,13,28,191,51,17,3,4,0,323,0,4,0,38,34,27,19,7,0,120,3,50,59,109,77,38,19,14,0,373,0,18,28,171,52,34,13,3,7,325,0,0,4,37,26,37,27,16,4,151,0,12,57,192,93,34,15,0,0,405,20,266,468,1642,789,634,441,268,82,4608,463,1096,884,2224,921,719,611,451,218,7582,13317,26323,20678,52776,20885,15597,11444,6381,2079,169469
CED228,60,385,276,1740,255,74,60,9,0,2851,0,3,9,23,25,10,3,0,0,72,20,278,667,2173,1069,696,316,64,31,5308,0,0,3,81,63,87,95,36,19,379,6,25,66,229,138,125,49,12,3,648,0,8,27,77,68,183,159,84,35,647,18,112,141,204,137,71,35,8,0,724,6,63,88,208,115,81,39,16,7,619,16,117,209,1029,333,203,85,39,15,2044,0,7,10,121,15,9,11,4,0,176,24,379,688,608,102,47,25,0,0,1863,0,4,7,43,37,24,15,9,0,140,25,89,78,121,39,39,27,8,0,432,7,54,122,687,260,219,114,38,3,1513,0,3,9,17,21,19,15,7,0,91,0,7,27,128,38,14,9,0,0,223,82,790,1261,4195,1913,1200,637,339,86,10517,912,1784,1359,4002,1064,743,547,356,204,10974,17497,31471,24424,72377,21287,16791,11050,4825,1603,201323
CED229,0,0,32,164,8,9,0,0,0,215,0,3,6,31,39,13,9,0,0,104,7,23,106,908,118,83,52,24,0,1329,0,9,8,192,73,122,294,110,204,1014,0,0,0,5,0,3,0,0,0,14,4,7,30,393,152,126,113,72,15,901,8,45,81,427,88,53,41,15,7,772,5,29,136,901,416,322,253,107,52,2216,0,5,44,389,69,54,45,15,6,629,3,9,22,319,37,17,23,0,0,429,3,19,63,481,72,32,11,3,0,682,0,0,15,173,51,46,18,5,3,321,61,194,183,848,270,233,162,61,13,2027,0,31,146,462,149,95,53,12,6,951,0,0,6,103,35,34,15,6,0,192,0,0,14,110,33,27,20,3,0,216,58,310,608,5577,1169,931,1210,853,470,11192,292,535,846,4060,1208,974,810,563,334,9621,7075,12568,17243,69131,21470,17343,13427,6958,2862,168080
CED230,0,27,15,54,11,7,0,0,0,118,0,0,0,4,16,17,6,3,0,50,16,106,122,585,194,106,82,16,0,1225,0,0,0,9,5,8,21,8,4,58,0,3,12,89,18,7,6,0,0,141,0,4,8,28,36,89,95,81,16,356,0,0,0,18,10,7,9,0,0,50,9,37,54,126,69,49,32,6,5,393,4,15,4,102,21,8,6,6,7,177,6,7,14,236,8,0,0,0,0,268,4,42,81,294,73,44,9,0,0,546,0,5,13,50,77,86,42,34,5,310,0,14,10,55,37,30,46,14,0,208,4,53,43,315,100,147,58,13,0,741,0,0,0,6,6,20,22,7,3,66,0,4,8,40,25,13,13,7,0,103,16,93,99,630,264,251,238,141,62,1788,473,1526,1282,2993,1732,2107,1898,1390,752,14146,8831,19893,17222,37370,20319,24230,21612,12696,5466,167639
CED231,3,24,63,211,28,12,9,4,0,349,0,0,0,23,19,15,0,3,0,57,0,57,85,544,169,124,131,37,7,1163,0,3,0,104,33,66,91,51,28,385,0,4,14,38,27,6,13,3,0,111,0,12,16,102,79,98,97,67,23,494,7,40,38,152,62,30,15,3,5,354,3,27,24,190,64,23,27,13,0,372,0,32,52,364,164,147,136,66,22,982,3,11,4,118,11,16,13,0,0,172,5,30,46,261,68,25,9,3,0,450,3,10,12,210,178,180,87,38,9,727,28,57,44,262,82,42,45,11,6,583,12,60,158,755,637,648,425,158,106,2961,0,0,0,27,11,8,16,6,4,76,0,0,7,51,13,3,4,0,0,82,27,307,460,2628,931,808,694,500,214,6561,258,517,555,1924,751,620,510,474,261,5875,7953,16672,17458,46479,20803,17371,13963,8855,3856,153408
CED232,7,36,35,288,42,10,9,3,0,438,0,0,0,10,32,13,0,0,0,60,4,75,107,512,188,82,63,12,0,1041,0,0,3,33,22,28,26,11,4,139,0,3,15,58,20,25,12,0,0,135,3,10,20,76,97,127,126,93,20,572,0,49,34,86,56,41,8,0,0,280,0,46,86,211,174,84,41,19,3,660,4,54,74,597,153,70,57,25,4,1038,0,6,3,43,3,4,0,0,0,65,0,29,28,173,58,14,9,0,0,316,0,0,11,79,67,35,6,7,0,206,3,48,44,134,74,67,56,10,3,442,4,18,37,136,49,23,12,0,0,279,0,5,10,25,22,23,34,10,12,143,4,18,50,153,91,43,13,0,0,371,17,183,223,942,552,419,313,226,60,2928,356,932,729,1820,923,894,698,410,154,6910,11657,24400,18784,44576,21585,17607,13314,6201,1750,159894
CED233,8,7,64,261,15,6,4,0,0,373,0,0,10,37,31,8,6,0,0,95,12,46,309,1575,179,102,59,9,3,2287,0,0,13,150,41,37,35,28,12,313,0,4,0,11,11,5,4,0,0,29,0,3,42,353,96,106,94,44,7,745,8,35,311,806,112,53,42,6,3,1380,0,3,127,522,99,49,45,9,4,866,5,6,185,581,84,43,40,12,9,963,6,17,178,991,69,38,27,0,0,1325,7,18,272,1691,120,35,22,9,0,2175,0,8,20,252,87,72,40,24,5,503,38,132,284,1225,212,131,77,37,0,2142,9,95,945,1408,730,691,512,173,88,4658,0,5,7,96,18,15,18,12,4,172,0,0,48,100,12,16,6,3,0,188,76,274,1264,6127,991,692,475,313,118,10331,372,646,2325,6440,1255,1041,693,322,151,13249,6437,9687,35751,98505,17975,14302,10215,5089,2004,199964
CED234,8,79,86,428,79,36,27,10,3,747,0,6,0,17,33,11,4,0,3,71,0,65,77,454,154,106,102,21,12,992,0,3,0,41,31,46,89,52,27,291,0,0,0,10,0,3,0,0,0,9,0,12,7,46,57,79,85,95,46,424,13,104,143,382,182,169,148,69,18,1227,10,73,159,313,270,217,149,68,13,1275,3,36,102,470,194,184,174,87,51,1303,3,48,66,588,171,127,150,25,5,1181,10,22,40,221,61,25,16,5,3,402,3,11,11,42,59,78,22,18,8,257,22,125,104,157,86,66,34,20,3,620,0,33,100,447,421,459,271,103,31,1888,0,0,0,15,16,33,13,10,4,99,0,0,12,72,30,39,20,6,0,174,32,273,283,1132,614,668,638,575,315,4530,210,439,526,1399,661,552,558,575,422,5343,8048,20298,20932,43855,23420,21181,16789,12559,5775,172855
CED235,0,0,4,19,14,7,3,0,0,44,0,3,4,12,27,17,11,0,0,71,9,28,49,267,94,111,69,22,3,641,0,0,0,16,24,19,45,19,8,142,0,0,0,40,4,0,0,0,0,44,0,4,16,47,64,162,250,201,63,798,0,0,7,26,12,8,3,0,0,55,3,17,24,108,81,91,68,34,5,439,0,13,11,119,40,41,39,20,4,284,0,0,9,110,3,3,0,0,0,132,4,28,25,92,42,22,6,0,0,218,0,5,0,7,9,4,3,5,0,36,0,33,30,85,55,60,94,21,0,374,3,7,11,94,35,14,8,3,0,184,0,0,3,18,13,43,47,32,6,164,0,7,9,36,14,16,10,3,0,92,7,42,63,387,199,322,387,285,92,1786,424,1081,757,2195,1257,1567,1580,1019,423,10302,7667,17399,14025,31256,17726,21510,21404,11374,3987,146349
CED236,9,68,50,157,18,7,5,0,0,308,0,0,9,20,25,8,10,0,0,69,3,122,123,634,194,151,83,12,0,1330,0,0,0,12,6,6,14,0,6,57,3,13,28,48,30,13,8,0,0,140,0,3,6,39,31,87,140,100,22,426,0,0,0,13,18,6,4,0,0,43,5,20,35,94,48,32,13,11,4,256,4,29,15,158,44,30,13,7,0,305,0,0,12,194,4,6,4,0,0,223,3,20,23,165,69,36,15,3,0,332,0,0,3,51,82,69,37,20,7,271,6,25,16,57,35,32,36,8,0,214,0,11,7,91,32,11,9,0,0,164,0,4,9,9,12,14,19,17,0,77,0,0,5,21,19,14,3,3,0,69,35,197,237,696,252,269,255,176,68,2175,500,1346,1179,2769,1509,1718,1654,1191,593,12456,8608,19881,17500,35880,19953,21840,19778,11593,4479,159507
CED237,15,138,114,781,108,48,28,9,0,1239,0,0,3,5,14,3,3,0,0,34,4,121,217,1008,389,360,265,55,11,2433,0,0,5,43,28,32,77,26,7,219,0,18,44,104,89,89,39,13,0,401,0,8,6,33,26,63,55,50,14,247,4,47,57,133,55,47,25,6,0,373,6,20,49,105,60,48,17,11,0,310,7,93,256,1252,525,414,267,98,26,2940,4,5,8,85,21,13,5,0,5,144,4,20,38,216,55,23,9,3,0,371,0,10,15,163,197,209,130,57,16,791,10,28,58,95,30,24,17,0,0,267,11,88,170,1197,793,727,391,99,41,3515,0,0,0,8,6,18,7,0,0,46,0,10,38,111,43,15,0,0,0,223,58,471,647,2572,1148,1064,851,393,141,7358,375,832,864,2175,820,688,590,590,358,7293,11216,22237,20923,52871,20910,18236,13637,7448,2925,170399
CED238,0,8,3,42,12,0,0,3,0,59,0,0,0,8,15,10,15,0,0,54,10,67,82,394,128,81,49,13,0,827,0,0,0,14,14,7,11,7,7,61,0,0,17,51,0,3,5,0,0,72,0,5,5,48,51,112,138,99,38,503,0,3,5,10,8,15,3,4,0,45,3,39,27,124,78,51,25,9,3,364,0,8,9,124,23,12,18,8,0,211,0,0,12,246,0,0,0,0,0,266,10,24,20,103,32,26,7,5,0,215,0,0,0,10,9,4,6,0,0,32,3,20,20,79,46,49,73,22,0,299,7,20,22,116,19,12,5,0,0,209,0,3,0,9,11,13,24,12,3,84,0,4,3,43,10,14,10,4,0,84,4,45,59,468,173,195,172,122,50,1301,412,1091,966,2238,1377,1619,1567,1017,506,10791,7683,18029,15679,33530,19697,22905,21143,11334,4556,154555
CED239,42,264,317,1595,192,63,17,5,0,2495,0,0,5,27,21,8,0,0,0,65,11,54,107,696,162,138,104,39,4,1310,0,0,6,98,33,42,62,37,56,345,0,0,3,8,14,8,5,3,0,43,0,8,11,204,74,69,41,32,20,455,4,29,33,200,52,30,17,3,0,365,0,3,41,232,69,31,20,16,0,408,4,41,67,441,117,149,56,35,10,924,0,0,10,147,11,10,10,3,0,182,4,24,34,238,68,17,14,3,0,405,0,41,21,472,461,456,216,142,20,1832,18,63,81,577,121,65,39,17,4,985,7,34,82,427,239,211,141,31,8,1177,0,0,9,40,13,12,5,10,0,84,0,0,14,67,10,10,0,0,0,97,41,259,309,2593,609,513,465,361,187,5343,323,595,716,2494,744,573,485,426,341,6698,9031,15455,18223,60519,19003,14656,9855,7085,4486,158319
CED294,0,0,3,9,5,0,0,0,0,22,0,0,0,4,0,0,0,0,0,4,0,6,3,24,11,3,0,0,0,46,0,0,0,4,0,0,3,0,0,10,0,0,0,0,0,3,0,0,0,6,0,0,0,5,10,7,3,0,0,26,0,3,0,9,3,0,0,0,0,12,0,0,5,12,8,9,0,0,0,28,0,0,0,14,8,4,0,0,0,33,0,0,3,16,0,0,0,0,0,15,0,0,6,8,0,0,0,0,0,13,0,0,0,8,3,3,4,0,0,25,3,6,4,18,9,0,0,0,0,36,0,0,6,13,5,10,3,0,0,38,0,0,0,5,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,5,3,18,32,105,31,18,17,3,3,233,146,300,363,1421,586,371,178,34,11,3416,414,730,1131,3553,1393,1074,613,152,29,9089
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,9,0,0,0,27,0,0,0,17,3,14,4,0,0,38
