CED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
CED224,0,0,3,27,30,29,31,17,0,135,4,104,151,1121,414,367,210,90,31,2497,0,0,3,24,23,42,47,38,20,195,0,4,5,15,19,35,45,33,19,168,9,157,197,643,539,520,480,376,166,3089,0,0,9,78,51,57,26,6,10,231,0,5,8,62,20,12,18,7,3,128,0,13,11,91,52,46,77,79,36,407,0,4,11,41,55,131,228,270,99,842,0,13,16,105,33,34,33,0,3,234,16,88,146,1104,323,239,188,88,37,2224,0,9,16,100,43,16,24,0,3,209,0,11,20,71,19,6,9,4,0,148,0,0,6,23,15,0,3,0,0,53,0,24,12,164,53,46,36,43,14,390,0,5,10,40,39,89,170,173,89,607,4,11,10,88,65,31,8,0,4,208,5,6,9,77,28,15,3,0,0,139,0,6,4,30,21,27,28,7,0,127,0,18,24,217,71,76,66,20,6,495
CED225,0,6,6,15,7,14,4,3,6,63,7,87,134,1135,371,343,187,55,30,2336,0,0,0,14,26,60,77,44,21,242,0,0,6,28,6,24,44,26,11,150,14,116,125,419,356,445,389,315,141,2314,0,0,0,12,13,6,4,3,0,51,0,0,7,36,15,12,17,5,0,95,3,5,11,72,36,31,90,92,40,374,0,10,11,23,42,103,170,165,78,599,6,24,12,129,49,45,40,12,0,316,11,75,93,704,129,99,68,30,17,1229,0,11,9,126,36,30,13,6,4,232,0,18,26,312,47,24,20,7,0,459,0,0,0,21,12,6,10,0,0,50,0,11,14,76,41,40,38,24,16,265,0,10,5,51,28,168,341,314,233,1158,3,11,14,91,65,24,17,0,4,223,0,9,11,96,29,12,6,0,0,164,0,0,4,31,34,66,36,22,12,193,0,27,37,267,104,122,134,42,5,730
CED226,0,7,0,29,6,11,8,4,4,67,43,596,865,2948,1590,1063,570,204,106,7975,0,3,0,12,13,22,15,20,13,94,0,3,10,29,9,19,28,22,17,136,18,165,206,381,304,364,305,252,117,2111,0,0,5,32,20,23,5,4,4,96,0,12,13,56,30,20,14,3,5,154,3,12,9,63,26,28,81,64,34,317,0,0,13,17,38,103,167,335,162,830,6,120,96,297,213,195,155,32,22,1133,13,121,161,946,216,141,115,64,24,1810,0,10,41,233,69,39,54,17,4,478,0,27,38,207,72,32,29,9,0,413,0,4,0,21,11,0,3,0,0,40,0,9,8,64,30,46,36,20,15,237,0,5,9,55,40,71,185,224,145,725,4,14,16,107,81,26,19,17,6,294,0,18,38,174,77,31,12,4,3,360,0,0,0,7,9,12,9,10,6,58,3,72,103,595,426,378,350,127,44,2100
CED227,0,0,6,43,45,30,18,6,0,154,4,45,46,474,134,118,58,14,0,897,0,0,0,18,20,21,36,21,3,120,0,33,44,103,37,18,24,15,3,276,4,107,187,423,457,595,592,416,152,2929,0,9,16,119,46,40,15,6,0,254,0,0,0,15,6,8,5,0,0,41,0,0,6,52,21,44,86,58,19,291,0,4,7,10,10,15,9,14,8,65,0,4,9,41,23,8,11,0,0,101,22,379,388,3820,417,271,193,63,12,5571,0,9,15,85,35,18,12,6,0,174,0,4,17,63,17,18,0,4,0,120,0,4,8,24,13,3,3,4,0,60,0,34,11,40,25,25,33,23,5,189,0,7,4,17,14,32,65,65,24,227,0,4,11,25,19,5,6,0,0,76,0,3,18,77,26,11,0,0,0,137,0,5,9,28,28,18,5,5,0,86,5,48,45,128,73,47,33,11,5,393
CED228,0,0,4,39,35,39,35,21,0,172,5,42,108,845,222,248,126,16,10,1618,0,0,0,23,26,45,40,21,10,172,5,9,50,37,11,17,15,3,3,153,10,55,99,232,223,366,291,210,83,1565,0,12,28,212,93,77,37,7,0,472,0,0,0,21,4,0,0,0,0,47,0,3,13,33,24,28,70,32,22,223,0,0,8,21,22,37,54,40,24,211,6,10,5,80,22,43,16,0,0,177,184,1143,1160,11057,750,563,379,78,20,15334,0,8,18,299,87,32,19,6,0,482,0,7,28,96,14,8,9,0,0,168,0,8,16,45,33,14,8,0,0,119,0,7,5,43,5,14,25,15,0,106,0,6,10,34,31,122,188,177,104,676,0,4,13,64,34,8,3,0,0,131,0,12,14,114,31,9,7,3,0,188,0,19,42,176,77,53,23,4,0,399,12,74,61,344,91,78,72,10,0,738
CED229,3,3,4,160,19,10,8,6,0,216,5,76,564,1766,331,263,135,59,21,3221,0,0,0,31,11,27,14,16,5,107,0,3,5,33,7,15,30,38,10,143,25,112,186,1346,469,463,327,173,82,3187,0,0,3,47,17,20,4,0,0,99,8,25,33,307,70,25,36,14,14,530,0,9,25,250,64,45,116,51,33,606,3,0,15,32,34,88,168,301,127,765,7,20,65,228,44,44,41,8,3,456,32,114,278,1606,106,81,66,40,5,2326,0,13,115,383,68,29,25,6,3,648,3,3,20,268,33,16,18,9,0,357,0,0,3,17,9,3,0,4,3,39,3,7,43,745,57,39,24,12,4,932,0,10,25,217,27,62,91,90,44,567,0,20,26,292,84,35,25,0,7,481,0,7,35,398,58,19,10,0,0,530,0,0,3,10,14,12,8,5,0,57,0,8,134,672,98,105,94,26,5,1139
CED230,0,0,0,8,0,0,0,0,0,18,0,3,22,151,40,28,17,6,0,270,0,0,0,0,4,9,15,10,19,58,0,0,0,10,0,0,3,5,0,15,3,13,27,109,147,339,398,256,91,1388,0,6,8,23,29,14,15,8,0,95,0,0,5,12,0,11,4,4,0,38,0,0,3,32,14,14,63,47,13,183,0,0,0,0,6,12,29,43,11,103,0,0,4,33,0,7,0,0,0,53,7,53,35,420,51,28,14,16,0,627,0,5,7,39,17,5,4,0,0,86,0,3,0,13,0,0,0,0,0,17,0,8,0,11,11,0,0,0,0,25,0,5,0,26,10,11,10,3,0,65,0,0,0,14,6,45,107,147,98,422,0,0,0,31,3,0,0,0,0,44,0,0,4,37,3,0,0,0,0,44,0,0,0,0,0,5,0,0,0,10,3,35,88,535,116,44,11,3,0,826
CED231,0,3,6,49,35,18,36,19,0,163,0,23,78,496,212,193,127,80,60,1276,0,0,0,34,19,66,110,110,32,377,0,4,7,60,30,54,83,85,37,358,6,55,71,350,213,263,200,147,69,1366,0,0,5,39,25,31,17,10,0,131,0,0,6,42,4,10,10,3,0,79,0,0,3,64,23,27,79,64,24,288,0,3,13,30,42,96,241,361,111,891,0,5,12,134,52,47,33,0,0,279,19,96,84,853,155,139,127,76,30,1585,0,0,19,107,36,11,19,8,0,201,0,11,14,131,20,21,16,18,6,240,0,6,16,74,38,31,10,8,8,181,4,10,20,103,34,28,21,23,4,249,0,12,13,104,70,329,914,895,530,2875,6,8,9,98,60,22,5,3,3,211,0,5,8,99,25,8,8,0,0,154,0,8,6,48,78,82,77,30,9,339,0,10,36,307,65,52,88,22,4,583
CED232,0,0,0,9,14,4,0,6,0,34,0,16,18,169,60,38,22,9,3,328,0,0,0,12,9,34,33,16,9,113,0,12,10,49,8,17,24,8,3,135,3,97,152,360,445,542,440,289,97,2428,0,3,5,43,39,20,3,0,0,115,0,0,0,23,13,12,4,5,0,53,0,0,8,53,32,36,87,60,20,293,0,0,6,22,23,34,55,21,8,185,0,0,4,30,14,9,6,0,0,67,15,155,171,2059,156,136,104,37,6,2838,0,5,7,47,22,4,3,0,0,91,0,26,34,189,33,22,6,0,0,312,0,8,17,96,34,12,14,4,0,189,0,13,5,55,34,25,24,15,10,170,0,11,3,35,28,132,169,71,31,489,0,5,5,18,24,4,0,0,0,61,0,0,0,31,10,9,0,0,0,54,0,0,4,47,20,16,21,6,0,119,3,24,26,113,34,35,22,7,0,257
CED233,0,0,4,142,19,14,10,11,0,195,13,84,3139,4198,535,457,244,146,112,8920,0,0,0,33,17,19,30,26,10,125,3,5,16,35,3,22,22,10,12,127,22,57,289,1240,274,277,234,128,35,2558,0,0,12,43,14,9,11,4,0,99,3,11,32,242,28,19,10,4,0,351,0,9,31,203,38,32,47,34,5,399,0,0,5,49,20,69,131,264,139,680,6,21,246,546,95,65,41,17,3,1031,79,150,652,2517,78,65,38,17,0,3603,4,9,805,642,38,32,40,9,3,1579,4,3,17,255,25,13,5,3,0,324,0,0,7,26,8,6,0,0,0,44,0,4,10,301,25,33,26,0,3,416,0,3,35,207,27,56,120,135,168,764,0,16,87,498,88,24,10,5,0,725,9,16,171,887,83,29,3,5,0,1191,0,0,3,20,5,15,9,11,9,68,3,27,791,1646,175,163,121,42,13,2985
CED234,0,0,0,13,14,11,13,4,0,55,38,457,777,5068,1623,1676,1007,376,217,11244,0,0,3,13,23,31,55,54,24,196,0,29,20,93,35,88,73,66,26,432,5,94,97,191,227,312,278,268,138,1614,0,0,0,31,35,19,36,17,5,137,0,0,4,14,12,12,7,7,4,59,0,5,6,27,30,27,91,88,51,321,0,22,27,40,66,220,485,656,255,1760,22,140,108,728,350,478,404,84,33,2346,12,126,148,1002,210,162,147,70,24,1903,0,8,29,256,94,42,43,25,7,513,13,112,147,821,271,157,93,42,10,1661,0,3,5,27,13,10,6,3,0,77,0,3,6,19,16,25,23,19,7,119,0,12,15,39,37,153,510,554,373,1687,6,11,19,91,54,29,21,9,4,231,0,31,80,320,149,58,34,8,4,684,0,0,0,25,41,83,52,28,9,241,8,135,322,1151,537,482,496,188,36,3366
CED235,0,0,0,14,10,13,6,10,0,43,0,8,5,88,43,33,19,11,0,205,0,0,0,0,11,13,23,16,4,62,0,0,4,0,0,0,13,4,0,25,4,37,56,225,302,737,860,610,215,3039,0,3,0,13,8,8,4,0,0,36,0,0,0,18,6,6,10,0,4,44,0,5,3,48,32,56,132,89,39,413,0,0,0,0,4,11,20,28,4,73,0,3,0,15,9,11,3,0,0,44,0,14,28,183,34,23,23,9,0,321,0,3,3,35,10,3,12,5,0,72,0,0,0,4,5,0,0,0,0,12,0,5,0,4,0,0,0,0,0,9,0,6,3,20,13,20,36,22,8,130,0,0,0,10,10,28,82,92,62,287,0,0,4,14,13,9,8,0,0,56,0,0,0,18,0,0,0,0,0,21,0,0,0,3,3,6,4,0,0,13,0,0,0,23,16,33,14,0,0,89
CED236,0,0,0,6,0,0,0,0,0,13,4,9,11,149,36,26,11,0,0,257,0,0,0,9,5,5,15,14,0,42,0,11,5,12,0,0,9,0,0,31,0,18,18,129,139,318,390,268,98,1385,3,0,11,32,21,6,4,0,0,82,0,0,0,12,0,12,12,0,0,30,0,0,7,36,18,24,65,40,19,207,0,0,5,8,6,12,27,27,19,104,4,0,5,24,0,6,3,3,0,39,7,66,74,725,90,80,44,8,6,1102,0,0,6,36,23,4,0,0,0,79,0,21,18,18,0,0,0,0,0,60,0,18,28,133,47,19,8,4,0,260,0,20,3,24,15,10,13,13,3,100,0,4,4,11,9,72,191,184,95,565,0,0,0,12,10,0,0,0,0,21,0,5,0,23,0,0,0,0,0,22,0,0,0,0,0,6,4,0,0,13,0,34,49,287,70,39,8,4,0,493
CED237,0,0,0,18,24,19,11,8,0,91,4,36,92,972,273,296,184,58,17,1934,0,0,3,32,37,67,79,72,27,305,0,14,29,86,52,71,102,44,27,422,6,43,48,132,87,171,141,81,37,739,3,8,13,128,65,55,49,16,0,348,0,3,0,10,10,13,5,4,0,40,0,3,9,47,16,15,32,23,11,147,0,22,56,101,100,298,545,569,197,1888,0,0,18,92,14,34,21,3,0,183,37,282,613,3717,447,334,190,49,19,5691,0,12,25,128,55,26,12,4,0,259,4,89,109,490,101,39,14,3,4,848,3,62,126,565,310,166,55,37,3,1332,0,9,0,30,6,20,19,14,6,100,0,21,33,100,100,486,863,737,421,2744,0,6,7,34,25,11,3,5,0,91,0,3,13,66,23,10,0,0,0,114,8,14,40,204,221,247,113,33,7,893,4,33,44,259,73,87,98,15,8,626
CED238,0,0,0,5,4,4,0,4,0,13,0,20,28,144,39,31,6,0,0,271,0,0,0,0,0,3,7,6,5,18,0,4,3,7,0,7,3,0,0,24,0,39,39,187,181,384,428,297,114,1668,0,0,0,11,5,0,4,0,0,31,0,0,0,25,5,8,6,0,0,47,0,0,3,55,18,30,64,32,27,238,0,0,0,0,0,10,11,5,4,30,0,0,4,11,0,7,0,0,0,25,4,18,14,174,13,18,13,9,0,263,0,3,8,35,15,6,3,0,3,78,0,0,0,11,0,4,0,0,0,13,0,0,0,5,0,0,0,0,0,5,0,4,6,47,11,20,18,9,0,114,0,0,0,7,0,17,23,12,13,80,0,4,0,19,13,8,4,0,0,52,0,0,0,32,0,0,0,0,0,43,0,0,0,4,0,0,3,0,0,5,0,3,3,33,16,16,3,0,0,77
CED239,3,0,5,73,20,12,4,6,4,122,0,16,81,516,151,174,110,41,17,1106,0,0,0,12,13,27,35,50,28,174,0,21,10,56,20,31,54,45,39,275,9,49,114,724,240,201,131,73,50,1584,0,4,5,52,23,22,9,11,0,121,0,0,7,128,12,16,10,3,3,175,0,5,15,129,42,23,49,32,28,328,0,10,6,54,62,162,383,658,267,1603,0,5,20,120,16,10,7,3,0,184,23,137,119,1112,106,68,52,25,8,1648,4,19,33,187,36,11,6,8,0,306,0,17,21,149,22,15,6,4,0,234,0,5,21,104,62,40,25,12,0,275,0,11,10,146,28,15,10,11,12,233,0,4,11,176,84,326,784,1211,897,3491,0,3,19,156,56,14,4,3,0,254,0,4,7,127,30,6,0,0,0,176,0,10,40,270,288,290,253,81,21,1262,4,14,44,331,61,53,47,15,4,579
CED294,0,0,0,6,6,0,0,0,0,8,0,0,3,15,8,0,3,0,0,34,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,3,3,0,3,22,6,12,8,9,0,75,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,10,0,0,0,5,0,4,0,6,0,16,0,0,0,5,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,3,3,20,4,0,0,0,0,29,0,0,0,4,3,0,0,0,0,14,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,4,9,0,0,0,0,0,7,0,0,0,0,0,0,5,3,0,9,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,6,25,5,0,0,0,0,34
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
