SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL20513,60,15,110,226,332,181,169,455,127,1489
SAL20514,0,0,0,15,18,12,0,7,9,67
SAL20515,0,0,0,13,30,18,11,25,14,107
SAL20516,87,188,411,1035,1859,1014,653,850,1151,6559
SAL20517,0,0,5,46,69,30,24,49,29,246
SAL20518,0,0,3,13,29,13,7,13,18,97
SAL20519,0,0,0,3,3,3,0,6,0,30
SAL20520,0,0,0,0,7,0,0,0,0,13
SAL20521,214,9,287,1165,1389,485,270,1336,221,4860
SAL20522,5,0,15,281,341,109,77,283,58,1144
SAL20523,316,77,580,3405,4364,1518,831,3368,756,14245
SAL20524,155,53,357,2500,3131,1265,670,2073,436,10088
SAL20525,0,0,0,7,19,9,6,9,0,54
SAL20526,0,0,10,55,92,44,46,45,30,308
SAL20527,0,0,4,51,56,39,31,27,3,198
SAL20528,87,8,181,1564,2187,847,544,2449,460,8044
SAL20529,0,0,0,0,0,0,0,0,0,0
SAL20530,0,0,0,0,0,0,0,0,0,0
SAL20531,0,0,0,10,4,3,0,10,9,36
SAL20532,0,0,0,9,15,5,0,4,4,35
SAL20533,29,4,41,474,696,213,162,437,114,2102
SAL20534,0,0,0,15,22,15,4,4,5,63
SAL20535,20,16,62,153,227,138,108,204,123,958
SAL20536,0,0,0,8,11,5,3,6,0,36
SAL20537,201,16,307,1458,2090,796,514,1720,339,6918
SAL20538,52,9,111,938,1256,551,359,1032,203,4334
SAL20539,494,97,955,4282,6054,2495,1300,4666,874,19677
SAL20540,3,0,3,11,12,9,8,12,0,51
SAL20541,0,0,0,11,17,9,10,11,17,58
SAL20542,0,0,0,0,0,0,0,0,0,3
SAL20543,0,0,0,38,38,34,16,29,18,175
SAL20544,0,0,0,0,0,0,0,0,0,0
SAL20545,0,0,0,28,54,25,16,30,14,165
SAL20546,0,0,0,8,12,3,7,10,10,59
SAL20547,6,3,15,108,214,120,49,98,56,651
SAL20548,0,0,0,5,23,6,7,3,3,51
SAL20549,0,0,3,13,20,17,12,19,3,82
SAL20550,0,0,0,0,0,0,0,0,0,3
SAL20551,4,4,23,237,382,186,146,283,101,1342
SAL20552,0,0,3,19,26,13,4,4,3,68
SAL20553,0,0,0,0,0,3,5,0,0,3
SAL20554,0,0,0,0,6,3,3,4,3,17
SAL20555,0,0,0,7,23,11,14,13,11,81
SAL20556,77,4,165,2080,2815,1182,880,2159,366,9474
SAL20557,0,0,0,0,6,0,3,0,0,8
SAL20558,0,0,0,10,17,7,6,14,0,58
SAL20559,4,0,4,62,111,47,32,41,15,312
SAL20560,8,0,16,147,250,133,110,133,40,816
SAL20561,32,7,47,679,1006,510,437,1008,351,3993
SAL20562,0,0,0,0,0,0,0,0,0,0
SAL20563,0,0,0,0,5,3,0,0,0,14
SAL20564,0,0,4,20,34,17,18,20,13,128
SAL20565,0,0,0,7,0,10,0,10,0,27
SAL20566,223,20,298,1140,1435,683,478,2314,282,6340
SAL20567,0,0,0,51,58,29,26,61,33,249
SAL20568,0,0,0,14,18,3,8,5,0,58
SAL20569,229,128,484,3409,3465,1135,827,6932,1652,17417
SAL20570,158,11,283,1971,2464,1061,847,4464,677,11495
SAL20571,0,0,0,15,17,8,10,0,0,48
SAL20572,5,0,7,49,90,55,25,60,5,288
SAL20573,0,0,5,24,52,24,32,44,21,196
SAL20574,53,0,88,1413,2141,721,310,783,182,5556
SAL20575,68,18,156,1221,1977,954,629,1454,224,6464
SAL20576,0,0,0,54,84,26,44,46,30,286
SAL20577,0,0,0,7,9,0,0,0,0,12
SAL20578,0,0,0,26,31,31,18,36,14,149
SAL20579,0,0,0,0,5,4,0,7,4,23
SAL20580,27,9,50,244,434,233,214,355,97,1586
SAL20581,13,3,20,1451,2110,827,694,2661,412,8152
SAL20582,39,9,77,3851,5394,2431,2028,7756,1010,22480
SAL20583,0,0,0,17,21,12,16,28,11,100
SAL20584,0,0,0,15,21,7,6,9,4,59
SAL20585,0,0,0,8,13,10,3,9,11,42
SAL20586,0,0,0,26,69,26,24,36,15,196
SAL20587,0,0,0,16,26,14,8,6,10,82
SAL20588,0,0,0,0,0,0,0,0,0,0
SAL20589,0,0,0,0,0,0,0,0,0,0
SAL20590,0,0,4,377,549,249,241,860,185,2454
SAL20591,43,10,88,267,370,212,173,405,96,1521
SAL20592,148,29,257,896,1171,513,476,1708,409,5176
SAL20593,4,0,4,35,46,39,13,31,14,181
SAL20594,0,0,5,14,19,6,7,8,3,63
SAL20595,0,0,0,10,13,8,6,4,8,46
SAL20596,322,37,628,5127,7214,2635,1542,5081,918,22523
SAL20597,177,74,335,1358,2021,820,528,1679,443,6848
SAL20598,0,0,0,0,3,0,0,0,0,5
SAL20599,0,0,0,0,3,0,6,0,0,9
SAL20600,14,4,31,719,982,476,379,555,293,3408
SAL20601,0,0,0,0,0,0,0,0,0,0
SAL20602,0,0,0,7,8,4,0,6,0,34
SAL20603,0,0,0,8,15,11,10,10,6,69
SAL20604,73,17,132,299,524,329,230,527,167,2080
SAL20605,3,0,3,73,98,49,39,56,23,344
SAL20606,0,0,0,0,0,0,0,0,0,0
SAL20607,249,49,445,1398,1816,879,719,2443,519,7770
SAL20608,0,0,0,10,15,12,3,4,6,46
SAL20609,0,0,3,30,29,21,11,50,14,150
SAL20610,0,0,0,10,20,0,3,11,5,59
SAL20611,0,0,4,44,48,35,31,40,32,229
SAL20612,0,0,0,3,11,6,0,7,0,33
SAL20613,7,0,22,371,495,256,163,388,94,1759
SAL20614,53,7,76,141,195,132,105,271,91,934
SAL20615,0,0,3,36,62,24,25,93,32,267
SAL20616,41,0,67,2236,2967,608,288,1602,574,8284
SAL20617,0,0,0,0,0,0,0,0,0,7
SAL20618,0,0,6,23,35,16,17,26,14,127
SAL20619,0,0,0,20,21,21,16,15,11,91
SAL20620,0,0,0,114,137,78,54,93,27,501
SAL20621,6,0,8,150,276,155,81,98,38,798
SAL20622,3,0,3,6,8,6,0,7,0,23
SAL20623,0,0,0,9,10,0,4,0,6,34
SAL20624,72,11,105,358,365,196,205,1254,191,2568
SAL20625,0,0,0,15,10,9,18,21,7,81
SAL20626,0,0,0,22,33,15,6,16,19,114
SAL20627,0,0,0,46,78,44,22,37,21,250
SAL20628,0,0,0,34,71,23,28,42,20,220
SAL20629,0,0,0,8,4,5,9,0,9,26
SAL20630,0,0,0,0,3,0,0,0,5,17
SAL20631,3,0,3,52,61,37,33,73,19,270
SAL20632,0,0,0,7,8,0,3,10,6,39
SAL20633,0,0,4,41,43,21,27,32,9,172
SAL20634,0,0,0,8,4,8,0,4,0,29
SAL20635,0,0,0,0,0,3,0,0,0,4
SAL20636,0,0,0,42,33,18,17,33,6,149
SAL20637,0,0,0,13,22,8,20,17,6,78
SAL20638,0,0,3,17,27,24,19,24,8,115
SAL20639,5,4,21,148,265,160,117,230,77,997
SAL20640,104,30,219,2184,2655,1138,1072,4488,1083,12622
SAL20641,0,0,0,5,6,5,3,9,3,28
SAL20642,0,0,0,5,10,0,0,6,4,31
SAL20643,0,0,0,18,23,8,8,20,15,84
SAL20644,12,0,23,150,239,131,96,257,91,957
SAL20645,0,0,0,18,37,21,16,35,22,142
SAL20646,0,0,0,52,69,47,29,41,32,269
SAL20647,0,0,0,5,4,4,0,4,6,17
SAL20648,36,14,73,206,257,135,146,275,137,1146
SAL20649,0,0,0,25,21,11,14,19,0,89
SAL20650,0,0,0,10,9,11,7,7,4,47
SAL20651,0,0,4,8,13,4,7,16,0,50
SAL20652,0,0,0,6,17,8,15,13,0,65
SAL20653,0,0,4,3,0,0,0,6,5,12
SAL20654,3,0,7,74,171,112,58,78,13,516
SAL20655,0,0,0,0,0,0,0,0,0,0
SAL20656,5,0,5,3,4,3,5,8,0,30
SAL20657,122,79,284,944,1536,811,634,1248,480,5657
SAL20658,0,0,0,7,10,0,0,6,3,34
SAL20659,0,0,3,54,82,54,36,61,42,331
SAL20660,0,0,0,9,17,3,6,19,3,52
SAL20661,183,65,326,7349,9600,4293,4272,19959,2941,48415
SAL20662,129,28,245,3106,3676,1544,1282,5986,1376,16979
SAL20663,209,42,390,3085,3923,1824,1555,6567,995,17954
SAL20664,58,14,103,3392,4342,1882,1624,6119,860,18211
SAL20665,13,3,22,517,756,341,239,593,146,2587
SAL20666,101,18,151,2636,3550,1405,1247,5075,753,14655
SAL20667,0,0,0,12,9,0,3,3,3,36
SAL20668,0,0,0,6,8,3,9,4,0,37
SAL20669,0,0,0,32,31,22,20,25,0,140
SAL20670,4,0,11,620,744,155,49,326,86,1979
SAL20671,0,0,5,32,31,19,28,33,5,150
SAL20672,60,37,140,455,719,370,309,630,283,2775
SAL20673,0,0,0,6,4,10,4,3,0,35
SAL20674,3,5,30,605,707,331,259,614,174,2686
SAL20675,0,0,0,0,0,0,0,0,0,0
SAL20676,0,0,0,0,4,0,3,0,0,5
SAL20677,0,0,0,3,7,6,4,3,0,27
SAL20678,0,0,0,28,61,33,27,30,10,192
SAL20679,0,0,3,23,36,24,13,17,22,138
SAL20680,0,0,0,15,20,5,4,5,10,64
SAL20681,0,0,0,13,16,4,9,8,5,57
SAL20682,458,116,930,4873,6955,3007,1893,5690,1031,23458
SAL20683,14,5,43,966,1281,586,297,751,77,3960
SAL20684,46,73,168,1373,2043,898,572,1417,293,6596
SAL20685,33,6,80,788,1180,534,357,812,128,3802
SAL20686,0,0,0,0,3,0,5,8,0,12
SAL20687,0,0,0,49,53,48,26,46,5,232
SAL20688,5,0,3,25,53,24,27,42,58,232
SAL20689,0,0,0,17,24,11,12,12,9,89
SAL20690,0,0,0,7,8,5,4,0,4,31
SAL20691,0,0,0,5,13,3,0,6,0,29
SAL20692,0,0,0,9,17,9,5,24,5,66
SAL20693,0,0,0,5,4,0,4,0,0,12
SAL20694,0,0,0,0,4,0,0,0,0,10
SAL20695,0,0,0,0,3,7,0,5,0,21
SAL20696,0,0,0,20,21,8,11,33,12,103
SAL20697,13,4,27,650,1001,430,335,664,109,3178
SAL20698,0,0,0,3,12,0,6,4,0,20
SAL20699,0,0,0,7,10,8,14,16,12,61
SAL20700,3,0,3,48,86,52,61,65,17,341
SAL20701,0,0,0,59,98,36,41,57,20,314
SAL20702,58,13,98,683,719,327,427,2423,584,5163
SAL20703,0,0,4,30,21,15,16,28,24,135
SAL20704,0,0,0,11,10,7,0,14,3,49
SAL20705,0,0,0,0,0,0,0,0,0,0
SAL20706,0,0,4,162,186,88,70,132,49,682
SAL20707,364,56,618,3592,3971,1642,1571,11067,2587,24425
SAL20708,301,51,543,3146,3805,1727,1540,7073,1317,18609
SAL20709,0,0,0,27,23,9,4,42,21,118
SAL20710,0,0,0,0,0,0,0,0,0,0
SAL20711,0,0,0,13,14,23,8,11,17,94
SAL20712,101,8,135,1486,1985,896,674,1877,327,7243
SAL20713,0,0,0,7,19,0,5,0,0,37
SAL20714,0,0,0,13,21,11,10,22,15,76
SAL20715,0,0,5,134,142,100,74,111,43,600
SAL20716,0,0,3,50,100,49,52,48,37,331
SAL20717,0,0,0,4,5,0,0,0,0,11
SAL20718,3,0,8,33,77,37,32,74,16,270
SAL20719,0,0,0,18,25,15,5,17,27,107
SAL20720,0,0,0,10,7,9,7,6,3,39
SAL20721,57,23,124,428,754,376,213,471,224,2462
SAL20722,0,0,0,17,25,9,19,16,11,98
SAL20723,6,0,6,48,80,40,37,47,53,306
SAL20724,0,0,0,84,122,50,31,176,16,486
SAL20725,0,0,0,4,5,3,0,0,3,12
SAL20726,0,0,0,39,40,26,19,21,17,162
SAL20727,3,0,7,23,47,31,31,33,14,172
SAL20728,66,4,116,438,514,262,124,412,53,1799
SAL20729,79,12,160,2211,2777,1168,1110,5963,1235,14452
SAL20730,137,17,213,851,1114,498,395,1298,274,4433
SAL20731,71,7,96,1149,1318,613,486,2814,403,6782
SAL20732,0,0,0,6,3,0,0,3,0,16
SAL20733,0,0,0,5,9,4,3,6,0,33
SAL20734,0,0,0,6,5,3,4,0,4,30
SAL20735,0,0,0,5,10,6,0,6,0,18
SAL20736,0,0,3,62,102,28,42,70,44,348
SAL20737,15,0,24,329,420,192,158,366,95,1558
SAL20738,0,0,0,18,41,20,17,24,14,134
SAL20739,0,0,0,0,0,0,0,0,0,0
SAL20740,0,0,0,0,10,5,4,0,0,16
SAL20741,0,0,3,91,128,70,64,111,71,541
SAL20742,0,0,0,7,11,7,4,4,7,45
SAL20743,13,0,16,1052,1289,605,528,2399,342,6217
SAL20744,0,0,4,13,26,15,7,25,10,92
SAL20745,8,3,14,54,63,55,46,75,33,327
SAL20746,0,0,5,26,47,27,30,24,26,174
SAL20747,0,0,0,0,7,5,0,0,0,11
SAL20748,15,4,24,211,296,159,144,355,126,1284
SAL20749,0,0,5,50,75,51,58,46,25,309
SAL20750,0,0,5,25,20,28,16,28,15,129
SAL20751,0,0,4,18,40,25,18,42,186,332
SAL20752,63,3,125,2289,3196,1397,890,2040,271,10080
SAL20753,0,0,0,24,21,19,15,19,11,97
SAL20754,11,5,20,878,1254,504,403,1150,294,4486
SAL20755,0,0,0,7,21,10,0,13,8,68
SAL20756,33,17,86,218,357,230,152,359,101,1411
SAL20757,4,0,7,26,35,30,16,43,14,167
SAL20758,170,28,321,1818,2515,1127,720,2158,313,8653
SAL20759,0,0,0,17,12,18,13,15,3,73
SAL20760,0,0,0,38,29,10,7,15,16,116
SAL20761,0,0,6,21,29,13,5,38,16,126
SAL20762,4,0,8,48,88,36,47,49,37,307
SAL20763,0,0,0,10,3,3,6,4,0,20
SAL20764,0,0,0,20,27,13,12,16,5,96
SAL20765,0,0,0,11,17,3,10,11,5,47
SAL20766,14,3,42,2705,3756,1063,571,4827,1373,14283
SAL20767,0,0,0,0,0,0,0,4,0,11
SAL20768,0,0,0,10,10,5,3,8,10,54
SAL20769,5,0,4,85,129,64,57,113,28,476
SAL20770,49,14,87,182,317,172,149,311,111,1237
SAL20771,432,75,989,4239,5306,2545,1709,6790,943,21530
SAL20772,527,60,989,4987,6341,3373,2300,7461,874,25340
SAL20773,6,0,6,243,389,186,130,431,199,1574
SAL20774,373,55,584,2188,2842,1454,969,2732,387,10563
SAL20775,0,0,0,0,3,4,6,0,0,14
SAL20776,0,0,0,39,71,30,20,39,6,202
SAL20777,0,0,3,63,76,38,28,38,24,270
SAL20778,0,0,0,14,11,6,0,12,0,50
SAL20779,49,7,90,4178,5783,2426,1990,4795,649,19831
SAL20780,0,0,0,3,3,6,0,0,5,15
SAL20781,0,0,0,0,0,0,0,0,0,0
SAL20782,0,0,0,4,10,8,7,19,6,56
SAL20783,81,18,146,1192,1310,584,532,3321,776,7717
SAL20784,0,0,0,16,14,11,7,5,4,58
SAL20785,0,0,0,0,10,0,6,7,0,22
SAL20786,0,0,0,14,22,18,10,7,12,76
SAL20787,0,0,0,3,11,15,11,0,0,34
SAL20788,101,22,207,1058,1577,787,535,1223,482,5665
SAL20789,0,0,0,3,4,0,0,0,3,16
SAL20790,235,28,380,2309,3343,1591,1256,2998,669,12166
SAL20791,0,0,3,31,47,14,11,33,5,140
SAL20792,0,0,8,75,85,47,21,51,18,290
SAL20793,0,3,9,72,80,52,42,47,21,317
SAL20794,0,0,0,3,10,7,3,3,8,32
SAL20795,0,0,5,17,27,19,23,12,21,129
SAL20796,0,0,13,93,156,72,48,106,16,490
SAL20797,0,0,0,0,5,5,6,3,0,31
SAL20798,4,0,4,38,68,44,25,45,18,236
SAL20799,5,0,4,33,58,30,17,17,11,169
SAL20800,0,0,3,23,35,14,9,18,13,108
SAL20801,0,0,0,0,9,9,3,4,3,40
SAL20802,87,83,254,809,1165,634,431,889,285,4225
SAL20803,3,0,3,3,8,11,5,7,0,37
SAL20804,6,0,12,54,101,54,43,85,39,373
SAL20805,5,0,3,21,15,13,17,19,7,81
SAL20806,0,0,0,9,5,4,4,0,0,16
SAL20807,3,0,4,6,19,19,10,14,7,78
SAL20808,0,0,0,11,5,9,6,9,5,49
SAL20809,3,7,13,92,182,96,58,94,34,571
SAL20810,0,0,4,6,10,13,6,5,0,36
SAL20811,0,0,0,5,7,0,0,0,0,12
SAL20812,3,0,9,48,52,28,18,49,16,210
SAL20813,17,4,22,117,160,113,105,237,59,789
SAL20814,0,0,0,15,13,9,11,6,3,55
SAL20815,0,0,0,3,0,3,0,0,0,12
SAL20816,0,0,3,64,102,49,36,54,14,325
SAL20817,0,0,0,13,14,13,9,3,0,48
SAL20818,0,0,0,5,5,5,7,5,3,29
SAL20819,0,0,0,0,0,0,0,0,0,0
SAL20820,0,0,0,18,30,4,10,17,0,78
SAL20821,0,0,0,3,3,0,5,11,0,20
SAL20822,19,6,46,190,337,209,133,252,40,1171
SAL20823,66,15,139,845,1200,560,452,1240,304,4598
SAL20824,0,0,0,0,0,0,0,4,0,10
SAL20825,31,14,108,792,1032,533,307,551,126,3345
SAL20826,0,0,0,11,30,12,5,8,7,69
SAL20827,8,3,22,183,256,127,115,285,153,1124
SAL20828,69,14,106,397,522,219,159,522,140,1953
SAL20829,28,5,63,728,1154,471,259,653,139,3391
SAL20830,73,4,119,1299,1591,476,210,754,277,4609
SAL20831,0,0,0,78,44,6,3,69,3,204
SAL20832,0,0,0,12,15,8,9,7,4,50
SAL20833,4,3,9,130,234,124,80,135,67,773
SAL20834,0,0,0,5,11,10,5,9,3,38
SAL20835,0,0,0,6,0,0,0,0,0,9
SAL20836,36,37,148,428,638,360,258,534,150,2373
SAL20837,0,0,0,21,21,16,15,17,4,95
SAL20838,233,119,527,2337,3339,1523,1167,3243,913,12521
SAL20839,3,0,9,100,135,71,61,102,14,491
SAL20840,5,0,5,62,114,49,40,66,24,359
SAL20841,0,0,3,46,37,18,25,23,19,176
SAL20842,0,0,3,15,31,9,10,12,8,92
SAL20843,3,0,8,203,272,143,117,186,60,973
SAL20844,26,8,55,129,190,108,75,217,88,809
SAL20845,0,0,3,20,25,15,13,8,6,92
SAL20846,3,0,3,9,18,5,5,8,4,47
SAL20847,0,0,3,19,24,8,9,9,11,86
SAL20848,50,11,124,1174,1673,645,389,1008,197,5086
SAL20849,0,0,3,22,63,27,28,20,17,175
SAL20850,29,16,52,110,242,91,83,227,85,844
SAL20851,3,0,0,38,45,21,20,39,29,199
SAL20852,0,0,9,49,105,51,41,50,21,331
SAL20853,0,0,0,5,12,8,8,5,0,35
SAL20854,0,0,0,14,13,5,10,3,9,52
SAL20855,0,0,3,22,16,11,16,19,10,89
SAL20856,0,0,0,0,0,0,0,0,0,0
SAL20857,0,0,0,36,33,30,27,15,17,153
SAL20858,0,0,0,31,23,16,11,38,8,127
SAL20859,19,8,48,527,708,378,274,632,88,2598
SAL20860,0,0,0,37,55,25,16,35,20,189
SAL20861,3,0,8,36,28,19,21,31,38,173
SAL20862,12,10,30,133,150,74,104,162,92,712
SAL20863,7,3,8,93,176,83,72,72,40,541
SAL20864,130,21,256,2319,3108,987,543,1716,359,9038
SAL20865,115,44,276,3330,5022,2522,1380,2599,483,15326
SAL20866,26,4,52,1207,1829,899,510,878,145,5464
SAL20867,60,22,147,3509,4646,1349,614,2204,858,13172
SAL20868,60,13,102,981,1513,781,488,856,183,4795
SAL20869,0,0,0,0,9,3,5,9,4,34
SAL20870,0,0,3,65,111,46,34,32,3,298
SAL20871,204,23,361,3696,4807,2134,1675,6721,1119,20150
SAL20872,4,0,3,75,114,82,57,79,23,438
SAL20873,0,0,0,3,3,3,3,4,0,20
SAL20874,0,0,0,0,0,0,0,0,0,3
SAL20875,6,0,7,30,35,15,24,20,8,135
SAL20876,0,0,0,3,5,7,0,5,3,26
SAL20877,0,3,3,100,181,94,80,93,71,613
SAL20878,204,292,567,4358,5604,2453,2142,9831,2126,26518
SAL20879,12,9,51,821,1055,474,365,907,149,3780
SAL20880,0,0,0,8,21,6,8,8,13,69
SAL20881,0,0,4,19,50,36,17,35,9,167
SAL20882,0,0,0,0,0,0,0,0,0,0
SAL20883,0,0,4,37,56,39,18,39,13,207
SAL20884,0,0,0,0,4,5,3,0,0,10
SAL20885,279,41,533,4239,5397,2175,1272,4195,779,18063
SAL20886,0,0,0,0,5,3,0,3,5,13
SAL20887,57,4,88,583,720,282,188,732,129,2626
SAL20888,20,3,47,285,358,160,110,330,38,1289
SAL20889,32,5,54,342,342,148,133,727,161,1848
SAL20890,0,0,0,12,9,0,8,9,0,39
SAL20891,7,0,11,116,151,56,41,128,39,529
SAL20892,112,22,201,499,803,404,291,761,274,3031
SAL20893,0,0,4,36,52,41,18,26,36,204
SAL20894,0,0,3,20,35,17,20,24,19,124
SAL20895,0,0,0,0,0,0,0,0,0,7
SAL20896,0,0,0,20,54,24,27,25,18,167
SAL20897,0,0,0,29,34,18,20,8,12,126
SAL20898,0,0,0,19,23,16,16,20,10,97
SAL20899,0,0,3,423,636,291,184,421,50,2011
SAL20900,0,0,0,5,11,5,5,8,12,43
SAL20901,59,0,118,1334,1994,695,315,947,250,5532
SAL20902,0,0,5,63,132,80,34,29,8,341
SAL20903,0,0,0,0,0,0,0,4,0,13
SAL20904,0,0,0,22,16,14,12,11,3,76
SAL20905,0,0,0,0,0,0,0,0,0,0
SAL20906,0,0,0,55,72,19,11,75,70,293
SAL20907,0,0,0,39,42,35,21,28,8,171
SAL20908,0,0,0,9,25,7,5,20,0,67
SAL20909,275,40,534,1773,2345,1059,1022,4198,846,11247
SAL20910,0,0,0,5,4,3,0,0,0,24
SAL20911,0,0,0,3,5,0,0,0,6,14
SAL20912,0,0,0,15,34,15,10,4,29,103
SAL20913,0,0,0,34,43,26,17,36,11,158
SAL20914,0,0,0,7,12,4,6,8,0,38
SAL20915,0,0,0,7,5,0,4,0,3,24
SAL20916,0,0,0,0,0,0,0,0,0,0
SAL20917,247,61,520,4838,6581,2840,1885,5549,893,22585
SAL20918,12,4,15,262,407,247,132,160,46,1253
SAL20919,0,0,0,4,0,4,5,0,9,26
SAL20920,0,0,6,111,146,104,67,84,48,566
SAL20921,6,5,13,124,202,132,92,111,55,713
SAL20922,0,0,0,0,0,3,3,6,0,13
SAL20923,0,0,0,0,3,0,0,0,3,12
SAL20924,69,17,135,2487,3129,851,329,1761,804,9362
SAL20925,142,26,294,3060,4104,1289,535,1690,535,11215
SAL20926,0,0,0,18,24,12,16,9,7,89
SAL20927,0,4,6,8,25,11,12,23,10,88
SAL20928,0,0,0,0,0,0,0,0,0,0
SAL20929,74,10,112,1245,1848,554,280,1573,508,6022
SAL20930,11,8,32,187,295,173,115,144,123,1027
SAL20931,67,0,110,748,1024,381,242,730,186,3307
SAL20932,0,0,4,125,171,72,75,142,105,684
SAL20933,0,0,0,29,42,23,28,16,17,154
SAL20934,0,0,0,3,3,6,0,0,4,12
SAL20935,193,71,334,3208,4441,1363,721,4251,1337,15318
SAL20936,0,0,0,30,44,17,12,26,5,136
SAL20937,234,36,456,1778,2375,1177,737,2557,397,9024
SAL20938,4,0,3,68,82,47,35,36,26,289
SAL20939,0,0,4,36,70,37,23,27,33,222
SAL20940,68,11,132,267,470,294,200,395,172,1803
SAL20941,4,0,3,32,49,22,20,15,4,141
SAL20942,0,0,0,6,11,8,16,4,0,44
SAL20943,0,0,0,8,11,5,0,4,0,29
SAL20944,0,0,5,25,29,8,20,21,14,118
SAL20945,0,0,0,8,3,0,0,3,3,24
SAL20946,3,0,3,12,24,15,4,9,0,57
SAL20947,351,179,800,6168,8649,3395,2398,7972,2554,31153
SAL20948,134,12,194,804,1001,439,367,1525,558,4692
SAL20949,324,172,758,3016,4617,2293,1348,3186,757,15212
SAL20950,4,0,11,1184,1490,688,586,2293,291,6535
SAL20951,0,0,0,10,36,13,22,31,5,117
SAL20952,0,0,4,19,30,27,20,18,13,123
SAL20953,0,0,0,0,5,0,3,0,0,5
SAL20954,4,0,9,75,110,62,41,70,19,376
SAL20955,4,0,4,25,68,38,31,31,12,204
SAL20956,0,0,0,23,35,28,21,18,829,948
SAL20957,0,0,0,0,0,0,0,0,3,8
SAL20958,0,0,5,8,11,12,12,7,0,51
SAL20959,0,0,0,4,6,13,0,5,0,35
SAL20960,0,0,4,230,289,126,61,170,34,916
SAL20961,0,0,0,0,0,0,0,0,0,3
SAL20962,0,0,6,10,13,8,5,7,9,43
SAL20963,0,0,0,15,27,12,12,12,7,84
SAL20964,0,0,6,31,40,18,15,23,7,136
SAL20965,9,0,10,218,245,97,53,206,29,842
SAL20966,14,3,31,335,528,214,175,288,130,1672
SAL20967,0,0,0,40,49,26,24,38,24,200
SAL20968,0,0,0,18,23,17,16,14,13,98
SAL20969,0,0,3,34,45,28,31,43,18,193
SAL20970,0,0,0,0,0,0,0,0,0,3
SAL20971,0,0,0,11,10,3,0,0,0,23
SAL20972,0,0,0,5,13,5,4,4,0,35
SAL20973,76,11,153,1163,1537,592,315,1280,323,5212
SAL20974,52,12,98,1298,1965,787,437,1294,303,6085
SAL20975,0,0,0,3,7,4,0,5,0,24
SAL20976,0,0,0,30,60,22,26,34,27,204
SAL20977,0,0,0,3,3,0,3,8,0,19
SAL20978,0,0,0,7,5,5,13,10,3,34
SAL20979,5,3,29,414,594,300,205,306,222,2039
SAL20980,0,0,0,13,7,11,6,6,4,54
SAL20981,0,0,0,0,0,0,0,0,0,0
SAL20982,0,0,0,12,12,16,4,12,4,60
SAL20983,0,0,0,0,0,3,0,3,0,13
SAL20984,0,0,0,5,23,9,4,10,0,52
SAL20985,0,0,0,17,23,7,10,27,9,79
SAL20986,0,0,0,0,0,0,5,5,0,13
SAL20987,0,0,0,0,0,0,0,0,0,0
SAL20988,0,0,0,0,8,3,0,4,3,26
SAL20989,0,0,0,53,111,50,46,44,23,320
SAL20990,6,0,3,19,26,17,11,24,16,115
SAL20991,0,0,0,6,17,13,5,11,5,56
SAL20992,0,0,0,8,19,3,8,12,0,56
SAL20993,0,0,0,9,16,6,9,9,14,63
SAL20994,0,0,0,0,3,3,4,4,0,18
SAL20995,0,0,0,7,8,3,9,16,10,54
SAL20996,0,0,0,4,12,5,6,7,0,36
SAL20997,0,0,0,0,0,0,0,0,0,0
SAL20998,0,0,4,0,5,3,0,0,8,25
SAL20999,0,7,11,72,108,55,54,116,52,461
SAL21000,0,0,0,17,30,10,17,20,15,112
SAL21001,48,60,159,1689,2426,1223,830,1275,343,7785
SAL21002,4,7,14,146,203,118,95,98,48,713
SAL21003,0,0,0,5,5,4,6,8,0,18
SAL21004,101,20,192,1204,1580,726,626,2323,352,6812
SAL21005,4,0,4,67,113,52,44,42,38,360
SAL21006,0,0,0,23,46,26,17,15,14,144
SAL21007,0,0,0,4,10,11,3,15,3,50
SAL21008,0,0,0,17,33,16,17,12,11,110
SAL21009,26,8,63,893,1294,446,211,1162,272,4277
SAL21010,267,30,548,5340,7101,2945,1622,3927,679,21616
SAL21011,4,0,4,16,20,18,13,18,6,89
SAL21012,0,0,0,5,3,5,5,4,3,23
SAL21013,646,176,1396,6999,8773,4620,3104,10487,1592,35558
SAL21014,0,0,0,0,4,0,0,0,0,4
SAL21015,0,0,0,0,12,7,4,0,5,24
SAL21016,0,0,0,7,8,6,6,5,5,45
SAL21017,0,0,0,8,4,0,0,0,0,16
SAL21018,0,0,0,32,50,26,23,25,15,172
SAL21019,0,0,0,6,9,7,0,9,0,27
SAL21020,6,0,14,68,89,52,33,85,49,376
SAL21021,0,0,0,7,16,4,10,3,4,34
SAL21022,0,0,0,0,3,0,3,3,0,11
SAL21023,0,0,0,0,0,0,0,0,0,0
SAL21024,0,0,4,17,26,17,15,17,13,103
SAL21025,4,7,9,182,269,119,127,127,61,890
SAL21026,0,0,0,35,54,31,24,24,11,175
SAL21027,0,0,0,24,29,17,23,28,12,130
