SAL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SAL22175,147,125,269,362,348,714,52,62,114,56,45,98,472,461,931,239,199,438,58,50,107,83,74,159,384,327,708,19,24,45,24,27,56,45,16,66,44,72,114,0,0,0,131,145,272,79,117,203,42,52,91,16,14,30,43,96,135,0,0,0,183,283,463,316,428,741,25,19,45,31,49,79,0,6,6,52,67,121,169,166,332,1539,1573,3112
SAL22176,139,97,230,328,293,619,76,92,172,60,47,109,466,431,902,220,178,392,119,104,225,125,92,222,467,369,836,12,12,27,5,13,27,44,8,56,28,56,86,0,0,0,98,90,192,129,146,279,26,42,68,18,20,37,35,70,109,0,0,0,211,281,488,307,372,684,20,5,21,30,44,76,0,0,0,48,49,98,99,96,192,1526,1415,2945
SAL22177,3,3,11,11,8,16,0,3,3,3,0,5,12,13,27,5,3,11,3,0,3,0,0,4,11,5,18,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,3,8,3,0,0,3,0,0,0,0,0,0,0,7,7,0,0,0,0,8,11,8,12,20,4,0,4,0,0,0,0,0,0,6,0,6,13,10,21,55,40,94
SAL22178,10,7,18,15,9,20,8,16,26,12,17,28,34,43,76,7,13,18,8,19,23,17,9,26,27,41,67,0,5,3,0,0,0,0,3,5,5,4,9,0,0,0,9,13,18,5,15,17,0,3,5,0,0,0,8,7,20,0,0,0,15,29,42,22,39,63,0,0,0,0,0,7,0,0,0,0,0,7,16,8,26,112,136,250
SAL22179,13,24,38,39,34,74,4,6,4,18,22,44,68,62,120,11,24,32,0,4,4,15,27,38,25,48,74,3,5,6,6,4,12,0,0,0,4,18,24,0,0,0,13,22,43,17,33,49,10,10,19,5,7,19,17,15,35,0,0,0,44,76,122,62,102,160,6,0,6,4,7,11,0,0,5,7,11,21,31,23,57,206,268,472
SAL22180,4,4,4,7,6,21,4,5,6,0,0,0,12,13,31,12,7,17,0,3,3,0,0,0,17,6,26,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,9,0,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,10,9,15,50,35,89
SAL22181,0,0,0,6,10,15,4,0,4,0,0,10,15,14,23,4,0,3,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,28,28,57
SAL22182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,6,6,8
SAL22183,36,32,75,51,60,109,57,67,128,3,5,5,113,134,247,75,59,133,24,29,49,5,3,8,99,93,194,0,8,8,4,7,15,7,3,9,4,10,19,0,0,4,13,25,42,8,9,11,5,13,16,0,4,4,3,5,12,0,0,0,10,23,39,30,50,81,0,4,3,7,9,18,0,0,0,9,15,18,250,228,477,537,552,1089
SAL22184,26,21,45,65,64,129,29,48,81,0,0,4,100,107,208,66,72,139,12,8,18,3,7,10,76,89,167,0,0,0,0,4,11,19,4,26,9,12,25,0,0,0,31,28,57,5,9,15,3,6,8,3,0,8,4,7,11,0,0,0,10,25,37,42,54,98,0,0,0,7,4,7,0,0,0,7,8,11,121,104,222,373,380,746
