SAL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SAL20454,0,4,3,0,3,6,0,0,0,0,0,0,0,0,0,46,49,97,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,11,7,18,5,0,3,0,0,0,69,69,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,63,120,3,0,3,0,0,0,65,66,128,6,4,15,145,141,292
SAL20455,38,44,81,29,17,47,25,22,48,0,9,7,0,0,0,735,747,1484,0,0,0,166,166,332,5,7,20,0,0,0,0,0,0,8,11,19,0,4,4,5,5,9,12,7,14,4,3,3,0,0,0,16,7,31,50,28,85,0,0,0,1057,1039,2093,43,36,83,968,940,1909,0,0,0,0,0,0,10,6,10,8,4,19,18,12,27,228,155,389,5,0,4,5,3,6,239,157,397,231,166,393,2584,2394,4977
SAL20456,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,10,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,9,10,21
SAL20457,8,11,23,47,80,126,0,0,0,10,13,21,22,21,37,66,75,139,0,3,5,9,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,12,29,6,12,27,5,5,11,0,0,0,26,41,67,27,21,47,0,0,0,238,299,534,4,0,4,7,4,8,0,7,7,0,0,0,0,0,0,5,10,16,8,10,18,644,686,1333,6,6,11,0,8,7,653,701,1353,56,71,127,967,1103,2071
SAL20458,0,0,0,4,8,9,0,0,0,0,0,0,0,0,0,5,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,17,0,0,0,0,0,0,15,5,17,0,0,0,25,25,50
SAL20459,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,26,0,0,0,0,0,0,12,12,26,0,3,4,30,24,51
SAL20460,8,3,13,141,185,327,0,0,0,12,14,26,0,0,0,422,497,923,0,0,4,0,7,5,13,13,21,0,0,0,6,10,20,3,0,6,0,0,0,11,10,17,49,47,93,3,0,0,3,0,3,145,198,345,17,18,36,0,0,0,821,1012,1836,3,4,6,4,6,7,0,4,4,0,0,0,4,0,5,0,0,4,7,8,10,651,564,1217,6,4,4,0,0,0,654,575,1228,128,123,251,1629,1728,3354
SAL20461,22,23,46,114,131,243,0,0,0,14,9,20,15,7,16,391,497,894,18,21,36,11,14,17,7,12,17,0,0,0,8,9,18,0,0,0,0,4,6,6,16,24,17,39,57,6,4,9,4,0,5,69,119,187,25,34,61,0,3,7,709,909,1618,38,28,67,27,26,51,0,0,0,0,0,0,25,18,43,4,10,11,29,33,58,1005,947,1952,8,7,13,0,11,8,1014,961,1972,139,143,289,1972,2121,4098
SAL20462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL20463,0,0,0,6,5,4,0,0,0,0,0,0,0,0,0,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,0,0,0,0,0,0,0,0,0,10,10,14,0,0,0,0,0,0,22,15,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,0,0,0,0,0,0,5,7,13,23,15,27,46,40,82
SAL20464,0,0,0,7,13,20,0,0,0,0,0,0,0,0,0,15,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,3,0,0,0,5,0,4,6,0,3,0,0,0,35,38,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,43,97,0,0,0,0,0,0,51,43,99,18,12,34,102,95,197
SAL20465,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,16
SAL20466,0,7,7,35,30,65,0,0,0,4,5,7,0,0,0,38,44,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,9,7,17,0,0,3,0,0,0,5,7,15,3,5,12,0,0,0,102,116,212,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,5,3,198,163,363,5,0,5,0,3,8,206,166,371,30,21,52,348,305,650
SAL20467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,7,9,0,0,0,0,0,0,12,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,18,0,0,0,0,0,0,15,4,18,0,0,0,22,20,45
SAL20468,90,143,228,350,462,814,0,0,0,73,83,156,0,0,0,672,769,1442,0,5,4,98,111,211,0,3,6,0,3,3,14,14,28,4,3,4,12,8,21,9,11,23,69,76,144,3,4,11,0,0,0,111,159,273,86,124,210,6,0,5,1516,1848,3366,77,95,175,28,32,57,27,19,48,0,0,0,4,5,16,15,4,19,19,14,34,1739,1742,3482,17,12,30,4,9,17,1762,1769,3527,171,197,361,3690,4108,7800
SAL20469,0,0,0,3,5,12,0,0,0,0,0,0,0,0,0,12,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,4,5,5,4,0,3,0,0,0,30,27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,38,77,0,0,0,0,0,0,42,38,79,6,3,8,81,67,151
SAL20470,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,12,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,10,12,0,0,0,0,0,0,35,30,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,72,0,0,0,0,0,0,32,35,72,5,6,13,71,72,148
SAL20471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SAL20472,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,0,0,0,0,0,0,10,7,17,4,4,6,17,17,34
SAL20473,0,5,4,40,45,87,0,0,0,4,4,7,0,0,0,86,97,187,0,4,3,3,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,3,9,14,12,23,0,3,3,0,0,0,12,30,40,12,14,21,0,0,0,172,215,384,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,332,315,652,3,3,11,0,0,0,338,325,664,28,25,54,541,566,1111
SAL20474,3,3,8,30,42,73,0,0,0,6,3,5,0,0,0,53,36,88,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,10,7,0,0,0,0,0,0,5,10,14,3,7,10,0,0,0,103,117,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,137,144,281,0,0,0,0,3,3,137,145,284,29,30,59,277,291,569
SAL20475,11,11,21,85,109,192,0,0,0,11,13,28,0,0,0,133,154,292,0,0,0,12,11,20,0,5,5,0,0,0,4,7,7,0,0,0,0,4,5,3,6,8,8,9,22,0,0,0,3,3,5,19,26,43,19,27,49,0,0,0,310,371,677,0,0,0,0,0,3,0,3,7,3,0,3,0,0,0,5,3,0,7,3,9,632,634,1264,7,3,11,0,3,4,639,646,1281,150,163,306,1115,1186,2301
SAL20476,22,27,44,292,445,736,0,0,0,29,42,72,0,0,0,427,512,931,10,10,19,36,42,81,15,15,32,0,4,5,7,10,24,0,0,0,6,16,22,4,6,10,61,81,135,5,21,27,0,0,4,71,118,191,30,41,71,0,4,7,991,1378,2371,9,4,13,0,4,9,4,0,4,0,0,0,5,0,6,0,8,5,7,9,11,1137,1123,2258,17,12,23,0,10,12,1149,1142,2291,240,260,501,2419,2824,5246
SAL20477,0,0,0,0,0,4,0,0,0,0,6,6,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,9,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,17,0,0,0,0,0,0,11,5,17,15,10,22,27,22,54
SAL20478,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,8,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,32,0,0,0,0,0,0,13,17,32,0,3,5,35,31,61
SAL20479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20480,0,0,0,14,21,39,0,0,0,0,4,0,0,0,0,23,26,50,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,13,9,20,0,0,0,0,0,0,61,67,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,43,105,0,0,0,0,0,0,55,43,105,6,12,20,133,125,256
SAL20481,0,0,0,8,3,10,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,4,0,0,0,15,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,30,0,0,0,0,0,0,14,18,28,0,0,0,30,30,60
SAL20482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,28,0,0,0,0,0,0,22,11,28,0,0,0,26,16,40
SAL20483,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,8,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,13,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,28,0,0,0,0,0,0,19,13,33,0,0,0,33,33,67
SAL20484,0,0,0,7,3,4,0,0,0,0,0,0,0,0,0,12,9,14,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,14,0,0,0,23,21,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,55,0,0,0,0,0,0,19,35,55,4,3,3,49,53,97
SAL20485,0,0,0,47,43,88,0,0,0,7,4,10,17,16,31,167,165,334,5,6,10,6,4,6,0,0,0,0,0,0,3,3,7,3,0,3,0,0,3,3,4,9,16,14,27,0,0,0,0,0,0,33,34,71,8,3,9,0,0,0,310,312,616,10,3,13,0,9,5,0,0,0,0,0,0,3,0,7,0,0,0,3,0,7,217,177,390,0,0,4,0,0,0,216,179,396,19,14,29,552,509,1064
SAL20486,4,5,5,21,27,50,0,0,0,4,0,0,0,0,0,127,118,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,8,18,0,0,0,0,0,0,19,22,42,10,14,21,0,0,0,190,189,385,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,261,492,0,0,0,0,0,0,229,268,492,33,38,69,460,495,957
SAL20487,0,8,6,14,20,31,0,0,0,0,0,0,0,0,0,31,27,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,8,4,17,0,0,0,0,0,0,0,3,6,3,6,12,0,0,0,66,68,134,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,74,164,0,0,0,0,0,0,93,74,164,15,11,32,186,155,342
SAL20488,9,5,17,32,42,71,0,0,0,4,0,8,0,0,0,90,77,168,0,0,0,6,5,9,3,4,9,0,0,0,9,9,15,0,0,0,0,0,0,14,6,18,4,3,7,0,3,7,3,4,9,11,18,32,11,6,20,4,3,7,194,185,378,0,0,0,10,8,12,0,0,0,0,0,0,0,0,7,0,5,5,0,7,5,188,181,364,0,0,0,0,0,0,184,181,363,45,24,67,442,400,847
SAL20489,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,27,0,0,0,0,0,0,12,12,27,7,5,11,19,19,38
SAL20490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,16,0,0,0,0,0,0,11,4,16,0,0,0,17,9,26
SAL20491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,3,5,9,4,0,4,9,3,16
SAL20492,3,0,3,102,89,195,0,0,0,0,3,4,0,0,0,85,94,179,3,0,0,5,0,9,0,0,3,3,0,5,0,3,5,0,0,0,0,0,0,0,3,7,27,18,47,0,0,0,0,0,0,32,50,79,0,4,12,0,0,0,272,272,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,286,275,559,0,0,0,0,3,3,289,276,561,45,39,79,608,585,1192
SAL20493,0,0,0,3,9,7,0,0,0,0,0,0,0,0,0,13,8,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,23,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,58,104,0,0,0,0,0,0,52,58,104,10,8,22,80,86,168
SAL20494,0,0,0,20,23,52,0,0,0,0,5,5,0,0,0,36,37,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,11,14,0,0,0,0,0,0,8,3,14,4,3,8,0,0,0,80,86,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,93,177,0,0,0,0,0,0,85,93,182,15,20,37,181,206,382
SAL20495,422,549,968,179,206,385,0,0,0,48,46,90,0,4,9,844,987,1826,5,9,6,91,104,191,8,5,14,4,6,11,11,11,28,27,18,45,26,35,60,29,48,83,58,41,93,0,3,6,4,6,7,58,59,119,135,183,316,8,8,11,1517,1783,3301,418,314,730,558,585,1141,40,35,73,0,0,0,17,20,34,36,38,69,49,53,105,4096,4180,8277,59,48,101,16,17,33,4167,4242,8411,689,640,1327,7857,8193,16055
SAL20496,27,40,65,107,120,232,0,0,0,5,6,14,0,0,0,411,543,953,0,0,0,69,95,163,0,0,0,0,0,0,3,9,11,0,6,4,12,9,18,6,3,16,15,14,32,0,0,0,0,0,0,35,43,74,26,35,59,0,0,0,697,881,1576,29,18,40,37,28,66,27,31,61,0,0,0,5,3,5,8,9,23,13,14,27,1904,2049,3952,36,29,62,5,19,24,1944,2092,4037,158,144,304,2929,3251,6177
SAL20497,0,0,0,9,3,12,0,0,0,0,0,0,0,0,4,10,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,0,3,4,0,3,0,0,0,30,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,21,0,0,0,0,0,0,10,15,21,7,4,5,40,39,82
SAL20498,215,322,540,388,448,833,0,0,0,45,58,101,0,0,0,1308,1569,2876,8,6,15,484,531,1014,26,24,51,4,0,3,14,18,25,14,13,32,24,24,50,32,50,78,56,73,131,0,3,3,5,10,14,82,153,237,114,160,273,8,4,17,2607,3156,5765,904,768,1668,115,96,208,502,604,1107,0,0,0,30,20,48,39,43,83,69,60,134,3737,3678,7413,49,35,84,17,23,32,3799,3733,7535,481,482,958,8693,9217,17909
SAL20499,0,0,0,0,3,7,0,0,0,3,0,4,0,0,0,22,21,44,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,5,4,15,0,0,0,0,0,0,36,37,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,50,87,0,0,0,0,0,0,42,50,87,0,0,5,80,90,171
SAL20500,504,596,1096,322,390,716,5,4,8,105,121,220,0,0,0,3795,4079,7873,12,5,14,706,683,1386,58,68,130,32,35,62,9,13,26,234,264,507,85,85,171,215,218,432,58,72,131,4,6,5,22,35,55,93,125,221,565,646,1212,3,3,6,6333,6845,13173,561,566,1128,972,914,1886,3,8,10,0,0,0,343,296,639,31,35,59,364,328,695,2672,2478,5148,17,12,31,11,17,27,2697,2511,5206,659,641,1297,12092,12394,24488
SAL20501,0,0,0,8,3,14,0,0,0,0,0,0,0,0,0,10,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,24,21,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,43,0,0,0,0,3,3,27,17,47,8,13,18,62,51,115
SAL20502,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,14,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,37,72,0,0,0,0,0,0,37,35,72,4,3,6,53,46,100
SAL20503,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,7,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,18,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,70,0,0,0,0,0,0,39,29,70,5,4,14,65,57,129
SAL20504,0,0,5,4,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,25,0,0,0,0,0,0,8,14,25,0,4,3,23,24,42
SAL20505,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,15,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,13,0,0,0,0,0,0,10,6,13,0,0,4,20,19,43
SAL20506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,9,18
SAL20507,23,33,65,127,185,312,3,3,9,19,12,28,0,0,0,381,453,838,0,3,5,39,77,111,4,7,12,0,0,0,3,7,6,0,0,0,4,4,7,5,4,18,20,34,57,0,0,3,0,0,0,39,52,97,33,44,75,0,3,9,692,890,1580,9,16,28,12,12,22,4,7,12,0,0,0,4,0,6,6,4,12,12,8,15,1109,1107,2214,3,0,6,3,10,12,1115,1115,2237,135,138,277,2009,2228,4239
SAL20508,181,254,436,669,892,1567,0,0,0,90,116,209,0,0,0,1893,2148,4043,6,15,26,288,278,566,31,45,81,43,58,96,22,22,48,23,16,38,31,56,81,83,125,210,143,186,328,14,15,28,40,46,82,109,184,298,253,343,593,10,8,23,3779,4550,8326,316,305,624,193,160,355,20,32,56,0,0,0,74,64,134,41,70,116,116,131,249,5346,5067,10413,44,36,70,9,26,36,5400,5125,10523,718,700,1416,10727,11259,21976
SAL20509,0,0,0,4,6,11,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,33,0,0,0,0,0,0,17,17,33,6,9,18,33,36,68
SAL20510,0,0,0,12,8,26,0,0,0,0,0,3,0,0,0,12,8,19,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,0,0,0,0,0,0,0,0,0,8,10,17,0,0,0,0,0,0,5,4,9,5,4,16,0,0,0,51,50,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,79,0,0,0,0,0,0,41,41,79,9,12,22,102,93,197
SAL20511,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,0,0,0,0,0,0,9,9,10,0,3,3,16,7,21
