SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL22660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
SAL22661,23,41,38,23,75,58,18,23,3,298,8,23,28,25,106,78,23,42,69,390,351,876,774,570,1724,1627,446,761,160,7300
SAL22662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19
SAL22663,5,13,3,8,4,0,0,10,0,39,0,3,0,0,3,6,0,3,13,36,44,149,80,66,73,135,31,88,25,698
SAL22664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,5,0,20
SAL22665,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,7,6,20,13,16,23,28,4,15,0,129
SAL22666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,12,13,18,15,8,19,3,94
SAL22667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,7,3,0,4,3,0,51
SAL22668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,6,6,5,5,13,7,22,3,82
SAL22669,6,6,4,3,0,7,5,0,0,33,7,7,7,3,8,4,0,3,5,42,64,237,181,77,199,236,64,151,15,1220
SAL22670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,3,8,6,4,36
SAL22671,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,27,41,30,28,28,29,10,24,3,223
SAL22672,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,4,9,30,34,12,33,54,5,46,6,235
SAL22673,10,18,11,7,15,12,6,14,0,82,0,8,10,0,17,25,0,7,8,74,86,273,195,165,319,354,101,194,23,1701
SAL22674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,6,5,0,10,0,28
SAL22675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,5,7,5,9,7,22,0,62
SAL22676,0,6,11,3,8,10,4,4,0,49,0,0,3,0,5,3,5,9,5,33,41,111,83,57,133,145,32,110,12,723
SAL22677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22678,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,9,24,18,4,14,14,5,20,3,111
SAL22679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
SAL22680,24,51,29,18,75,78,18,28,0,325,11,33,31,16,72,69,15,33,58,343,459,1291,1032,870,1896,1625,432,831,135,8563
SAL22681,0,0,0,0,3,5,0,0,0,9,0,4,0,0,0,0,0,0,3,13,15,39,42,29,37,56,17,28,12,274
SAL22682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7
SAL22683,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,10,26,9,18,15,24,3,26,0,135
SAL22684,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,3,5,12,4,10,4,56
SAL22685,23,43,34,31,52,37,15,17,0,253,10,29,28,17,78,46,13,21,52,306,296,1015,842,550,1583,1441,357,539,104,6713
SAL22686,21,55,55,25,72,79,25,25,11,359,20,53,47,27,107,103,19,30,75,479,423,1570,1149,771,2382,2373,524,899,155,10239
SAL22687,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,6,21,17,11,28,29,6,20,0,135
SAL22688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,5,0,3,0,26
SAL22689,4,3,4,4,3,4,4,0,0,27,4,12,6,5,5,10,0,5,6,60,64,146,107,82,144,128,37,78,13,796
SAL22690,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,6,9,8,0,3,0,27
SAL22691,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,9,0,3,3,0,9,0,34
SAL22692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8
SAL22693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,15,7,6,16,13,3,21,0,75
SAL22694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9
SAL22695,0,0,5,0,4,0,0,0,0,8,0,3,4,0,0,5,0,5,3,23,12,41,39,28,69,62,13,37,4,299
SAL22696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,8,0,21
SAL22697,5,5,6,0,8,10,4,3,0,40,0,3,0,0,3,7,0,5,15,32,68,135,122,83,170,204,46,104,31,960
SAL22698,29,64,51,44,84,77,29,59,0,443,20,39,20,13,54,66,20,28,54,304,517,1409,1067,809,1806,1795,529,1178,128,9225
