SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL20704,11,24,0,0,0,0,0,0,4,9,4,9,0,3,0,0,3,5,5,10,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,3,4,0,0,20,45
SAL20705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20706,106,213,0,4,4,34,3,8,57,217,68,259,3,11,6,11,18,44,21,72,87,332,0,0,0,0,6,15,22,56,26,73,0,0,0,3,12,23,14,30,37,98,0,6,236,650
SAL20707,2034,4187,110,700,316,1635,74,365,1879,7536,2377,10237,139,646,179,659,494,1675,815,2977,3193,13217,33,165,72,303,33,118,445,1182,575,1766,74,289,140,324,564,1304,786,1922,1357,3685,189,427,6771,21509
SAL20708,1830,3710,69,418,284,1365,75,361,1349,5272,1778,7420,182,799,238,852,642,2115,1057,3765,2832,11187,18,89,79,316,28,107,294,799,419,1310,67,227,103,252,527,1203,697,1686,1122,2999,108,225,5890,18121
SAL20709,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,5,0,0,14,41
SAL20710,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL20711,18,32,0,0,0,0,0,5,7,27,9,30,0,0,0,0,0,4,0,4,8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,75
SAL20712,875,1752,22,112,127,571,39,185,651,2558,837,3426,64,273,80,289,274,893,417,1465,1258,4885,10,44,44,150,22,78,157,451,233,723,25,78,35,68,132,288,188,439,418,1162,30,65,2578,7869
SAL20713,0,11,0,0,0,0,0,0,5,18,5,18,0,0,0,0,0,4,0,7,4,23,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,7,0,7,0,5,0,0,14,39
SAL20714,13,29,0,0,0,6,0,0,4,8,3,14,0,0,0,0,0,6,0,6,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,7,3,4,9,0,0,25,49
SAL20715,75,155,3,12,14,73,4,24,43,171,62,276,3,19,10,30,22,75,42,130,101,406,0,0,5,12,0,0,8,17,7,30,0,4,0,9,16,33,19,43,28,75,3,12,212,641
SAL20716,51,110,0,8,4,24,0,5,16,80,29,117,4,15,8,14,8,27,14,60,43,178,0,0,0,0,0,4,6,14,6,14,0,0,0,3,4,3,4,7,13,26,0,0,109,306
SAL20717,4,4,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
SAL20718,53,113,0,0,0,0,0,0,19,58,19,58,0,4,0,0,7,22,9,37,23,89,0,0,0,3,0,3,0,0,3,10,0,5,0,0,4,8,0,12,4,22,0,0,88,223
SAL20719,20,35,0,0,0,11,0,0,3,11,0,19,0,0,0,3,0,0,0,3,3,25,0,0,0,0,0,5,0,0,3,5,0,0,0,0,0,0,0,0,3,5,0,0,22,62
SAL20720,7,18,0,6,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26
SAL20721,407,803,4,24,9,48,0,12,105,386,118,459,3,13,14,48,38,108,59,173,172,636,0,0,7,20,6,25,51,128,66,184,0,6,16,25,48,99,62,129,129,313,4,10,714,1764
SAL20722,16,29,0,0,3,14,0,5,10,44,12,62,0,3,0,0,4,14,3,18,17,86,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,4,5,0,0,36,117
SAL20723,44,93,0,0,4,15,0,0,20,76,23,93,0,3,0,10,8,16,5,31,33,123,0,0,4,16,0,0,3,10,10,27,0,4,0,5,3,12,8,16,12,45,0,4,92,258
SAL20724,43,91,0,17,15,64,0,3,62,252,79,333,4,19,6,22,6,31,22,78,98,418,0,0,4,5,0,0,16,48,23,56,0,9,0,3,7,15,8,28,32,80,4,8,173,599
SAL20725,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
SAL20726,32,59,0,0,3,9,3,16,14,47,18,68,0,0,0,0,8,24,8,24,24,95,0,0,0,0,0,0,7,3,7,3,0,0,0,0,4,5,4,5,9,12,0,0,62,167
SAL20727,37,67,0,7,0,7,0,0,13,47,14,64,0,4,3,9,3,10,8,20,18,86,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13,3,17,8,14,0,0,61,167
SAL20728,231,460,0,5,41,167,0,11,112,441,156,617,19,94,51,183,44,120,114,399,267,1014,0,0,7,28,0,0,14,40,25,67,0,12,15,41,22,50,45,108,67,177,15,28,575,1679
SAL20729,1377,2852,59,375,183,899,66,329,1230,4889,1532,6494,108,476,130,474,453,1492,688,2440,2225,8932,15,84,75,294,24,104,298,876,421,1365,46,165,84,195,422,1000,553,1361,977,2725,123,267,4702,14773
SAL20730,568,1138,5,49,48,235,17,66,281,1065,352,1413,21,96,41,131,107,336,167,564,523,1975,6,36,26,96,21,65,130,373,182,568,6,28,33,75,119,281,164,383,345,949,27,54,1459,4119
SAL20731,643,1331,23,144,76,369,21,86,423,1660,542,2255,79,340,112,387,331,1133,515,1853,1058,4110,10,63,34,117,20,74,126,358,189,615,31,124,49,117,195,459,275,691,466,1309,29,72,2202,6821
SAL20732,0,8,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15
SAL20733,5,8,0,0,0,0,0,8,0,6,4,14,0,0,0,0,0,4,0,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,14,31
SAL20734,3,4,0,11,0,0,0,0,0,3,4,17,0,0,0,0,4,10,4,10,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30
SAL20735,7,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,18
SAL20736,43,86,4,20,8,34,4,21,28,122,43,192,0,8,0,4,7,38,16,47,59,241,0,0,0,0,0,5,0,10,3,14,0,0,0,0,9,11,8,17,7,27,0,0,113,365
SAL20737,177,349,4,28,26,128,5,33,134,534,177,723,14,67,17,64,45,144,78,279,251,997,0,10,7,24,3,11,53,132,62,176,0,0,0,0,38,88,35,91,105,271,12,19,549,1633
SAL20738,25,51,0,0,0,0,0,0,7,30,9,31,4,5,0,0,3,10,4,19,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,4,13,6,19,0,0,43,113
SAL20739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20740,4,10,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13
SAL20741,79,161,3,17,7,18,3,10,30,131,42,171,0,9,6,12,17,52,21,73,64,251,0,0,5,10,0,0,11,32,19,44,0,0,0,0,10,21,11,26,25,69,0,3,172,480
SAL20742,11,25,0,0,0,6,0,0,5,9,0,17,0,0,0,5,0,0,0,5,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47
SAL20743,410,846,29,198,181,891,34,158,856,3447,1100,4703,56,243,112,395,157,536,325,1171,1421,5875,8,45,29,116,9,34,138,380,180,581,26,92,30,65,99,248,149,406,327,987,20,57,2180,7765
SAL20744,24,44,0,0,0,0,0,0,5,15,5,15,0,0,0,9,0,0,3,14,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,8,3,8,0,0,31,82
SAL20745,57,112,0,0,0,11,0,3,19,80,19,97,0,0,6,16,3,11,9,28,30,128,0,0,0,0,0,0,8,8,8,8,0,0,0,0,3,11,3,11,11,19,0,7,101,262
SAL20746,32,61,0,0,0,0,0,0,9,45,9,45,0,3,3,13,3,24,13,38,23,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,9,3,7,0,0,54,150
SAL20747,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,8
SAL20748,169,338,6,30,8,38,9,60,92,387,119,511,17,73,11,29,60,188,82,286,205,799,0,3,0,7,0,0,19,42,21,45,6,11,0,0,29,66,32,77,48,126,3,4,421,1264
SAL20749,65,134,0,0,3,11,0,9,16,60,19,78,4,7,0,5,14,38,16,51,36,133,0,0,0,5,0,0,4,8,4,11,0,0,0,0,0,0,0,0,4,11,0,0,106,274
SAL20750,25,47,0,0,0,0,0,0,14,45,14,45,0,0,0,6,0,7,5,23,20,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,9,5,10,0,3,47,121
SAL20751,17,38,0,0,0,12,0,7,10,41,10,54,0,3,3,7,12,35,13,46,28,103,0,0,0,0,0,0,3,10,3,10,0,0,0,0,7,8,3,12,7,21,0,0,54,162
SAL20752,1123,2255,32,204,193,868,31,143,932,3654,1194,4870,165,719,197,715,424,1415,786,2845,1983,7715,7,20,30,103,12,30,118,304,168,456,47,145,53,118,191,434,289,695,457,1146,24,59,3588,11173
SAL20753,17,36,0,8,0,0,0,0,0,8,0,21,0,0,0,5,3,12,5,19,11,36,0,0,0,7,0,3,5,16,3,22,0,0,0,0,3,4,3,4,8,28,0,0,32,97
SAL20754,597,1207,8,47,43,202,19,86,508,1899,571,2230,25,96,35,125,117,396,183,616,753,2848,6,15,14,51,4,28,95,247,118,343,11,31,17,33,89,198,114,264,231,607,27,58,1608,4724
SAL20755,11,28,0,0,0,0,0,0,0,8,0,8,0,0,0,0,5,3,5,6,3,20,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,8,8,7,6,14,0,0,27,54
SAL20756,233,470,0,9,19,91,8,29,64,237,86,362,4,25,7,22,31,101,46,145,132,504,0,9,3,14,0,3,27,73,35,102,4,4,5,13,23,42,32,59,66,162,3,14,437,1155
SAL20757,26,50,5,12,0,0,0,5,9,42,16,58,0,5,5,7,5,14,9,25,21,80,0,0,0,7,0,0,0,4,0,9,0,0,0,3,4,13,8,13,6,24,0,0,54,153
SAL20758,1062,2139,20,105,164,738,30,128,694,2736,910,3706,116,495,151,547,354,1155,622,2199,1534,5906,3,25,30,91,8,28,94,240,131,383,27,89,41,95,189,418,259,603,390,985,35,65,3023,9105
SAL20759,16,33,0,0,0,15,0,0,7,26,8,44,0,0,0,3,0,4,0,3,12,46,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,3,6,0,0,34,86
SAL20760,13,28,0,0,0,3,0,0,6,16,7,16,0,3,3,3,0,5,3,14,9,31,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,6,0,0,22,60
SAL20761,16,36,0,4,6,22,0,0,11,33,11,56,3,10,5,11,0,3,9,28,18,82,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,7,3,7,0,3,47,130
SAL20762,51,103,0,0,8,22,0,0,18,63,18,82,4,10,4,15,12,32,17,59,37,143,0,0,0,0,0,0,6,7,6,7,0,0,0,0,0,4,4,7,6,15,4,3,100,272
SAL20763,4,12,0,0,0,7,0,0,4,14,5,16,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30
SAL20764,14,26,0,0,0,0,0,8,3,14,8,22,0,0,3,6,0,10,7,18,14,39,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,3,9,0,3,26,77
SAL20765,8,15,0,0,0,9,0,0,3,15,3,20,0,6,5,7,0,3,0,17,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,51
SAL20766,2535,5036,0,3,24,109,3,5,749,2481,780,2601,10,55,58,179,86,261,159,495,939,3101,0,0,11,29,0,5,109,216,120,251,14,32,60,139,91,188,170,357,286,613,139,280,3899,9024
SAL20767,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL20768,5,12,0,0,0,0,0,0,6,12,6,12,0,0,0,0,0,6,0,6,8,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,12,34
SAL20769,68,134,7,26,7,27,0,3,34,145,48,196,3,15,8,19,17,63,26,96,74,290,0,4,3,7,0,0,10,31,16,45,0,0,0,0,3,11,7,11,22,59,4,3,166,488
SAL20770,186,367,5,12,15,56,6,23,56,251,82,344,3,14,17,50,30,83,46,152,126,489,0,6,5,8,5,12,23,61,29,87,0,3,0,0,22,43,24,53,55,134,8,17,365,1005
SAL20771,2959,5966,20,111,245,1096,36,167,1483,5503,1789,6880,172,738,351,1245,632,2059,1156,4040,2946,10916,9,38,68,217,13,39,336,827,426,1124,66,220,203,462,423,925,695,1609,1116,2732,159,336,7181,19946
SAL20772,3008,6062,32,161,427,1912,39,176,2404,9192,2897,11440,259,1116,503,1782,907,2968,1674,5864,4569,17306,8,36,87,283,23,78,343,847,456,1245,75,241,192,439,501,1125,761,1808,1223,3051,125,261,8920,26680
SAL20773,206,425,0,6,20,101,0,11,247,942,274,1049,3,8,7,31,18,66,34,110,308,1162,0,0,5,15,4,13,20,58,26,76,3,11,5,4,12,26,19,45,47,125,8,13,562,1720
SAL20774,1242,2487,22,112,180,804,16,74,825,3210,1042,4204,130,565,262,952,382,1258,772,2775,1818,6979,6,18,42,134,12,25,115,291,174,466,27,102,51,125,155,349,237,572,413,1042,21,39,3484,10547
SAL20775,8,9,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
SAL20776,42,79,0,0,0,7,0,0,11,57,14,65,3,6,3,11,7,26,17,50,29,111,0,0,0,4,0,0,5,4,6,10,0,0,0,0,3,3,3,3,8,17,0,0,82,213
SAL20777,48,94,0,0,5,14,0,12,20,68,22,92,0,0,0,15,6,18,10,31,30,123,0,5,0,6,0,0,5,24,11,40,0,0,0,0,0,6,0,6,20,45,0,4,96,266
SAL20778,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
SAL20779,1935,3906,59,326,485,2252,88,402,2716,10662,3345,13640,211,910,259,929,488,1612,960,3451,4305,17088,25,80,134,431,42,157,478,1293,674,1956,72,227,124,288,357,807,556,1315,1228,3269,67,137,7542,24404
SAL20780,4,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,3,17
SAL20781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20782,8,22,0,0,0,9,0,0,5,22,12,31,0,0,0,0,0,4,0,4,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,56
SAL20783,590,1199,36,249,107,577,34,158,558,2195,737,3184,48,226,54,195,169,556,273,969,1007,4154,11,62,40,137,19,80,169,466,237,752,17,47,33,66,237,555,283,674,522,1423,70,148,2188,6927
SAL20784,11,19,0,0,0,10,0,0,5,16,4,27,0,3,0,0,0,6,5,8,9,34,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,0,6,0,9,0,0,22,61
SAL20785,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,4,7,0,0,6,19
SAL20786,11,23,0,0,0,6,0,0,8,31,8,38,0,4,0,4,0,4,5,19,11,51,0,0,0,0,0,5,0,0,0,5,0,0,0,0,6,5,6,5,4,12,0,0,27,85
SAL20787,9,21,0,0,0,4,0,0,3,12,5,13,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,41
SAL20788,891,1775,9,48,44,186,13,56,345,1298,405,1586,31,118,48,175,112,350,190,647,600,2225,5,11,16,54,10,30,107,258,138,358,14,48,37,84,134,276,183,415,321,772,28,54,1837,4830
SAL20789,3,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,7,0,0,9,15
SAL20790,1813,3604,47,250,151,755,51,243,987,3897,1231,5141,58,259,106,351,294,966,460,1577,1695,6719,16,79,53,171,21,65,296,814,381,1125,22,67,59,131,232,488,314,694,693,1821,48,104,4247,12246
SAL20791,17,43,0,0,0,0,0,0,11,48,11,48,0,0,3,14,7,26,9,39,23,89,0,0,0,8,0,0,3,8,5,13,0,0,3,5,0,0,3,11,3,17,0,0,53,152
SAL20792,49,92,5,13,5,26,3,10,17,70,29,119,0,0,8,21,8,28,17,53,44,173,0,0,0,0,0,0,3,4,3,4,0,0,0,4,4,9,7,15,11,19,0,0,101,285
SAL20793,54,104,0,3,0,6,0,13,16,62,18,88,0,6,4,6,23,71,24,82,48,170,0,0,0,5,0,0,3,10,8,15,0,0,0,0,0,8,0,8,6,25,0,0,109,299
SAL20794,4,8,0,0,0,0,0,0,3,23,3,23,0,0,0,0,0,3,0,3,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,11,34
SAL20795,20,36,0,0,3,9,0,0,7,27,10,38,0,0,5,7,7,19,8,23,16,61,0,0,0,0,0,0,3,14,3,14,0,0,0,0,0,0,0,0,3,14,0,0,42,114
SAL20796,83,166,0,7,8,35,0,0,36,126,45,168,3,10,11,34,15,62,30,102,78,276,0,0,0,3,0,0,0,3,8,6,0,0,0,3,7,12,7,20,11,21,0,4,166,462
SAL20797,8,16,0,0,0,0,0,0,0,9,0,9,0,0,0,8,0,0,0,8,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34
SAL20798,37,70,0,3,5,14,4,16,18,68,22,100,0,4,3,14,11,32,16,46,37,147,0,0,0,0,0,0,5,4,5,4,0,0,0,0,9,7,9,7,9,14,0,0,84,236
SAL20799,17,39,0,5,0,4,4,13,12,44,15,66,0,3,3,5,7,22,8,33,30,97,0,3,0,6,0,0,0,0,4,3,0,0,0,0,0,3,0,3,3,8,0,6,55,153
SAL20800,14,38,0,0,0,0,0,0,6,22,4,28,0,4,4,12,3,11,7,22,17,50,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,4,10,0,5,40,92
SAL20801,10,15,0,0,0,0,0,0,0,3,0,3,0,0,0,5,3,10,4,14,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,8,0,0,16,36
SAL20802,704,1400,14,67,55,276,11,50,239,971,328,1363,32,139,41,161,117,381,195,681,526,2045,8,22,12,41,4,9,69,165,84,241,11,35,19,47,71,142,97,223,181,461,18,30,1425,3939
SAL20803,5,12,0,0,0,0,0,0,5,14,5,14,0,5,0,3,0,3,3,12,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,13,40
SAL20804,57,113,0,0,3,18,6,11,19,89,28,117,0,3,3,9,11,34,16,48,40,164,0,0,0,0,0,4,8,17,11,19,0,0,5,7,9,9,8,12,12,39,0,5,113,320
SAL20805,14,31,0,3,0,0,0,0,3,9,3,15,3,8,0,3,4,10,5,23,8,38,0,0,0,5,0,0,0,3,0,6,0,0,0,0,0,4,0,4,5,11,0,0,28,76
SAL20806,3,4,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,3,0,8,5,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,7,16
SAL20807,18,30,0,3,0,0,0,0,4,14,4,23,0,0,4,9,0,3,5,7,6,26,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,22,62
SAL20808,8,15,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,10,0,10,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,3,0,3,7,16,0,0,16,39
SAL20809,105,200,3,7,10,56,0,0,44,168,57,231,5,7,0,4,9,36,13,46,70,279,0,0,5,5,0,0,10,14,9,15,0,0,3,7,9,13,9,16,19,41,0,0,194,526
SAL20810,9,20,0,0,3,5,0,0,0,0,3,5,0,0,0,0,0,4,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32
SAL20811,8,9,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
SAL20812,27,54,0,0,4,31,0,4,13,53,19,87,0,5,3,12,11,27,14,47,33,138,0,0,0,8,0,0,0,8,4,10,0,0,0,0,0,6,0,6,4,21,0,5,63,209
SAL20813,105,214,0,0,0,6,3,28,26,103,32,131,4,11,5,13,10,39,23,63,55,196,0,0,3,5,4,7,20,63,27,78,0,4,9,10,24,50,32,65,55,143,4,12,223,558
SAL20814,11,26,0,0,0,5,0,4,3,21,4,29,0,0,0,4,0,0,0,4,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,58
SAL20815,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
SAL20816,47,95,4,8,10,42,0,0,24,110,37,163,5,16,8,24,11,31,22,68,62,232,0,0,0,0,0,0,4,6,4,6,0,0,0,0,3,10,3,11,8,14,0,0,123,355
SAL20817,9,19,0,0,0,14,0,0,9,17,6,26,0,0,0,0,0,0,0,0,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,53
SAL20818,9,18,0,0,0,0,0,0,4,10,4,10,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20
SAL20819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20820,13,27,0,0,0,10,0,0,0,0,0,10,0,3,3,10,3,4,9,15,6,29,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,0,0,0,3,5,0,3,26,65
SAL20821,5,12,0,0,0,9,0,0,0,4,4,13,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,8,25
SAL20822,264,525,9,26,5,26,3,13,39,172,55,233,0,3,8,25,26,87,36,111,91,349,0,0,3,15,0,8,9,37,19,59,0,0,0,3,27,57,32,59,49,113,0,5,408,992
SAL20823,605,1210,13,58,40,169,19,95,271,1079,343,1400,25,104,28,91,116,373,171,563,510,1962,9,18,23,84,16,53,122,327,168,492,10,24,18,44,142,305,171,377,340,869,31,61,1483,4094
SAL20824,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
SAL20825,466,938,0,23,83,400,10,33,220,878,320,1334,38,159,80,297,133,421,247,880,566,2210,0,0,7,13,0,0,29,62,29,76,10,32,16,30,41,89,68,152,100,230,8,14,1138,3396
SAL20826,18,29,0,0,0,0,0,0,0,18,0,18,0,0,4,5,0,6,3,9,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,66
SAL20827,142,276,5,11,4,35,0,3,43,174,57,223,7,18,7,18,32,102,47,139,103,366,0,0,4,5,0,0,42,126,45,135,6,10,5,13,44,97,51,116,102,253,0,8,342,902
SAL20828,250,500,0,9,10,56,0,0,107,408,124,469,6,29,20,68,37,116,60,214,183,688,0,0,0,11,0,17,39,88,47,116,3,8,14,35,38,89,53,130,101,244,12,22,551,1452
SAL20829,464,931,3,33,33,167,5,17,259,976,306,1189,17,90,51,171,62,204,133,460,438,1654,0,0,10,31,0,0,46,105,56,133,6,29,26,49,67,144,96,223,153,354,16,38,1077,2975
SAL20830,858,1694,0,9,21,91,0,0,123,440,149,537,11,45,38,102,39,120,86,270,232,806,0,0,3,7,0,0,42,89,45,97,0,15,6,16,24,52,40,82,84,176,32,62,1199,2734
SAL20831,0,4,0,0,0,5,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13
SAL20832,11,17,0,0,0,0,0,0,6,21,6,21,0,0,0,0,3,11,3,11,9,28,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,20,46
SAL20833,118,242,4,11,6,32,3,17,39,142,47,197,3,13,0,10,18,54,25,83,78,287,3,9,5,11,0,4,16,40,15,61,0,0,12,17,7,21,20,43,36,107,4,6,238,637
