SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL20635,0,4,4,0,3,4,0,0,0,0,0,4,0,0,0,6,4,3,0,0,0,0,0,0,66.7,100,83.3,66.7,100,83.3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,0,0,6,0,0,0
SAL20636,74,68,149,40,21,62,11,17,32,6,5,13,0,4,7,59,43,103,12,26,41,1.7,6.8,3.9,75.3,62.9,69.4,74,58.6,66.7,0,3,3,0,3,4,9,4,9,0,4,3,17,16,34,0,0,0,4,0,6,21,17,42,84,69,151,7,4,12,52,48,103,27,22,52
SAL20637,43,41,78,16,12,25,8,8,15,0,0,0,0,0,0,24,19,47,14,17,28,0,0,0,61,59,60,61,59,60,0,0,0,0,3,7,0,6,6,9,5,14,11,0,12,0,0,0,0,0,0,11,3,11,35,44,80,4,4,5,32,32,69,10,7,13
SAL20638,62,52,115,22,8,31,5,11,24,0,0,0,3,3,3,40,23,59,24,30,52,5.4,8.7,6.7,58.7,42.6,51.3,55.6,38.9,47.9,0,0,0,0,0,0,0,0,0,0,6,7,27,13,36,0,0,0,3,0,3,29,15,42,66,52,117,3,0,4,46,44,89,18,15,29
SAL20639,508,489,997,169,68,233,57,121,174,28,22,49,20,8,28,269,221,490,198,239,439,7.4,4.1,5.9,53.5,44.5,49.1,49.6,42.6,46.2,9,15,26,0,10,13,22,49,70,40,59,101,171,75,246,4,4,11,11,14,21,182,95,278,455,429,883,96,102,191,261,252,508,266,258,526
SAL20640,6169,6453,12622,2070,1051,3119,785,1379,2163,211,242,453,318,225,544,3386,2899,6285,2304,3055,5361,9.3,7.8,8.6,54.8,45,49.8,49.7,41.4,45.5,108,104,218,25,63,88,264,406,667,317,487,809,1288,982,2276,72,119,191,58,107,167,1426,1210,2627,6009,6256,12266,876,857,1736,4096,4187,8281,2414,2555,4970
SAL20641,19,9,28,7,6,10,5,4,7,0,0,0,0,0,0,13,7,18,5,3,4,15.4,0,9.5,76.5,66.7,72.4,64.7,66.7,65.5,0,0,0,0,0,0,6,0,6,0,0,4,5,0,5,0,0,0,0,0,0,8,4,12,20,12,29,0,0,0,13,7,21,0,3,7
SAL20642,18,18,31,5,0,8,0,8,3,0,3,4,0,0,0,10,12,18,5,5,11,0,0,0,52.9,58.8,55.9,52.9,58.8,55.9,0,0,0,0,0,3,0,4,5,0,0,0,4,3,5,0,0,0,0,0,0,4,3,5,15,12,30,0,4,5,15,8,24,3,3,6
SAL20643,45,43,84,23,10,35,3,15,19,0,0,0,0,0,0,35,29,58,11,8,17,3.2,0,1.8,64.6,66.7,65.5,62.5,66.7,64.4,0,0,4,0,0,0,3,13,15,5,4,7,16,4,15,0,0,0,0,0,0,13,5,17,43,32,73,6,3,13,33,27,64,14,8,18
SAL20644,479,481,957,138,70,209,47,109,158,26,22,48,16,5,25,228,210,440,205,232,438,7.3,2.9,5.2,48.6,43.2,45.9,45.1,42,43.5,7,14,14,4,15,23,20,45,64,28,59,82,147,71,214,3,11,12,7,13,25,159,91,253,421,401,823,80,95,178,233,197,432,243,273,511
SAL20645,74,63,142,24,13,41,7,12,20,0,3,4,0,0,0,37,31,68,33,24,52,2.8,3.3,3,46.8,47.6,47.1,45.5,46,45.7,0,4,4,0,0,0,5,3,11,5,9,11,17,5,16,0,0,0,0,0,0,18,5,17,71,57,128,4,0,14,56,42,95,19,22,42
SAL20646,134,138,269,69,33,100,15,41,60,3,14,16,0,3,4,89,85,180,23,32,60,2.2,2.3,2.2,68.4,64,66.2,66.9,62.5,64.7,0,0,3,0,8,8,0,21,18,11,12,23,42,26,73,0,4,4,0,5,6,44,37,78,138,138,273,14,18,35,97,97,194,50,49,100
SAL20647,13,9,17,0,0,0,4,0,7,0,3,3,0,0,0,6,0,5,8,0,8,0,0,0,33.3,80,47.1,33.3,80,47.1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,5,9,3,9,0,3,4,8,0,7,4,0,6
SAL20648,569,580,1146,208,94,302,67,147,213,18,27,43,21,9,28,310,277,584,194,250,445,6.1,3.6,4.9,54.5,47.6,51,51.1,45.9,48.5,7,8,18,15,19,36,37,54,86,42,52,93,135,81,219,4,12,23,6,8,20,157,103,251,487,508,996,93,96,194,348,352,701,213,231,443
SAL20649,48,40,89,24,12,32,12,18,22,0,0,0,0,0,0,32,28,64,20,10,32,3.3,3.3,3.3,62.5,68.2,65.2,60.4,65.9,63,0,0,0,0,3,3,0,8,4,4,9,16,15,11,22,0,0,0,0,0,0,12,7,24,48,51,95,6,4,14,44,44,85,8,11,18
SAL20650,25,23,47,14,6,19,0,8,5,0,0,4,0,0,0,16,15,26,4,8,10,0,0,0,65.4,61.9,63.8,65.4,61.9,63.8,0,0,0,0,0,0,0,4,4,0,0,0,4,3,6,0,0,0,0,0,0,4,3,9,25,16,40,0,0,0,19,20,40,5,0,11
SAL20651,31,16,50,9,7,18,0,0,4,0,0,0,0,0,0,13,13,22,14,4,18,0,0,0,42.9,63.2,51.1,42.9,63.2,51.1,0,0,0,0,0,0,0,7,4,0,3,4,13,0,12,0,0,0,0,0,0,14,0,14,25,20,42,5,4,8,16,14,28,9,8,13
SAL20652,34,25,65,10,4,11,3,5,8,0,0,4,0,0,0,15,18,23,21,13,30,8.3,6.7,7.4,36.4,53.6,44.3,33.3,50,41,3,0,4,0,0,4,0,0,0,3,10,10,11,0,7,0,0,0,0,0,0,11,3,10,36,31,71,0,0,0,23,15,39,17,12,27
SAL20653,9,3,12,5,0,4,0,4,4,0,0,0,0,0,0,4,3,12,5,0,3,0,0,0,60,60,60,60,60,60,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,17,0,0,0,10,4,10,0,0,0
SAL20654,252,266,516,100,44,150,47,90,134,13,19,34,6,11,14,167,162,336,73,95,174,3.5,6.1,4.8,67.7,61.7,64.6,65.3,57.9,61.5,22,22,47,6,23,29,36,71,112,34,46,76,70,11,84,4,3,8,3,4,11,76,22,99,263,271,531,26,25,52,219,217,440,60,64,124
SAL20655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20656,17,16,30,8,4,9,0,0,0,0,0,5,0,0,0,10,9,20,0,7,11,10,0,5.6,66.7,53.3,60,60,53.3,56.7,0,0,0,0,0,0,0,0,4,0,0,0,4,5,3,0,0,0,0,0,0,4,5,3,14,16,29,0,0,0,9,10,15,8,7,17
SAL20657,2616,3040,5657,657,429,1089,369,638,1006,125,146,268,67,43,109,1214,1256,2475,1210,1530,2738,5.4,3.4,4.4,46.4,41.4,43.8,43.9,40,41.8,67,85,147,37,92,130,241,360,602,278,362,647,725,346,1069,29,60,89,52,67,119,803,468,1276,2302,2563,4863,541,618,1163,1233,1339,2574,1471,1711,3184
SAL20658,20,14,34,7,0,13,0,7,9,0,0,0,3,0,3,11,11,24,6,0,6,15.4,10,13,72.2,66.7,69.7,61.1,60,60.6,0,0,0,0,0,0,0,0,0,0,4,3,5,0,7,0,0,0,0,0,0,5,0,7,17,14,27,0,0,0,7,7,20,5,6,13
SAL20659,162,169,331,57,38,95,19,49,69,11,6,23,4,4,14,94,101,192,47,49,101,5.4,5.1,5.2,57.5,57.6,57.5,54.4,54.7,54.5,3,4,10,0,4,4,7,24,30,3,16,20,51,18,64,3,4,10,3,4,0,50,23,77,154,166,321,9,8,25,124,122,250,35,43,82
SAL20660,25,27,52,4,4,10,8,13,19,0,4,4,0,0,0,15,22,37,12,4,17,0,5.3,3,53.8,67.9,61.1,53.8,64.3,59.3,3,0,0,0,0,0,0,4,5,3,3,5,3,4,7,0,0,0,0,0,0,8,4,10,25,25,42,7,6,10,17,16,32,11,8,19
SAL20661,24109,24300,48415,10801,5736,16537,3866,5689,9555,856,963,1820,1198,1158,2351,16720,13542,30256,6100,9544,15650,7.1,8.5,7.8,69.3,55.7,62.5,64.4,51,57.6,1671,1749,3418,239,567,809,3211,4083,7294,2590,2668,5253,3847,2463,6317,215,246,460,279,434,711,4348,3145,7491,26028,25748,51775,4766,4712,9479,14177,14111,28292,14207,14074,28283
SAL20662,8487,8495,16979,3768,1959,5725,1136,2001,3140,304,343,646,356,322,680,5565,4622,10185,2279,3240,5519,6.4,7,6.6,65.6,54.4,60,61.4,50.6,56,258,294,556,69,152,220,656,913,1570,664,919,1584,2005,1214,3219,96,150,244,94,151,241,2191,1511,3697,8358,8255,16616,1441,1373,2812,5403,5391,10791,3754,3668,7416
SAL20663,8613,9340,17954,4364,2372,6733,1299,2355,3651,302,395,698,304,351,660,6273,5467,11741,1919,3435,5353,4.9,6.4,5.6,72.9,58.6,65.4,69.3,54.8,61.8,500,614,1115,79,213,297,1152,1528,2680,1014,1160,2173,1689,1111,2794,86,117,197,113,171,286,1884,1399,3279,9839,10216,20054,1559,1655,3217,4695,5013,9714,5702,5923,11617
SAL20664,8964,9252,18211,4639,2481,7124,1276,2442,3716,329,379,707,400,362,759,6644,5660,12299,1935,3208,5140,6,6.4,6.2,74.1,61.2,67.5,69.7,57.3,63.4,530,499,1027,95,208,307,1227,1493,2720,889,1151,2041,1762,1165,2925,80,136,217,110,177,283,1943,1476,3419,10213,10316,20531,1423,1423,2843,5648,5694,11345,5128,5212,10340
SAL20665,1293,1303,2587,710,417,1127,164,373,532,53,75,127,29,21,52,955,887,1834,273,355,628,3.3,2.6,2.9,73.8,68.1,70.9,71.4,66.4,68.9,40,55,95,17,45,63,145,225,381,117,167,280,411,171,575,13,16,25,9,28,40,435,213,643,1047,1044,2088,468,505,970,564,556,1119,843,883,1727
SAL20666,7187,7470,14655,3805,2086,5892,1073,1924,2999,254,369,624,269,284,557,5404,4667,10069,1469,2482,3953,5,6.1,5.5,75.2,62.4,68.7,71.5,58.6,64.9,327,373,697,68,174,249,853,1178,2031,791,1007,1802,1609,1021,2627,81,110,191,101,123,222,1789,1252,3045,8147,8328,16476,1174,1184,2356,4289,4335,8628,4206,4367,8572
SAL20667,21,15,36,8,5,18,0,0,0,0,4,4,0,0,0,13,11,22,5,7,15,0,0,0,63.2,50,57.6,63.2,50,57.6,0,0,0,0,0,0,0,0,0,0,4,5,9,0,9,0,0,0,0,0,0,9,0,9,19,13,29,0,0,0,11,10,19,5,9,13
SAL20668,19,15,37,7,3,14,0,5,9,0,4,3,0,0,0,13,12,27,6,3,3,0,0,0,83.3,75,79.4,83.3,75,79.4,0,0,0,0,0,0,0,5,3,0,0,0,4,0,4,0,0,0,0,0,0,4,6,8,15,18,36,0,0,0,12,15,23,6,6,12
SAL20669,73,69,140,37,23,57,11,23,34,0,7,6,0,0,0,50,50,103,18,16,28,0,2,1,69.4,75.8,72.5,69.4,74.2,71.7,0,5,6,0,7,7,13,9,21,11,16,28,17,12,27,0,0,0,0,0,0,19,12,31,67,60,131,8,11,24,47,44,91,29,30,57
SAL20670,1051,933,1979,705,523,1226,126,214,338,32,40,74,21,14,38,884,787,1675,113,113,234,2.5,1.6,2.1,84.4,84.3,84.4,82.3,82.9,82.6,145,141,286,41,49,89,396,404,798,88,75,163,108,38,148,10,3,10,10,14,25,127,64,182,676,630,1302,397,343,740,365,345,716,687,606,1293
SAL20671,76,74,150,22,11,36,8,18,28,4,3,8,0,3,4,36,35,73,39,33,73,2.9,5.4,4.2,46.7,49.3,48,45.3,46.7,46,0,0,0,5,0,4,8,9,13,0,11,13,24,10,33,0,5,5,0,5,8,26,15,45,70,71,149,10,12,25,59,52,108,28,23,54
SAL20672,1335,1441,2775,447,209,654,159,351,508,40,66,113,40,26,66,695,650,1340,515,650,1163,5.8,3.8,4.8,51.8,45.1,48.4,48.8,43.4,46,47,52,104,29,42,70,88,180,267,108,176,291,367,199,570,18,19,34,20,22,39,409,238,643,1259,1345,2600,176,143,322,869,920,1791,492,516,1006
SAL20673,14,22,35,11,3,19,0,8,10,0,5,3,0,0,0,18,15,28,0,0,0,0,0,0,94.1,77.8,85.7,94.1,77.8,85.7,0,0,0,0,0,0,0,5,3,0,4,6,10,7,15,0,0,0,0,0,0,10,9,21,26,22,45,0,0,6,15,10,26,14,12,23
SAL20674,1317,1372,2686,572,284,860,201,445,646,52,61,114,39,35,74,862,832,1696,383,466,853,4.4,4.3,4.4,65.6,60.5,63,62.7,57.8,60.2,14,37,51,10,37,43,52,141,196,116,178,294,493,267,760,8,22,29,20,24,34,519,311,831,1386,1406,2787,164,179,340,944,928,1870,520,580,1106
SAL20675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20676,3,4,5,3,0,3,0,4,4,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,100,66.7,83.3,100,66.7,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,3,0,7,0,0,0
SAL20677,13,11,27,6,4,7,3,3,3,5,0,5,0,0,0,9,9,18,0,0,0,0,11.1,5.3,71.4,69.2,70.4,71.4,61.5,66.7,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,3,3,0,9,12,10,22,0,5,6,11,7,18,3,5,8
SAL20678,93,96,192,47,30,74,12,25,44,7,10,12,0,0,0,66,64,127,26,32,58,2.9,1.6,2.3,70.8,63.5,67.2,68.8,62.5,65.6,0,6,13,0,5,6,15,20,33,12,10,20,24,7,32,0,0,0,0,0,0,24,7,34,99,101,201,7,9,17,85,87,167,21,22,45
SAL20679,71,68,138,29,8,36,8,29,39,5,3,12,0,3,3,47,39,88,15,13,33,2.2,4.8,3.4,64.8,63.6,64.2,63.4,60.6,62,0,3,8,0,4,6,11,14,26,0,9,10,16,8,28,0,0,0,0,0,0,16,6,26,56,61,117,5,6,10,49,51,100,12,14,26
SAL20680,34,30,64,9,8,19,4,10,12,0,3,8,0,0,0,20,15,35,9,10,22,0,0,0,60.6,50,55.7,60.6,50,55.7,0,0,0,0,0,0,7,7,15,3,0,9,12,4,15,0,0,0,0,0,0,12,7,14,31,31,63,5,0,3,34,31,61,5,0,5
SAL20681,29,30,57,22,13,29,0,6,10,0,0,3,0,0,0,24,20,46,0,9,9,0,0,0,85.2,71,77.6,85.2,71,77.6,0,0,0,0,0,0,0,10,12,4,4,3,10,0,10,0,0,0,0,0,0,10,0,10,22,30,54,0,0,5,23,28,53,5,3,10
SAL20682,10805,12652,23458,5178,3257,8435,1448,3220,4666,337,537,877,341,290,631,7292,7309,14603,3091,4835,7921,4.6,4,4.3,67.5,57.8,62.3,64.4,55.5,59.6,664,799,1467,216,528,744,1699,2459,4155,1031,1492,2520,2543,1326,3866,77,137,217,166,254,423,2785,1723,4504,11215,12576,23796,1598,1788,3388,7097,8041,15137,4928,5588,10520
SAL20683,1949,2010,3960,999,573,1580,291,642,937,70,98,163,63,42,101,1424,1353,2778,494,627,1119,4.3,2.9,3.6,73,67.4,70.2,69.9,65.5,67.7,108,114,226,63,82,143,363,477,840,239,241,478,422,196,621,18,23,36,36,44,81,471,270,739,2171,2211,4382,182,172,354,1667,1728,3393,587,583,1172
SAL20684,3183,3410,6596,1653,915,2565,412,1055,1470,120,163,282,81,70,155,2265,2203,4465,811,1059,1872,3.6,3.2,3.4,71.2,64.5,67.7,68.6,62.4,65.4,188,215,405,91,156,250,534,691,1224,326,452,776,733,332,1066,28,35,58,53,90,141,811,458,1269,3338,3592,6932,442,429,870,2336,2502,4844,1257,1322,2573
SAL20685,1828,1972,3802,934,514,1451,254,570,823,44,98,147,42,48,90,1278,1234,2507,494,673,1161,3.2,3.7,3.5,69.7,62.4,66,67.5,60.1,63.7,93,104,193,46,97,143,276,407,685,186,253,433,457,210,670,16,21,39,33,34,59,500,271,773,1980,2105,4084,216,278,491,1428,1483,2913,652,755,1410
SAL20686,5,6,12,3,0,6,0,3,0,0,0,0,0,0,0,6,3,7,0,0,3,0,0,0,85.7,50,69.2,85.7,50,69.2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,4,6,8,0,0,0,4,6,8,0,0,0
SAL20687,121,110,232,62,31,86,18,43,54,13,16,27,0,0,0,91,78,173,23,21,44,1.1,1.2,1.1,77.5,75.2,76.4,76.7,74.3,75.5,0,6,6,3,5,7,7,20,26,9,14,20,40,22,59,0,4,4,0,0,0,39,29,65,131,121,256,18,18,39,85,85,169,60,54,113
SAL20688,113,117,232,53,24,81,16,32,45,0,6,6,4,0,4,67,62,133,20,23,48,4.3,1.6,3,59.5,53.8,56.7,56.9,53,54.9,0,0,5,0,3,3,3,18,19,5,14,18,23,13,42,0,3,4,0,0,0,28,17,44,92,94,181,5,8,8,73,80,145,22,23,41
SAL20689,55,32,89,22,5,24,5,13,16,0,0,0,0,0,0,26,17,48,19,11,32,0,5.6,2.1,53.7,54.5,54,53.7,51.5,52.9,0,0,0,0,0,0,4,0,7,0,0,4,15,6,26,0,0,0,0,0,0,16,8,25,45,31,73,5,0,5,33,25,57,15,6,21
SAL20690,20,14,31,14,3,17,0,3,3,0,0,0,0,0,0,18,7,21,5,6,4,0,0,0,77.8,69.2,74.2,77.8,69.2,74.2,0,0,0,0,0,0,3,5,5,0,4,4,5,0,5,0,0,0,0,0,0,5,0,5,14,13,28,0,0,0,10,9,17,7,3,8
SAL20691,14,19,29,12,11,16,3,5,6,0,0,0,0,0,0,11,14,23,4,4,8,0,0,0,80,81.3,80.6,80,81.3,80.6,0,0,0,0,0,0,0,5,5,0,3,3,0,6,10,0,0,0,0,0,0,8,8,13,14,8,26,5,8,6,10,6,15,10,11,15
SAL20692,42,26,66,15,0,13,8,9,14,0,0,0,0,0,0,21,12,29,17,16,31,0,11.1,3.4,48.8,32.1,42,48.8,28.6,40.6,0,0,0,0,0,0,0,3,3,0,0,0,11,3,12,0,0,0,0,0,3,15,7,19,37,23,63,3,5,9,23,15,34,16,15,27
SAL20693,7,3,12,8,0,4,4,3,3,0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,85.7,80,83.3,85.7,80,83.3,0,5,5,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,0,0,0,6,9,13,0,0,0
SAL20694,4,4,10,5,5,3,0,4,4,0,0,0,0,0,0,5,4,6,0,0,4,0,0,0,75,71.4,72.7,75,71.4,72.7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,0,0,3,3,3,5
SAL20695,12,6,21,7,0,6,0,3,3,0,0,0,0,0,0,12,8,15,3,3,3,11.1,0,7.7,75,57.1,68.4,66.7,57.1,63.2,0,0,0,0,0,0,4,0,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,12,13,25,0,0,0,8,4,15,4,6,5
SAL20696,57,43,103,29,18,51,8,12,16,3,0,3,0,0,0,44,31,71,10,8,21,0,6.7,2.8,74.5,65.2,70.3,74.5,60.9,68.3,0,3,3,0,0,0,3,9,7,3,4,11,11,12,23,0,0,5,0,0,6,19,12,26,59,50,104,6,0,7,41,38,75,13,14,28
SAL20697,1496,1685,3178,734,437,1171,211,502,712,55,94,149,59,43,100,1050,1074,2131,394,566,958,5.3,3.9,4.6,70.2,64,66.9,66.5,61.5,63.8,57,58,116,34,69,101,178,283,466,142,254,402,475,288,763,22,21,42,21,31,47,511,341,859,1479,1570,3045,429,497,923,467,516,981,1296,1424,2722
SAL20698,9,8,20,8,5,14,0,0,5,0,0,0,0,0,0,9,6,15,0,0,0,0,11.1,5.3,100,81.8,90.5,100,72.7,85.7,0,0,0,0,0,0,0,3,3,0,0,3,0,3,5,0,0,0,0,0,0,3,3,3,9,8,20,0,0,0,8,7,17,0,4,3
SAL20699,33,27,61,10,5,19,3,7,10,4,0,4,0,3,3,18,16,36,6,9,14,4.5,12.5,7.9,66.7,57.1,62.3,63.6,50,57.4,0,0,0,0,0,0,0,3,3,4,4,9,14,4,17,0,0,0,0,0,0,14,3,17,27,27,55,3,3,5,26,22,47,3,3,3
SAL20700,169,169,341,45,25,72,23,45,67,8,13,21,5,4,9,84,86,169,80,73,153,7.2,3.5,5.4,48.3,50,49.1,44.8,48.2,46.5,0,0,0,0,7,6,8,24,30,5,18,22,66,20,83,0,6,10,0,3,3,70,25,96,164,158,324,20,29,47,134,133,269,47,50,94
SAL20701,167,148,314,82,47,134,18,36,61,12,9,23,5,3,3,121,98,215,31,46,79,1.7,3.1,2.3,71.9,67.1,69.6,70.7,65.1,68.1,9,8,15,0,4,4,5,24,28,17,27,42,52,26,83,0,0,0,0,3,3,52,26,82,182,171,356,10,12,18,140,130,274,43,40,81
SAL20702,2590,2571,5163,632,283,916,383,334,725,89,60,145,181,120,298,1288,797,2084,1038,1523,2559,14.1,14.9,14.4,49.7,31,40.4,42.7,26.4,34.6,113,73,185,18,35,51,233,219,456,171,195,367,304,204,507,24,22,49,23,36,62,353,260,613,2747,2717,5465,349,303,653,1859,1921,3785,1033,912,1936
SAL20703,77,60,135,33,14,44,11,13,29,4,4,3,0,0,0,44,35,77,14,15,32,2.2,3.1,2.6,59,57.1,58.2,57.7,55.4,56.7,0,0,0,0,0,0,6,5,7,6,4,12,16,10,27,0,0,0,0,0,0,19,11,24,59,45,106,4,4,10,49,39,89,13,6,25
SAL20704,24,28,49,14,8,22,0,7,8,5,0,9,0,0,0,20,18,32,8,3,8,0,0,0,80,62.5,71.4,80,62.5,71.4,0,0,0,0,0,0,0,4,0,0,5,5,11,0,9,0,0,0,0,0,0,11,0,9,27,21,51,0,0,0,18,17,33,6,7,13
SAL20705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20706,333,349,682,126,76,204,69,114,180,13,22,34,5,6,10,221,217,434,95,107,198,3.2,3.2,3.2,65.3,62.9,64.1,63.2,60.9,62,4,10,10,5,18,18,15,39,52,20,39,61,117,73,189,7,4,12,4,10,12,123,85,216,318,315,631,68,83,150,177,190,363,185,187,372
SAL20707,12903,11520,24425,4784,1976,6758,1893,2066,3965,394,345,739,685,500,1184,7761,4892,12651,3830,5626,9450,8.8,10.3,9.4,60.1,42.5,51.8,54.8,38.1,46.9,669,649,1322,92,193,284,1423,1565,2989,1004,1055,2064,1626,911,2536,135,135,270,157,185,334,1916,1226,3137,11687,10890,22581,2423,2143,4574,6466,6225,12686,6724,5929,12651
SAL20708,9349,9259,18609,3589,1891,5481,1330,1912,3243,290,316,601,378,343,721,5586,4463,10047,3128,4233,7363,6.8,7.8,7.2,59.7,48.2,54,55.7,44.5,50.1,435,441,875,90,181,270,1135,1354,2489,831,960,1792,1604,838,2449,87,106,197,128,173,303,1824,1123,2945,9433,9344,18778,1185,1044,2228,6639,6722,13355,3389,3145,6539
SAL20709,86,38,118,37,9,43,13,5,21,7,0,4,3,3,5,50,19,71,19,16,34,5.7,22.2,9.9,62.4,50,58.7,58.8,38.9,52.9,0,0,0,0,0,0,10,0,9,3,0,4,17,8,26,0,0,0,0,0,0,22,9,28,69,21,87,15,8,23,38,12,53,34,16,59
SAL20710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,5,0,8
SAL20711,54,44,94,11,5,18,3,10,15,0,3,6,4,0,3,23,20,38,18,15,35,18.2,5,11.9,43.1,47.6,45.2,35.3,45.2,39.8,0,0,0,0,0,0,0,3,3,3,4,8,13,3,20,0,0,0,0,0,0,16,3,17,40,39,77,6,3,12,25,22,48,18,16,37
SAL20712,3487,3762,7243,1852,1006,2858,424,1088,1515,160,168,329,85,102,192,2523,2373,4895,824,1242,2068,3.4,4.5,3.9,72.4,63.1,67.6,69.9,60.3,64.9,90,112,201,35,119,158,297,500,793,298,475,771,1097,570,1674,34,62,93,36,76,114,1167,709,1875,3852,3985,7834,452,462,912,2506,2591,5099,1533,1640,3171
SAL20713,19,17,37,5,8,11,3,7,12,0,0,0,0,0,0,8,16,25,5,3,5,0,13.3,7.4,80,78.9,79.4,80,68.4,73.5,0,0,0,0,0,0,3,6,3,0,0,6,5,7,10,0,0,0,0,0,0,5,7,10,19,24,43,4,0,5,16,24,35,10,3,6
SAL20714,41,34,76,16,4,20,6,7,13,0,0,0,3,0,3,25,14,40,13,14,23,8,7.1,7.7,55.6,41.2,49.4,51.1,38.2,45.6,0,0,0,0,5,0,3,3,3,10,3,12,3,5,11,0,0,0,0,0,0,3,5,8,34,25,59,0,3,8,22,17,45,16,4,20
