SAL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SAL22768,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,9
SAL22769,452,14,0,0,0,468,476,12,0,0,0,482,234,62,0,0,0,302,33,24,0,0,0,54,16,16,0,0,0,30,80,9,0,0,4,88,11,0,0,0,0,14,0,0,0,0,0,0,370,108,0,6,0,489,16,0,0,0,0,16,14,4,0,0,0,18,1322,127,0,7,4,1470
SAL22770,63,0,0,0,0,64,53,0,0,0,0,53,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,128
SAL22771,5,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SAL22772,55,0,0,0,0,57,15,0,0,0,0,17,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,5,0,0,0,0,5,0,0,0,0,0,0,17,0,0,0,0,17,5,0,0,0,0,5,3,0,0,0,0,3,96,0,0,0,0,99
SAL22773,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SAL22774,456,9,5,0,0,468,379,12,0,0,0,391,248,47,27,0,0,322,230,10,3,0,0,247,24,17,0,0,0,44,76,11,0,0,0,89,6,0,0,0,0,9,10,0,0,0,0,3,591,89,33,0,3,716,11,5,0,0,0,15,40,0,0,0,0,39,1479,116,38,0,3,1635
SAL22775,681,68,8,0,0,749,867,67,10,0,0,936,179,80,16,0,0,273,21,9,0,0,0,34,3,0,0,0,0,3,53,18,0,0,0,66,4,0,0,0,0,4,0,0,0,0,0,3,260,107,15,0,0,388,15,3,0,0,0,20,29,5,0,0,0,30,1847,243,33,0,4,2124
SAL22776,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,9
SAL22777,77,0,0,0,0,83,37,0,0,0,0,37,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,28,4,0,0,0,0,3,0,0,0,0,0,0,150,0,0,4,0,151
