POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
207011150,59,12,5,1015,802,86,62,11,0,962,569,113,61,11,8,763,418,102,50,11,0,577,260,74,58,9,3,395,87,45,41,3,0,177,55,24,21,7,0,112,18,5,15,12,0,44,6807,649,489,91,20,8052
207011152,55,11,4,1320,1030,139,48,10,0,1232,887,143,61,18,7,1115,676,148,58,14,10,901,431,102,62,14,5,607,208,58,43,3,0,313,83,43,28,10,3,163,32,27,21,4,4,77,9865,995,549,111,41,11561
207011154,30,3,0,263,194,55,27,6,0,283,196,60,28,4,0,290,171,39,25,6,0,231,146,37,23,8,3,225,73,29,16,4,0,117,23,12,11,0,0,52,12,6,6,8,0,29,2156,322,222,44,12,2748
207011155,40,13,0,605,467,112,52,19,0,648,487,150,56,16,9,707,437,104,41,11,8,604,335,91,65,14,0,509,152,51,30,8,4,241,56,43,27,8,0,142,25,24,20,12,0,83,4958,795,473,126,23,6377
207011519,41,13,4,728,517,79,38,8,5,640,528,66,27,13,0,636,407,80,42,0,0,538,297,47,20,7,0,370,130,48,22,3,0,202,49,23,14,0,0,94,17,13,7,5,0,41,6334,536,316,66,17,7271
207011520,37,9,0,926,770,89,46,3,3,912,747,115,40,5,3,917,542,74,42,4,0,659,408,74,43,10,0,528,178,38,32,6,3,257,79,27,15,5,0,125,31,17,19,8,3,78,7855,648,427,75,31,9031
207011521,38,11,0,847,696,72,40,8,0,815,738,84,39,6,0,870,611,81,47,3,0,748,447,51,44,12,0,559,218,42,38,4,3,313,70,24,11,3,0,108,29,17,11,4,0,61,6512,539,389,68,23,7535
207011522,41,4,4,397,354,79,46,18,3,496,357,75,47,12,0,497,306,69,41,13,9,438,271,58,34,12,0,369,124,43,39,9,0,218,40,22,15,5,4,88,11,24,17,0,0,52,3896,500,415,86,20,4911
207021156,30,5,5,278,229,58,32,7,6,331,267,50,36,8,3,366,214,39,28,10,0,297,153,34,30,0,0,219,77,26,12,5,4,116,30,16,10,3,0,56,18,5,0,7,3,33,2359,340,256,52,20,3028
207021157,43,13,6,729,659,84,50,15,10,808,653,70,80,15,0,823,560,75,58,13,6,711,410,54,44,3,0,517,166,39,25,10,4,239,60,17,17,6,3,107,29,5,16,13,0,68,8357,643,550,137,45,9735
207021159,31,18,0,249,173,46,38,6,0,262,175,70,45,18,5,306,170,60,42,6,0,279,117,44,33,8,0,208,78,37,25,9,0,150,24,26,10,6,0,66,9,25,12,11,0,48,1965,473,328,101,8,2883
207021160,47,12,3,371,311,43,23,8,0,394,304,54,38,14,0,409,270,39,47,4,3,365,204,21,29,4,3,263,81,18,18,4,0,111,23,5,11,3,0,47,10,12,7,9,0,42,2834,311,298,84,13,3534
207021424,36,15,0,285,181,42,40,13,0,274,160,40,28,6,4,240,205,45,35,12,0,296,127,42,28,8,0,210,69,23,19,4,0,113,16,8,3,0,0,34,15,6,11,0,0,23,2146,329,288,80,13,2853
207021425,47,11,5,485,332,82,48,9,5,470,351,67,48,9,4,469,331,59,44,11,0,449,251,41,28,8,0,334,122,33,21,7,3,186,34,21,11,3,0,71,14,6,11,0,0,35,3483,515,374,93,28,4488
207031161,68,16,0,858,655,123,77,10,0,867,675,131,83,14,3,905,553,113,71,14,7,756,445,79,50,14,4,599,167,41,31,6,0,247,51,25,24,15,4,111,36,16,13,5,0,72,6716,820,628,125,41,8331
207031162,21,5,0,152,117,16,23,9,0,169,140,32,37,5,0,212,112,23,25,0,4,159,97,21,27,0,0,147,51,6,16,0,3,82,21,9,7,3,0,41,7,4,3,3,0,12,1242,180,234,45,18,1718
207031163,69,21,3,2040,1773,150,75,25,11,2029,1714,111,77,12,5,1922,1533,111,69,17,12,1751,1085,81,70,16,3,1250,431,50,40,9,0,526,131,26,24,7,3,185,55,8,15,0,0,79,18060,1019,694,177,75,20027
207031164,31,13,4,284,208,79,45,15,0,351,209,68,63,16,0,349,184,38,46,8,0,274,144,37,45,0,6,224,54,20,21,3,3,101,15,13,9,3,0,47,9,8,13,5,0,29,1887,411,391,83,25,2791
207031165,37,3,0,880,706,55,30,8,0,799,645,72,27,4,0,758,547,59,29,8,4,637,413,33,17,8,0,482,163,22,15,3,0,206,54,14,0,6,0,68,29,4,5,7,0,48,6989,399,301,59,32,7783
207031166,20,8,3,623,549,42,33,3,0,636,517,31,22,4,0,577,428,22,26,0,0,473,310,18,15,6,0,357,108,9,12,4,0,134,23,6,14,4,0,46,16,0,9,0,3,30,5369,257,229,48,27,5932
207031167,29,5,0,309,234,43,34,11,3,325,248,43,26,3,0,327,204,51,20,9,0,281,176,29,31,4,0,237,81,40,16,5,0,145,27,16,7,6,0,55,3,9,11,0,0,33,2414,314,240,44,11,3022
208011168,42,6,0,277,166,72,64,10,0,313,176,76,65,12,4,330,129,76,46,3,0,249,111,60,43,10,3,230,47,51,34,10,0,137,34,23,18,11,0,79,9,17,8,5,0,37,1695,477,397,63,19,2651
208011169,88,17,7,896,666,210,106,20,8,1011,708,215,128,27,5,1080,648,213,106,15,10,991,465,136,119,24,9,744,242,98,73,28,4,442,98,88,43,17,3,251,39,55,37,30,4,159,7829,1338,890,207,60,10327
208011170,32,4,0,339,253,93,64,19,0,428,279,69,66,15,4,422,241,78,57,16,0,387,159,69,45,9,0,281,62,47,43,9,0,153,25,28,8,11,0,74,16,13,17,8,0,53,2627,541,440,87,6,3698
