POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
211031451,3,22,0,0,24,1407,1704,151,45,3300
211031452,0,7,0,3,18,1971,720,61,38,2784
211041269,4,27,3,0,32,2333,2427,303,67,5137
211041270,8,36,0,0,42,4275,2669,288,91,7324
211041271,3,24,9,0,38,4126,2617,346,123,7205
211041272,0,18,0,0,24,1572,1108,91,43,2815
211041273,10,15,0,0,24,1052,1399,141,48,2631
211051274,0,8,0,0,14,1057,1097,153,23,2330
211051275,0,16,0,0,26,1741,1988,270,70,4075
211051276,10,28,3,0,45,2104,2215,442,85,4845
211051277,4,16,0,0,18,3054,1126,138,58,4381
211051278,10,32,3,4,47,5549,3967,604,171,10287
211051279,6,13,5,0,24,1193,879,135,37,2254
211051280,0,10,0,0,14,713,576,58,18,1371
211051281,0,22,0,5,28,1762,1897,200,59,3927
211051282,5,24,0,0,33,810,1008,207,28,2062
211051283,5,9,0,0,13,1044,1124,111,33,2316
211051284,0,10,0,0,10,710,938,100,20,1765
211051285,12,20,3,0,38,965,835,106,39,1938
211051286,10,17,0,0,27,1682,1627,242,103,3659
212011289,4,20,3,4,38,1571,1726,237,92,3625
212011546,3,20,0,0,25,2702,2255,281,82,5310
212011547,21,23,0,0,56,1487,1035,138,58,2723
212011548,18,31,9,3,62,1703,1248,160,62,3176
212011549,0,3,0,0,4,717,1084,100,43,1942
212011550,4,9,0,0,7,1615,847,124,58,2640
212011551,8,3,0,4,15,3529,1777,256,95,5659
212011552,7,13,0,0,15,3767,2253,283,125,6430
212021293,0,34,0,0,38,4973,4733,546,155,10402
212021295,0,11,0,0,10,1120,838,71,43,2071
212021297,14,32,3,6,53,8959,2784,350,227,12319
212021299,0,9,0,0,16,832,666,78,36,1616
212021453,0,3,0,4,10,664,557,49,42,1310
212021454,5,8,0,0,16,771,1071,118,39,1989
212021455,4,0,4,0,6,498,441,49,25,1022
212021456,10,22,0,6,43,4845,5589,848,193,11473
212021553,0,4,0,0,8,1119,1000,100,34,2256
212021554,0,5,0,0,3,544,799,83,17,1437
212031300,3,19,0,3,27,3816,3916,482,181,8398
212031303,9,10,0,0,21,1959,1150,142,60,3309
212031304,0,3,0,3,8,1915,1467,133,61,3578
212031306,0,7,0,0,11,1942,1305,157,78,3484
212031308,0,13,0,0,18,1140,777,90,32,2046
212031457,0,0,0,0,6,669,913,82,32,1701
212031458,0,3,0,0,9,877,699,78,32,1679
212031555,0,0,0,0,0,579,572,56,19,1226
212031556,0,0,0,0,0,980,646,55,43,1724
212031557,0,3,0,0,3,1475,1165,114,60,2818
212031558,6,0,0,3,5,714,572,97,20,1399
212031559,0,0,0,0,0,746,587,45,30,1413
212031560,0,0,0,0,3,532,505,58,19,1110
212031561,0,0,0,0,0,364,396,46,12,815
212031562,0,4,0,0,4,800,756,60,37,1650
212041309,5,12,0,0,20,2276,1187,130,55,3648
212041310,5,14,0,4,29,4698,1707,218,127,6754
212041312,0,6,0,0,7,1032,1028,112,58,2229
212041313,6,9,3,0,18,978,734,92,40,1842
212041316,9,7,0,0,15,3149,1113,159,84,4498
212041317,6,35,3,7,48,6161,4101,449,229,10938
