POW_SA2_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
203021037,108,0,0,108,0,113,0,3,0,4,0,0,0,0,117,0,0,117,0,123,0,8,0,11,24,0,0,26,51,0,0,51,0,90,4,13,0,20,61,0,0,62,4,0,0,4,0,82,12,52,0,70,180,26,0,203,4,3,0,4,4,284,14,23,0,38,42,33,0,82,0,8,0,7,3,124,16,65,0,77,29,75,0,105,6,30,0,37,4,229,58,159,0,223,338,140,0,479,351,37,0,386,19,1097
203021039,161,0,0,161,0,162,7,13,0,25,0,0,0,0,182,0,0,182,0,209,19,30,0,48,88,7,0,94,108,3,0,113,0,256,22,49,0,67,174,14,0,183,6,0,0,10,0,259,100,208,0,308,832,196,0,1029,17,18,0,42,15,1394,59,118,0,179,254,266,0,529,28,36,0,69,4,784,94,425,3,518,225,733,3,962,25,175,0,209,63,1747,300,844,3,1147,1570,1220,3,2801,616,241,0,860,83,4893
203021040,103,0,0,103,0,104,0,0,0,0,0,0,0,0,90,0,0,90,3,89,0,4,0,6,21,0,0,30,44,0,0,44,0,84,3,15,0,16,45,0,0,47,0,0,0,0,0,69,36,45,0,78,204,21,0,226,6,3,0,14,0,319,15,42,0,58,55,26,0,83,5,4,0,8,0,154,25,87,0,112,39,90,0,129,8,25,0,32,11,283,78,195,0,272,370,144,0,521,294,36,0,329,13,1137
203021042,50,0,0,50,0,53,0,0,0,5,0,0,0,0,41,0,0,41,0,46,0,4,0,5,18,4,0,16,32,0,0,32,0,59,0,13,0,10,36,0,0,40,0,0,0,0,0,49,13,31,0,44,192,36,0,231,0,7,0,3,0,281,5,11,0,15,79,47,0,126,14,10,0,21,0,166,17,71,0,94,74,184,0,254,12,28,0,34,13,398,45,134,0,178,391,275,0,668,189,42,0,229,15,1090
203021043,80,0,0,80,0,81,3,4,0,9,0,0,0,0,74,0,0,74,0,77,4,18,0,23,18,0,0,19,42,0,0,42,0,82,3,3,0,5,42,3,0,47,0,0,0,6,0,60,26,65,0,95,135,41,0,177,8,12,0,22,5,297,16,33,0,49,29,33,0,61,7,14,0,13,5,128,19,79,0,99,22,73,0,96,8,25,0,36,12,245,81,211,0,284,243,152,0,396,263,55,0,317,24,1023
203021044,53,0,0,53,0,57,0,4,0,4,0,0,0,0,67,0,0,67,0,70,0,4,0,5,15,3,0,15,33,0,0,34,0,54,3,6,0,10,24,0,0,29,0,0,0,4,0,40,12,23,0,26,83,9,0,90,0,3,0,3,4,129,8,8,0,21,12,9,0,21,0,0,0,4,0,44,4,22,0,30,10,11,0,23,0,8,0,9,4,69,28,65,0,96,153,31,0,184,192,16,0,211,10,496
203021045,57,0,0,57,0,68,0,10,0,6,0,0,0,0,58,0,0,58,0,67,4,10,0,14,14,0,0,14,29,0,0,29,0,63,0,18,0,18,20,0,0,20,0,0,0,0,0,41,25,45,0,71,60,23,0,85,6,9,0,13,0,164,11,26,0,41,32,18,0,50,4,13,0,13,0,111,22,68,0,88,28,42,0,69,3,23,0,29,15,200,68,176,0,243,147,81,0,234,200,45,0,243,22,739
203021046,46,0,0,46,0,46,0,4,0,4,0,0,0,0,52,0,0,51,0,54,3,0,0,10,17,3,0,16,17,0,0,18,0,45,5,11,0,15,52,5,0,52,3,0,0,5,0,74,16,36,0,51,142,25,0,165,4,9,0,10,0,236,4,16,0,21,23,24,0,41,6,5,0,14,0,79,11,60,0,77,18,83,0,97,4,15,0,19,10,207,50,131,0,174,246,138,0,383,154,33,0,187,19,767
203021047,28,0,0,28,0,28,0,8,0,8,0,0,0,0,43,0,0,43,0,45,4,6,0,12,15,0,0,15,12,0,0,12,0,35,5,14,0,21,32,3,0,33,0,0,0,0,0,51,37,76,0,111,160,64,0,222,12,8,0,23,4,360,18,58,0,72,62,55,0,120,16,28,0,38,0,231,37,142,0,185,45,150,0,192,13,44,0,60,32,471,102,313,0,409,313,269,0,577,144,81,0,227,39,1252
203021485,4,0,0,4,0,8,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,6,0,0,3,0,0,0,0,0,8,8,10,0,21,22,7,0,26,3,0,0,3,0,49,3,10,0,15,16,4,0,18,7,0,0,7,0,39,9,21,0,31,11,10,0,20,4,3,0,5,0,57,23,48,0,74,52,22,0,76,21,3,0,26,0,172
