hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y25H6340303,Y25H6340303P01,Y25H6340303P01JTW0283,Weekday,FROM_HOME,Y25H6340303P01S01,473,Boroondara (C),TO_WORK,Y25H6340303P01S01,503.0,Melbourne (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,473.0,,,,,,,,,,,,,,,503.0,,,,,,,,,,,,,,,10.34297,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,10.34297,30.0,1333.808042155,MELB - Inner,Greater Melbourne
Y25H6340305,Y25H6340305P01,Y25H6340305P01JTW0284,Weekday,FROM_HOME,Y25H6340305P01S01,470,Boroondara (C),TO_WORK,Y25H6340305P01S01,510.0,Melbourne (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,470.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,11.77621,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,Vehicle Driver,40,11.77621,40.0,1389.784884828,MELB - Inner,Greater Melbourne
Y25H6340308,Y25H6340308P01,Y25H6340308P01JTW0285,Weekday,FROM_HOME,Y25H6340308P01S01,527,Boroondara (C),TO_WORK,Y25H6340308P01S01,546.0,Boroondara (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,527.0,,,,,,,,,,,,,,,546.0,,,,,,,,,,,,,,,7.41157,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,Vehicle Driver,19,7.41157,19.0,1725.984994889,MELB - Inner,Greater Melbourne
Y25H6340318,Y25H6340318P01,Y25H6340318P01JTW0286,Weekday,FROM_HOME,Y25H6340318P01S01,426,Boroondara (C),TO_WORK,Y25H6340318P01S03,478.0,Nillumbik (S),Vehicle Driver,Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,Buy Something,Buy Something,Work Related,,,,,,,,,,,,,Entertainment venue,Retail venue,Place of work,,,,,,,,,,,,,426.0,435.0,450.0,,,,,,,,,,,,,427.0,445.0,478.0,,,,,,,,,,,,,0.7497,5.20325,16.75728,,,,,,,,,,,,,1.0,10.0,28.0,,,,,,,,,,,,,Vehicle Driver,39,22.710230000000003,52.0,899.253022308,MELB - Inner,Greater Melbourne
Y25H6340318,Y25H6340318P03,Y25H6340318P03JTW0287,Weekday,FROM_HOME,Y25H6340318P03S01,390,Boroondara (C),TO_WORK,Y25H6340318P03S01,400.0,Boroondara (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,390.0,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,3.65464,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Driver,10,3.65464,10.0,1147.054295912,MELB - Inner,Greater Melbourne
Y25H6340318,Y25H6340318P03,Y25H6340318P03JTW0288,Weekday,FROM_HOME,Y25H6340318P03S03,985,Boroondara (C),TO_WORK,Y25H6340318P03S03,990.0,Boroondara (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,985.0,,,,,,,,,,,,,,,990.0,,,,,,,,,,,,,,,3.65464,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Driver,5,3.65464,5.0,1147.054295912,MELB - Inner,Greater Melbourne
Y25H6340331,Y25H6340331P01,Y25H6340331P01JTW0289,Weekday,FROM_HOME,Y25H6340331P01S01,705,Boroondara (C),TO_WORK,Y25H6340331P01S05,745.0,Melbourne (C),Walking,Train,Walking,Tram,Walking,,,,,,,,,,,Change Mode,Change Mode,Change Mode,Change Mode,Work Related,,,,,,,,,,,Transport Feature,Transport Feature,Transport Feature,Transport Feature,Place of work,,,,,,,,,,,705.0,715.0,729.0,737.0,743.0,,,,,,,,,,,707.0,729.0,733.0,743.0,745.0,,,,,,,,,,,0.19764,8.93085,0.16728,1.39662,0.12078,,,,,,,,,,,2.0,14.0,4.0,6.0,2.0,,,,,,,,,,,Train,28,10.81317,40.0,1145.404515409,MELB - Inner,Greater Melbourne
Y25H6340401,Y25H6340401P01,Y25H6340401P01JTW0290,Weekday,FROM_HOME,Y25H6340401P01S01,420,Merri-bek (C),TO_WORK,Y25H6340401P01S01,435.0,Darebin (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,435.0,,,,,,,,,,,,,,,3.07351,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,3.07351,15.0,699.517436424,MELB - Inner,Greater Melbourne
Y25H6340402,Y25H6340402P01,Y25H6340402P01JTW0291,Weekday,FROM_HOME,Y25H6340402P01S01,450,Merri-bek (C),TO_WORK,Y25H6340402P01S01,480.0,Moonee Valley (C),Bicycle,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,6.50305,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Bicycle,30,6.50305,30.0,351.243573364,MELB - Inner,Greater Melbourne
Y25H6340402,Y25H6340402P02,Y25H6340402P02JTW0292,Weekday,FROM_HOME,Y25H6340402P02S01,480,Merri-bek (C),TO_WORK,Y25H6340402P02S02,555.0,Brimbank (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,,Place of education,Place of work,,,,,,,,,,,,,,480.0,510.0,,,,,,,,,,,,,,490.0,555.0,,,,,,,,,,,,,,0.70019,16.39765,,,,,,,,,,,,,,10.0,45.0,,,,,,,,,,,,,,Vehicle Driver,55,17.097839999999998,75.0,466.013650905,MELB - Inner,Greater Melbourne
Y25H6340404,Y25H6340404P02,Y25H6340404P02JTW0293,Weekday,FROM_HOME,Y25H6340404P02S03,505,Merri-bek (C),TO_WORK,Y25H6340404P02S03,539.0,Melbourne (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,539.0,,,,,,,,,,,,,,,7.40458,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,Vehicle Driver,34,7.40458,34.0,289.815832081,MELB - Inner,Greater Melbourne
Y25H6340408,Y25H6340408P01,Y25H6340408P01JTW0294,Weekday,FROM_HOME,Y25H6340408P01S03,660,Merri-bek (C),TO_WORK,Y25H6340408P01S03,690.0,Melbourne (C),Bicycle,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,660.0,,,,,,,,,,,,,,,690.0,,,,,,,,,,,,,,,7.14852,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Bicycle,30,7.14852,30.0,669.48760121,MELB - Inner,Greater Melbourne
Y25H6340410,Y25H6340410P02,Y25H6340410P02JTW0295,Weekday,FROM_HOME,Y25H6340410P02S01,652,Merri-bek (C),TO_WORK,Y25H6340410P02S01,668.0,Yarra (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,652.0,,,,,,,,,,,,,,,668.0,,,,,,,,,,,,,,,6.01755,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,Vehicle Driver,16,6.01755,16.0,223.821794153,MELB - Inner,Greater Melbourne
Y25H6340411,Y25H6340411P01,Y25H6340411P01JTW0296,Weekday,FROM_HOME,Y25H6340411P01S01,495,Merri-bek (C),TO_WORK,Y25H6340411P01S01,510.0,Moonee Valley (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,8.59284,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,8.59284,15.0,627.680117286,MELB - Inner,Greater Melbourne
Y25H6340415,Y25H6340415P01,Y25H6340415P01JTW0297,Weekday,FROM_HOME,Y25H6340415P01S01,515,Merri-bek (C),TO_WORK,Y25H6340415P01S01,522.0,Merri-bek (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,515.0,,,,,,,,,,,,,,,522.0,,,,,,,,,,,,,,,2.69387,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,Vehicle Driver,7,2.69387,7.0,341.257601715,MELB - Inner,Greater Melbourne
Y25H6340415,Y25H6340415P02,Y25H6340415P02JTW0298,Weekday,FROM_HOME,Y25H6340415P02S01,555,Merri-bek (C),TO_WORK,Y25H6340415P02S01,564.0,Merri-bek (C),Walking,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,555.0,,,,,,,,,,,,,,,564.0,,,,,,,,,,,,,,,0.68358,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,Walking,9,0.68358,9.0,686.789578843,MELB - Inner,Greater Melbourne
Y25H6340418,Y25H6340418P02,Y25H6340418P02JTW0299,Weekday,FROM_HOME,Y25H6340418P02S01,440,Merri-bek (C),TO_WORK,Y25H6340418P02S01,464.0,Brimbank (C),Motorcycle,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,440.0,,,,,,,,,,,,,,,464.0,,,,,,,,,,,,,,,18.93975,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,Motorcycle,24,18.93975,24.0,231.666044744,MELB - Inner,Greater Melbourne
Y25H6340419,Y25H6340419P01,Y25H6340419P01JTW0300,Weekday,FROM_HOME,Y25H6340419P01S01,492,Merri-bek (C),TO_WORK,Y25H6340419P01S03,533.0,Melbourne (C),Walking,Tram,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Work Related,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of work,,,,,,,,,,,,,492.0,497.0,528.0,,,,,,,,,,,,,497.0,527.0,533.0,,,,,,,,,,,,,0.45872,5.35014,0.26347,,,,,,,,,,,,,5.0,30.0,5.0,,,,,,,,,,,,,Tram,40,6.072329999999999,41.0,656.065136872,MELB - Inner,Greater Melbourne
Y25H6340424,Y25H6340424P01,Y25H6340424P01JTW0301,Weekday,FROM_HOME,Y25H6340424P01S01,480,Merri-bek (C),TO_WORK,Y25H6340424P01S01,505.0,Melbourne (C),Bicycle,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,8.29859,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,Bicycle,25,8.29859,25.0,1194.232522284,MELB - Inner,Greater Melbourne
Y25H6340426,Y25H6340426P02,Y25H6340426P02JTW0302,Weekday,FROM_HOME,Y25H6340426P02S01,555,Merri-bek (C),TO_WORK,Y25H6340426P02S01,585.0,Hume (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,555.0,,,,,,,,,,,,,,,585.0,,,,,,,,,,,,,,,18.54618,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,18.54618,30.0,800.864866392,MELB - Inner,Greater Melbourne
Y25H6340428,Y25H6340428P01,Y25H6340428P01JTW0303,Weekend,FROM_HOME,Y25H6340428P01S01,365,Merri-bek (C),TO_WORK,Y25H6340428P01S02,395.0,Yarra (C),Vehicle Driver,Walking,,,,,,,,,,,,,,Change Mode,Work Related,,,,,,,,,,,,,,Transport Feature,Place of work,,,,,,,,,,,,,,365.0,385.0,,,,,,,,,,,,,,385.0,395.0,,,,,,,,,,,,,,5.9334,0.72287,,,,,,,,,,,,,,20.0,10.0,,,,,,,,,,,,,,Vehicle Driver,30,6.65627,30.0,2015.467779206,MELB - Inner,Greater Melbourne
Y25H6340431,Y25H6340431P03,Y25H6340431P03JTW0304,Weekday,FROM_HOME,Y25H6340431P03S01,420,Merri-bek (C),TO_WORK,Y25H6340431P03S01,435.0,Darebin (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,435.0,,,,,,,,,,,,,,,8.62783,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,8.62783,15.0,953.299759187,MELB - Inner,Greater Melbourne
Y25H6340434,Y25H6340434P03,Y25H6340434P03JTW0305,Weekend,FROM_HOME,Y25H6340434P03S01,696,Merri-bek (C),TO_WORK,Y25H6340434P03S01,715.0,Yarra (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,696.0,,,,,,,,,,,,,,,715.0,,,,,,,,,,,,,,,5.06976,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,Vehicle Passenger,19,5.06976,19.0,2366.358459146,MELB - Inner,Greater Melbourne
Y25H6340434,Y25H6340434P04,Y25H6340434P04JTW0306,Weekend,FROM_HOME,Y25H6340434P04S01,465,Merri-bek (C),TO_WORK,Y25H6340434P04S01,477.0,Yarra (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,465.0,,,,,,,,,,,,,,,477.0,,,,,,,,,,,,,,,5.06976,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,Vehicle Passenger,12,5.06976,12.0,480.377219978,MELB - Inner,Greater Melbourne
Y25H6340435,Y25H6340435P01,Y25H6340435P01JTW0307,Weekend,FROM_HOME,Y25H6340435P01S04,520,Merri-bek (C),TO_WORK,Y25H6340435P01S04,540.0,Melbourne (C),Bicycle,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,540.0,,,,,,,,,,,,,,,5.73109,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Bicycle,20,5.73109,20.0,2908.248029225,MELB - Inner,Greater Melbourne
Y25H6340513,Y25H6340513P02,Y25H6340513P02JTW0308,Weekend,FROM_HOME,Y25H6340513P02S01,450,Moorabool (S),TO_WORK,Y25H6340513P02S01,452.0,Moorabool (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,452.0,,,,,,,,,,,,,,,1.17477,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,Vehicle Driver,2,1.17477,2.0,1151.449521916,MELB - Outer,Greater Melbourne
Y25H6340523,Y25H6340523P01,Y25H6340523P01JTW0309,Weekday,FROM_HOME,Y25H6340523P01S03,510,Moorabool (S),TO_WORK,Y25H6340523P01S03,570.0,Greater Geelong (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,570.0,,,,,,,,,,,,,,,71.33509,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,Vehicle Driver,60,71.33509,60.0,402.647121042,MELB - Outer,Greater Melbourne
Y25H6340523,Y25H6340523P02,Y25H6340523P02JTW0310,Weekday,FROM_HOME,Y25H6340523P02S01,420,Moorabool (S),TO_WORK,Y25H6340523P02S02,540.0,Wyndham (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Work Related,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,420.0,510.0,,,,,,,,,,,,,,480.0,540.0,,,,,,,,,,,,,,48.95671,27.37366,,,,,,,,,,,,,,60.0,30.0,,,,,,,,,,,,,,Vehicle Driver,90,76.33037,120.0,442.733588797,MELB - Outer,Greater Melbourne
Y25H6340533,Y25H6340533P04,Y25H6340533P04JTW0311,Weekday,FROM_HOME,Y25H6340533P04S01,240,Moorabool (S),TO_WORK,Y25H6340533P04S01,317.0,Wyndham (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,317.0,,,,,,,,,,,,,,,46.05861,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,Vehicle Driver,77,46.05861,77.0,2528.286029576,MELB - Outer,Greater Melbourne
Y25H6340540,Y25H6340540P02,Y25H6340540P02JTW0312,Weekday,FROM_HOME,Y25H6340540P02S01,278,Moorabool (S),TO_WORK,Y25H6340540P02S01,321.0,Hume (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,278.0,,,,,,,,,,,,,,,321.0,,,,,,,,,,,,,,,52.96739,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,Vehicle Driver,43,52.96739,43.0,305.622366599,MELB - Outer,Greater Melbourne
Y25H6340540,Y25H6340540P02,Y25H6340540P02JTW0313,Weekday,FROM_HOME,Y25H6340540P02S07,828,Moorabool (S),TO_WORK,Y25H6340540P02S07,886.0,Hume (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,828.0,,,,,,,,,,,,,,,886.0,,,,,,,,,,,,,,,52.96799,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,Vehicle Driver,58,52.96799,58.0,305.622366599,MELB - Outer,Greater Melbourne
Y25H6340541,Y25H6340541P02,Y25H6340541P02JTW0314,Weekend,FROM_HOME,Y25H6340541P02S01,360,Moorabool (S),TO_WORK,Y25H6340541P02S01,370.0,Moorabool (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,370.0,,,,,,,,,,,,,,,2.06424,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Driver,10,2.06424,10.0,234.084338078,MELB - Outer,Greater Melbourne
Y25H6350102,Y25H6350102P01,Y25H6350102P01JTW0315,Weekday,FROM_HOME,Y25H6350102P01S01,390,Frankston (C),TO_WORK,Y25H6350102P01S01,410.0,Kingston (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,390.0,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,17.1104,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Vehicle Driver,20,17.1104,20.0,515.326699007,MELB - Outer,Greater Melbourne
Y25H6350102,Y25H6350102P02,Y25H6350102P02JTW0316,Weekday,FROM_HOME,Y25H6350102P02S01,360,Frankston (C),TO_WORK,Y25H6350102P02S03,450.0,Melbourne (C),Walking,Train,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Work Related,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of work,,,,,,,,,,,,,360.0,378.0,440.0,,,,,,,,,,,,,375.0,440.0,450.0,,,,,,,,,,,,,1.71072,38.67161,0.64344,,,,,,,,,,,,,15.0,62.0,10.0,,,,,,,,,,,,,Train,87,41.02577,90.0,525.21819754,MELB - Outer,Greater Melbourne
Y25H6350103,Y25H6350103P01,Y25H6350103P01JTW0317,Weekday,FROM_HOME,Y25H6350103P01S02,1290,Frankston (C),TO_WORK,Y25H6350103P01S02,1310.0,Frankston (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,1290.0,,,,,,,,,,,,,,,1310.0,,,,,,,,,,,,,,,11.82479,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Vehicle Driver,20,11.82479,20.0,332.167634401,MELB - Outer,Greater Melbourne
Y25H6350104,Y25H6350104P01,Y25H6350104P01JTW0318,Weekday,FROM_HOME,Y25H6350104P01S01,435,Frankston (C),TO_WORK,Y25H6350104P01S01,530.0,Hobsons Bay (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,435.0,,,,,,,,,,,,,,,530.0,,,,,,,,,,,,,,,51.0134,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,Vehicle Driver,95,51.0134,95.0,1141.16534411,MELB - Outer,Greater Melbourne
Y25H6350109,Y25H6350109P01,Y25H6350109P01JTW0319,Weekday,FROM_HOME,Y25H6350109P01S02,960,Frankston (C),TO_WORK,Y25H6350109P01S03,1050.0,Melbourne (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Buy Something,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,960.0,985.0,,,,,,,,,,,,,,970.0,1050.0,,,,,,,,,,,,,,3.32364,42.04804,,,,,,,,,,,,,,10.0,65.0,,,,,,,,,,,,,,Vehicle Driver,75,45.37168,90.0,594.814366215,MELB - Outer,Greater Melbourne
Y25H6350109,Y25H6350109P02,Y25H6350109P02JTW0320,Weekday,FROM_HOME,Y25H6350109P02S01,510,Frankston (C),TO_WORK,Y25H6350109P02S01,580.0,Melbourne (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,580.0,,,,,,,,,,,,,,,44.80187,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,Vehicle Driver,70,44.80187,70.0,405.310634533,MELB - Outer,Greater Melbourne
Y25H6350117,Y25H6350117P01,Y25H6350117P01JTW0321,Weekday,FROM_HOME,Y25H6350117P01S01,570,Frankston (C),TO_WORK,Y25H6350117P01S02,600.0,Kingston (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,,Transport Feature,Place of work,,,,,,,,,,,,,,570.0,575.0,,,,,,,,,,,,,,575.0,600.0,,,,,,,,,,,,,,1.67442,9.96428,,,,,,,,,,,,,,5.0,25.0,,,,,,,,,,,,,,Vehicle Driver,30,11.6387,30.0,477.370922754,MELB - Outer,Greater Melbourne
Y25H6350126,Y25H6350126P01,Y25H6350126P01JTW0322,Weekday,FROM_HOME,Y25H6350126P01S01,493,Kingston (C),TO_WORK,Y25H6350126P01S03,595.0,Melbourne (C),Walking,Train,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Work Related,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of work,,,,,,,,,,,,,493.0,517.0,585.0,,,,,,,,,,,,,510.0,585.0,595.0,,,,,,,,,,,,,1.39382,37.94405,0.5761,,,,,,,,,,,,,17.0,68.0,10.0,,,,,,,,,,,,,Train,95,39.91396999999999,102.0,577.6426215,MELB - Outer,Greater Melbourne
Y25H6350131,Y25H6350131P02,Y25H6350131P02JTW0323,Weekday,FROM_HOME,Y25H6350131P02S01,494,Kingston (C),TO_WORK,Y25H6350131P02S02,507.0,Greater Dandenong (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Buy Something,Work Related,,,,,,,,,,,,,,Entertainment venue,Place of work,,,,,,,,,,,,,,494.0,501.0,,,,,,,,,,,,,,497.0,507.0,,,,,,,,,,,,,,2.00859,3.99245,,,,,,,,,,,,,,3.0,6.0,,,,,,,,,,,,,,Vehicle Driver,9,6.00104,13.0,546.971050902,MELB - Outer,Greater Melbourne
Y25H6350204,Y25H6350204P02,Y25H6350204P02JTW0324,Weekday,FROM_HOME,Y25H6350204P02S01,353,Greater Dandenong (C),TO_WORK,Y25H6350204P02S01,398.0,Merri-bek (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,353.0,,,,,,,,,,,,,,,398.0,,,,,,,,,,,,,,,39.60381,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,Vehicle Driver,45,39.60381,45.0,792.946623336,MELB - Middle,Greater Melbourne
Y25H6350207,Y25H6350207P01,Y25H6350207P01JTW0325,Weekend,FROM_HOME,Y25H6350207P01S01,245,Greater Dandenong (C),TO_WORK,Y25H6350207P01S01,255.0,Greater Dandenong (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,245.0,,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,7.65809,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Driver,10,7.65809,10.0,1752.096759722,MELB - Middle,Greater Melbourne
Y25H6350222,Y25H6350222P01,Y25H6350222P01JTW0326,Weekday,FROM_HOME,Y25H6350222P01S01,540,Monash (C),TO_WORK,Y25H6350222P01S01,560.0,Greater Dandenong (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,540.0,,,,,,,,,,,,,,,560.0,,,,,,,,,,,,,,,11.89289,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Vehicle Driver,20,11.89289,20.0,983.560758697,MELB - Middle,Greater Melbourne
Y25H6350227,Y25H6350227P01,Y25H6350227P01JTW0327,Weekend,FROM_HOME,Y25H6350227P01S03,450,Monash (C),TO_WORK,Y25H6350227P01S03,480.0,Casey (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,32.40947,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,32.40947,30.0,1445.329590056,MELB - Middle,Greater Melbourne
