persid,hhid,persno,travdow,agegroup,sex,relationship,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,anzsco1,anzsco2,anzsic1,anzsic2,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight,perspoststratweight_GROUP_1,perspoststratweight_GROUP_2,perspoststratweight_GROUP_3,perspoststratweight_GROUP_4,perspoststratweight_GROUP_5,perspoststratweight_GROUP_6,perspoststratweight_GROUP_7,perspoststratweight_GROUP_8,perspoststratweight_GROUP_9,perspoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6390129P01,Y25H6390129,1,Monday,60->64,Male,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$1,500-$1,749 ($78,000-$90,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,546.190731497,1029.180643818,506.099998958,627.779410542,605.456312364,464.945009639,555.297527067,552.517268562,744.939146638,730.626804244,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390129P02,Y25H6390129,2,Monday,60->64,Female,Spouse,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$1,250-$1,499 ($65,000-$77,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,624.008770667,1353.149842911,593.824797673,695.767175734,677.424816665,564.985451339,631.32530938,628.955983786,743.626165067,825.081121551,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390132P01,Y25H6390132,1,Thursday,70->74,Male,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At another location,4,"$2,000-$2,999 ($104,000-$155,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,288.818778233,391.014994069,281.342027063,324.448087767,366.505497515,245.395835442,283.453538727,283.030985156,654.406014985,214.534957757,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390132P02,Y25H6390132,2,Thursday,70->74,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Managers,Specialist Managers,Education and Training,Tertiary Education,At another location,10,"$1,250-$1,499 ($65,000-$77,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,160.729181568,217.700223007,175.756701408,139.618413203,210.175888326,122.533474875,156.252548904,157.65472706,373.013965725,175.563686531,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390133P01,Y25H6390133,1,Friday,55->59,Male,Self,Full Licence,Yes,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Self-Employed,Managers,Specialist Managers,Construction,Construction Services,At Home,4,"$2,000-$2,999 ($104,000-$155,999)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,No,No,354.364854387,507.813472395,403.119145618,388.004281294,478.995847711,369.379820148,347.73348582,361.367803697,465.939157336,367.106828137,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390133P02,Y25H6390133,2,Friday,50->54,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Clerical and Administrative Workers,General Clerical Workers,Construction,Construction Services,At Home,4,"$1,500-$1,749 ($78,000-$90,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,272.375866488,422.931593109,283.667961906,299.817698854,359.200755874,303.573998952,267.665906654,277.017858478,340.939882176,295.337644027,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390134P01,Y25H6390134,1,Saturday,50->54,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Legal Social and Welfare Professionals,Public Administration and Safety,Public Administration,At Home,6,"$2,000-$2,999 ($104,000-$155,999)",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not applicable,No,No,No,277.95014365,267.67727713,244.294392986,290.850857342,306.533087846,311.129810747,281.328745765,273.42477074,319.584393414,474.037744673,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390134P02,Y25H6390134,2,Saturday,50->54,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,4,"$1,000-$1,249 ($52,000-$64,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,317.550843403,351.937696919,286.639140065,322.349660046,342.969619104,378.074423654,319.846476529,311.25207384,319.021114627,535.320620269,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390134P03,Y25H6390134,3,Saturday,20->24,Male,Child,Green Probationary Licence,No,No,No,No,Yes,No,Yes,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,Clerical and Administrative Workers,Clerical and Office Support Workers,Public Administration and Safety,Public Administration,At Home,2,"$800-$999 ($41,600-$51,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,634.261329695,557.354966547,557.504474382,738.322509044,614.962211991,588.598042805,643.416973986,625.720406752,670.665349495,1573.832934773,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390134P04,Y25H6390134,4,Saturday,15->19,Female,Child,Green Probationary Licence,No,No,No,No,Yes,No,Yes,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,Sales Workers,Sales Assistants and Salespersons,Retail Trade,Food Retailing,At Home,2,"$150-$299 ($7,800-$15,599)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,666.315648922,668.847681787,589.043911089,771.172264531,588.978694353,531.479292718,672.00262141,649.248045689,927.328343157,1300.670290184,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390135P01,Y25H6390135,1,Sunday,50->54,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Technicians and Trades Workers,Construction Trades Workers,Construction,Construction Services,At Home,7,"$2,000-$2,999 ($104,000-$155,999)",Yes,No,No,No,No,No,Yes,No,No,Not applicable,Yes,No,No,328.231897489,436.686458486,357.457194391,382.796414257,494.425357031,434.321372436,328.983687586,338.793610204,350.096058512,267.702262943,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390135P02,Y25H6390135,2,Sunday,50->54,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Self-Employed,Managers,Hospitality Retail and Service Managers,Retail Trade,Other Store-Based Retailing,At Home,13,"$300-$399 ($15,600-$20,799)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,No,No,250.712841816,351.541804723,258.957175614,275.851531819,383.414246094,294.576652131,251.850109931,258.918008236,312.972954282,226.917028143,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390135P03,Y25H6390135,3,Sunday,20->24,Female,Child,Green Probationary Licence,No,No,No,No,No,Yes,Yes,Part-time TAFE/Uni,No other activity,Part-time TAFE/Uni,Paid Employee,Community and Personal Service Workers,Sports and Personal Service Workers,Arts and Recreation Services,Sports and Recreation Activities,At another location,2,"$1-$149 ($1-$7,799)",No,No,No,No,No,No,No,No,Yes,Not applicable,Yes,No,No,832.634947294,1127.824700874,789.607904076,1003.662656375,1344.286147047,950.710622613,835.857004852,852.337157801,878.25425303,800.09137504,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390135P04,Y25H6390135,4,Sunday,20->24,Male,Child,Green Probationary Licence,No,No,No,No,No,Yes,Yes,Part-time TAFE/Uni,No other activity,Part-time TAFE/Uni,Paid Employee,Labourers,Construction and Mining Labourers,Construction,Building Construction,At Home,7,"$1-$149 ($1-$7,799)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,749.000511443,909.264204533,815.753414709,971.725548999,991.908943209,821.652895139,752.406897424,775.31408368,734.695749473,888.787112138,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390136P01,Y25H6390136,1,Monday,55->59,Female,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,Keeping House,Part-time Work,Paid Employee,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Other Services,Personal and Other Services,At Home,2,"$650-$799 ($33,800-$41,599)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,531.611758127,556.368332264,738.809876762,488.252519733,474.208657853,629.695302191,530.932945582,541.191960412,552.456282209,693.931743533,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390136P02,Y25H6390136,2,Monday,50->54,Male,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,Keeping House,Full-time Work,Self-Employed,Technicians and Trades Workers,Construction Trades Workers,Construction,Construction Services,At Home,4,"$1,500-$1,749 ($78,000-$90,999)",No,No,No,No,No,No,No,No,No,Not applicable,Yes,Yes,Yes,468.242032835,437.790947671,611.622784758,472.390151659,409.85399381,627.912406824,469.559873735,476.879006348,452.994636574,583.212742448,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390136P03,Y25H6390136,3,Monday,20->24,Female,Child,Full Licence,No,No,No,No,Yes,No,Yes,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,Professionals,Education Professionals,Education and Training,Preschool and School Education,At Home,4,"$650-$799 ($33,800-$41,599)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,816.145374586,733.828204932,1011.165913698,864.140051445,637.62854512,805.681467953,822.123687338,834.022396073,849.831752928,1641.299189481,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390136P04,Y25H6390136,4,Monday,15->19,Female,Child,Red Probationary Licence,No,No,No,No,Yes,No,Yes,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,Sales Workers,Sales Assistants and Salespersons,Retail Trade,Other Store-Based Retailing,At Home,10,"$400-$499 ($20,800-$25,999)",No,No,No,No,No,No,No,No,No,Concession,No,No,No,750.46930765,669.785079793,910.541494542,814.390237609,545.808902301,598.680668596,755.245513374,760.210122119,1177.136303721,1201.144609661,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390136P05,Y25H6390136,5,Monday,15->19,Female,Child,No Car Licence,No,No,Yes,No,Yes,No,Yes,Secondary,No other activity,Secondary School,Paid Employee,Sales Workers,Sales Assistants and Salespersons,Retail Trade,Food Retailing,At Home,4,"$1-$149 ($1-$7,799)",No,No,No,No,No,No,No,No,No,Missing/Refused,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,239.498581492,229.515976208,329.152193024,181.937357089,214.880511464,207.711751336,239.201232578,244.307753523,304.93453416,418.516823846,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390140P01,Y25H6390140,1,Friday,50->54,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Self-Employed,Professionals,Legal Social and Welfare Professionals,Professional Scientific and Technical Services,Professional Scientific and Technical Services (Except Computer System Design and Related Services),At Home,6,Nil income,Yes,No,No,No,Yes,No,No,No,No,Not applicable,No,No,Yes,382.681645383,369.580406474,487.116823882,376.233385736,343.20649816,468.355429766,375.452691206,385.141173665,432.217531146,542.497338325,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390140P02,Y25H6390140,2,Friday,45->49,Male,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,ICT Professionals,Professional Scientific and Technical Services,Computer System Design and Related Services,At Home,4,"$1,250-$1,499 ($65,000-$77,999)",Yes,Yes,Yes,Yes,No,No,No,No,No,Not applicable,No,No,No,638.246841249,464.467009014,782.305328659,583.58041838,702.609339145,572.103905329,626.857421434,643.491030886,765.099129779,1265.768703953,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390140P03,Y25H6390140,3,Friday,20->24,Female,Child,Green Probationary Licence,No,No,No,No,No,Yes,Yes,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,Community and Personal Service Workers,Hospitality Workers,Accommodation and Food Services,Food and Beverage Services,At Home,2,Negative income,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1270.912607931,1185.696568034,1485.308501043,1368.893610467,1203.314028504,1511.560671955,1246.077526113,1267.853617254,1212.874402625,1912.802423543,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390140P04,Y25H6390140,4,Friday,15->19,Female,Child,Red Probationary Licence,No,No,No,No,No,Yes,Yes,Secondary,No other activity,Secondary School,Paid Employee,Community and Personal Service Workers,Hospitality Workers,Accommodation and Food Services,Food and Beverage Services,At Home,7,Negative income,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,372.950428045,370.844706526,483.493899283,288.208936975,405.516245902,389.693603379,362.55284299,371.388670719,435.200602572,487.747754996,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390140P05,Y25H6390140,5,Friday,15->19,Male,Child,No Car Licence,No,No,Yes,No,No,Yes,Yes,Secondary,No other activity,Secondary School,Paid Employee,Community and Personal Service Workers,Hospitality Workers,Accommodation and Food Services,Food and Beverage Services,At Home,4,Nil income,No,No,No,No,No,No,No,No,No,Missing/Refused,No,No,No,326.441032053,282.057597551,412.068109789,260.046237991,362.434863335,320.691613828,318.892168827,326.252804982,435.969013364,431.910965118,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390140P06,Y25H6390140,6,Friday,10->14,Female,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,5,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Concession,No,No,No,1551.465754836,1558.99394938,2609.132049532,1477.658579773,1425.417945635,1592.099297342,1505.172173091,1556.658104514,1293.231094038,3794.921999399,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390142P01,Y25H6390142,1,Sunday,55->59,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Hospitality Retail and Service Managers,Retail Trade,Other Store-Based Retailing,At Home,5,"$3,000-$3,499 ($156,000-$181,999)",Yes,No,No,No,No,Yes,Yes,Yes,Yes,Not applicable,No,No,No,440.44310611,449.083879874,452.78794443,462.38592761,484.199705834,491.060547897,441.05672479,457.05624475,430.112807112,677.717459796,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390142P02,Y25H6390142,2,Sunday,50->54,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Hospitality Retail and Service Managers,Retail Trade,Other Store-Based Retailing,At Home,0,"$2,000-$2,999 ($104,000-$155,999)",No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,338.538292329,374.018751135,318.619035509,357.293698761,363.103148305,403.577039463,339.500948114,350.370843304,314.724803594,545.224067087,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390142P03,Y25H6390142,3,Sunday,15->19,Male,Child,Green Probationary Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Design Engineering Science and Transport Professionals,Transport Postal and Warehousing,Water Transport,At Home,0,"$1,500-$1,749 ($78,000-$90,999)",No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,503.751426704,455.228373167,487.416114822,373.899388169,512.581308937,467.909994934,509.360475864,518.557178938,636.422211921,960.252304661,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390142P04,Y25H6390142,4,Sunday,15->19,Female,Child,Learners Permit,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Community and Personal Service Workers,Hospitality Workers,Accommodation and Food Services,Accommodation and Food Services (NEC),At Home,5,"$1-$149 ($1-$7,799)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,837.605232087,922.20582046,764.135815769,593.947731205,1002.29015491,969.997984008,840.357617665,849.136971252,849.517520487,1151.630618501,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390202P01,Y25H6390202,1,Tuesday,50->54,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Sales Workers,Sales Assistants and Salespersons,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,2,"$3,000-$3,499 ($156,000-$181,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,Yes,1279.977519543,0.0,2415.215356032,1322.167699923,1355.522676998,1270.905330852,1096.744604673,1584.231290641,1205.828079172,1307.860369992,1103.191489822,MELB - Outer,Greater Melbourne,Weekday
Y25H6390202P02,Y25H6390202,2,Tuesday,50->54,Male,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Clerical and Administrative Workers,Clerical and Office Support Workers,Agriculture Forestry and Fishing,Agriculture,At Home,2,"$300-$399 ($15,600-$20,799)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1346.745831116,0.0,2989.671391365,1376.303504089,1411.094483488,1321.689044908,1184.185042724,1718.973845091,1254.387132655,1369.96822688,1180.833473636,MELB - Outer,Greater Melbourne,Weekday
Y25H6390203P01,Y25H6390203,1,Wednesday,45->49,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Hospitality Retail and Service Managers,Professional Scientific and Technical Services,Computer System Design and Related Services,At another location,0,"$3,000-$3,499 ($156,000-$181,999)",Yes,Yes,No,No,No,Yes,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,790.1387102,0.0,1572.059831049,766.236446709,814.454755393,884.113018943,799.709408057,1086.331958299,734.973715638,784.352086429,804.411711494,MELB - Outer,Greater Melbourne,Weekday
Y25H6390203P02,Y25H6390203,2,Wednesday,40->44,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Specialist Managers,Public Administration and Safety,Public Administration,At Home,6,"$2,000-$2,999 ($104,000-$155,999)",Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not applicable,No,No,No,610.738404027,0.0,1074.6134697,632.560606664,618.531185381,621.294376646,552.389563387,825.603199932,571.49431122,649.233776003,679.357915639,MELB - Outer,Greater Melbourne,Weekday
Y25H6390203P03,Y25H6390203,3,Wednesday,15->19,Male,Child,No Car Licence,No,No,Yes,No,No,No,No,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,4,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,935.381517014,0.0,2049.264592152,972.421660866,973.365238072,991.934905731,1023.683433451,1262.640949722,837.960931278,905.875766152,910.900699869,MELB - Outer,Greater Melbourne,Weekday
Y25H6390203P04,Y25H6390203,4,Wednesday,10->14,Female,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,4,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1036.966942198,0.0,1740.015212398,1113.288865054,1041.814217763,1072.501173126,1036.269572181,1304.028809562,1144.981073875,1020.201298358,1043.289135338,MELB - Outer,Greater Melbourne,Weekday
Y25H6390206P01,Y25H6390206,1,Saturday,40->44,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Self-Employed,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Agriculture Forestry and Fishing,Forestry and Logging,At Home,1,"$1,000-$1,249 ($52,000-$64,999)",No,No,No,No,No,No,No,No,No,Not applicable,Yes,Missing/Refused,No,1613.965405728,0.0,3167.178426376,1546.488427025,1654.939227135,1494.795532917,1519.540552392,1820.188825648,1707.008702588,1805.002901945,1885.804060333,MELB - Outer,Greater Melbourne,Weekend
Y25H6390206P02,Y25H6390206,2,Saturday,35->39,Female,Sibling,Full Licence,No,No,No,No,No,No,No,No Study,Keeping House,Keeping House,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$400-$499 ($20,800-$25,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,2067.968149148,0.0,3115.527049718,1877.03982639,1946.180388808,2095.697413064,2255.038801166,2575.752607774,2204.2958617,2201.709077322,2042.406039015,MELB - Outer,Greater Melbourne,Weekend
Y25H6390206P03,Y25H6390206,3,Saturday,20->24,Male,Other relative,Learners Permit,No,No,No,No,No,No,No,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$1,000-$1,249 ($52,000-$64,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1946.214116279,0.0,3404.484338552,1726.759310017,1808.309163272,2071.148836204,2050.580953282,2452.163350376,2071.253686662,2091.202733413,2126.94335182,MELB - Outer,Greater Melbourne,Weekend
Y25H6390206P04,Y25H6390206,4,Saturday,15->19,Female,Other relative,Learners Permit,No,No,No,No,No,No,No,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1487.91546621,0.0,2739.03482017,1314.390956358,1589.530366668,1484.974595012,1674.507022374,1627.943378906,1510.509535558,1551.513061869,1477.808225603,MELB - Outer,Greater Melbourne,Weekend
Y25H6390206P05,Y25H6390206,5,Saturday,10->14,Male,Other relative,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1826.084966353,0.0,3563.590158915,1630.546347604,1843.664486616,1736.464081243,1976.16031533,1979.465676088,2233.522870727,1917.215342025,1939.220681428,MELB - Outer,Greater Melbourne,Weekend
Y25H6390206P06,Y25H6390206,6,Saturday,5->9,Female,Other relative,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Primary,No other activity,Primary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1630.182832922,0.0,2482.101633169,1496.088040298,1575.243095814,1618.123913278,1678.678602174,1846.045583616,1796.251778166,1766.096125845,1819.328822067,MELB - Outer,Greater Melbourne,Weekend
Y25H6390206P07,Y25H6390206,7,Saturday,5->9,Female,Other relative,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Primary,No other activity,Primary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1630.182832922,0.0,2482.101633169,1496.088040298,1575.243095814,1618.123913278,1678.678602174,1846.045583616,1796.251778166,1766.096125845,1819.328822067,MELB - Outer,Greater Melbourne,Weekend
Y25H6390208P01,Y25H6390208,1,Monday,55->59,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Specialist Managers,Professional Scientific and Technical Services,Computer System Design and Related Services,At Home,2,"$3,000-$3,499 ($156,000-$181,999)",No,No,No,No,No,No,No,No,No,Not applicable,Yes,No,No,1315.198294833,0.0,2593.766350795,1244.283362119,1215.268256688,1306.256498325,1371.062067028,1843.218635993,1301.133304845,1215.453029098,1395.289299128,MELB - Outer,Greater Melbourne,Weekday
Y25H6390208P02,Y25H6390208,2,Monday,50->54,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Community and Personal Service Workers,Hospitality Workers,Accommodation and Food Services,Food and Beverage Services,At Home,0,"$400-$499 ($20,800-$25,999)",No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1736.976684349,0.0,3244.859549544,1429.606869231,1649.170791208,1668.229641084,1663.165370496,2047.606798519,1815.05299254,1560.781522296,1751.382916852,MELB - Outer,Greater Melbourne,Weekday
Y25H6390208P03,Y25H6390208,3,Monday,25->29,Female,Child,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Education Professionals,Education and Training,Preschool and School Education,At Home,2,"$1,250-$1,499 ($65,000-$77,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1174.155041063,0.0,1810.179916399,1074.391388404,1060.022476666,1201.197881586,1259.87370768,1622.670279161,1148.519414242,1087.114639653,1206.092213955,MELB - Outer,Greater Melbourne,Weekday
Y25H6390208P04,Y25H6390208,4,Monday,20->24,Male,Child,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Technicians and Trades Workers,Construction Trades Workers,Construction,Construction Services,At Home,0,"$1,250-$1,499 ($65,000-$77,999)",No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1828.362259855,0.0,3192.036614425,1867.269176398,1598.594282507,1841.398694713,1916.632346857,2536.223503099,1834.874519359,1767.011420618,1786.593963288,MELB - Outer,Greater Melbourne,Weekday
