hhid,surveyperiod,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,hhinc_group,hhpoststratweight,hhpoststratweight_GROUP_1,hhpoststratweight_GROUP_2,hhpoststratweight_GROUP_3,hhpoststratweight_GROUP_4,hhpoststratweight_GROUP_5,hhpoststratweight_GROUP_6,hhpoststratweight_GROUP_7,hhpoststratweight_GROUP_8,hhpoststratweight_GROUP_9,hhpoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6390112,2024-25,3,Separate House,Being Purchased,2,2,October,Friday,Mornington Peninsula (S),5->9,30->34,45->49,"$3,000-$3,499 ($156,000-$181,999)",1187.976485637,1555.2869955,1290.163139254,1396.598498848,1647.658744149,1273.039096846,1170.973963499,1200.535209781,0.0,1796.347018887,960.388142253,MELB - Outer,Greater Melbourne,Weekday
Y25H6390113,2024-25,1,Separate House,Fully Owned,0,1,October,Saturday,Mornington Peninsula (S),80->84,80->84,80->84,"$400-$499 ($20,800-$25,999)",702.704938516,898.393987556,759.566213468,799.258215109,910.277232768,793.265187008,718.879628541,695.023329187,0.0,645.760106429,784.270562298,MELB - Outer,Greater Melbourne,Weekend
Y25H6390115,2024-25,1,Separate House,Fully Owned,0,1,October,Monday,Mornington Peninsula (S),70->74,70->74,70->74,"$500-$649 ($26,000-$33,799)",631.533697024,850.794056423,674.197143975,739.319554845,821.987640882,684.795465396,639.603954039,651.772569488,0.0,555.912492761,722.628374275,MELB - Outer,Greater Melbourne,Weekday
Y25H6390120,2024-25,2,Separate House,Fully Owned,0,2,October,Saturday,Mornington Peninsula (S),65->69,65->69,70->74,"$1,250-$1,499 ($65,000-$77,999)",911.847148034,1269.639985378,941.983475737,937.864134127,1205.981402034,849.413528744,926.730226258,896.469344815,0.0,1141.019402912,923.791223004,MELB - Outer,Greater Melbourne,Weekend
Y25H6390122,2024-25,6,Separate House,Being Purchased,4,4,October,Monday,Mornington Peninsula (S),10->14,20->24,45->49,"$2,500-$2,999 ($130,000-$155,999)",863.526834249,788.021879379,1076.83375021,816.481483385,780.390081567,848.464948385,867.424568827,876.608313358,964.739464676,1353.219728412,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390124,2024-25,2,Separate House,Fully Owned,2,3,October,Wednesday,Mornington Peninsula (S),70->74,70->74,75->79,"$1,000-$1,249 ($52,000-$64,999)",450.223614079,669.951873233,409.873940168,478.600703357,619.045242734,447.358799763,447.295468422,436.970973802,625.159209116,556.150101447,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390125,2024-25,2,Separate House,Fully Owned,5,2,October,Thursday,Mornington Peninsula (S),45->49,45->49,50->54,"$6,000-$7,999 ($312,000-$415,999)",640.508286673,926.970969584,643.654424798,710.940055832,886.361951227,589.861781434,624.632708012,623.934473941,788.212670164,793.90043168,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390127,2024-25,4,Separate House,Being Purchased,2,2,October,Saturday,Mornington Peninsula (S),15->19,30->34,45->49,"$4,500-$4,999 ($234,000-$259,999)",742.114521177,908.178659386,817.193566592,821.522815121,1122.138556919,709.990922048,752.602669625,732.87584316,870.05253389,800.104566687,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390129,2024-25,2,Separate House,Fully Owned,0,1,October,Monday,Mornington Peninsula (S),60->64,60->64,60->64,"$2,500-$2,999 ($130,000-$155,999)",358.656002766,591.460022842,364.967060912,389.763721236,387.470829224,294.179738431,362.137837649,369.023921949,520.873772143,353.224300556,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390132,2024-25,2,Separate House,Fully Owned,0,1,October,Thursday,Mornington Peninsula (S),70->74,70->74,70->74,"$3,500-$3,999 ($182,000-$207,999)",373.762758775,607.98387879,374.61107398,425.880858863,420.490933532,315.529593494,365.787677542,365.174210737,539.498732057,380.651106764,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390133,2024-25,2,Separate House,Being Purchased,3,3,October,Friday,Mornington Peninsula (S),50->54,55->59,55->59,"$4,000-$4,499 ($208,000-$233,999)",657.624932067,945.658593845,689.400166641,719.10984198,881.966931363,604.800709159,645.901091863,666.312716694,812.222850202,808.434945023,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390134,2024-25,4,Separate House,Being Purchased,3,5,October,Saturday,Mornington Peninsula (S),15->19,35->39,50->54,"$4,500-$4,999 ($234,000-$259,999)",766.69550248,786.919003008,696.621041017,773.152532302,842.113658076,753.225507884,771.817341256,748.656480259,760.005656548,1465.346206177,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390135,2024-25,4,Separate House,Being Purchased,1,3,October,Sunday,Mornington Peninsula (S),20->24,35->39,50->54,"$3,000-$3,499 ($156,000-$181,999)",605.321674395,786.033803454,629.345375563,661.627222857,941.419750764,586.875584622,607.736200041,622.777038335,745.59709278,621.14552236,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390136,2024-25,5,Separate House,Being Purchased,0,4,October,Monday,Mornington Peninsula (S),15->19,30->34,55->59,"$3,500-$3,999 ($182,000-$207,999)",863.526834249,788.021879379,1076.83375021,816.481483385,780.390081567,848.464948385,867.424568827,876.608313358,964.739464676,1353.219728412,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390140,2024-25,6,Separate House,Being Purchased,6,4,October,Friday,Mornington Peninsula (S),10->14,25->29,50->54,"$1,250-$1,499 ($65,000-$77,999)",923.947463823,826.367415425,1183.843312093,902.392125608,842.695281278,933.089451138,905.999969231,926.382375294,1029.674066916,1484.991211765,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390142,2024-25,4,Separate House,Being Purchased,3,4,October,Sunday,Mornington Peninsula (S),15->19,35->39,55->59,"$5,000-$5,999 ($260,000-$311,999)",817.367648482,836.291381474,774.341997238,856.965470145,891.548707074,804.033548692,819.245289086,842.749091107,749.770532485,1492.455152992,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390202,2024-25,2,Separate House,Being Purchased,Missing/Refused,2,October,Tuesday,Casey (C),50->54,50->54,50->54,"$3,500-$3,999 ($182,000-$207,999)",1740.12421698,0.0,3674.976453041,1990.884407318,1772.540462254,1727.89674333,1626.594349547,2124.499956467,1683.702106328,1820.210203075,1654.386744798,MELB - Outer,Greater Melbourne,Weekday
Y25H6390203,2024-25,4,Separate House,Being Purchased,3,2,October,Wednesday,Casey (C),10->14,30->34,45->49,"$6,000-$7,999 ($312,000-$415,999)",1196.010943684,0.0,2455.04251267,1224.657532432,1164.198719299,1242.071112196,1218.665422156,1598.731690096,1172.189059216,1181.409829399,1272.074635947,MELB - Outer,Greater Melbourne,Weekday
Y25H6390206,2024-25,7,Separate House,Being Rented,6,3,October,Saturday,Casey (C),5->9,20->24,40->44,"$1,500-$1,749 ($78,000-$90,999)",2001.741187673,0.0,4061.871016185,1723.107085784,1979.10766497,1933.741424366,2152.384478884,2236.586458087,2198.080339179,2119.514973579,2209.008514701,MELB - Outer,Greater Melbourne,Weekend
Y25H6390208,2024-25,5,Separate House,Being Purchased,1,4,October,Monday,Casey (C),15->19,35->39,55->59,"$6,000-$7,999 ($312,000-$415,999)",2195.328899307,0.0,4567.086502008,1940.868280643,2002.004684171,2168.963097706,2426.263278685,2903.309810918,2258.682138548,2059.303591299,2167.64879698,MELB - Outer,Greater Melbourne,Weekday
Y25H6390210,2024-25,7,Separate House,Fully Owned,5,4,October,Wednesday,Casey (C),5->9,25->29,60->64,"$1,250-$1,499 ($65,000-$77,999)",2101.842976207,0.0,4308.596717607,1964.841501251,1914.835814663,2278.458564232,2306.81590981,2665.422674112,2136.058246107,2039.563909748,1966.831797177,MELB - Outer,Greater Melbourne,Weekday
Y25H6390212,2024-25,2,Separate House,Fully Owned,0,2,October,Friday,Casey (C),25->29,40->44,55->59,"$3,000-$3,499 ($156,000-$181,999)",1777.432840765,0.0,3889.416828771,2015.484639157,1839.90161103,1775.669718037,1625.716444102,2259.435404089,1771.668624556,1824.1947102,1624.610959256,MELB - Outer,Greater Melbourne,Weekday
Y25H6390221,2024-25,4,"Unit, Flat or Apartment",Being Purchased,0,0,October,Sunday,Casey (C),0->4,20->24,40->44,"$2,500-$2,999 ($130,000-$155,999)",1163.848938511,0.0,2217.936161203,955.180848911,1104.101239891,1154.559015695,1301.031122856,1875.254041633,1101.51442771,1098.211956761,1157.077119512,MELB - Outer,Greater Melbourne,Weekend
Y25H6390224,2024-25,4,Separate House,Being Purchased,4,2,October,Wednesday,Casey (C),5->9,20->24,45->49,"$3,000-$3,499 ($156,000-$181,999)",593.982589516,643.517748449,628.743579415,800.265485594,600.939097096,677.49551068,0.0,684.603198246,575.78455748,637.181409291,627.97933468,MELB - Outer,Greater Melbourne,Weekday
Y25H6390227,2024-25,2,Separate House,Being Purchased,0,1,October,Saturday,Casey (C),55->59,60->64,65->69,"$3,500-$3,999 ($182,000-$207,999)",834.854202198,984.364219223,1044.271958767,1067.527093946,936.720820808,977.597442691,0.0,819.140864661,878.362137372,941.552678797,779.697604192,MELB - Outer,Greater Melbourne,Weekend
Y25H6390230,2024-25,5,Separate House,Being Purchased,4,2,October,Tuesday,Casey (C),5->9,25->29,45->49,"$4,000-$4,499 ($208,000-$233,999)",607.433395151,803.741073416,556.384545041,795.675448979,593.505557815,649.078242856,0.0,638.372153204,609.163480841,644.937178541,650.50038427,MELB - Outer,Greater Melbourne,Weekday
Y25H6390231,2024-25,4,Separate House,Being Purchased,3,2,October,Wednesday,Casey (C),10->14,20->24,40->44,"$3,000-$3,499 ($156,000-$181,999)",593.982589516,643.517748449,628.743579415,800.265485594,600.939097096,677.49551068,0.0,684.603198246,575.78455748,637.181409291,627.97933468,MELB - Outer,Greater Melbourne,Weekday
Y25H6390233,2024-25,6,Separate House,Fully Owned,0,2,October,Friday,Casey (C),15->19,30->34,55->59,"$2,500-$2,999 ($130,000-$155,999)",620.456893009,812.11696282,588.850415888,805.507160173,616.060312999,667.023990251,0.0,678.917709338,640.989770207,646.348969761,638.792626095,MELB - Outer,Greater Melbourne,Weekday
Y25H6390235,2024-25,4,Separate House,Being Purchased,1,2,October,Sunday,Casey (C),0->4,20->24,40->44,"$4,000-$4,499 ($208,000-$233,999)",735.942778463,791.641784701,834.626002162,947.230519623,736.62552539,797.487933782,0.0,895.128172203,713.70394887,761.153025575,792.305968614,MELB - Outer,Greater Melbourne,Weekend
Y25H6390304,2024-25,1,Terrace or Townhouse,Being Rented,0,0,October,Thursday,Maribyrnong (C),40->44,40->44,40->44,"$1,000-$1,249 ($52,000-$64,999)",1329.111156468,1284.750352425,1709.414154923,1399.430010008,0.0,1508.470292549,1200.548675989,1531.505754844,2174.490215,1312.617871832,1311.193709459,MELB - Inner,Greater Melbourne,Weekday
Y25H6390305,2024-25,3,Terrace or Townhouse,Being Purchased,3,1,October,Friday,Maribyrnong (C),10->14,30->34,40->44,"$3,500-$3,999 ($182,000-$207,999)",1349.753217748,1309.940864777,1929.961659974,1416.188894541,0.0,1312.906760845,1293.625564221,1354.746147935,2706.844718132,1326.687194929,1353.845241592,MELB - Inner,Greater Melbourne,Weekday
Y25H6390310,2024-25,3,Separate House,Fully Owned,2,3,October,Wednesday,Maribyrnong (C),20->24,45->49,55->59,"$3,000-$3,499 ($156,000-$181,999)",1237.053862245,1094.229475931,1497.967099898,1276.900367603,0.0,1305.835625921,1294.577027057,1166.927958957,2509.257100775,1262.586268334,1207.241498921,MELB - Inner,Greater Melbourne,Weekday
Y25H6390311,2024-25,2,"Unit, Flat or Apartment",Being Rented,0,1,October,Thursday,Maribyrnong (C),35->39,35->39,35->39,"$2,000-$2,499 ($104,000-$129,999)",1180.606244464,1164.019724464,1663.682530818,1265.536568538,0.0,1155.030605735,1235.458274415,1088.773495661,2329.299398744,1136.799150188,1192.51293067,MELB - Inner,Greater Melbourne,Weekday
Y25H6390314,2024-25,1,Separate House,Being Purchased,1,1,October,Sunday,Maribyrnong (C),60->64,60->64,60->64,"$1,500-$1,749 ($78,000-$90,999)",1204.369920907,1162.573424886,1703.200587754,1169.26059765,0.0,1200.230470357,1232.580482296,1262.762057215,2395.352750947,1211.818940524,1198.566344668,MELB - Inner,Greater Melbourne,Weekend
Y25H6390317,2024-25,1,Terrace or Townhouse,Being Purchased,Missing/Refused,1,October,Wednesday,Maribyrnong (C),40->44,40->44,40->44,"$2,500-$2,999 ($130,000-$155,999)",972.052155807,945.044396655,1283.061432585,987.847076904,0.0,1019.640198934,982.303839744,965.773360552,1932.463910135,1014.445813633,949.980090408,MELB - Inner,Greater Melbourne,Weekday
Y25H6390318,2024-25,1,"Unit, Flat or Apartment",Being Rented,0,0,October,Thursday,Maribyrnong (C),25->29,25->29,25->29,"$400-$499 ($20,800-$25,999)",1329.111156468,1284.750352425,1709.414154923,1399.430010008,0.0,1508.470292549,1200.548675989,1531.505754844,2174.490215,1312.617871832,1311.193709459,MELB - Inner,Greater Melbourne,Weekday
Y25H6390321,2024-25,1,"Unit, Flat or Apartment",Being Rented,1,1,October,Sunday,Maribyrnong (C),40->44,40->44,40->44,"$1,000-$1,249 ($52,000-$64,999)",1204.369920907,1162.573424886,1703.200587754,1169.26059765,0.0,1200.230470357,1232.580482296,1262.762057215,2395.352750947,1211.818940524,1198.566344668,MELB - Inner,Greater Melbourne,Weekend
Y25H6390322,2024-25,3,"Unit, Flat or Apartment",Being Rented,0,2,October,Monday,Maribyrnong (C),25->29,25->29,30->34,"$1,250-$1,499 ($65,000-$77,999)",1130.002899932,1246.423050981,0.0,1027.298214263,1456.19858245,1111.584722754,1076.276108504,1207.980756851,2386.798423652,1105.121373395,1169.189802188,MELB - Inner,Greater Melbourne,Weekday
Y25H6390327,2024-25,1,Separate House,Being Rented,0,1,October,Saturday,Maribyrnong (C),80->84,80->84,80->84,"$2,500-$2,999 ($130,000-$155,999)",1129.705834818,1093.938238157,0.0,1054.904571407,1442.093708846,1124.386174039,1161.223632778,1121.775160763,2428.051732195,1189.807468258,1136.284560025,MELB - Inner,Greater Melbourne,Weekend
Y25H6390328,2024-25,1,"Unit, Flat or Apartment",Fully Owned,Missing/Refused,1,October,Sunday,Maribyrnong (C),50->54,50->54,50->54,"$500-$649 ($26,000-$33,799)",1204.369920907,1162.573424886,0.0,1169.26059765,1526.749708037,1200.230470357,1232.580482296,1262.762057215,2395.352750947,1211.818940524,1198.566344668,MELB - Inner,Greater Melbourne,Weekend
Y25H6390330,2024-25,1,"Unit, Flat or Apartment",Being Purchased,0,0,October,Tuesday,Maribyrnong (C),25->29,25->29,25->29,"$2,500-$2,999 ($130,000-$155,999)",1335.9858902,1297.13317427,0.0,1398.234405192,1814.944075433,1505.062007947,1242.097051337,1537.852028201,2129.472374953,1333.729340484,1344.320054854,MELB - Inner,Greater Melbourne,Weekday
Y25H6390331,2024-25,2,Separate House,Being Rented,0,2,October,Wednesday,Maribyrnong (C),25->29,25->29,30->34,"$4,000-$4,499 ($208,000-$233,999)",971.593169262,1030.728202263,0.0,940.034421633,1177.71800949,1053.302663366,1010.553946766,951.812616794,2001.554773726,955.039122765,940.817856911,MELB - Inner,Greater Melbourne,Weekday
Y25H6390336,2024-25,2,Separate House,Being Purchased,1,1,October,Monday,Maribyrnong (C),45->49,45->49,50->54,"$5,000-$5,999 ($260,000-$311,999)",1132.888460765,1132.383862202,0.0,1158.211814521,1414.052774431,1076.877124937,1223.130836472,1100.251479073,2248.885664009,1054.890101626,1181.118751665,MELB - Inner,Greater Melbourne,Weekday
Y25H6390337,2024-25,2,Terrace or Townhouse,Being Rented,1,1,October,Tuesday,Maribyrnong (C),35->39,45->49,50->54,"$2,000-$2,499 ($104,000-$129,999)",1186.71284701,1175.238907121,0.0,1264.455355754,1471.045132396,1152.420893733,1278.214794945,1093.285169356,2281.07658908,1155.082841228,1222.640893414,MELB - Inner,Greater Melbourne,Weekday
Y25H6390340,2024-25,2,Terrace or Townhouse,Being Purchased,0,1,October,Friday,Maribyrnong (C),40->44,45->49,50->54,"$5,000-$5,999 ($260,000-$311,999)",1212.156216349,1187.48622337,0.0,1280.079514941,1526.948674307,1184.283083659,1277.524916901,1162.724061673,2400.253469953,1157.611360078,1200.635704391,MELB - Inner,Greater Melbourne,Weekday
Y25H6390402,2024-25,1,Separate House,Being Rented,0,1,October,Tuesday,Whittlesea (C),65->69,65->69,65->69,"$650-$799 ($33,800-$41,599)",726.129060711,932.044970508,713.883812097,820.214633903,788.784706099,782.304884051,663.794755545,803.392444418,726.618805266,964.799241706,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390404,2024-25,4,Separate House,Being Purchased,3,2,October,Thursday,Whittlesea (C),0->4,20->24,35->39,"$5,000-$5,999 ($260,000-$311,999)",571.203373909,716.649471137,611.960777026,637.077707339,661.216912339,573.329625174,617.076652963,624.495167954,630.464528442,601.116716393,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390407,2024-25,4,Separate House,Fully Owned,1,4,October,Sunday,Whittlesea (C),15->19,35->39,55->59,"$3,500-$3,999 ($182,000-$207,999)",798.242657082,874.471639647,1067.13660679,920.179415824,805.255145257,786.485448671,760.094769504,885.853296787,967.750794069,995.746194871,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390408,2024-25,3,Separate House,Fully Owned,Missing/Refused,3,October,Monday,Whittlesea (C),20->24,45->49,60->64,"$5,000-$5,999 ($260,000-$311,999)",462.747505165,516.300070872,648.607242879,384.169357039,534.155546492,587.15867364,438.227692772,468.421379989,494.939152528,497.910412322,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390409,2024-25,5,Separate House,Being Purchased,1,1,October,Tuesday,Whittlesea (C),10->14,30->34,50->54,"$4,000-$4,499 ($208,000-$233,999)",528.854211016,575.16916331,536.976541415,553.909082615,640.903907828,568.702675912,561.181318616,743.046947697,507.216981287,532.86466988,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390410,2024-25,3,Separate House,Being Purchased,2,1,October,Wednesday,Whittlesea (C),10->14,25->29,45->49,"$2,500-$2,999 ($130,000-$155,999)",504.004873925,523.345973239,638.892771375,519.124002451,554.294795168,611.860009439,452.621239179,576.052788769,521.1204774,556.499197825,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390412,2024-25,2,Separate House,Fully Owned,0,2,October,Friday,Whittlesea (C),65->69,65->69,65->69,"$1,250-$1,499 ($65,000-$77,999)",436.447109148,528.797358423,503.242906661,410.272375354,480.440040979,510.224604623,416.916302183,555.6629871,483.268692142,468.268030298,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390413,2024-25,4,Separate House,Being Rented,2,3,October,Saturday,Whittlesea (C),15->19,30->34,45->49,"$3,000-$3,499 ($156,000-$181,999)",609.886919049,736.177442911,671.700043006,630.319315388,674.73730502,619.205153707,686.639819149,672.956212677,723.281297696,647.958304451,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390414,2024-25,4,Separate House,Fully Owned,1,2,October,Sunday,Whittlesea (C),0->4,20->24,35->39,"$1,250-$1,499 ($65,000-$77,999)",650.195332111,782.366226243,746.640601161,698.648540728,714.346770339,660.972991345,728.833633385,757.534665823,713.540746752,659.945551655,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390416,2024-25,2,Separate House,Being Purchased,0,3,October,Tuesday,Whittlesea (C),55->59,65->69,70->74,"$1,000-$1,249 ($52,000-$64,999)",370.610469344,423.694563842,406.098849655,343.832274945,425.311356836,506.995191317,368.206518743,380.17339644,393.951974204,428.725281232,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390417,2024-25,2,Separate House,Being Rented,1,2,October,Wednesday,Whittlesea (C),15->19,40->44,60->64,"$2,500-$2,999 ($130,000-$155,999)",390.535803039,459.998236158,431.845804607,375.798272297,425.546307911,487.372472107,379.513671911,482.724650208,428.210097472,422.625684666,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390418,2024-25,4,Separate House,Being Purchased,1,1,October,Thursday,Whittlesea (C),0->4,20->24,40->44,"$4,500-$4,999 ($234,000-$259,999)",563.611378558,644.700078883,545.704059188,721.468126587,659.199372303,580.762872166,591.707874043,608.688935068,602.089247812,622.42844401,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390420,2024-25,3,Separate House,Being Purchased,0,2,October,Saturday,Whittlesea (C),0->4,20->24,30->34,"$5,000-$5,999 ($260,000-$311,999)",593.637806916,673.408416486,855.611274515,489.51930542,643.73913044,666.079635101,558.003239299,686.47789328,685.621563593,630.349994481,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390424,2024-25,5,Separate House,Being Purchased,9,3,October,Wednesday,Whittlesea (C),10->14,35->39,70->74,"$5,000-$5,999 ($260,000-$311,999)",613.746481292,657.174708245,674.664029162,555.825351615,784.500510071,812.872625254,678.872220863,740.279017094,613.552534565,616.925047298,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390426,2024-25,3,Separate House,Being Purchased,3,3,October,Friday,Whittlesea (C),15->19,35->39,50->54,"$1,750-$1,999 ($91,000-$103,999)",715.181659523,782.056150427,1029.978604156,613.299372804,833.158071796,932.707991228,661.14562012,715.026686411,763.03135295,789.237321532,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390429,2024-25,3,Separate House,Being Purchased,3,2,October,Monday,Whittlesea (C),10->14,30->34,45->49,"$4,000-$4,499 ($208,000-$233,999)",770.630010233,921.164077351,1096.979752133,654.057230914,839.657862419,830.55706904,717.121141271,929.873980233,833.452385707,783.822666638,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390430,2024-25,3,Separate House,Being Rented,0,1,October,Tuesday,Whittlesea (C),15->19,30->34,45->49,"$3,000-$3,499 ($156,000-$181,999)",796.513968685,860.043506494,1016.1266608,808.641455212,870.83438717,900.344906232,718.607398321,900.59994469,807.334478208,888.698319923,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390432,2024-25,1,Separate House,Fully Owned,0,1,October,Thursday,Whittlesea (C),70->74,70->74,70->74,"$150-$299 ($7,800-$15,599)",1043.455885708,1333.435118919,1018.919045975,1185.7675332,1188.54757194,1132.554873265,926.742120202,1155.666885659,1071.748596753,1371.539766677,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390434,2024-25,3,Separate House,Fully Owned,2,3,October,Saturday,Whittlesea (C),25->29,45->49,60->64,"$6,000-$7,999 ($312,000-$415,999)",743.740456865,787.490669879,1055.507605479,599.899471183,854.430963176,982.457660166,711.452153249,721.507509573,849.487847201,835.443008971,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6390437,2024-25,3,Separate House,Being Rented,0,3,October,Tuesday,Whittlesea (C),20->24,45->49,60->64,"$3,000-$3,499 ($156,000-$181,999)",807.243223942,956.02551368,1139.499790097,714.054336374,873.499655546,888.821294124,749.41684504,923.986426099,845.382562384,858.269606856,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390439,2024-25,2,Separate House,Being Rented,0,3,October,Thursday,Whittlesea (C),35->39,45->49,55->59,"$800-$999 ($41,600-$51,999)",532.571544737,606.160892445,579.620724621,497.07129286,640.862806515,733.984775442,514.063250728,546.873210131,581.071495096,609.467489993,0.0,MELB - Outer,Greater Melbourne,Weekday
Y25H6390441,2024-25,2,Separate House,Being Rented,0,2,October,Saturday,Whittlesea (C),25->29,25->29,25->29,"$1,250-$1,499 ($65,000-$77,999)",655.59782134,769.126191719,744.923489147,579.667667681,711.687945897,776.301429948,648.034746981,809.89910087,777.148996444,715.986059555,0.0,MELB - Outer,Greater Melbourne,Weekend
Y25H6400108,2024-25,1,"Unit, Flat or Apartment",Being Rented,0,1,October,Monday,Glen Eira (C),30->34,30->34,30->34,"$650-$799 ($33,800-$41,599)",724.880738443,0.0,771.827304021,841.71836739,815.211898156,1299.410885776,798.074025645,775.019797855,725.022555218,745.151654888,724.467098123,MELB - Inner,Greater Melbourne,Weekday
Y25H6400110,2024-25,5,Separate House,Fully Owned,0,4,October,Wednesday,Glen Eira (C),15->19,30->34,50->54,"$5,000-$5,999 ($260,000-$311,999)",1124.249563312,0.0,1133.200692697,832.855167253,1891.547265165,1734.753003334,1209.387060406,1163.139582479,1085.699537557,1032.357682773,983.870962914,MELB - Inner,Greater Melbourne,Weekday
Y25H6400111,2024-25,1,Separate House,Fully Owned,0,0,October,Thursday,Glen Eira (C),95->99,95->99,95->99,,544.947689884,0.0,643.118682369,635.713604769,584.738162237,975.282025965,547.826432556,631.562352102,547.520255212,549.393522774,559.056212106,MELB - Inner,Greater Melbourne,Weekday
Y25H6400112,2024-25,2,Separate House,Fully Owned,1,1,November,Friday,Glen Eira (C),65->69,70->74,75->79,"$6,000-$7,999 ($312,000-$415,999)",547.569542792,0.0,584.087708596,675.316119501,632.164719457,1067.193051863,594.080109014,590.542547777,547.87153756,511.352073915,542.93888367,MELB - Inner,Greater Melbourne,Weekday
Y25H6400113,2024-25,3,Separate House,Fully Owned,0,3,November,Saturday,Glen Eira (C),35->39,60->64,70->74,"$4,000-$4,499 ($208,000-$233,999)",959.504575305,0.0,998.933755362,745.827712533,1089.343577448,1565.618035717,1094.344847176,1046.225364897,1020.500816521,942.824280171,1064.641455366,MELB - Inner,Greater Melbourne,Weekend
Y25H6400114,2024-25,2,Separate House,Fully Owned,0,2,November,Sunday,Glen Eira (C),60->64,65->69,70->74,"$800-$999 ($41,600-$51,999)",744.134719589,0.0,826.775353544,867.707451241,910.413623818,1297.56796434,790.666072914,826.249255376,735.742108915,716.196024271,755.551377192,MELB - Inner,Greater Melbourne,Weekend
Y25H6400115,2024-25,2,"Unit, Flat or Apartment",Being Rented,0,1,October,Monday,Glen Eira (C),50->54,55->59,55->59,"$2,500-$2,999 ($130,000-$155,999)",511.761774703,0.0,531.291051167,611.023845795,585.425227768,970.406316953,568.785540741,558.812991891,513.320972956,465.97697623,534.11313204,MELB - Inner,Greater Melbourne,Weekday
Y25H6400116,2024-25,2,Separate House,Being Purchased,0,2,October,Tuesday,Glen Eira (C),50->54,55->59,60->64,"$6,000-$7,999 ($312,000-$415,999)",657.111477467,0.0,685.785349878,790.561718223,807.823291634,1122.970675704,692.595349302,683.964511988,636.622588511,662.845019709,683.193109531,MELB - Inner,Greater Melbourne,Weekday
Y25H6400118,2024-25,4,Terrace or Townhouse,Being Rented,0,3,October,Thursday,Glen Eira (C),20->24,35->39,50->54,"$6,000-$7,999 ($312,000-$415,999)",742.609854702,0.0,770.079352373,768.445314791,1046.128753431,1091.086264972,743.42638961,751.384735725,740.193170088,739.828094423,788.949363897,MELB - Inner,Greater Melbourne,Weekday
Y25H6400121,2024-25,1,"Unit, Flat or Apartment",Fully Owned,0,1,November,Sunday,Glen Eira (C),75->79,75->79,75->79,"$650-$799 ($33,800-$41,599)",859.879441712,0.0,966.573968073,1008.602081592,955.769716756,1606.767991807,952.111112292,930.318816378,849.899507646,881.59779203,829.362784408,MELB - Inner,Greater Melbourne,Weekend
Y25H6400122,2024-25,2,"Unit, Flat or Apartment",Being Rented,1,2,October,Monday,Stonnington (C),20->24,25->29,25->29,"$2,000-$2,499 ($104,000-$129,999)",581.265243027,619.030457763,572.171239005,542.216169355,579.999285248,694.026969325,1103.444895245,550.11414688,621.865447392,0.0,621.528473399,MELB - Inner,Greater Melbourne,Weekday
Y25H6400123,2024-25,2,"Unit, Flat or Apartment",Being Purchased,1,1,October,Tuesday,Stonnington (C),25->29,30->34,30->34,"$5,000-$5,999 ($260,000-$311,999)",602.212987583,562.360281486,575.185188367,626.636769289,596.847268199,710.453862796,1155.842021373,593.598246103,615.61383617,0.0,605.701649967,MELB - Inner,Greater Melbourne,Weekday
