tripid,hhid,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6360505P01T02,Y25H6360505,Y25H6360505P01,2,17,1020,17,1060,Place of work,My Workplace,Work Related,Own Workplace,Moorabool (S),Accommodation,Survey Home,At Home,Go home,Wyndham (C),40,40,51.46574,Vehicle Driver,Work Related,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,40,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,51.46574,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1229.044055691,1214.973297684,1636.299410402,1209.424908485,1256.700705005,0.0,1256.56268004,1197.372968579,1165.588785055,1186.190140559,1481.600124112,MELB - Outer,Greater Melbourne,Weekday
Y25H6360509P01T01,Y25H6360509,Y25H6360509P01,1,5,300,5,335,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of work,My Workplace,Work Related,Own Workplace,Brimbank (C),35,35,31.59517,Vehicle Driver,Work Related,685,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,31.59517,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1838.520436737,1849.138065647,2328.445777299,1859.552058285,1858.78440888,0.0,1932.989721026,1723.573761903,1708.500320988,1811.186764134,2316.716054687,MELB - Outer,Greater Melbourne,Weekday
Y25H6360509P01T02,Y25H6360509,Y25H6360509P01,2,17,1020,17,1055,Place of work,My Workplace,Work Related,Own Workplace,Brimbank (C),Accommodation,Survey Home,At Home,Go home,Wyndham (C),35,35,31.59517,Vehicle Driver,Work Related,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,31.59517,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1838.520436737,1849.138065647,2328.445777299,1859.552058285,1858.78440888,0.0,1932.989721026,1723.573761903,1708.500320988,1811.186764134,2316.716054687,MELB - Outer,Greater Melbourne,Weekday
Y25H6360516P01T01,Y25H6360516,Y25H6360516P01,1,4,295,5,320,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of work,My Workplace,Work Related,Own Workplace,Melton (S),25,25,19.17385,Vehicle Driver,Work Related,40,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,19.17385,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,933.493730361,1085.061660915,1020.395785627,891.97579482,914.074902044,0.0,1055.320321703,1087.648551971,895.070635754,927.842170679,1113.355658343,MELB - Outer,Greater Melbourne,Weekday
Y25H6360516P01T02,Y25H6360516,Y25H6360516P01,2,6,360,7,420,Place of work,My Workplace,Work Related,Own Workplace,Melton (S),Place of work,Another workplace or site,Work Related,Employers Business,Whitehorse (C),60,60,50.86067,Vehicle Driver,Work Related,360,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,60,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,50.86067,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,933.493730361,1085.061660915,1020.395785627,891.97579482,914.074902044,0.0,1055.320321703,1087.648551971,895.070635754,927.842170679,1113.355658343,MELB - Outer,Greater Melbourne,Weekday
Y25H6360516P01T03,Y25H6360516,Y25H6360516P01,3,13,780,13,810,Place of work,Another workplace or site,Work Related,Employers Business,Whitehorse (C),Place of work,Another workplace or site,Work Related,Employers Business,Port Phillip (C),30,30,26.3379,Vehicle Driver,Work Related,10,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,26.3379,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,933.493730361,1085.061660915,1020.395785627,891.97579482,914.074902044,0.0,1055.320321703,1087.648551971,895.070635754,927.842170679,1113.355658343,MELB - Outer,Greater Melbourne,Weekday
Y25H6360516P01T04,Y25H6360516,Y25H6360516P01,4,13,820,14,855,Place of work,Another workplace or site,Work Related,Employers Business,Port Phillip (C),Place of work,My Workplace,Work Related,Own Workplace,Melton (S),35,35,24.59596,Vehicle Driver,Work Related,15,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,24.59596,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,933.493730361,1085.061660915,1020.395785627,891.97579482,914.074902044,0.0,1055.320321703,1087.648551971,895.070635754,927.842170679,1113.355658343,MELB - Outer,Greater Melbourne,Weekday
Y25H6360516P01T05,Y25H6360516,Y25H6360516P01,5,14,870,15,900,Place of work,My Workplace,Work Related,Own Workplace,Melton (S),Accommodation,Survey Home,At Home,Go home,Wyndham (C),30,30,19.17385,Vehicle Driver,Work Related,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,19.17385,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,933.493730361,1085.061660915,1020.395785627,891.97579482,914.074902044,0.0,1055.320321703,1087.648551971,895.070635754,927.842170679,1113.355658343,MELB - Outer,Greater Melbourne,Weekday
Y25H6360516P02T01,Y25H6360516,Y25H6360516P02,1,8,485,8,488,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Accommodation,Someone Elses Home,Pick-up or Deliver Something,Something picked-up or delivered for home,Wyndham (C),3,3,0.91848,Vehicle Driver,Pick-up or Deliver Something,7,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.91848,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,718.337271814,951.780300192,1009.360752252,748.715137444,908.961823097,0.0,745.959499072,745.88630277,591.175184058,750.543010563,891.854218592,MELB - Outer,Greater Melbourne,Weekday
Y25H6360516P02T02,Y25H6360516,Y25H6360516P02,2,8,495,9,540,Accommodation,Someone Elses Home,Pick-up or Deliver Something,Something picked-up or delivered for home,Wyndham (C),Place of work,My Workplace,Work Related,Own Workplace,Maribyrnong (C),45,45,33.29393,Vehicle Driver,Work Related,480,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,33.29393,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,718.337271814,951.780300192,1009.360752252,748.715137444,908.961823097,0.0,745.959499072,745.88630277,591.175184058,750.543010563,891.854218592,MELB - Outer,Greater Melbourne,Weekday
Y25H6360516P02T03,Y25H6360516,Y25H6360516P02,3,17,1020,17,1070,Place of work,My Workplace,Work Related,Own Workplace,Maribyrnong (C),Accommodation,Survey Home,At Home,Go home,Wyndham (C),50,50,33.85492,Vehicle Driver,Work Related,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,50,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,33.85492,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,718.337271814,951.780300192,1009.360752252,748.715137444,908.961823097,0.0,745.959499072,745.88630277,591.175184058,750.543010563,891.854218592,MELB - Outer,Greater Melbourne,Weekday
Y25H6360517P01T01,Y25H6360517,Y25H6360517P01,1,5,345,6,369,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of work,My Workplace,Work Related,Own Workplace,Wyndham (C),24,24,21.10642,Vehicle Driver,Work Related,611,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,24,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,21.10642,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1025.24135625,1120.279461996,1141.822443633,955.057126848,1107.895885129,0.0,1053.379272508,1139.536600921,1005.461714508,1076.006807854,1157.801460698,MELB - Outer,Greater Melbourne,Weekday
Y25H6360517P01T02,Y25H6360517,Y25H6360517P01,2,16,980,16,990,Place of work,My Workplace,Work Related,Own Workplace,Wyndham (C),Personal services,GP & Specialist clinics,Personal Business,Medical/Dental purposes,Wyndham (C),10,10,7.03139,Vehicle Driver,Personal Business,65,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.03139,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1025.24135625,1120.279461996,1141.822443633,955.057126848,1107.895885129,0.0,1053.379272508,1139.536600921,1005.461714508,1076.006807854,1157.801460698,MELB - Outer,Greater Melbourne,Weekday
Y25H6360517P01T03,Y25H6360517,Y25H6360517P01,3,17,1055,17,1070,Personal services,GP & Specialist clinics,Personal Business,Medical/Dental purposes,Wyndham (C),Accommodation,Survey Home,At Home,Go home,Wyndham (C),15,15,14.59053,Vehicle Driver,Personal Business,30,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.59053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1025.24135625,1120.279461996,1141.822443633,955.057126848,1107.895885129,0.0,1053.379272508,1139.536600921,1005.461714508,1076.006807854,1157.801460698,MELB - Outer,Greater Melbourne,Weekday
Y25H6360517P01T04,Y25H6360517,Y25H6360517P01,4,18,1100,18,1110,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Transport Feature,On-Street Feature,Recreational,Other recreational (eg. exercise),Wyndham (C),10,10,0.8737,Walking,Recreational,0,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.8737,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1025.24135625,1120.279461996,1141.822443633,955.057126848,1107.895885129,0.0,1053.379272508,1139.536600921,1005.461714508,1076.006807854,1157.801460698,MELB - Outer,Greater Melbourne,Weekday
Y25H6360517P01T05,Y25H6360517,Y25H6360517P01,5,18,1110,18,1120,Transport Feature,On-Street Feature,Recreational,Other recreational (eg. exercise),Wyndham (C),Accommodation,Survey Home,At Home,Go home,Wyndham (C),10,10,0.8737,Walking,Recreational,999,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.8737,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1025.24135625,1120.279461996,1141.822443633,955.057126848,1107.895885129,0.0,1053.379272508,1139.536600921,1005.461714508,1076.006807854,1157.801460698,MELB - Outer,Greater Melbourne,Weekday
Y25H6360518P01T01,Y25H6360518,Y25H6360518P01,1,9,585,10,615,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Retail venue,Department or Discount Store,Buy Something,Bought something,Wyndham (C),30,30,11.31116,Vehicle Driver,Buy Something,15,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.31116,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,642.625161466,601.045742432,692.051979131,679.807810495,664.594418765,0.0,1196.584263535,711.77094426,709.097589376,624.921174474,685.706404174,MELB - Outer,Greater Melbourne,Weekday
Y25H6360518P01T02,Y25H6360518,Y25H6360518P01,2,10,630,10,645,Retail venue,Department or Discount Store,Buy Something,Bought something,Wyndham (C),Personal services,Optometry services,Personal Business,Personal Business (NEC),Wyndham (C),15,15,6.02934,Vehicle Driver,Personal Business,15,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.02934,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,642.625161466,601.045742432,692.051979131,679.807810495,664.594418765,0.0,1196.584263535,711.77094426,709.097589376,624.921174474,685.706404174,MELB - Outer,Greater Melbourne,Weekday
Y25H6360518P01T03,Y25H6360518,Y25H6360518P01,3,11,660,11,680,Personal services,Optometry services,Personal Business,Personal Business (NEC),Wyndham (C),Accommodation,Survey Home,At Home,Go home,Wyndham (C),20,20,6.70754,Vehicle Driver,Personal Business,58,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.70754,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,642.625161466,601.045742432,692.051979131,679.807810495,664.594418765,0.0,1196.584263535,711.77094426,709.097589376,624.921174474,685.706404174,MELB - Outer,Greater Melbourne,Weekday
Y25H6360518P01T04,Y25H6360518,Y25H6360518P01,4,12,738,12,765,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Retail venue,Car Accessories,Buy Something,Bought something,Wyndham (C),27,27,11.14914,Vehicle Driver,Buy Something,25,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,27,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.14914,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,642.625161466,601.045742432,692.051979131,679.807810495,664.594418765,0.0,1196.584263535,711.77094426,709.097589376,624.921174474,685.706404174,MELB - Outer,Greater Melbourne,Weekday
Y25H6360518P01T05,Y25H6360518,Y25H6360518P01,5,13,790,13,791,Retail venue,Car Accessories,Buy Something,Bought something,Wyndham (C),Retail venue,Sport or Outdoor,Buy Something,Bought something,Wyndham (C),1,1,0.14257,Vehicle Driver,Buy Something,9,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.14257,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,642.625161466,601.045742432,692.051979131,679.807810495,664.594418765,0.0,1196.584263535,711.77094426,709.097589376,624.921174474,685.706404174,MELB - Outer,Greater Melbourne,Weekday
Y25H6360518P01T06,Y25H6360518,Y25H6360518P01,6,13,800,13,820,Retail venue,Sport or Outdoor,Buy Something,Bought something,Wyndham (C),Accommodation,Survey Home,At Home,Go home,Wyndham (C),20,20,11.00803,Vehicle Driver,Buy Something,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.00803,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,642.625161466,601.045742432,692.051979131,679.807810495,664.594418765,0.0,1196.584263535,711.77094426,709.097589376,624.921174474,685.706404174,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P01T01,Y25H6360537,Y25H6360537P01,1,16,992,16,1010,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Transport Feature,On-Street Feature,Recreational,Other recreational (eg. exercise),Wyndham (C),18,18,1.50686,Walking,Recreational,0,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.50686,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2646.656343449,3029.876352708,3558.603424263,0.0,2997.774960207,2879.355834598,2495.688635908,2796.803796852,2761.997690985,2489.781424422,2853.645480675,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P01T02,Y25H6360537,Y25H6360537P01,2,16,1010,17,1027,Transport Feature,On-Street Feature,Recreational,Other recreational (eg. exercise),Wyndham (C),Accommodation,Survey Home,At Home,Go home,Wyndham (C),17,17,1.50686,Walking,Recreational,47,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.50686,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2646.656343449,3029.876352708,3558.603424263,0.0,2997.774960207,2879.355834598,2495.688635908,2796.803796852,2761.997690985,2489.781424422,2853.645480675,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P01T03,Y25H6360537,Y25H6360537P01,3,17,1074,18,1086,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Education NEC,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),12,12,6.95696,Vehicle Passenger,Pick-up or Drop-off Someone,3,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.95696,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2646.656343449,3029.876352708,3558.603424263,0.0,2997.774960207,2879.355834598,2495.688635908,2796.803796852,2761.997690985,2489.781424422,2853.645480675,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P01T04,Y25H6360537,Y25H6360537P01,4,18,1089,18,1095,Place of education,Education NEC,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),Sport and Recreation venue,Swimming Pool,Accompany Someone,Accompanied someone,Wyndham (C),6,6,1.69641,Vehicle Passenger,Accompany Someone,54,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.69641,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2646.656343449,3029.876352708,3558.603424263,0.0,2997.774960207,2879.355834598,2495.688635908,2796.803796852,2761.997690985,2489.781424422,2853.645480675,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P01T05,Y25H6360537,Y25H6360537P01,5,19,1149,19,1155,Sport and Recreation venue,Swimming Pool,Accompany Someone,Accompanied someone,Wyndham (C),Sport and Recreation venue,Sport Ground or Oval,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),6,6,3.33757,Vehicle Passenger,Pick-up or Drop-off Someone,1,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.33757,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2646.656343449,3029.876352708,3558.603424263,0.0,2997.774960207,2879.355834598,2495.688635908,2796.803796852,2761.997690985,2489.781424422,2853.645480675,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P01T06,Y25H6360537,Y25H6360537P01,6,19,1156,19,1167,Sport and Recreation venue,Sport Ground or Oval,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),Accommodation,Survey Home,At Home,Go home,Wyndham (C),11,11,4.74341,Vehicle Passenger,Pick-up or Drop-off Someone,999,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.74341,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2646.656343449,3029.876352708,3558.603424263,0.0,2997.774960207,2879.355834598,2495.688635908,2796.803796852,2761.997690985,2489.781424422,2853.645480675,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P02T01,Y25H6360537,Y25H6360537P02,1,8,527,9,545,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Personal services,Health Service,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),18,18,11.94161,Vehicle Driver,Pick-up or Drop-off Someone,7,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.94161,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2620.256409962,2368.157182824,3843.83913648,0.0,3205.539730529,3378.467864953,2521.971822181,2169.762682134,2261.236224845,2448.748253798,2705.322476479,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P02T02,Y25H6360537,Y25H6360537P02,2,9,552,9,562,Personal services,Health Service,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),Personal services,Personal Service NEC,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),10,10,6.02957,Vehicle Driver,Pick-up or Drop-off Someone,0,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.02957,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2620.256409962,2368.157182824,3843.83913648,0.0,3205.539730529,3378.467864953,2521.971822181,2169.762682134,2261.236224845,2448.748253798,2705.322476479,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P02T03,Y25H6360537,Y25H6360537P02,3,9,562,9,572,Personal services,Personal Service NEC,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),Personal services,Health Service,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),10,10,6.02957,Vehicle Driver,Pick-up or Drop-off Someone,21,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.02957,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2620.256409962,2368.157182824,3843.83913648,0.0,3205.539730529,3378.467864953,2521.971822181,2169.762682134,2261.236224845,2448.748253798,2705.322476479,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P02T04,Y25H6360537,Y25H6360537P02,4,9,593,10,610,Personal services,Health Service,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),Accommodation,Survey Home,At Home,Go home,Wyndham (C),17,17,11.94161,Vehicle Driver,Pick-up or Drop-off Someone,130,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.94161,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2620.256409962,2368.157182824,3843.83913648,0.0,3205.539730529,3378.467864953,2521.971822181,2169.762682134,2261.236224845,2448.748253798,2705.322476479,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P02T05,Y25H6360537,Y25H6360537P02,5,12,740,12,754,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Sport and Recreation venue,Swimming Pool,Recreational,Other recreational (eg. exercise),Wyndham (C),14,14,10.18201,Vehicle Driver,Recreational,65,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.18201,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2620.256409962,2368.157182824,3843.83913648,0.0,3205.539730529,3378.467864953,2521.971822181,2169.762682134,2261.236224845,2448.748253798,2705.322476479,MELB - Outer,Greater Melbourne,Weekday
Y25H6360537P02T06,Y25H6360537,Y25H6360537P02,6,13,819,13,831,Sport and Recreation venue,Swimming Pool,Recreational,Other recreational (eg. exercise),Wyndham (C),Retail venue,Petrol Station,Buy Something,Bought something,Wyndham (C),12,12,6.40775,Vehicle Driver,Buy Something,5,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.40775,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2620.256409962,2368.157182824,3843.83913648,0.0,3205.539730529,3378.467864953,2521.971822181,2169.762682134,2261.236224845,2448.748253798,2705.322476479,MELB - Outer,Greater Melbourne,Weekday
