POW_LGA_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
LGA26350,0,4,0,0,7,204,161,21,37,418,128,2208,424,26,2782,2104,4965,891,145,8106,5185,3114,491,147,8939,5152,2379,524,135,8194,4206,2192,374,115,6892,3300,1706,189,69,5259,3226,1647,164,60,5096,3039,1745,165,64,5012,2363,1542,163,47,4117,1497,1376,157,40,3058,689,948,119,22,1781,308,626,50,17,998,138,354,50,9,550,31335,24801,3754,897,60787
LGA26430,0,5,0,0,7,22,19,0,3,51,54,148,26,12,241,169,90,17,9,278,199,71,9,4,291,209,100,20,10,340,207,118,20,8,357,203,107,11,7,327,236,103,13,3,358,243,113,14,12,385,269,137,25,0,429,211,185,22,4,423,146,144,22,8,321,75,90,4,5,174,51,64,12,9,137,2271,1474,209,87,4045
LGA26490,0,0,0,0,0,38,32,3,7,74,92,677,149,13,941,464,630,117,16,1231,567,400,69,15,1050,648,414,90,18,1170,648,512,82,22,1271,644,467,52,20,1180,695,450,45,14,1199,611,416,45,19,1085,515,453,47,10,1023,345,446,59,13,859,121,279,28,4,434,51,148,17,8,218,32,81,8,0,125,5425,5364,810,177,11779
LGA26610,0,0,0,0,4,46,32,0,8,93,162,346,37,14,560,555,258,38,16,869,740,271,72,43,1125,724,337,70,35,1160,650,327,48,34,1052,624,290,25,29,969,578,236,24,20,857,631,267,23,19,952,654,310,52,25,1036,488,310,38,16,856,207,195,28,10,438,51,89,9,8,160,32,55,4,10,106,6089,3295,470,274,10132
LGA26670,0,0,0,0,0,9,5,4,0,21,19,78,11,0,109,63,46,0,0,114,107,45,11,4,166,91,57,14,4,170,108,61,6,5,185,109,59,6,3,171,122,53,10,0,190,130,90,9,4,233,151,91,14,0,260,134,97,23,7,265,106,63,9,4,175,56,51,7,3,118,47,35,9,5,96,1254,826,130,49,2256
LGA26700,0,0,0,3,3,45,26,10,14,95,209,647,112,30,1006,545,369,36,30,983,740,338,78,16,1165,678,390,76,23,1173,745,454,54,17,1273,788,432,48,13,1288,885,460,59,12,1421,943,482,53,34,1506,834,500,73,16,1425,627,510,97,17,1251,259,311,46,15,630,80,159,16,7,266,78,70,8,9,170,7411,5128,771,248,13560
LGA26730,0,0,0,0,0,53,49,13,13,124,322,955,112,25,1415,846,553,88,31,1516,1126,511,111,42,1786,1055,588,138,36,1814,931,666,83,26,1701,939,670,76,33,1709,1056,615,73,21,1765,1126,638,88,22,1864,932,638,77,26,1673,659,598,95,19,1366,197,322,44,10,577,64,120,16,6,210,15,55,8,7,85,9263,6925,998,297,17487
LGA26810,4,4,0,8,14,76,46,6,19,143,305,682,112,33,1132,827,495,79,47,1447,1111,453,103,27,1698,1068,513,116,29,1732,1057,591,89,27,1772,1095,490,62,22,1673,1143,513,58,31,1739,1152,558,97,33,1840,1065,561,113,29,1762,847,625,103,27,1607,338,377,59,20,796,143,166,18,15,341,93,92,9,22,224,10250,6113,1031,359,17756
LGA26890,0,0,0,0,0,0,4,0,3,4,31,33,8,0,73,73,17,0,3,93,104,33,10,3,140,89,36,4,3,131,88,46,3,3,137,95,32,5,4,135,90,52,4,5,146,135,51,5,4,198,146,64,3,0,224,122,57,11,8,195,78,40,8,4,137,45,31,0,5,78,25,33,0,3,64,1115,526,68,48,1754
LGA26980,0,3,0,0,5,210,163,30,34,437,241,2781,381,37,3437,2351,3973,380,128,6830,5004,2583,349,172,8103,5425,2560,539,146,8670,5308,2895,421,128,8743,4761,2625,226,104,7718,5006,2614,221,65,7906,4882,2584,224,88,7786,4057,2401,250,66,6777,2603,2043,277,30,4950,933,1223,159,23,2337,252,606,56,16,938,82,321,37,23,464,40903,29210,3509,1032,74657
LGA27070,0,4,0,0,4,259,161,22,48,489,447,3170,317,52,3989,2856,3559,359,173,6945,5227,2443,353,243,8258,5407,2633,522,214,8780,5229,2878,361,178,8647,4698,2437,227,127,7486,4578,2235,205,93,7117,4258,2027,231,101,6612,3537,1769,201,95,5607,2256,1457,209,48,3971,868,765,95,26,1758,191,273,36,13,513,77,143,19,19,255,39631,25787,3128,1380,69926
LGA27170,0,0,0,0,0,82,37,7,21,149,542,852,106,34,1534,1263,636,63,49,2007,1479,522,109,52,2160,1522,639,148,46,2354,1483,631,101,51,2263,1451,600,73,23,2148,1511,550,58,23,2137,1536,545,79,27,2188,1251,542,81,29,1893,849,535,88,16,1483,274,315,64,6,663,78,112,9,4,201,30,70,7,12,119,13257,6554,987,369,21166
LGA27260,0,3,0,0,3,340,192,22,67,621,566,3716,447,75,4805,3365,4298,406,248,8317,6345,3435,421,315,10519,7309,3276,575,336,11502,7848,3770,519,293,12429,6833,2904,362,176,10277,6068,2405,270,137,8879,5380,2042,262,116,7798,4398,1690,259,78,6418,2589,1406,200,63,4251,908,662,91,34,1689,186,259,19,9,474,48,103,17,23,188,51842,29958,3850,1882,87535
LGA27350,0,6,0,0,5,278,165,23,62,537,185,1583,286,37,2087,3565,4611,624,161,8966,10063,4083,655,236,15039,11350,3653,917,211,16130,9305,3296,727,168,13498,7245,2501,313,120,10183,6095,2100,229,97,8521,5029,1999,217,81,7324,3601,1701,203,57,5559,2279,1440,200,44,3962,966,945,121,25,2055,298,466,60,13,844,98,275,27,17,419,60094,28655,4577,1257,94588
LGA27450,0,0,0,0,3,158,108,18,17,299,517,2665,497,50,3730,1851,2195,330,93,4474,2454,1295,247,87,4082,2520,1438,296,81,4347,2324,1716,220,72,4331,2409,1709,168,68,4352,2732,1695,192,74,4687,2780,1718,222,64,4781,2330,1738,237,57,4364,1604,1551,195,43,3385,633,911,112,20,1675,228,473,56,16,773,78,227,25,15,348,22452,19335,2795,743,45331
LGA27630,0,0,0,0,0,13,3,4,0,19,29,95,5,10,133,103,41,10,5,164,140,60,15,9,217,134,77,10,9,226,121,72,5,6,204,113,62,8,4,183,145,67,0,4,217,162,79,20,6,263,195,102,22,5,322,185,126,30,0,342,68,70,11,0,156,31,22,8,0,61,25,39,3,4,76,1467,913,136,65,2576
LGA29399,0,0,0,0,0,7,8,0,0,13,43,157,18,4,235,161,382,67,13,622,156,257,26,11,451,110,103,20,3,235,81,51,6,0,145,68,40,11,0,122,97,37,0,5,138,73,39,6,0,124,79,46,7,0,133,47,51,7,4,117,36,33,3,0,75,11,17,0,0,32,6,9,0,0,14,971,1223,180,53,2422
LGA29499,4,3,6,7,18,452,324,80,100,957,2415,2243,464,155,5273,7261,5219,804,392,13672,9549,4775,804,437,15558,10291,4969,1009,464,16737,9189,4945,952,399,15491,7749,4618,776,322,13467,7461,4906,856,299,13522,6952,5406,867,293,13516,5538,5326,902,208,11974,3689,4886,977,192,9740,1426,3015,554,79,5077,427,1393,270,62,2149,211,784,215,83,1298,72156,52479,9454,3389,137478
LGA29799,0,0,0,0,0,4,0,0,0,6,0,0,0,0,3,3,0,0,0,5,5,0,0,0,5,18,3,0,0,20,11,4,3,0,14,19,0,4,0,24,24,3,3,0,36,29,3,0,0,35,33,0,3,0,35,11,5,6,0,18,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,160,17,19,0,194
