POW_LGA_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
LGA22310,0,172,68,235,33,10,44,51,31,81,638,210,841,5,13,19,42,55,94,94,53,151,13,12,24,3,3,6,80,35,114,48,20,73,7,14,14,286,205,488,25,20,43,211,212,419,102,76,178,251,144,399,592,445,1038,0,9,8,24,18,43,363,400,755,389,418,807,19,13,25,1329,1554,2883,637,226,864,1981,1797,3773,0,0,3,245,360,597,260,178,442,506,539,1042,0,7,4,449,785,1231,13,3,15,212,72,291,671,867,1536,46,80,131,959,3478,4436,533,749,1288,235,488,717,1776,4794,6569,32,88,122,386,1662,2053,656,2044,2697,366,1334,1706,321,1346,1666,1770,6476,8245,11,9,20,16,10,27,96,119,214,301,256,556,13,10,24,437,401,839,0,0,0,443,85,529,399,823,1222,0,36,36,843,940,1783,610,492,1104,287,242,535,18173,22909,41076
LGA22410,8,29,28,57,46,20,60,40,9,48,407,95,502,0,0,0,9,7,8,6,3,8,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,9,22,31,0,0,0,4,36,40,3,9,12,4,7,6,6,50,57,0,0,0,15,3,17,19,37,60,33,38,73,0,0,0,58,101,157,8,7,19,70,108,177,0,0,0,15,34,46,59,69,123,71,95,167,3,0,3,145,227,366,0,0,0,81,35,116,231,258,491,0,3,3,109,420,531,15,12,28,4,15,21,128,453,581,5,16,18,80,492,567,64,206,267,32,160,193,42,175,219,210,1049,1265,0,0,0,23,9,29,0,11,9,21,33,56,0,3,8,53,58,110,0,0,0,123,24,145,37,112,147,0,0,0,158,130,289,130,58,188,84,60,138,4304,3887,8193
LGA22490,0,11,17,31,3,7,6,4,0,3,120,51,167,0,0,0,7,3,5,0,0,3,0,0,0,0,0,0,9,7,14,0,0,0,0,0,4,20,16,30,0,0,0,4,6,9,5,11,16,4,9,11,15,21,39,0,0,0,38,13,43,17,13,27,46,19,74,3,0,0,82,109,191,22,3,24,104,114,219,0,0,0,10,15,28,57,35,96,65,54,117,0,0,0,92,144,240,4,0,4,17,9,21,104,154,262,8,4,7,66,347,419,3,8,9,6,28,41,83,386,474,0,4,3,0,6,5,20,87,104,24,98,121,3,68,74,49,262,311,0,0,0,0,0,5,8,15,20,15,25,38,0,0,0,23,38,63,0,0,0,74,13,83,26,62,88,0,0,0,98,79,174,51,44,92,29,20,52,2336,2155,4492
LGA22620,9,245,133,373,78,21,94,68,20,89,1301,344,1645,3,9,7,22,46,67,37,19,55,32,28,59,0,0,0,107,54,161,64,32,96,13,40,51,274,219,493,7,13,23,621,831,1452,56,61,118,157,174,330,844,1080,1924,0,4,3,66,24,87,175,249,423,249,272,518,13,9,18,846,1041,1889,218,72,292,1076,1120,2197,0,0,4,145,320,469,390,454,845,539,780,1316,5,5,11,781,1142,1927,97,85,179,541,211,752,1417,1451,2868,37,62,97,841,2746,3591,281,451,728,90,191,282,1247,3449,4701,38,115,152,852,3539,4387,629,1870,2497,192,1122,1309,512,1808,2320,2224,8446,10667,4,3,3,47,59,105,30,47,76,266,274,547,4,10,21,349,404,749,0,0,0,778,144,919,290,780,1072,0,5,5,1072,920,1995,737,406,1138,345,279,628,24989,27091,52077
LGA22670,63,1432,527,1955,407,80,484,1270,455,1729,7136,1864,8997,5,6,15,54,58,106,46,43,88,12,4,18,0,0,0,153,51,208,116,93,211,12,12,24,405,269,673,18,14,31,216,311,529,170,277,447,148,171,318,548,772,1324,0,4,14,520,173,693,355,359,715,883,538,1417,15,9,19,1792,1552,3340,391,90,477,2193,1648,3840,0,6,10,602,517,1114,796,707,1501,1399,1231,2626,3,4,0,911,1722,2631,57,11,69,1224,715,1940,2186,2456,4643,54,94,151,1028,3429,4458,323,414,738,230,329,557,1635,4274,5910,58,123,179,899,3150,4049,661,1526,2191,312,1399,1713,626,2224,2852,2548,8430,10979,23,15,36,7,6,18,26,31,58,269,201,472,30,22,52,359,273,635,4,0,4,2302,342,2647,771,978,1746,0,0,5,3074,1326,4399,4924,2152,7069,1222,743,1965,69890,43283,113178
LGA22750,12,536,198,731,353,106,456,286,142,430,3067,786,3850,8,8,15,57,59,118,83,69,152,39,22,62,7,3,7,155,60,213,50,13,66,44,131,174,435,366,803,21,14,40,310,443,752,576,1137,1717,356,303,656,1264,1893,3158,5,5,10,167,50,218,461,695,1157,623,755,1382,23,3,31,2700,3032,5736,633,221,862,3360,3265,6619,0,0,0,420,691,1111,916,733,1645,1338,1426,2760,6,10,19,1408,2433,3838,51,18,65,1874,1163,3033,3339,3621,6960,78,141,221,2019,6033,8057,1414,1917,3329,262,538,801,3771,8633,12404,36,182,221,1524,6622,8151,1248,3937,5189,444,2547,2993,1418,4854,6278,4676,18148,22818,20,27,42,86,94,178,110,139,248,591,517,1110,33,40,66,835,805,1638,0,0,3,1490,260,1753,576,1840,2421,0,39,39,2070,2141,4208,1824,1020,2846,792,588,1379,56197,61711,117909
LGA22830,7,124,71,199,27,14,45,65,25,93,988,263,1250,0,0,0,16,22,42,14,9,21,14,7,21,0,0,0,45,27,71,21,22,44,5,25,35,111,114,232,3,5,4,78,121,204,23,34,57,64,80,144,170,246,411,0,0,0,47,22,72,84,125,207,133,151,285,12,3,10,520,621,1140,68,20,87,599,639,1241,0,0,0,85,165,246,272,294,569,358,460,818,0,0,0,336,599,934,0,0,0,361,157,510,695,756,1453,17,42,64,498,1600,2099,137,237,375,39,84,119,696,1959,2653,11,76,83,455,1795,2249,265,851,1110,160,823,979,238,1089,1329,1126,4626,5752,6,5,10,26,28,52,10,12,23,97,94,187,6,4,8,140,136,281,0,5,5,588,107,692,218,502,715,0,9,9,803,617,1420,588,310,895,294,234,524,15675,15571,31250
LGA22910,4,19,20,35,6,0,8,0,4,5,86,36,122,0,0,0,11,9,19,8,0,6,0,0,0,0,0,0,4,0,8,0,0,5,0,0,0,23,22,43,0,0,0,8,23,33,0,9,10,5,10,15,17,40,60,0,0,0,0,4,3,18,33,52,18,31,54,0,0,3,116,128,245,56,18,72,174,145,322,0,0,0,28,29,55,45,57,103,77,85,156,0,0,0,89,158,246,0,0,0,22,4,26,113,162,273,0,14,19,79,232,307,18,22,37,13,30,38,107,297,398,0,10,10,35,180,211,64,154,211,41,166,202,17,85,104,148,591,740,0,0,0,11,4,21,24,35,57,28,27,53,0,0,0,71,66,139,0,0,0,57,7,64,45,119,163,0,0,0,105,128,236,78,59,139,36,39,70,2474,2843,5311
LGA22980,0,11,5,15,0,0,0,25,3,35,108,19,122,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,9,6,0,0,0,0,0,4,4,12,14,0,0,0,0,0,0,0,8,8,0,8,8,0,0,0,11,9,19,5,3,8,11,11,28,0,0,0,0,8,5,12,8,31,16,18,33,0,0,0,59,48,106,0,0,0,7,0,11,63,47,120,0,4,4,33,144,173,0,0,0,0,12,14,35,160,193,0,7,4,55,265,321,9,19,32,8,46,54,5,22,24,73,360,434,0,0,0,9,0,6,0,0,0,0,0,6,0,0,0,5,3,10,0,0,0,16,5,20,10,16,24,0,0,0,24,19,42,30,14,44,19,13,34,1189,1036,2233
LGA23110,17,169,57,228,507,179,682,598,278,880,3188,882,4071,5,0,7,12,11,23,35,30,61,8,4,11,0,3,6,68,23,96,24,20,41,4,20,20,155,108,262,5,6,12,75,101,179,44,54,100,114,74,190,243,239,484,3,0,3,300,58,357,120,195,317,418,257,672,7,3,12,623,618,1248,209,93,302,843,714,1561,0,0,0,233,246,483,314,210,524,552,458,1010,0,0,0,326,411,735,102,56,157,455,129,585,887,596,1484,21,39,61,450,1855,2296,30,55,82,122,243,368,616,2191,2805,11,40,50,96,348,448,257,933,1190,126,574,694,139,684,824,632,2586,3214,5,9,11,41,51,91,71,61,128,160,132,291,7,11,16,279,267,544,0,0,0,576,89,667,260,532,796,0,14,14,839,644,1480,1129,456,1581,333,209,541,21762,14949,36710
LGA23190,0,46,31,77,15,4,27,34,6,37,298,69,362,0,0,0,9,17,28,3,6,5,16,14,26,0,0,0,14,0,14,0,0,8,0,9,4,49,40,86,0,0,0,33,53,82,10,20,28,18,35,50,63,103,166,0,0,0,8,5,10,25,32,56,32,34,72,0,0,0,163,206,360,14,0,18,173,210,380,0,0,0,41,70,113,59,69,131,102,146,243,0,0,0,216,210,424,0,5,5,124,61,181,342,271,614,4,15,20,133,509,633,20,41,62,23,48,71,176,609,787,0,9,9,146,773,921,94,276,371,30,138,176,66,329,392,331,1534,1869,0,0,0,15,7,24,5,8,12,54,47,99,0,7,8,75,67,142,0,0,0,191,49,238,54,159,209,0,0,0,242,205,443,138,57,194,76,48,122,4815,4934,9749
LGA23270,21,1797,565,2368,3099,1537,4638,803,302,1107,13548,5026,18574,11,0,10,15,17,37,34,41,74,9,8,14,0,0,9,293,84,372,61,25,83,3,23,23,430,201,628,6,10,17,230,307,537,72,121,198,92,100,191,404,542,944,0,0,4,269,171,443,270,301,569,539,469,1012,19,0,20,1023,912,1938,454,157,607,1499,1066,2572,0,0,0,598,598,1191,1078,844,1924,1678,1438,3121,12,15,27,1267,1845,3113,50,12,66,2062,748,2809,3395,2616,6009,49,82,129,1317,5302,6613,215,334,549,232,472,709,1814,6195,8004,38,89,132,155,627,783,660,1824,2488,161,814,971,426,2189,2614,1449,5542,6991,10,3,14,36,8,46,37,34,67,341,273,611,21,31,48,438,349,786,0,0,0,1722,305,2021,457,833,1289,0,3,0,2180,1138,3321,3456,1439,4891,1190,717,1903,64496,41493,105989
LGA23350,0,19,19,34,5,0,6,12,3,12,128,43,170,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,6,13,0,0,0,7,21,24,0,5,5,7,5,13,15,28,45,0,0,0,0,0,3,10,13,20,11,11,22,0,0,0,96,107,201,18,9,25,116,111,229,0,0,0,13,14,31,30,34,62,38,54,93,0,0,0,101,130,237,3,3,10,77,27,106,185,166,350,7,4,7,57,304,362,6,16,20,16,18,34,85,345,430,3,13,13,16,65,83,28,89,111,40,235,272,16,110,122,98,512,605,0,0,0,13,15,24,13,9,19,7,10,18,0,0,0,27,34,62,0,0,0,48,12,58,16,63,78,0,0,0,58,77,136,58,41,104,50,41,94,2741,2681,5420
LGA23430,14,555,169,726,136,59,194,569,248,818,2767,827,3602,12,6,15,54,75,127,95,64,164,15,11,20,21,3,23,190,54,246,78,25,105,8,16,27,473,254,727,35,21,51,250,240,493,128,139,262,274,202,477,682,606,1287,6,7,4,162,93,253,345,441,786,512,533,1043,13,10,31,1520,1457,2979,772,242,1018,2314,1712,4024,0,0,0,483,549,1032,857,520,1381,1342,1068,2411,6,3,7,565,1076,1643,35,7,46,690,238,925,1300,1319,2619,34,57,92,819,3044,3865,138,232,362,313,471,785,1298,3802,5098,35,118,151,420,1575,2001,638,1997,2634,270,1292,1561,461,1801,2260,1824,6781,8606,17,24,36,35,20,57,81,100,174,565,378,947,18,12,30,718,530,1247,3,0,3,1714,341,2054,426,1077,1504,0,14,14,2144,1430,3573,3018,1674,4698,757,482,1240,47015,36736,83752
LGA23670,8,477,168,652,59,20,74,292,138,429,1810,493,2306,12,5,10,80,95,171,80,42,120,55,16,69,3,0,4,258,78,336,46,11,58,14,48,62,539,294,835,15,23,36,558,540,1093,117,172,285,240,194,429,929,923,1847,0,0,3,101,48,149,239,357,595,343,401,747,23,6,35,1361,1325,2685,730,242,969,2112,1583,3694,0,0,3,318,364,685,713,442,1160,1035,814,1843,3,3,3,376,785,1159,27,4,30,552,252,800,956,1049,2000,38,74,116,672,2539,3206,135,182,319,245,406,655,1092,3201,4292,38,84,119,433,2124,2556,650,1891,2544,359,1578,1934,352,1590,1944,1827,7273,9099,21,10,26,24,22,47,41,63,101,381,399,775,91,36,126,555,522,1080,3,0,3,1431,295,1722,425,958,1386,0,9,9,1860,1261,3120,2492,1386,3878,541,378,925,38930,33148,72079
LGA23810,0,179,104,284,58,34,91,18,3,28,830,240,1074,0,5,6,22,21,44,15,16,30,19,26,42,3,0,3,65,21,89,184,79,257,0,0,6,309,165,471,0,5,5,68,218,286,40,71,108,53,72,127,162,366,526,0,0,0,61,14,78,123,190,316,185,208,394,5,3,8,441,514,950,101,15,122,548,534,1077,0,0,0,142,188,333,182,248,429,328,434,760,0,4,3,613,1578,2194,3,0,3,491,271,755,1103,1851,2957,11,31,48,424,1660,2080,191,293,487,46,86,131,672,2075,2745,10,42,52,458,2008,2468,295,943,1241,158,939,1094,308,1139,1453,1230,5075,6308,3,0,0,35,39,76,10,14,22,95,132,231,0,12,13,146,198,352,0,0,0,563,118,681,140,469,609,0,0,0,701,586,1289,533,249,784,314,222,538,16574,17003,33579
LGA23940,0,10,8,17,3,0,3,4,3,5,67,21,92,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,5,0,3,0,0,0,7,8,16,0,0,0,0,0,0,0,6,3,0,6,3,0,0,0,18,15,37,0,0,0,20,15,35,0,0,0,0,0,0,15,9,27,19,9,30,0,0,0,49,75,123,0,0,0,15,0,12,66,74,142,0,0,4,42,139,183,0,5,5,5,4,7,45,143,194,0,3,3,14,90,106,12,52,63,0,17,23,3,13,16,27,177,211,0,0,0,8,6,15,0,0,0,0,0,0,0,0,0,17,5,19,0,0,0,21,3,24,0,13,19,0,0,0,22,16,36,44,14,65,42,39,78,1585,1117,2701
LGA24130,0,55,45,97,19,19,31,18,10,31,317,141,452,0,0,0,21,50,72,40,13,52,4,0,3,0,0,0,22,9,28,4,0,4,0,13,14,90,90,180,7,4,11,47,70,116,47,131,179,40,36,75,144,234,378,0,0,0,19,5,18,54,122,178,70,126,197,4,6,9,334,472,811,104,37,141,449,511,960,0,0,3,38,90,124,143,131,275,181,225,403,0,5,5,317,432,747,40,3,43,168,118,286,522,558,1080,17,39,56,311,1080,1392,29,36,63,55,151,205,407,1301,1710,7,30,30,18,123,140,196,663,855,80,471,543,63,442,503,358,1726,2078,0,4,3,24,22,43,42,53,95,92,117,205,4,0,8,161,194,352,0,0,0,205,47,255,77,320,395,0,0,0,282,369,651,219,157,372,99,77,178,7242,8474,15711
LGA24210,7,134,47,178,19,14,26,10,6,18,723,135,857,3,3,6,15,20,28,57,36,91,6,0,10,3,11,12,70,38,111,34,10,46,4,30,33,193,150,340,8,8,22,149,176,324,65,68,131,205,187,396,422,441,869,0,4,3,22,11,31,367,365,729,390,377,768,12,10,24,926,917,1845,497,181,679,1438,1111,2553,0,0,0,109,144,251,266,204,470,374,351,727,3,0,3,272,420,693,6,0,5,177,54,225,459,471,926,16,75,88,704,2425,3132,51,77,122,198,319,516,968,2894,3857,22,52,73,65,246,313,801,1881,2682,390,1282,1667,165,765,935,1444,4233,5672,3,0,4,26,38,66,32,44,78,189,192,384,29,11,43,286,284,568,0,0,0,316,69,387,262,623,890,0,14,14,584,711,1291,388,345,732,204,178,382,14163,17656,31820
LGA24250,42,16,10,26,0,0,0,0,0,0,107,38,142,0,0,0,3,5,8,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,9,18,0,0,0,10,13,29,0,0,0,5,3,10,16,19,41,0,0,0,20,9,35,18,32,47,36,40,81,0,0,0,49,117,162,13,3,14,59,122,181,0,0,0,4,11,18,33,35,71,41,48,92,0,0,0,67,94,161,0,0,3,29,11,41,96,108,210,0,15,17,94,294,390,0,5,3,15,22,37,118,337,451,3,3,9,11,177,191,30,69,102,3,20,25,21,65,85,74,341,408,0,0,0,0,4,8,0,3,3,13,10,21,0,5,3,15,21,34,0,0,0,67,17,78,17,54,67,0,0,0,76,75,151,38,40,77,40,30,69,1889,2040,3929
LGA24330,10,182,51,229,130,57,184,420,197,621,2001,516,2516,3,7,13,22,18,35,126,92,221,10,7,11,0,3,3,105,39,144,31,14,47,12,19,29,304,199,503,7,3,16,118,134,257,28,44,72,194,214,408,348,400,754,4,4,4,84,43,127,152,221,374,234,276,508,4,4,8,808,836,1643,301,99,401,1118,936,2048,0,0,0,242,222,463,286,256,544,525,485,1008,0,4,8,429,671,1101,7,4,8,373,131,503,809,809,1616,28,59,86,482,1591,2076,623,938,1563,138,318,454,1273,2903,4179,12,73,90,690,1956,2643,464,1413,1877,189,811,1004,471,1642,2110,1828,5898,7731,26,9,30,30,29,58,108,99,211,262,234,498,16,10,27,441,386,823,0,0,0,496,101,599,395,832,1231,0,15,15,893,947,1843,936,538,1467,430,286,713,20783,21881,42663
LGA24410,6,119,46,158,129,113,240,85,27,110,874,316,1189,7,5,9,13,17,29,50,44,92,14,6,19,0,0,0,127,60,179,30,16,47,3,13,17,240,155,396,3,9,15,124,153,274,43,53,98,146,139,287,322,349,674,0,0,0,59,52,108,194,289,484,255,337,589,3,3,7,945,1096,2034,447,122,575,1391,1225,2618,3,0,3,233,361,592,450,277,729,686,638,1321,3,0,3,398,666,1068,23,3,29,338,160,496,758,834,1595,30,48,78,680,2660,3340,95,163,260,145,311,457,953,3178,4128,16,53,70,413,1687,2100,553,1710,2263,232,1218,1453,322,1407,1726,1544,6070,7616,7,6,8,8,3,7,28,58,94,139,202,339,16,13,27,196,280,479,3,0,3,908,177,1090,301,855,1159,0,12,12,1216,1051,2260,1159,597,1751,345,225,568,23142,23485,46629
LGA24600,326,2448,1612,4059,2660,1019,3681,316,83,401,12804,5464,18270,129,83,214,1255,1121,2383,488,388,884,1216,931,2140,200,178,372,7497,3412,10904,1635,751,2382,182,284,463,12596,7146,19743,629,425,1056,22912,18466,41378,8716,9444,18164,9838,7333,17167,42093,35666,77762,11,17,22,224,124,346,4171,3655,7826,4404,3786,8194,261,181,443,34347,35124,69471,21651,8512,30167,56257,43824,100077,9,19,26,6085,6859,12945,2622,2678,5307,8716,9559,18272,72,112,186,16133,22368,38493,2152,911,3061,8776,5445,14218,27125,28825,55954,604,1058,1664,1657,3329,4990,9247,12431,21676,837,1326,2163,12348,18147,30493,196,496,694,6402,19433,25835,2874,7070,9942,750,1768,2516,1201,3350,4550,11426,32113,43539,158,166,330,1028,1517,2540,929,1082,2007,2631,1870,4502,3604,2200,5808,8354,6835,15193,3,3,5,916,175,1097,3223,5444,8664,0,38,38,4142,5666,9807,5497,4354,9858,2942,2555,5498,261805,241241,503044
LGA24650,4,249,88,332,109,55,163,376,155,530,1803,479,2282,4,0,3,7,4,10,27,13,38,5,0,5,0,0,0,88,40,127,42,18,59,3,29,32,175,104,276,3,8,20,93,154,242,39,65,100,89,57,144,217,294,511,0,0,0,89,23,111,504,358,867,600,379,979,7,4,12,361,413,776,235,81,315,597,498,1099,0,0,0,158,204,362,318,264,586,477,471,948,3,3,3,383,671,1057,6,4,11,1154,942,2097,1548,1625,3171,22,48,71,865,3529,4392,38,67,106,158,296,453,1088,3936,5025,12,44,57,77,318,396,288,878,1166,82,527,609,189,1163,1348,652,2930,3585,0,4,7,23,3,25,18,16,33,146,228,376,6,18,27,197,267,465,0,0,0,708,113,823,154,468,625,0,4,4,858,589,1445,798,438,1235,342,251,592,19319,18364,37682
LGA24780,10,78,52,130,42,19,61,42,13,62,762,208,970,0,0,0,27,31,53,13,5,19,13,15,29,0,0,0,34,3,37,4,5,11,0,0,0,91,62,155,6,8,12,52,101,156,24,48,74,43,50,92,129,207,332,0,0,0,31,26,55,79,120,199,111,153,257,3,0,3,357,425,783,59,7,70,426,436,863,0,0,0,93,178,273,280,359,642,378,538,910,8,5,3,348,505,856,4,0,4,294,119,413,650,624,1269,14,21,34,347,1331,1677,84,152,234,35,99,137,478,1600,2079,9,40,46,221,810,1037,213,720,937,111,675,785,173,894,1065,738,3138,3873,3,0,3,48,14,59,8,11,17,58,61,125,0,6,3,116,93,211,0,0,0,432,79,507,98,319,414,0,0,0,530,397,929,408,213,619,306,230,538,11777,12125,23895
LGA24850,0,84,82,163,19,8,26,0,3,8,403,162,563,0,0,0,14,20,32,0,0,0,0,0,8,0,0,0,12,0,19,8,0,8,0,0,0,39,28,63,3,3,5,22,80,97,11,18,24,19,9,29,52,104,156,0,0,0,11,4,13,40,58,93,49,63,111,0,0,0,140,221,357,39,24,62,185,240,422,0,0,0,24,65,87,106,86,195,133,155,283,0,0,0,180,329,511,804,175,981,171,96,268,1155,603,1762,10,13,20,288,1104,1391,26,36,59,20,51,68,344,1207,1549,9,14,23,38,395,435,140,523,659,24,197,222,66,431,503,272,1566,1841,0,0,0,3,5,3,6,13,13,68,86,158,0,0,4,78,101,183,0,0,0,188,35,228,73,191,261,0,5,5,261,229,487,172,117,291,143,105,244,6619,7088,13705
LGA24900,3,28,43,71,6,9,12,52,24,77,395,123,519,0,0,0,6,11,16,3,0,8,0,0,0,0,0,4,10,0,13,0,0,0,0,13,13,21,30,48,0,0,4,17,64,77,7,9,11,17,29,47,35,104,135,0,0,0,12,3,10,33,55,87,39,58,99,6,0,0,107,188,291,8,3,12,121,194,313,0,0,0,19,50,75,62,85,152,83,136,222,0,0,0,100,123,221,4,0,5,46,26,77,148,151,295,0,13,14,201,661,866,10,8,16,13,29,49,228,714,947,7,29,34,48,438,484,79,300,383,26,261,287,30,316,344,191,1343,1530,0,0,0,13,4,17,3,5,8,25,14,34,4,0,4,39,25,69,0,0,0,210,49,253,55,131,184,0,0,0,255,179,437,158,81,237,113,73,192,5890,5522,11409
LGA24970,35,1089,300,1395,188,85,274,433,147,580,3182,906,4086,15,3,16,88,57,145,186,131,317,13,5,23,6,6,12,588,155,740,155,48,204,12,25,41,1066,422,1492,48,36,83,652,658,1309,256,303,556,473,340,813,1420,1341,2762,3,0,5,177,67,241,683,739,1419,858,802,1665,44,12,59,3813,3224,7039,1781,645,2421,5639,3877,9518,0,5,5,1051,1027,2081,1067,737,1805,2122,1768,3885,0,3,5,473,690,1164,34,14,52,1652,639,2289,2162,1344,3503,75,134,213,1437,4483,5924,3766,4779,8546,369,713,1083,5650,10106,15756,79,178,258,2119,6990,9109,1457,3568,5020,489,2182,2675,513,2130,2649,4657,15055,19714,15,22,42,28,18,44,59,54,111,483,449,929,50,16,69,641,557,1198,0,0,4,1313,303,1615,644,1145,1789,0,14,16,1959,1463,3426,2769,1798,4570,891,663,1553,59933,56765,116697
