POW_LGA_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
LGA23670,3,0,3,82,47,129,0,0,0,3,0,3,5,0,4,17,6,27,112,53,167,31,3,37,5,0,5,7,0,7,14,3,20,53,8,67,18,4,23,132,16,146,952,384,1338,932,790,1721,24,26,50,129,199,326,244,73,318,352,114,469,464,242,707,16,3,21,453,408,868,293,70,364,297,75,370,501,185,681,511,126,635,392,93,489,1045,501,1547,669,228,899,7278,3517,10793,13,10,20,147,35,182,9,7,12,44,23,67,134,38,167,349,107,457,288,58,347,1266,354,1627,404,82,483,3948,715,4662,5903,1217,7119,147,83,232,535,221,759,1465,839,2304,480,217,696,554,369,926,611,781,1391,8,11,17,3814,2518,6332,187,153,339,621,258,874,106,58,165,1089,1222,2310,1541,2348,3893,37,49,85,3579,4085,7664,0,5,6,43,55,96,1631,2007,3633,1671,2058,3732,108,37,142,757,95,853,86,21,107,0,0,3,26,5,24,6,3
LGA23810,5,0,5,229,144,375,6,0,6,180,46,220,0,0,4,32,13,41,445,202,651,31,0,31,253,38,293,8,0,5,14,0,8,57,11,68,15,5,17,369,53,425,128,26,151,274,151,427,9,14,21,8,17,28,61,17,83,770,52,822,25,7,28,9,0,10,34,3,36,40,8,42,65,20,87,101,18,119,81,13,90,38,3,40,77,15,97,45,3,57,1768,368,2141,22,3,22,1476,193,1663,30,48,83,187,105,294,242,34,273,1953,382,2337,130,26,152,492,125,618,323,51,375,1434,183,1620,2372,395,2762,3,8,7,171,61,233,106,31,133,48,14,61,73,21,98,11,11,27,0,0,0,419,142,561,28,42,72,189,87,273,36,36,72,442,745,1181,624,1104,1729,0,3,3,1325,2018,3343,3,0,5,72,124,192,774,1128,1903,853,1250,2105,44,7,49,456,72,521,59,12,64,0,0,0,29,7,27,0,0
LGA23940,15,11,18,752,313,1065,0,0,0,3,0,3,0,0,0,24,6,29,798,324,1121,3,0,3,0,0,0,0,0,0,6,3,8,26,0,30,6,0,6,37,5,39,0,0,0,103,35,131,12,7,18,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,4,4,4,0,6,0,5,9,0,6,0,0,6,5,0,5,143,52,195,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,14,0,19,0,0,0,14,0,14,15,0,14,47,13,55,76,12,89,0,0,0,32,12,40,0,0,0,4,0,4,7,4,9,0,0,0,4,0,5,40,17,56,0,7,9,5,4,5,10,18,23,29,60,93,20,29,52,0,0,0,63,116,177,0,0,0,17,16,25,15,41,51,27,55,83,9,0,9,49,8,56,0,0,0,0,0,0,0,0,0,0,0
LGA24130,5,0,6,354,244,597,0,0,0,4,0,4,0,0,0,23,7,38,387,255,646,4,0,4,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,8,0,8,46,30,74,297,200,490,80,58,134,12,11,27,32,4,36,0,0,0,3,8,18,0,0,0,10,7,15,5,8,17,27,8,33,36,5,41,25,4,27,107,13,124,24,9,33,35,12,52,739,374,1116,0,0,0,33,9,42,0,0,5,19,10,31,37,4,37,94,28,115,59,19,72,328,76,409,131,15,148,938,170,1109,1454,284,1738,4,8,15,62,30,94,38,5,42,16,10,22,22,9,32,12,10,28,8,3,15,164,80,240,23,34,60,34,8,45,23,29,58,353,547,897,158,384,543,0,6,3,602,1002,1602,0,5,4,62,136,197,438,606,1045,502,739,1244,27,8,33,178,42,222,20,8,26,0,0,0,0,3,7,0,0
LGA24210,0,0,0,64,64,132,0,0,0,0,0,4,0,0,0,10,3,14,78,76,153,0,0,0,0,0,0,0,0,4,4,0,10,3,0,4,3,0,6,14,7,23,26,19,44,97,163,260,22,13,40,8,32,39,7,6,15,32,13,43,11,3,21,0,0,0,17,11,26,10,4,13,38,12,46,6,0,10,48,30,76,6,3,10,32,18,44,32,27,55,396,348,748,4,0,7,20,3,27,0,0,3,5,6,10,11,6,12,38,12,51,84,35,119,749,213,961,156,47,206,1097,196,1291,2087,488,2578,24,19,47,85,60,144,48,30,79,62,12,78,59,63,120,67,74,146,0,5,9,350,270,618,68,70,139,262,89,347,46,20,63,824,859,1687,818,2217,3034,13,23,39,2021,3282,5305,0,0,3,61,65,121,1243,1442,2689,1309,1506,2814,27,5,41,499,51,551,19,9,28,5,0,4,4,0,5,7,0
LGA24250,4,0,4,217,91,306,0,0,0,7,0,5,0,0,0,18,8,22,246,100,346,0,0,0,0,0,0,0,0,0,51,8,59,15,0,23,0,3,6,74,11,87,9,0,7,14,19,33,14,12,23,0,3,3,8,4,11,0,0,0,0,0,6,0,0,0,3,3,8,3,0,0,7,0,7,4,0,4,5,5,5,13,0,11,10,4,7,9,4,7,82,55,136,0,0,0,5,3,8,0,0,0,3,0,3,12,0,14,23,0,22,24,0,32,85,14,98,21,6,24,203,27,232,335,52,385,0,6,4,27,19,45,6,0,8,6,0,6,5,10,9,0,0,0,0,0,0,43,37,75,3,13,22,23,11,35,10,6,18,81,156,241,58,112,166,0,0,0,180,310,484,0,0,4,74,109,186,109,146,257,187,256,443,0,0,0,57,9,63,4,0,4,0,0,0,7,0,4,19,13
LGA24330,0,0,0,41,18,60,0,0,0,0,0,0,0,0,5,9,5,16,61,25,84,6,0,7,0,0,0,7,0,7,0,0,0,3,0,4,4,0,4,17,3,21,132,46,183,785,506,1294,56,14,68,49,82,135,70,12,85,66,8,80,39,29,68,0,0,5,35,32,73,185,55,235,167,40,205,46,9,56,44,7,45,43,5,45,110,28,140,70,21,92,1907,900,2808,3,7,7,66,14,82,0,0,4,218,194,412,52,9,63,341,223,567,149,31,178,776,180,955,475,102,573,1077,109,1184,2476,417,2893,36,25,63,176,37,215,59,29,90,54,17,69,282,162,450,86,92,173,9,3,12,709,362,1073,78,107,182,200,57,256,69,18,89,949,884,1834,1327,2629,3961,21,40,57,2652,3736,6385,4,4,4,92,163,251,1398,1468,2862,1489,1629,3122,147,41,185,1023,120,1147,67,42,107,30,7,36,10,3,11,5,3
LGA24410,3,0,3,36,43,80,0,0,0,7,0,7,4,3,5,17,9,28,70,51,123,22,5,21,6,0,6,0,0,0,3,0,3,4,0,9,3,0,4,47,6,51,440,157,599,475,463,944,47,23,70,40,80,125,166,47,219,37,29,63,132,53,192,0,0,0,79,77,160,76,24,101,54,15,73,255,38,297,293,72,365,1095,237,1337,850,261,1111,276,96,375,4337,1686,6023,6,6,8,35,19,52,22,4,23,67,42,107,85,33,123,213,100,313,188,41,229,887,211,1099,251,48,298,2551,449,3000,3883,745,4629,48,24,72,254,96,351,197,63,263,46,27,75,41,27,66,137,114,253,0,0,0,730,346,1081,76,80,157,416,103,517,58,25,93,849,990,1838,1162,2292,3457,11,14,20,2577,3513,6089,5,0,5,48,45,91,1311,1729,3037,1355,1776,3136,47,30,79,419,72,492,62,32,92,0,0,0,5,3,9,6,0
LGA24600,5,7,12,262,157,415,4,4,7,41,37,80,7,3,11,49,41,95,382,248,624,39,35,69,14,7,26,270,147,412,189,103,293,22,7,28,84,35,116,620,336,954,181,90,274,1457,1325,2789,678,573,1249,66,129,194,22,0,29,35,20,55,299,149,448,7,5,14,1031,1177,2203,106,67,172,460,153,617,92,68,162,50,20,70,1298,291,1586,775,272,1054,145,82,229,6712,4431,11147,171,77,249,4358,3023,7376,368,282,656,510,414,923,475,199,673,5877,3994,9876,741,232,975,5866,1817,7679,3695,1415,5109,4635,751,5385,14942,4207,19153,117,72,190,711,571,1284,2113,732,2842,103,17,117,409,315,725,642,727,1367,32,21,55,4124,2458,6585,329,384,716,418,164,580,428,326,753,1618,1348,2970,4793,7671,12463,205,191,392,7785,10080,17868,34,21,51,2367,2484,4854,10250,9033,19282,12647,11543,24195,367,159,529,2082,526,2619,4183,1666,5847,397,150,546,132,127,261,226,107
LGA24650,4,5,3,189,105,295,0,0,0,9,0,8,0,0,3,19,8,19,213,118,332,3,3,5,0,0,0,0,0,0,7,0,7,60,18,86,0,3,4,80,20,108,122,58,176,161,208,371,27,20,37,29,34,63,65,18,82,93,7,98,34,14,52,0,0,0,9,23,25,40,19,60,89,9,106,126,23,146,36,16,50,75,12,86,42,23,59,79,10,90,1016,493,1506,4,0,4,17,6,29,6,3,6,26,11,34,143,22,163,194,47,243,218,36,250,921,263,1181,370,58,431,2969,460,3425,4477,811,5289,21,20,41,110,39,150,250,154,397,95,28,121,115,70,182,53,43,91,0,5,3,645,350,989,56,57,112,299,108,407,78,59,136,806,1034,1837,761,1335,2092,162,154,317,2160,2741,4901,4,0,3,36,51,86,1130,1475,2612,1172,1529,2703,103,38,137,922,124,1046,26,23,50,7,0,7,3,0,8,4,0
LGA24780,17,5,20,1645,656,2301,0,0,4,0,0,0,0,0,0,233,88,315,1895,752,2648,7,0,7,3,0,4,0,0,0,32,12,38,21,4,25,3,0,3,69,11,82,85,20,104,220,140,364,230,89,318,7,17,29,28,11,34,26,11,38,40,18,54,0,0,0,35,9,41,30,9,37,31,7,33,52,9,67,35,8,42,39,6,45,34,10,47,29,3,36,923,372,1295,4,0,4,66,3,71,4,0,4,130,59,188,48,10,56,249,72,317,72,15,89,264,73,343,115,19,134,886,137,1026,1337,250,1591,16,7,22,124,51,172,132,44,177,41,13,56,93,57,153,10,7,21,8,7,12,434,178,612,21,40,62,176,50,229,44,63,114,420,575,997,429,908,1339,0,5,7,1101,1643,2744,0,0,0,101,202,306,551,744,1293,656,945,1600,60,14,74,487,85,573,22,6,17,4,0,5,17,16,35,7,3
LGA24850,0,3,5,306,160,467,0,0,0,4,0,4,0,7,5,27,13,33,339,181,514,3,0,3,0,0,0,0,0,0,0,0,5,44,9,51,6,0,3,48,12,63,22,12,31,174,176,354,11,15,26,0,3,3,15,3,15,15,7,20,0,3,5,0,0,0,4,3,3,5,8,7,37,8,40,24,10,29,9,3,16,21,5,34,12,9,21,19,3,24,375,255,631,0,0,0,22,6,30,0,0,0,22,4,26,29,3,31,73,15,86,58,16,75,228,56,290,292,96,386,779,121,898,1359,295,1650,0,0,5,65,35,102,4,5,14,15,8,27,48,21,65,11,13,16,3,0,3,153,79,232,9,25,34,92,44,134,35,49,85,248,417,671,135,296,432,3,3,3,527,833,1362,0,0,5,44,47,89,418,696,1110,462,747,1206,19,6,26,223,42,273,54,16,69,0,0,0,0,0,0,0,0
LGA24900,10,5,16,1281,579,1864,0,0,0,0,0,0,0,3,3,92,24,118,1385,613,1996,0,0,0,0,0,0,0,0,0,0,0,0,22,3,24,0,0,0,23,0,31,67,21,90,633,288,924,10,9,15,0,3,6,23,3,23,3,0,0,3,10,7,0,0,0,18,3,17,4,0,4,20,0,27,44,3,47,29,3,27,32,9,41,35,6,41,24,5,27,936,367,1299,3,0,3,20,0,22,0,0,0,43,6,50,21,0,27,84,5,99,54,10,68,174,44,216,81,16,98,511,79,591,828,147,973,0,3,0,83,27,105,22,4,31,8,0,15,16,6,20,0,0,0,6,0,10,139,46,182,11,16,28,50,13,65,12,33,46,230,329,553,136,312,458,0,0,0,444,708,1142,0,0,0,68,129,194,150,298,451,220,425,644,21,9,25,277,46,322,0,0,0,0,0,0,0,0,0,3,0
LGA24970,0,0,6,65,33,94,0,0,0,10,0,8,0,0,0,30,3,35,105,39,146,33,3,37,5,0,5,10,5,9,14,0,18,10,0,10,11,3,13,81,11,96,493,192,682,904,906,1814,23,13,42,68,135,202,58,11,76,183,105,284,535,202,739,0,5,4,711,714,1430,746,494,1236,191,43,233,193,56,246,394,158,550,704,197,897,1243,383,1626,303,124,427,6745,3741,10487,19,10,28,295,94,392,78,44,121,70,23,100,175,34,212,637,205,845,316,67,388,2410,1239,3651,455,148,600,3888,633,4516,7069,2091,9161,158,122,278,474,220,695,1647,737,2389,914,466,1381,342,302,642,555,702,1258,76,82,161,4156,2644,6797,223,194,415,698,192,890,127,49,174,1942,1531,3474,2459,3187,5646,54,54,105,5507,5210,10712,9,0,12,164,194,358,2441,2514,4957,2613,2716,5324,161,80,240,1196,244,1444,51,29,84,9,0,10,27,7,31,30,4
LGA25060,0,0,5,23,21,47,0,0,0,5,0,3,0,0,0,0,6,12,31,40,73,11,4,16,8,0,9,3,0,3,11,0,13,7,0,11,4,0,7,45,10,58,71,27,93,224,262,481,5,3,8,26,84,115,41,11,49,35,30,67,39,12,51,0,0,0,55,26,81,85,44,132,14,3,18,19,9,32,21,10,27,150,32,181,108,25,131,96,35,127,988,602,1592,10,3,13,35,18,51,5,0,0,0,9,11,38,16,53,80,44,127,96,24,115,813,195,1010,116,40,160,1525,238,1760,2552,495,3047,20,6,25,83,35,117,57,21,81,78,26,103,111,83,189,50,79,123,0,0,4,400,244,640,68,57,126,373,123,496,45,9,56,895,1007,1898,878,1891,2767,3,14,19,2264,3099,5363,9,0,8,74,96,168,1598,1604,3205,1677,1706,3377,39,16,57,708,264,970,15,6,19,5,7,14,293,130,422,3,9
LGA25150,7,3,12,483,255,736,0,0,0,3,0,3,4,0,4,39,18,67,531,284,816,3,5,4,17,0,24,0,0,0,4,0,5,72,5,76,4,0,4,103,11,118,31,19,50,92,64,151,5,10,10,7,11,9,8,0,10,0,0,0,8,10,16,7,0,8,4,6,13,6,0,6,30,4,39,21,3,26,9,3,15,12,3,16,26,0,26,21,7,28,280,125,406,0,0,0,19,5,19,0,0,0,12,0,14,55,8,67,88,17,103,58,11,72,158,34,198,97,22,120,675,138,813,991,210,1200,5,0,6,38,14,52,0,5,3,0,0,5,9,9,16,9,0,10,0,0,0,67,30,95,8,12,16,11,14,27,23,37,60,208,312,516,62,202,262,0,3,3,312,578,886,0,0,0,25,46,68,289,408,696,312,453,766,20,20,38,261,61,323,11,6,24,4,6,11,0,0,0,6,0
LGA25250,3,0,0,28,32,55,0,0,0,3,0,3,0,0,0,10,8,20,41,37,85,0,0,7,0,0,0,0,0,0,3,0,5,6,0,0,9,0,8,15,4,14,158,65,228,442,327,772,41,18,63,90,144,225,84,11,98,33,10,39,147,77,221,0,0,0,74,69,145,201,70,270,36,11,49,74,9,87,152,32,185,45,9,53,163,73,238,211,78,291,1954,1006,2960,0,0,4,35,16,50,4,0,0,7,4,15,78,14,86,126,32,163,121,34,154,852,120,975,155,51,214,1783,204,1988,2919,409,3331,40,35,69,119,39,153,140,72,217,57,20,75,178,138,321,90,123,214,7,0,7,633,423,1051,70,77,155,147,28,177,73,21,91,1096,1067,2170,916,1167,2083,14,19,31,2324,2377,4708,3,0,5,99,112,213,1886,1770,3650,1992,1879,3870,32,14,46,667,91,753,48,21,72,0,0,0,11,9,14,0,5
LGA25340,19,3,22,737,525,1261,12,0,14,12,0,18,11,3,14,76,39,116,865,578,1444,4,0,8,0,0,4,65,12,75,11,0,10,27,7,32,5,0,10,118,25,143,162,59,225,534,716,1253,286,163,450,53,75,130,64,18,81,4,5,11,38,25,62,4,0,4,23,21,41,31,14,50,49,11,57,720,147,868,84,22,111,173,32,211,78,44,124,152,45,201,2463,1404,3869,10,0,7,54,9,60,18,3,20,42,13,61,170,24,196,293,59,346,244,76,324,1543,316,1855,488,125,613,3508,596,4110,5785,1114,6897,21,21,36,302,108,408,77,29,112,49,12,62,70,44,116,57,72,131,0,6,6,579,299,875,59,113,177,296,80,373,102,72,177,1334,1782,3120,1030,2325,3354,10,21,27,2822,4400,7226,12,12,19,311,473,780,2290,2901,5186,2606,3386,5989,32,14,45,312,57,370,9,4,11,10,10,20,28,7,39,47,14
LGA25430,6,0,7,198,109,307,0,0,0,4,0,4,0,0,0,7,6,15,215,121,329,0,0,0,0,0,0,0,0,0,8,0,10,27,0,31,5,0,9,49,4,54,25,9,35,763,382,1148,30,13,46,0,4,4,6,0,6,0,0,0,6,4,11,0,0,0,0,0,4,4,0,4,14,0,18,29,12,41,6,0,10,17,11,25,63,15,72,24,7,27,993,450,1442,0,0,0,0,0,0,0,0,0,11,0,13,6,0,9,22,6,25,23,8,32,115,17,129,45,4,44,306,39,340,484,62,551,3,0,3,20,12,29,10,3,11,8,0,12,12,13,23,0,0,4,0,0,0,56,33,85,14,15,31,33,10,38,10,17,23,165,168,330,97,197,297,0,0,5,315,404,723,0,4,4,30,45,71,149,230,376,177,279,452,6,5,10,71,14,85,31,3,32,0,0,0,0,0,0,0,0
LGA25490,14,4,19,1421,616,2031,11,7,17,0,0,5,5,0,11,56,9,62,1509,637,2144,0,0,7,0,0,0,0,0,0,0,0,0,26,5,29,0,0,0,28,12,34,15,3,20,603,234,845,4,3,9,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,39,16,53,0,0,0,17,0,21,13,0,9,3,0,3,7,0,7,8,0,6,8,4,9,718,274,991,0,0,0,33,3,31,0,0,0,6,5,8,0,0,4,40,3,45,37,7,42,93,8,105,61,7,69,266,22,289,454,48,503,0,5,6,37,16,51,10,0,10,0,0,0,7,3,15,26,13,40,8,3,7,88,39,126,6,11,17,9,4,9,5,9,12,70,83,154,39,106,149,0,0,0,129,215,344,0,0,0,53,94,143,99,193,294,149,286,436,15,7,24,102,16,116,15,5,23,0,0,0,11,4,15,0,0
LGA25620,4,0,8,480,227,706,19,7,23,21,12,28,0,0,0,26,10,32,548,254,798,0,0,0,0,0,0,0,0,0,0,0,0,9,5,10,0,0,0,16,5,15,11,6,14,25,40,68,10,4,13,4,7,6,0,0,0,4,0,4,0,0,0,0,0,0,3,5,10,0,0,0,8,0,11,11,0,9,9,0,6,55,12,70,9,0,11,9,4,12,150,83,234,0,0,0,7,0,7,0,0,0,16,4,16,9,0,9,34,4,37,22,4,28,108,31,142,21,3,25,231,30,262,387,65,454,0,0,0,34,28,54,3,0,5,3,0,3,4,9,12,4,8,4,0,3,5,49,37,85,10,13,23,8,0,13,14,16,26,78,117,189,49,83,137,0,0,0,158,229,386,0,0,0,84,117,200,93,171,262,178,280,464,0,3,7,57,9,67,0,5,4,0,0,0,3,0,7,0,0
LGA25710,0,0,5,75,55,126,0,0,0,5,0,5,0,0,0,31,23,50,108,76,186,8,3,7,5,0,5,0,0,0,3,0,5,0,0,0,3,0,6,16,3,21,34,17,54,46,84,130,18,10,26,5,14,26,9,6,12,0,0,0,17,16,30,0,0,0,9,11,20,14,5,19,9,6,14,11,0,7,27,7,37,18,5,19,23,12,33,64,18,77,313,208,520,0,4,6,14,4,13,0,0,3,25,17,44,16,7,21,58,30,86,44,22,66,318,97,416,62,22,85,1089,197,1284,1513,342,1855,8,9,13,101,43,150,32,5,36,21,6,25,18,9,28,24,28,53,0,0,0,207,93,301,15,23,39,31,14,44,37,30,69,274,284,559,236,368,603,4,4,8,600,725,1320,0,3,4,16,17,26,575,721,1296,586,737,1328,14,3,18,124,26,150,29,9,38,5,0,4,9,0,13,3,0
LGA25810,6,4,8,471,164,633,0,0,0,0,0,0,0,0,0,21,11,31,501,172,668,8,0,8,0,0,0,0,0,0,181,27,212,14,0,10,19,4,28,215,34,250,21,8,35,260,127,389,24,20,44,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,5,0,6,26,5,34,11,0,11,9,0,9,7,3,6,15,6,22,4,0,5,405,186,593,0,0,0,7,0,7,0,0,0,10,0,10,15,4,15,31,4,34,9,8,8,35,6,38,22,0,19,151,18,172,210,33,239,0,0,0,40,18,57,13,0,15,0,4,0,6,0,9,0,0,0,3,0,3,62,26,89,8,8,13,14,10,20,18,20,39,90,127,216,42,88,129,0,0,0,181,246,419,0,0,0,69,86,154,118,146,267,191,235,421,8,0,11,90,16,101,0,0,0,0,0,0,3,0,3,0,0
LGA25900,3,0,8,103,56,156,3,0,5,8,3,12,3,0,3,9,6,15,127,70,197,7,6,10,7,0,8,3,0,4,259,170,425,0,5,3,12,0,17,292,175,471,128,50,180,423,481,902,96,48,143,34,109,142,11,6,10,6,3,12,155,96,251,0,0,0,107,72,174,79,14,93,15,7,25,6,0,6,20,4,24,50,22,71,271,80,345,29,31,61,1427,1009,2436,25,4,29,101,32,135,4,3,9,10,4,14,56,24,77,191,70,261,204,65,268,2567,718,3281,333,83,416,2183,292,2473,5291,1159,6448,51,39,86,188,95,282,368,134,501,217,91,311,134,113,242,383,621,1004,7,9,16,1343,1103,2447,163,183,348,521,226,750,53,28,85,1059,711,1771,1308,1770,3081,60,46,107,3163,2969,6130,4,3,9,372,335,705,2587,2338,4926,2969,2678,5643,112,53,164,910,129,1043,25,18,40,100,64,160,32,23,53,11,8
LGA25990,0,0,3,401,148,555,0,0,0,3,0,8,0,0,0,18,6,25,433,156,589,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,14,0,14,6,0,4,8,20,27,63,37,102,0,0,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,4,0,0,0,0,0,3,86,61,152,0,0,0,12,5,10,0,0,0,0,0,0,5,0,3,17,0,18,5,0,8,21,5,24,16,5,21,61,8,67,105,19,122,0,0,0,5,4,9,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,11,3,16,0,3,11,0,0,0,7,6,15,33,32,64,16,20,39,0,0,0,58,66,124,0,0,0,9,17,26,28,49,73,36,68,96,5,3,9,38,7,45,0,0,0,0,0,0,0,0,0,0,0
