POW_LGA_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA22750,35,7822,6144,673,361,37,38,7255,6447,799,405,51,32,7728,5946,745,378,38,36,7148,4991,587,329,51,34,5988,3072,415,282,28,35,3833,914,227,132,24,11,1308,148,98,53,23,10,331,43,49,29,19,10,144,54969,5005,3062,347,317,63704,5419,10,26,20,10,5495,5606,20,124,19,14,5778,3795,58,283,27,10,4167,3453,144,366,46,7,4020,3803,174,400,60,23,4464,3433,202,394,66,22,4109,3313,248,390,70,18,4042,2977,233,365,60,22,3664,3098,231,376,56,16,3787,2654,228,400,79,22,3381,1392,188,256,79,15,1926,433,116,177,73,11,817,152,52,70,48,7,335,39533,1909,3624,710,206,45977,5774,182,369,100,62,6482,1308,77,100,66,187,1741,101577,7176,7154,1230,767,117909
LGA22830,8,1900,1627,159,87,18,9,1900,1722,220,114,30,17,2106,1762,246,133,46,22,2203,1531,233,139,39,20,1953,1047,190,113,33,24,1402,365,100,73,27,10,581,73,33,38,21,4,166,12,29,14,17,7,78,15579,1588,962,269,148,18545,1222,0,3,14,3,1241,891,3,15,9,5,930,766,15,35,0,6,826,909,33,51,8,6,1014,859,52,79,14,4,1004,785,43,64,25,3,913,737,44,61,22,8,874,780,57,61,17,13,926,830,63,66,26,9,995,671,56,79,29,13,841,347,64,70,37,8,529,154,28,56,34,4,280,49,21,21,38,6,140,9016,478,666,272,82,10509,1348,50,66,39,35,1542,507,29,26,30,70,659,26445,2142,1723,605,332,31250
LGA22910,5,248,173,36,40,7,3,258,177,48,53,10,5,290,193,68,60,6,6,332,154,58,38,18,7,273,103,42,45,16,3,210,37,27,34,3,4,103,8,8,25,5,3,49,0,11,12,12,3,38,1459,375,409,91,45,2387,170,0,0,8,0,177,144,0,7,0,5,154,145,0,4,4,0,158,145,10,20,7,0,181,128,7,42,9,3,191,155,8,46,10,0,219,160,19,54,17,3,246,184,16,54,3,7,262,211,13,60,12,3,301,167,26,71,17,0,289,85,17,40,15,3,157,19,24,28,11,3,88,7,8,20,22,0,53,1726,154,433,128,30,2471,275,13,52,19,5,369,50,7,11,7,10,91,3518,547,903,245,96,5311
LGA22980,0,94,85,8,20,8,3,122,76,12,23,3,4,122,92,21,20,8,0,147,103,30,38,7,3,188,81,16,35,8,0,143,17,10,21,7,0,54,4,0,7,8,0,25,0,5,6,6,0,19,926,120,221,74,22,1361,51,0,0,3,0,52,26,0,0,0,0,26,50,0,0,0,0,53,57,0,4,5,0,60,55,0,3,0,0,62,40,3,9,0,0,51,44,3,10,0,0,55,60,4,8,3,0,70,66,5,13,8,0,87,69,6,11,6,0,92,35,0,6,6,0,42,14,0,11,6,0,27,5,5,12,10,0,37,566,25,87,54,5,728,72,7,14,8,0,95,26,0,5,8,5,42,1590,148,324,142,29,2233
LGA23110,15,3052,2356,266,127,19,12,2768,2365,275,142,24,11,2817,2251,295,134,19,13,2711,1908,251,102,12,9,2288,1180,169,84,7,4,1436,378,84,44,5,0,516,64,36,11,5,0,111,10,14,7,0,0,35,19699,1868,963,108,81,22718,1232,3,12,9,0,1253,1477,6,59,9,4,1559,1062,24,91,6,3,1183,922,48,90,13,8,1079,951,97,147,26,0,1222,812,98,130,23,9,1065,739,94,123,28,8,988,715,78,124,23,7,951,701,78,121,26,5,933,562,75,120,34,5,796,299,48,63,17,3,437,112,35,28,12,0,186,41,26,10,10,0,92,9635,708,1109,239,53,11746,1352,80,116,34,17,1599,498,45,37,23,47,654,31184,2703,2229,405,194,36710
LGA23190,6,545,411,61,38,8,6,526,445,85,61,12,3,608,497,79,42,17,12,652,475,77,52,21,7,627,318,57,52,19,8,469,92,33,34,15,8,176,12,7,19,15,0,57,5,9,13,13,0,37,4510,508,412,147,59,5626,413,0,0,0,0,420,249,0,4,0,0,260,228,4,15,4,0,245,283,4,16,4,0,303,276,12,19,7,0,315,249,12,24,7,6,296,262,20,34,5,0,325,250,9,19,3,0,293,296,16,25,6,5,350,263,14,28,15,8,333,129,17,16,15,4,176,52,10,18,16,0,98,19,7,19,10,0,57,2969,124,239,108,30,3471,431,13,27,14,4,489,103,3,12,9,30,159,8015,647,688,277,120,9749
LGA23270,40,8986,6777,694,325,45,27,7862,6694,732,263,29,27,7751,6616,731,286,46,25,7700,5505,647,234,25,19,6435,3381,389,136,18,19,3951,1140,182,63,22,11,1416,183,76,23,13,0,301,49,36,11,5,0,104,58259,5092,2311,289,243,66189,3283,12,29,27,10,3360,4220,43,129,17,20,4431,2999,109,224,31,20,3381,2773,157,334,71,16,3353,2819,254,382,80,33,3564,2471,233,275,53,24,3053,2330,201,253,61,23,2871,2221,213,232,59,18,2745,1933,201,225,49,14,2424,1480,172,182,24,14,1880,673,88,104,36,13,911,229,69,52,26,4,381,89,31,18,14,4,162,27531,1789,2431,552,205,32505,4363,185,279,70,68,4969,1755,188,150,64,173,2327,91905,7254,5169,972,688,105989
LGA23350,0,234,236,34,38,9,0,316,262,63,40,10,3,379,285,62,37,20,3,408,239,52,38,14,6,348,159,50,52,17,3,280,59,25,22,20,4,122,9,5,27,23,4,59,3,9,25,8,4,55,1987,349,353,134,37,2852,240,0,3,3,0,248,111,0,5,0,0,116,98,0,7,0,0,103,94,5,16,3,0,123,115,14,17,5,0,148,121,11,19,10,0,154,138,10,22,6,0,177,140,18,30,6,5,199,155,22,41,6,0,223,156,20,56,17,4,242,78,11,39,20,3,154,35,8,22,15,3,85,14,4,18,25,0,63,1485,125,294,119,19,2043,341,25,34,18,3,419,59,4,6,11,9,97,3882,492,693,280,69,5420
LGA23430,20,6016,4850,665,237,43,22,5805,5309,733,290,55,19,6403,5118,806,334,39,12,6314,4211,718,267,40,21,5261,2663,490,179,38,24,3397,942,264,99,18,9,1337,211,116,45,15,3,391,44,51,18,6,0,121,42747,5038,2105,332,166,50390,3327,7,21,15,8,3376,4058,20,102,7,11,4200,2327,61,152,7,7,2548,1877,87,196,40,13,2203,1923,200,234,49,8,2418,1786,199,265,57,17,2321,1885,224,286,64,11,2468,1882,269,279,48,14,2497,1745,218,223,49,17,2247,1450,213,255,55,11,1987,772,181,167,53,3,1182,348,101,100,54,8,621,144,92,53,42,3,326,23520,1869,2325,547,130,28394,3160,150,243,76,55,3679,948,82,91,44,133,1295,70378,7136,4770,991,480,83752
LGA23670,10,5290,4326,534,211,39,17,5116,4599,504,228,33,18,5381,4439,586,241,31,19,5325,3930,551,240,29,13,4762,2368,400,180,26,7,2981,812,192,77,6,7,1092,143,75,33,6,0,263,31,49,12,5,0,95,37878,3791,1823,239,108,43834,2967,9,24,14,5,3006,3047,20,77,15,3,3159,1691,37,138,19,6,1891,1591,88,168,43,3,1893,1706,136,221,52,9,2119,1593,152,236,53,6,2042,1669,184,217,50,7,2135,1679,204,246,46,9,2179,1595,149,241,38,12,2035,1428,206,216,42,12,1903,770,138,159,44,6,1117,294,88,93,24,0,499,106,41,45,22,7,222,20129,1458,2063,465,84,24202,2562,128,260,56,17,3030,774,62,71,31,74,1014,61337,5440,4220,801,283,72079
LGA23810,8,2178,1811,118,81,16,14,2038,1904,167,103,10,17,2195,1922,174,92,17,9,2225,1816,129,106,15,7,2079,1122,107,74,12,15,1329,308,52,50,13,3,428,61,35,22,10,0,128,19,12,12,8,6,49,17079,1022,796,115,112,19124,1455,0,4,9,8,1480,1112,0,20,3,3,1147,905,10,43,9,8,974,961,19,65,7,0,1054,1063,41,74,16,7,1202,924,20,59,17,3,1028,848,31,67,16,7,975,922,48,72,16,3,1056,1005,34,69,18,8,1125,838,45,76,21,18,1002,381,37,48,24,4,493,151,15,39,19,0,226,44,10,28,26,4,107,10618,307,671,204,84,11873,1745,42,71,23,27,1902,509,21,49,28,73,682,29943,1384,1586,366,292,33579
LGA23940,0,121,92,32,25,5,3,164,100,24,25,7,0,163,112,22,45,12,11,203,97,33,47,16,5,190,99,30,54,24,0,209,23,24,38,24,5,111,11,3,20,16,0,56,3,7,12,11,0,45,908,221,319,134,31,1602,78,0,0,7,0,89,36,0,3,6,0,48,36,0,0,5,5,43,47,0,3,8,3,61,34,0,13,6,0,53,45,3,10,5,0,62,51,6,0,4,0,62,65,3,14,5,0,89,70,5,12,5,0,95,76,8,18,17,0,117,39,13,17,4,6,73,16,5,27,11,0,62,3,3,13,13,0,34,601,53,125,98,22,896,82,6,19,13,0,113,45,0,13,27,13,93,1624,276,475,266,61,2701
LGA24130,4,757,631,149,103,14,9,909,657,168,109,20,9,958,659,227,112,18,8,1019,528,147,88,20,5,789,317,122,77,19,9,532,121,55,43,17,8,239,35,19,22,12,0,91,4,15,24,19,3,68,5585,1114,770,154,64,7694,946,0,3,5,4,963,640,4,19,3,3,671,356,9,39,5,0,404,348,17,55,16,5,438,394,36,99,18,6,549,416,43,105,22,4,595,503,54,113,19,0,689,458,71,101,16,3,650,425,59,105,23,10,631,374,60,102,34,5,581,201,50,75,31,7,359,82,42,52,31,6,206,27,24,42,24,4,125,5164,470,902,255,57,6852,714,53,80,25,14,881,204,20,16,14,28,286,11664,1660,1773,451,166,15711
LGA24210,0,1678,1132,276,111,27,9,1553,1219,323,138,27,7,1711,1256,333,144,28,9,1771,1067,293,133,23,12,1526,664,196,96,16,7,972,240,112,57,11,3,422,48,35,22,5,0,116,18,35,13,5,0,68,10968,2079,1033,186,49,14316,1810,0,26,12,0,1847,2207,15,67,5,0,2301,1058,37,92,17,4,1205,821,71,129,35,3,1068,916,108,154,57,4,1240,821,131,158,50,7,1162,911,147,153,49,3,1256,922,151,188,52,0,1320,914,146,186,49,6,1296,730,133,160,41,5,1078,390,113,106,36,9,654,163,95,67,29,4,356,74,52,59,47,5,236,11742,1201,1561,475,51,15024,1695,113,148,46,14,2018,320,40,34,23,37,456,24732,3435,2770,730,149,31820
LGA24250,0,187,143,33,17,3,0,198,157,37,32,3,3,228,162,44,34,7,0,245,134,45,31,7,0,224,108,31,27,17,5,186,41,13,24,3,0,87,9,8,12,7,0,39,0,0,10,0,0,11,1372,253,251,62,20,1953,145,0,3,0,4,148,97,0,0,0,0,94,85,0,3,0,3,94,90,5,12,0,0,104,134,8,14,4,0,160,113,11,23,7,0,152,84,19,17,3,0,129,110,10,19,3,4,155,112,13,13,8,3,145,149,12,18,15,3,199,86,8,37,16,5,144,28,3,11,20,0,67,9,3,9,9,0,40,1235,97,179,92,24,1632,197,12,19,13,0,251,55,0,12,13,14,93,2855,363,469,180,62,3929
LGA24330,14,3169,2364,293,138,21,4,2825,2245,284,155,20,7,2712,2121,258,122,26,14,2540,1773,201,124,15,4,2122,1146,150,81,14,13,1397,403,78,36,8,4,531,83,28,14,3,0,125,12,7,10,0,0,33,20052,1848,1111,142,81,23222,1497,0,14,11,4,1527,2752,11,63,9,3,2838,1754,44,132,11,9,1958,1432,59,175,34,3,1706,1268,117,157,21,8,1576,1121,106,156,12,4,1393,1103,85,134,21,7,1348,1063,79,107,24,5,1283,875,70,116,15,9,1081,752,53,103,12,7,928,344,34,57,10,0,448,113,28,15,10,0,163,45,10,11,3,0,71,14119,701,1246,189,67,16314,2102,68,130,26,20,2354,618,41,32,24,60,782,36885,2657,2520,379,225,42663
LGA24410,12,2856,2244,389,142,18,9,2812,2538,389,154,19,5,3107,2399,384,194,21,9,3004,2093,385,178,20,9,2689,1355,278,111,10,7,1770,435,144,44,6,5,633,90,68,13,7,0,176,23,26,7,0,0,58,21264,2682,1287,149,80,25467,2458,4,14,10,0,2488,2577,13,76,6,6,2675,1231,27,114,17,4,1393,1202,64,124,14,3,1410,1256,112,182,32,0,1593,1190,130,178,32,9,1536,1157,111,161,36,4,1472,1228,112,144,31,4,1520,1171,122,158,23,6,1475,993,125,126,30,9,1282,576,87,93,28,3,785,176,62,71,18,6,329,79,44,36,25,0,184,15299,1006,1472,301,59,18146,2056,97,157,38,22,2368,468,45,38,30,68,650,39095,3828,2957,522,232,46629
LGA24600,76,62406,49702,1629,766,63,61,52224,39966,1489,813,49,68,42388,32354,1389,698,65,51,34560,22855,1131,577,33,51,24652,12925,718,383,29,51,14098,4218,404,245,27,12,4912,1004,207,123,13,9,1356,167,86,54,19,9,330,351178,9742,5372,465,491,367244,3500,11,42,14,10,3584,15438,70,257,37,32,15834,13288,159,396,42,32,13927,12672,287,506,90,38,13601,13187,406,452,99,36,14171,10388,375,383,119,28,11289,7445,333,319,95,20,8212,6079,304,290,75,25,6772,5072,292,294,74,36,5769,4482,282,311,51,19,5148,2520,247,234,70,11,3077,1103,180,160,62,11,1512,375,108,122,51,11,665,95558,3052,3771,878,311,103564,24500,374,429,180,193,25678,5222,319,277,215,526,6558,476458,13491,9846,1730,1524,503044
LGA24650,13,3056,2062,393,179,24,7,2662,1895,328,169,40,12,2452,1658,255,123,27,9,2069,1163,190,79,25,12,1468,688,106,61,16,11,880,240,42,26,5,3,319,44,16,8,0,0,70,7,0,0,0,0,9,17363,2200,1169,185,102,21017,2153,3,9,9,3,2182,1789,24,58,8,11,1888,1201,44,103,7,10,1371,1231,123,163,34,11,1556,1154,171,187,62,13,1585,952,132,190,56,4,1329,930,120,148,28,7,1229,707,114,127,30,0,974,585,76,94,27,7,786,491,59,83,23,3,668,222,44,41,20,0,320,85,16,32,3,0,138,23,9,4,6,0,43,11526,944,1228,309,72,14071,1488,76,151,34,26,1778,594,75,55,27,64,816,30969,3291,2603,553,265,37682
LGA24780,16,1426,1180,130,109,33,15,1463,1334,190,111,17,19,1670,1327,170,120,38,21,1675,1150,146,112,50,12,1469,796,123,109,52,14,1093,258,72,73,32,14,444,45,32,38,22,10,142,10,14,26,13,5,69,11654,1159,904,295,140,14148,999,3,0,10,7,1026,707,5,12,7,9,730,641,9,38,13,8,705,663,24,48,17,9,751,658,20,64,18,5,770,581,26,52,15,11,683,537,39,55,17,8,652,550,33,66,18,14,682,537,39,66,28,7,672,534,56,68,45,6,708,240,37,47,18,4,350,94,27,34,19,3,177,26,11,11,11,0,63,6755,329,551,245,91,7967,968,30,65,50,19,1139,483,24,29,44,61,649,19860,1543,1544,630,321,23895
LGA24850,8,795,581,91,69,16,0,757,658,84,72,18,6,830,637,105,60,6,4,812,581,82,67,17,6,746,319,63,44,11,0,440,114,38,38,19,0,198,25,16,25,20,5,85,9,14,12,3,0,37,5952,694,548,125,40,7369,794,6,6,3,3,812,531,3,8,0,0,548,337,10,20,5,0,379,391,26,37,8,4,463,383,27,64,22,0,496,323,25,49,11,0,407,381,34,63,12,4,499,347,32,43,12,3,440,323,24,43,16,5,406,308,48,40,20,5,416,167,19,43,26,0,249,60,15,19,19,0,119,18,8,18,17,4,63,4363,281,452,167,34,5298,615,23,67,12,18,734,223,14,22,14,33,306,11162,1018,1086,319,121,13705
LGA24900,10,655,504,91,67,13,7,681,542,100,67,16,7,743,558,120,85,32,15,807,486,107,82,29,12,719,345,82,88,42,16,570,117,45,49,30,9,254,19,18,21,18,3,84,5,16,13,13,3,53,4923,744,624,218,98,6600,503,0,5,13,5,520,270,0,4,3,0,274,235,5,12,0,0,254,289,5,24,8,4,324,265,9,19,15,0,310,262,13,32,8,0,315,260,23,32,16,8,326,295,20,42,22,0,378,318,32,40,17,9,418,307,28,45,20,3,402,145,18,33,22,0,226,58,29,21,24,4,129,16,12,22,21,0,70,3217,205,323,175,37,3955,453,33,54,27,17,570,183,11,26,34,36,286,8777,994,1022,445,173,11409
LGA24970,20,9753,8136,697,229,48,27,9140,8020,698,273,49,25,9063,7490,708,250,36,27,8520,6001,581,226,39,23,6874,3762,387,181,38,18,4385,1296,217,74,16,0,1607,258,106,31,12,0,413,46,51,25,5,0,128,65125,4635,1927,333,183,72198,2973,11,37,18,4,3039,5395,32,177,26,11,5638,3616,88,229,28,7,3974,3059,155,216,52,21,3505,3267,230,252,80,8,3837,2847,264,265,73,18,3469,2618,233,257,82,12,3199,2551,255,281,62,13,3162,2364,208,238,50,17,2878,2008,174,220,50,9,2464,1140,161,182,53,3,1540,472,112,117,39,10,751,185,64,59,42,3,350,32495,1984,2538,647,135,37798,4345,180,263,78,37,4908,1358,121,101,75,137,1795,103315,6922,4821,1136,497,116697
LGA25060,14,2654,1912,363,158,17,5,2456,1929,389,190,26,12,2537,1911,394,148,25,13,2488,1545,351,149,23,8,2073,884,203,104,21,10,1223,323,93,56,6,4,493,75,34,29,4,3,146,16,24,7,4,0,52,17265,2476,1264,163,84,21249,2113,4,10,17,8,2151,2420,6,82,15,9,2526,1321,31,118,11,4,1482,1179,46,163,32,4,1421,1055,125,171,36,5,1398,1013,121,168,33,9,1347,1056,136,186,19,6,1397,1034,149,160,28,8,1372,852,121,158,38,10,1175,728,129,131,25,7,1019,387,89,114,32,4,625,132,53,49,15,8,252,60,26,21,11,0,112,13348,1031,1520,313,73,16279,1929,94,190,48,29,2292,535,51,49,30,58,715,33081,3647,3027,548,238,40540
LGA25150,3,542,438,96,37,16,5,590,443,104,40,14,4,598,417,98,51,14,4,585,330,77,60,16,3,484,206,51,41,15,4,322,65,34,26,8,6,136,12,13,12,17,0,53,4,6,18,7,3,36,3806,680,412,124,39,5058,555,0,6,5,0,568,362,6,11,7,0,381,252,3,30,7,4,292,277,14,33,11,0,338,309,20,46,7,0,384,246,30,49,11,0,337,215,38,43,11,3,304,248,37,40,8,0,343,283,37,51,17,0,382,198,29,32,20,3,294,103,27,17,21,4,177,34,11,19,12,0,82,21,9,14,18,0,62,3103,262,392,161,29,3940,406,26,49,21,10,508,162,19,24,14,23,238,7474,986,874,319,99,9746
LGA25250,11,2939,1925,409,259,22,9,2624,1769,420,270,21,14,2490,1803,401,235,40,13,2486,1529,326,198,27,10,2096,993,208,108,12,10,1340,311,105,64,10,8,495,86,54,24,3,0,171,20,23,12,7,0,67,17466,2809,2030,197,99,22594,1435,5,18,11,0,1465,2497,29,140,13,7,2685,1918,60,300,8,3,2293,1570,114,330,36,13,2063,1451,131,335,49,14,1977,1210,145,302,37,4,1695,1161,137,283,43,7,1633,1103,132,229,43,13,1523,989,128,188,35,10,1354,766,103,157,32,7,1068,380,67,100,30,3,581,169,47,62,22,0,301,52,24,32,20,0,127,14696,1128,2472,379,83,18758,1685,95,276,54,37,2153,559,50,67,20,56,758,34407,4086,4851,648,268,44261
LGA25340,12,2872,2175,530,253,20,25,3013,2421,621,345,44,23,3449,2401,665,342,52,32,3485,1989,582,277,42,24,2919,1214,396,226,37,17,1889,417,212,108,13,19,769,98,102,46,9,3,260,25,40,41,13,4,124,21640,4036,2386,289,208,28564,3249,3,27,25,7,3305,2675,11,81,11,10,2783,1470,29,100,15,11,1622,1486,105,192,39,10,1836,1565,168,248,53,12,2041,1461,191,290,60,11,2011,1664,223,360,49,26,2323,1684,219,367,61,23,2364,1549,227,328,56,18,2182,1428,274,305,87,32,2133,729,225,262,69,24,1309,334,165,144,81,22,741,135,72,87,64,15,368,19421,1913,2793,668,230,25026,3095,219,352,101,53,3829,736,66,75,43,140,1061,44901,6236,5607,1103,629,58473
LGA25430,0,369,295,35,49,8,3,392,388,41,67,3,7,505,380,59,85,7,0,531,329,46,72,9,9,463,265,43,49,15,12,385,67,23,36,5,0,137,9,10,13,9,0,49,6,12,15,9,0,41,2965,338,458,74,42,3874,283,0,0,0,0,286,188,0,12,0,0,206,172,0,20,0,0,193,176,6,21,7,0,212,177,11,53,0,0,243,229,13,53,5,4,305,213,9,77,0,8,302,248,29,68,5,5,352,277,27,66,13,3,390,246,21,73,12,8,354,139,17,63,14,4,246,29,20,34,13,5,100,13,5,23,7,0,46,2389,158,563,84,42,3237,351,18,35,13,4,416,94,5,17,4,16,140,5797,525,1064,182,108,7670
LGA25490,0,368,267,62,69,10,3,414,302,68,93,14,8,485,296,62,96,20,15,490,285,58,127,31,22,528,176,44,84,29,8,337,68,24,90,22,3,206,9,18,41,21,3,94,0,14,41,12,9,80,2610,445,758,193,85,4089,190,0,0,12,5,209,125,0,4,0,0,134,103,0,5,3,0,120,114,9,21,11,0,153,114,3,28,10,0,166,103,12,13,8,0,129,116,11,36,10,0,174,132,18,29,14,4,198,147,15,39,16,5,215,142,10,52,18,6,236,67,12,58,22,0,164,23,12,26,24,3,89,5,6,22,25,12,70,1388,113,329,166,49,2048,253,13,43,4,14,327,76,21,30,27,18,170,4329,591,1166,390,165,6639
LGA25620,6,204,175,36,24,3,3,240,205,39,44,9,7,298,191,59,55,17,9,313,184,55,38,13,3,283,142,48,40,16,5,240,36,23,25,9,0,90,10,18,21,10,0,59,4,4,27,17,0,51,1664,333,331,92,27,2438,138,0,0,8,0,149,103,0,8,3,0,112,96,0,3,0,3,110,85,3,12,0,0,107,106,7,17,4,5,130,90,10,22,11,0,138,134,15,22,3,0,174,123,20,26,10,0,185,139,18,46,9,5,216,141,20,26,16,6,220,73,15,30,15,9,137,30,15,32,19,4,98,19,4,28,25,3,83,1287,134,278,135,36,1867,286,13,37,16,8,356,63,4,12,4,11,99,3301,477,653,249,71,4757
LGA25710,4,695,486,180,81,12,6,763,557,221,100,16,0,895,591,224,101,8,11,927,466,178,101,18,3,759,292,131,66,7,0,501,93,62,40,10,6,204,34,35,23,3,0,89,8,12,8,0,0,30,4790,1312,715,81,30,6941,1013,4,18,5,0,1033,804,3,41,3,0,851,340,3,44,4,0,398,325,24,72,7,0,437,397,50,108,17,0,573,368,72,106,24,3,573,418,79,110,18,4,621,394,81,123,11,4,619,380,98,108,22,7,617,317,122,97,35,4,579,189,76,85,23,0,377,76,36,37,18,0,169,44,33,23,13,0,121,5063,685,983,206,33,6980,690,65,118,14,18,900,116,23,24,14,20,196,10671,2079,1842,315,99,15013
LGA25810,3,263,201,22,21,8,0,250,217,28,28,7,3,280,242,42,34,12,8,336,209,46,44,12,5,309,164,33,37,15,7,254,50,18,41,9,3,122,9,10,11,12,0,39,4,6,20,8,0,40,2204,250,294,95,50,2891,195,0,0,0,0,197,146,0,0,4,0,148,106,0,3,0,5,116,125,8,12,3,0,145,88,17,14,5,0,118,113,5,9,3,0,131,118,8,16,0,0,139,146,10,16,7,0,181,133,10,17,3,0,165,148,12,27,12,4,201,73,5,30,10,0,121,25,10,15,7,0,61,14,3,3,18,3,43,1429,79,167,69,18,1759,279,14,14,6,4,318,83,0,3,10,14,112,3995,341,477,180,86,5082
LGA25900,14,8091,5673,656,215,32,17,6593,4697,706,244,28,18,5688,3971,691,231,31,12,4930,2698,564,200,26,13,3508,1590,381,126,20,8,2132,550,226,84,12,4,877,138,112,46,8,0,312,34,37,29,5,3,116,45445,4565,1843,208,123,52175,1170,0,26,4,0,1204,3193,48,121,14,4,3377,2695,71,233,21,9,3029,2159,116,280,28,11,2591,1930,165,254,50,12,2404,1408,158,233,37,5,1842,1246,199,242,25,15,1724,1073,208,217,34,8,1542,943,191,195,42,8,1383,808,204,212,46,4,1272,452,153,156,39,4,795,236,126,97,27,4,495,114,71,55,30,0,269,17423,1703,2325,379,82,21921,2843,140,228,55,44,3317,838,71,62,35,98,1107,66550,6483,4464,678,345,78518
