POW_LGA_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
LGA26260,9,1542,9,1557,0,22,0,22,4,248,0,255,0,36,0,37,9,505,0,516,3,213,0,220,15,692,5,711,17,454,3,474,4,191,0,193,0,67,0,69,0,109,0,111,0,53,0,53,0,264,0,268,3,128,0,132,11,443,4,453,6,670,0,681,26,1306,7,1335,0,60,0,60,0,235,0,238,4,286,9,296,111,7534,45,7685
LGA26350,0,116,0,116,0,51,0,51,0,934,0,937,4,143,0,145,15,2877,10,2896,7,947,0,951,30,9712,14,9756,32,6805,10,6849,0,756,4,764,4,1485,0,1495,3,1856,3,1865,4,2362,3,2376,18,7741,7,7771,9,1881,0,1897,8,1443,0,1453,22,4560,5,4585,26,10747,26,10794,0,1007,4,1009,15,2414,6,2435,14,2605,12,2636,214,60468,106,60787
LGA26430,7,962,3,979,0,27,0,27,4,330,4,337,0,19,0,19,3,247,3,255,0,56,0,59,8,267,8,279,10,342,4,350,0,122,0,125,0,25,0,25,0,40,0,40,0,23,0,22,0,149,0,152,0,92,0,89,3,221,4,224,3,275,0,279,4,395,0,399,0,147,0,153,0,90,0,94,0,138,6,143,47,3972,37,4045
LGA26490,5,594,5,605,0,17,0,17,0,429,5,433,0,49,0,51,14,1395,5,1409,0,188,0,188,5,1524,3,1532,13,1700,0,1709,0,158,0,157,0,104,0,104,0,216,0,219,0,174,0,174,7,790,0,799,0,298,0,300,0,564,0,564,0,878,5,877,7,1409,3,1419,6,333,0,339,3,470,5,473,5,395,6,409,59,11682,43,11779
LGA26610,21,1912,15,1946,0,12,0,12,17,738,6,754,4,87,0,94,19,646,0,670,8,373,0,377,33,865,6,906,20,509,3,526,0,355,0,358,0,39,0,39,3,126,0,130,4,54,0,54,6,255,0,258,8,263,0,279,11,428,0,439,37,859,4,891,54,1307,7,1361,8,82,0,91,10,353,0,359,15,544,16,572,257,9799,73,10132
LGA26670,9,643,3,655,0,9,0,9,8,127,3,139,0,19,0,19,3,104,0,110,4,24,0,28,0,125,0,128,7,110,0,115,0,54,0,54,0,5,0,5,0,14,0,17,0,6,0,6,0,61,0,60,0,34,0,35,0,149,0,151,0,190,0,193,3,348,0,355,0,15,0,15,5,77,0,76,5,68,0,71,41,2198,18,2256
LGA26700,7,937,4,948,0,28,0,24,12,1127,6,1149,0,53,0,53,16,875,9,898,5,237,0,248,14,1335,9,1353,14,972,6,993,6,440,4,452,0,84,0,82,0,153,0,153,0,109,0,109,0,421,0,426,10,443,3,453,14,790,8,809,13,1244,0,1262,45,2887,9,2945,3,142,0,150,5,524,0,532,16,496,6,522,188,13294,75,13560
LGA26730,4,233,3,237,0,12,0,12,8,953,3,961,0,294,0,296,18,1204,7,1234,4,364,0,369,43,2285,5,2326,19,1459,4,1492,5,513,0,518,0,129,0,129,0,316,0,314,4,188,0,194,11,768,0,774,6,393,0,402,27,946,0,976,22,1702,5,1724,46,3927,14,3991,4,207,3,217,13,709,4,728,14,556,7,578,247,17179,62,17487
LGA26810,15,2172,8,2189,3,461,0,461,10,896,3,905,3,248,0,255,14,1490,9,1517,0,276,0,276,27,1626,9,1659,22,996,3,1021,11,494,0,504,0,59,0,66,0,156,0,157,0,174,0,175,4,586,0,590,0,295,0,300,39,1966,11,2015,19,1550,3,1569,38,2570,8,2621,6,158,0,163,7,625,3,636,14,650,18,683,237,17436,89,17756
LGA26890,5,870,6,882,0,7,0,7,0,15,0,15,0,8,0,8,0,75,0,77,0,11,0,11,6,83,0,91,0,38,0,38,0,45,0,49,0,8,0,8,0,5,0,5,0,3,0,3,0,27,0,27,0,21,0,23,0,118,0,118,0,133,0,131,3,187,0,188,0,7,0,7,0,27,0,27,0,40,0,38,16,1728,14,1754
LGA26980,0,77,0,79,0,24,0,24,3,2417,7,2429,10,955,0,964,27,4634,6,4670,4,2526,0,2533,18,7253,14,7277,7,4108,9,4120,8,1353,8,1359,8,1527,0,1532,0,1635,0,1635,0,1311,0,1318,14,5946,5,5965,9,1886,6,1895,25,4699,9,4735,27,10023,23,10069,61,15949,25,16031,3,988,0,996,19,3791,10,3820,18,3155,22,3194,266,74256,134,74657
LGA27070,3,684,0,687,0,136,0,136,41,7299,10,7341,3,474,0,479,71,7907,12,7992,6,2713,0,2727,61,8279,15,8357,28,3908,4,3941,13,3815,3,3835,3,478,0,479,6,944,4,953,6,724,0,737,5,2216,4,2224,18,1891,0,1912,26,2663,9,2699,55,6600,8,6660,81,11514,23,11616,10,759,0,766,10,2316,5,2334,37,3982,37,4047,481,69304,146,69926
LGA27170,3,215,0,217,0,25,0,25,36,2227,8,2269,5,119,0,124,48,2076,8,2133,9,495,0,502,50,2184,11,2241,45,1042,3,1083,18,1204,7,1222,6,96,0,104,3,221,0,221,5,189,0,197,5,602,3,607,13,524,0,545,81,2487,6,2575,45,2128,4,2176,65,3124,10,3193,0,162,0,167,18,780,5,805,36,706,14,751,497,20594,76,21166
LGA27260,6,1276,4,1286,0,107,0,107,26,6566,7,6600,4,718,3,725,72,7829,24,7927,10,3394,5,3418,75,10801,15,10892,42,4852,8,4905,67,11478,25,11573,6,732,0,739,0,1188,4,1193,10,1390,0,1403,20,3258,4,3288,13,2585,5,2595,56,3921,5,3987,51,9214,13,9278,59,9149,14,9219,11,1013,0,1027,24,2585,9,2617,34,4686,44,4768,598,86750,194,87535
LGA27350,0,146,0,146,0,40,0,45,10,3520,3,3535,11,1314,0,1324,34,5030,16,5083,11,2841,6,2860,58,11577,11,11646,36,7396,21,7454,11,2486,8,2499,15,3477,4,3498,5,2378,4,2390,14,1577,0,1589,61,15377,13,15453,29,2425,4,2462,34,2612,0,2646,42,4743,3,4791,176,17595,24,17798,16,1812,0,1829,36,2800,0,2836,38,4660,20,4717,640,93812,131,94588
LGA27450,11,2225,12,2254,0,63,0,63,18,3998,12,4030,10,420,0,427,72,5308,10,5386,3,1170,0,1179,38,5062,14,5115,42,4099,10,4146,12,1106,3,1123,3,352,0,359,0,524,3,525,3,476,0,484,18,2101,3,2119,8,1305,0,1322,31,1511,0,1536,40,5130,9,5180,71,5098,12,5184,18,1033,3,1052,17,1928,4,1949,25,1862,15,1903,444,44774,116,45331
LGA27630,6,761,0,764,0,7,0,7,0,79,0,80,0,21,0,21,3,104,0,108,0,92,0,97,6,178,4,177,0,73,0,77,0,108,0,108,0,12,0,12,0,24,0,27,0,4,0,4,0,37,0,37,0,24,0,24,0,124,0,124,3,220,0,225,7,518,5,529,0,7,0,7,0,72,0,72,0,74,0,80,22,2543,10,2576
LGA29399,0,29,0,29,0,4,0,4,0,11,0,12,0,9,0,9,0,21,0,21,0,0,0,0,0,72,0,72,7,1025,7,1036,4,512,0,517,0,0,0,0,0,4,0,4,0,65,0,65,0,31,0,31,0,88,0,88,0,32,0,36,0,176,0,176,0,34,0,34,0,174,0,174,0,13,0,13,4,93,0,97,20,2398,8,2422
LGA29499,39,2851,27,2922,4,292,5,298,33,2680,16,2727,4,1019,3,1029,546,52868,180,53597,14,1820,3,1844,22,3628,19,3674,20,1680,4,1705,39,7811,30,7884,13,1928,5,1949,10,2008,8,2027,7,1016,0,1024,38,8038,20,8098,109,13445,50,13600,65,3621,11,3695,35,4788,13,4840,131,13259,34,13424,15,1843,8,1863,46,4261,18,4323,98,6750,99,6946,1297,135628,552,137478
LGA29799,0,0,0,0,0,60,0,57,0,0,0,0,0,3,0,3,0,16,0,16,0,3,0,3,0,0,0,0,0,5,0,5,3,74,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,10,0,16,4,187,0,194
