POW_LGA_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
LGA22830,170,547,123,9,844,82,210,36,4,332,147,246,9,0,397,22,18,0,0,43,46,152,20,0,215,24,73,10,0,105,37,36,4,0,74,38,57,6,0,102,8,6,0,0,27,584,1341,197,17,2142,307,150,12,7,472,206,51,3,0,264,333,83,0,8,419,149,19,0,0,172,57,37,0,0,90,29,12,0,0,35,55,14,0,0,68,134,30,0,0,172,23,0,0,0,29,1287,397,17,20,1723,471,699,133,12,1318,292,264,37,3,596,473,332,9,8,818,172,38,6,0,211,104,183,23,0,310,54,80,10,0,145,93,51,4,0,145,178,89,6,0,271,39,9,0,0,53,1869,1739,217,33,3862
LGA22910,62,161,24,0,247,64,58,0,0,121,31,35,3,0,63,11,5,0,0,16,11,29,4,0,37,8,8,0,0,13,6,9,0,0,17,7,12,0,0,16,10,3,0,0,13,207,313,27,0,547,195,70,0,3,269,178,21,0,6,201,140,38,0,4,183,54,5,0,0,60,32,8,0,0,38,39,6,0,0,42,19,3,0,0,20,61,6,0,6,79,9,0,0,0,9,725,162,0,11,903,257,232,22,6,518,237,79,0,6,321,169,71,3,4,246,67,9,0,0,68,45,34,4,0,82,45,18,0,0,60,27,11,0,0,42,71,20,0,6,97,18,3,0,0,19,936,471,33,16,1453
LGA22980,30,59,6,0,89,6,6,0,0,14,4,10,0,0,18,0,0,0,0,5,3,13,0,0,13,0,3,0,0,3,3,6,0,0,5,0,0,0,0,5,0,0,0,0,0,43,97,7,0,148,137,79,0,0,223,10,3,0,0,10,34,10,0,0,42,3,0,0,0,3,9,7,0,0,9,7,3,0,0,6,3,0,0,0,3,9,0,0,0,9,8,0,0,0,8,219,103,0,0,324,170,135,6,0,309,13,9,0,0,26,36,22,0,0,57,5,0,0,0,5,9,17,0,0,28,7,9,0,0,10,8,6,0,0,8,12,0,0,0,16,8,0,0,0,7,262,198,7,0,472
LGA23110,201,584,128,0,908,268,284,22,0,574,170,242,8,0,419,33,40,6,0,76,77,122,24,0,218,38,83,10,0,135,132,57,4,0,194,56,46,6,0,112,35,28,5,0,66,1014,1479,202,0,2703,134,88,7,0,230,620,81,11,3,715,406,93,0,0,498,212,17,0,0,235,92,20,0,0,117,56,15,0,0,71,141,8,0,0,146,149,26,0,0,175,48,3,0,0,54,1855,352,14,5,2229,334,662,131,0,1134,892,366,29,3,1287,578,332,8,4,915,248,62,6,0,314,169,140,24,0,340,96,102,10,0,202,272,57,4,0,335,208,75,6,0,287,85,30,5,4,116,2874,1827,215,11,4929
LGA23190,66,211,33,4,306,27,57,13,0,105,22,48,6,5,79,0,8,0,0,8,10,37,6,0,52,7,33,3,0,46,10,13,0,0,18,5,17,4,0,24,0,8,0,0,4,155,420,57,8,647,149,106,0,8,262,60,16,0,0,77,116,47,5,0,166,49,10,0,0,56,15,9,0,0,27,12,7,0,0,21,21,3,0,0,24,40,14,0,0,55,5,3,0,4,12,456,212,7,16,688,212,314,33,8,569,90,72,20,0,180,142,93,9,3,247,49,15,0,0,62,32,47,6,0,78,22,41,3,0,68,28,16,0,0,42,44,36,3,0,83,5,14,0,3,23,614,640,70,22,1339
LGA23270,461,1627,407,6,2497,285,364,53,5,701,575,782,38,9,1399,71,59,4,0,137,329,457,54,9,848,87,160,22,0,270,564,236,10,5,805,190,230,16,0,436,81,61,5,3,150,2637,3978,607,32,7254,322,186,18,3,530,662,100,17,0,780,1109,277,0,4,1393,479,25,3,3,509,249,36,3,0,285,117,37,0,0,152,843,34,6,0,879,443,83,3,0,526,84,18,0,3,107,4304,802,47,16,5169,781,1817,421,6,3030,946,471,62,5,1485,1679,1064,43,9,2794,542,92,5,3,644,582,488,61,9,1132,203,190,26,7,424,1407,272,12,7,1691,639,307,20,0,964,161,84,5,5,255,6942,4778,653,47,12421
LGA23350,59,153,15,4,231,42,46,0,0,87,23,29,3,5,63,4,4,0,0,6,20,23,0,0,43,5,10,0,0,10,8,13,0,0,18,9,10,0,0,16,0,0,0,0,5,168,299,27,9,492,175,72,0,0,245,124,12,0,0,136,106,33,0,0,139,51,3,0,0,52,19,10,0,0,26,15,0,0,0,15,18,0,0,0,16,49,8,0,0,49,7,0,0,3,10,551,135,5,0,693,235,224,19,3,481,164,56,0,0,225,132,67,3,6,203,47,7,0,0,61,33,37,3,0,66,21,10,0,0,30,17,15,0,0,36,60,15,0,0,73,6,0,0,3,16,714,431,26,11,1188
LGA23430,478,1977,497,5,2954,549,613,40,0,1199,470,761,26,0,1257,70,90,4,0,166,165,343,40,5,559,168,213,19,0,400,122,77,3,0,201,135,132,7,0,275,44,62,10,4,125,2200,4266,652,17,7136,318,222,19,0,558,1047,168,9,0,1230,1007,224,5,7,1244,454,41,0,0,502,229,44,0,0,278,148,34,0,0,183,250,15,0,0,267,343,63,0,4,412,83,9,0,0,91,3893,827,40,13,4770,794,2199,518,5,3516,1592,781,48,4,2428,1477,981,29,6,2503,523,130,7,0,664,399,388,46,5,838,317,245,23,0,584,371,90,9,0,473,477,194,8,0,680,130,75,10,0,219,6095,5093,693,29,11904
LGA23670,330,1419,328,8,2087,383,472,50,0,909,354,668,25,0,1049,46,66,9,0,120,190,328,26,0,550,103,131,17,0,248,121,66,5,0,191,93,96,5,0,198,48,45,7,3,107,1660,3288,482,9,5440,269,164,14,0,445,957,143,12,0,1113,946,219,0,9,1166,409,37,0,0,445,188,41,0,0,225,107,17,0,0,127,180,15,0,0,197,338,61,3,0,403,73,14,0,6,90,3460,706,38,11,4220,595,1586,338,8,2526,1339,615,66,0,2018,1294,885,29,7,2218,447,98,11,0,564,373,367,26,0,772,204,151,19,0,376,298,80,11,0,389,438,152,12,0,598,122,62,7,11,198,5119,3997,521,26,9655
LGA23810,56,313,86,0,453,74,129,28,4,236,62,172,8,0,247,9,17,0,0,33,34,125,17,0,173,5,52,9,0,73,41,32,4,0,76,17,48,8,0,80,5,18,0,0,23,316,912,156,7,1384,178,123,3,0,301,206,50,5,0,261,319,139,0,4,457,159,17,0,0,181,59,29,0,0,93,37,10,0,3,46,43,13,0,5,61,116,28,0,4,155,19,9,0,0,31,1126,429,14,16,1586,230,438,88,4,764,280,177,30,8,495,379,311,9,3,703,167,37,3,0,211,92,154,20,0,270,43,62,9,3,116,84,50,4,5,136,138,80,10,9,232,26,29,0,0,55,1441,1338,165,22,2972
LGA23940,82,114,7,3,203,0,8,0,0,13,3,7,0,0,14,0,0,0,0,0,7,11,0,0,10,0,7,0,0,8,3,9,0,0,16,5,5,0,0,11,0,0,0,0,0,101,159,9,3,276,231,115,0,3,352,17,0,0,0,23,34,8,0,0,46,0,0,0,0,0,8,3,0,0,12,11,0,0,0,11,9,0,0,0,9,17,0,0,0,22,0,0,0,0,0,331,135,0,3,475,312,230,7,8,556,17,16,0,0,34,40,17,0,0,56,0,0,0,0,0,13,8,0,0,24,8,7,0,0,16,18,8,0,0,24,22,4,0,0,26,7,0,0,0,7,437,295,9,10,750
LGA24130,128,363,53,4,547,219,169,15,3,411,102,168,4,5,281,17,13,4,0,37,70,101,7,0,177,13,45,7,0,67,35,24,0,0,60,35,28,4,0,66,11,7,0,0,20,637,916,102,14,1660,187,101,3,3,293,425,61,3,0,490,351,107,0,3,465,167,17,0,0,181,70,12,0,0,81,38,14,0,0,50,46,4,0,0,50,124,14,0,0,138,24,3,0,0,27,1427,329,8,11,1773,310,457,60,10,840,644,233,21,4,901,457,268,4,5,737,185,33,4,0,220,139,113,7,0,260,51,63,7,0,118,80,25,0,3,112,159,38,6,0,197,34,11,0,0,48,2056,1245,107,25,3433
LGA24210,368,647,88,7,1104,486,456,19,0,962,196,252,8,0,455,49,53,0,0,108,136,183,17,0,336,106,92,12,0,212,41,21,0,0,57,70,51,3,0,126,38,32,5,0,79,1488,1787,162,10,3435,169,71,6,0,252,909,135,13,3,1061,439,89,0,0,534,252,29,0,0,282,126,24,0,0,151,87,14,0,0,102,142,4,0,0,140,158,28,0,0,189,52,5,0,0,56,2342,394,25,12,2770,543,714,96,4,1352,1399,592,32,8,2026,634,340,12,0,984,299,80,5,0,388,263,205,15,0,488,195,109,12,0,315,181,26,0,0,201,229,85,3,0,319,88,39,5,0,133,3829,2182,183,10,6207
LGA24250,26,112,11,0,155,24,37,0,0,57,10,29,3,0,48,3,6,0,0,11,17,19,0,0,38,8,12,0,0,20,8,12,0,0,19,9,11,0,0,18,0,0,0,0,0,101,242,22,0,363,90,51,0,5,143,44,14,0,0,58,94,32,0,6,130,15,9,0,0,21,19,6,0,0,25,13,8,0,0,22,23,4,0,0,26,26,4,0,0,33,9,0,0,0,6,328,123,0,4,469,117,163,11,5,297,66,53,4,0,122,108,63,0,3,179,21,13,0,0,28,37,26,0,0,66,19,20,0,0,42,27,13,0,0,39,35,16,0,0,52,9,0,0,0,8,432,364,27,11,830
LGA24330,207,657,123,0,982,264,351,17,0,633,141,231,8,0,379,24,49,4,0,79,44,125,13,0,184,48,77,6,0,135,103,37,4,0,142,37,42,0,0,79,22,18,4,4,41,892,1576,187,3,2657,187,120,13,0,319,754,132,3,0,887,369,76,0,6,453,232,28,0,0,261,72,9,0,0,82,65,28,0,0,90,212,15,6,3,231,134,19,0,0,144,55,6,0,0,58,2070,428,14,9,2520,389,773,131,0,1300,1019,478,23,0,1518,511,308,8,6,829,255,77,4,0,336,121,131,14,0,267,116,102,6,0,225,316,53,5,3,374,165,52,0,0,226,67,17,4,4,97,2955,2003,200,16,5170
LGA24410,254,886,184,3,1331,305,391,31,0,730,254,512,13,0,778,38,48,7,0,96,86,268,24,0,380,67,124,20,0,208,63,41,4,0,107,51,80,0,0,136,24,39,3,0,65,1137,2388,286,5,3828,169,111,5,0,289,738,108,7,0,856,601,170,4,0,777,317,26,0,0,350,136,34,3,0,174,94,11,0,0,104,121,4,0,0,132,193,34,0,0,228,45,7,5,0,52,2415,517,18,4,2957,423,998,186,3,1614,1042,504,37,0,1588,848,683,12,0,1549,358,78,7,0,442,226,301,26,3,555,157,138,20,0,313,184,47,4,0,235,244,118,0,0,361,71,46,9,0,118,3561,2909,309,8,6783
LGA24600,792,3068,1059,17,4933,1728,2688,921,7,5341,285,513,50,6,847,66,166,31,0,266,204,334,71,0,606,199,361,78,0,634,203,30,11,3,246,129,106,15,0,252,157,153,34,4,353,3765,7417,2274,35,13491,447,268,74,0,793,4041,965,1024,9,6039,738,130,4,6,871,433,44,3,0,481,243,31,23,0,299,204,46,3,0,253,407,5,4,0,416,336,42,0,0,385,252,31,21,5,315,7101,1565,1163,21,9846,1239,3334,1134,13,5725,5769,3654,1943,12,11378,1018,641,56,7,1721,502,210,39,0,748,446,369,92,0,905,408,407,82,0,893,609,41,15,3,667,465,152,15,0,633,408,182,61,15,664,10863,8981,3434,58,23339
LGA24650,231,596,80,0,904,205,183,11,0,397,272,421,9,0,702,39,35,10,0,88,125,193,10,0,328,57,92,8,0,159,284,128,0,0,416,108,120,3,0,232,35,24,3,0,67,1353,1788,138,4,3291,158,64,3,0,223,377,50,3,4,428,567,147,0,4,720,285,20,0,0,307,116,22,0,0,138,91,18,0,0,105,342,11,0,0,357,223,42,0,0,269,48,7,0,0,54,2212,370,12,6,2603,391,654,85,0,1131,582,230,13,3,829,839,570,14,4,1419,333,52,10,0,398,240,215,7,0,466,143,108,8,0,261,624,144,3,0,775,336,158,3,0,499,84,26,3,0,121,3568,2161,152,14,5891
LGA24780,95,465,82,9,653,56,114,17,0,194,80,155,4,3,242,13,25,0,0,43,36,118,16,0,176,14,54,14,0,74,17,42,0,0,57,37,41,8,0,84,7,22,0,0,32,357,1028,148,17,1543,257,198,6,8,468,152,49,5,0,211,263,111,0,3,386,120,21,0,0,139,45,27,0,0,71,25,6,0,0,32,51,4,0,0,54,133,28,3,0,163,12,8,0,0,23,1059,452,20,17,1544,349,664,91,16,1117,211,163,22,0,399,342,265,9,6,626,129,44,5,0,182,87,143,18,0,248,36,58,14,0,112,65,44,0,0,112,168,67,11,0,245,20,32,0,0,55,1413,1484,171,28,3086
LGA24850,80,175,24,4,278,63,78,5,0,153,87,144,0,4,237,12,3,4,0,24,40,79,4,3,123,12,25,3,0,45,42,34,0,0,82,27,32,10,0,64,9,3,0,0,17,375,580,46,10,1018,130,58,0,0,194,143,17,0,0,165,251,72,0,3,321,123,6,0,0,129,48,14,0,0,63,25,9,0,0,35,51,0,0,3,57,99,14,0,0,116,13,0,0,0,13,873,202,4,3,1086,214,236,26,4,478,203,102,13,0,317,340,214,0,3,557,132,16,10,0,152,91,87,4,3,183,37,33,3,0,77,93,37,0,4,134,127,53,10,0,178,21,3,0,0,25,1251,780,56,15,2100
LGA24900,104,294,44,3,448,40,60,17,0,111,54,93,6,0,158,0,11,0,0,10,25,81,5,0,116,8,39,3,3,49,27,23,0,0,49,15,16,4,0,39,8,7,0,0,14,283,625,76,11,994,288,142,8,9,438,79,17,0,0,92,153,37,4,0,191,56,13,0,0,68,28,12,0,0,39,13,12,0,0,25,34,3,0,0,42,77,19,0,4,100,20,0,0,0,19,745,251,7,11,1022,393,438,49,11,890,115,74,15,0,205,212,131,7,0,347,59,17,0,0,78,53,94,8,0,155,19,51,3,3,77,63,29,0,0,93,97,34,4,4,136,21,10,0,4,36,1030,875,86,21,2015
LGA24970,610,1538,417,3,2564,741,865,96,0,1700,327,495,29,3,858,66,96,5,0,165,276,287,36,0,596,148,235,27,0,410,150,54,4,0,209,120,111,9,0,246,82,74,8,3,170,2513,3762,632,16,6922,320,133,20,0,481,1288,292,17,0,1601,747,177,0,3,926,366,33,0,0,402,257,27,5,0,286,173,16,0,0,188,439,11,0,0,451,339,36,0,4,383,83,19,0,0,107,4019,751,50,11,4821,932,1675,432,6,3043,2030,1160,114,0,3307,1067,676,32,5,1779,433,129,5,0,563,531,316,38,0,888,320,250,27,0,601,586,68,4,0,661,463,145,6,6,624,163,90,11,6,273,6534,4511,678,27,11745
LGA25060,309,705,126,6,1137,442,571,49,0,1073,216,342,13,0,570,51,87,5,0,142,122,185,8,0,311,71,84,13,5,173,56,17,0,0,71,55,50,6,0,111,26,32,0,0,59,1349,2065,223,10,3647,165,114,6,0,282,935,206,12,0,1150,509,131,0,0,640,323,25,4,5,349,109,20,0,0,137,78,26,3,0,111,106,4,0,0,110,148,33,0,0,181,51,13,0,0,58,2423,576,24,8,3027,469,815,129,6,1421,1382,781,58,3,2221,725,468,13,3,1210,368,113,11,3,492,233,203,10,0,451,153,107,16,5,280,161,24,4,0,184,206,83,6,0,290,74,38,0,0,121,3773,2642,246,17,6673
LGA25150,78,203,25,4,316,71,62,6,0,137,76,129,0,0,212,7,8,0,0,18,36,74,4,0,114,4,24,0,0,34,47,34,0,0,86,23,27,0,0,50,8,11,0,0,19,366,564,42,15,986,118,47,4,5,171,148,15,4,0,169,184,43,0,0,230,75,11,0,0,87,32,8,3,0,41,28,4,0,0,31,46,11,0,0,54,69,8,0,0,82,13,3,0,0,13,709,150,16,7,874,198,247,29,5,482,219,74,12,0,306,257,173,0,5,438,89,14,0,3,109,75,75,3,0,157,36,33,5,0,65,96,40,0,0,140,87,42,0,0,133,20,13,0,0,33,1077,713,57,18,1856
LGA25250,319,842,178,3,1340,482,567,35,3,1085,305,392,5,0,705,70,63,0,0,128,98,149,13,0,259,55,117,8,0,181,99,38,0,0,141,80,96,0,0,182,32,35,0,0,65,1533,2298,249,10,4086,286,167,4,0,465,1854,183,7,5,2043,758,177,0,4,945,413,32,0,0,450,127,24,0,0,148,99,19,0,0,119,340,8,0,0,350,215,41,0,0,256,59,14,0,0,69,4156,663,19,17,4851,604,1009,186,3,1804,2335,750,39,5,3134,1062,573,5,6,1646,483,92,5,7,578,222,175,13,5,413,151,138,14,0,308,443,45,3,0,486,297,131,4,0,435,88,49,0,0,139,5684,2963,268,28,8940
LGA25340,543,1341,182,12,2071,667,616,52,5,1341,429,702,12,6,1150,78,87,7,0,161,214,397,26,3,639,168,206,9,4,385,75,61,5,0,138,93,133,5,0,237,54,47,4,3,119,2312,3589,299,30,6236,478,254,8,7,744,1309,175,13,11,1502,1256,319,0,14,1590,549,47,0,3,601,248,56,0,0,304,133,38,3,4,179,124,15,0,0,135,383,62,0,8,453,91,13,0,0,107,4555,983,25,45,5607,1016,1591,193,21,2818,1977,789,62,10,2836,1678,1026,13,18,2734,620,136,4,0,761,455,456,31,3,942,299,242,11,6,569,192,74,5,0,275,471,195,7,9,686,153,62,7,3,223,6869,4572,327,78,11841
LGA25430,50,138,14,4,204,71,56,3,0,138,23,33,3,0,59,0,7,0,0,8,21,27,0,0,50,3,11,0,0,20,3,8,0,0,19,8,8,0,0,20,3,5,0,0,10,188,301,25,12,525,124,82,0,3,212,313,24,3,0,348,188,40,0,5,235,94,0,0,0,95,27,13,0,0,32,25,3,0,0,36,19,3,0,0,23,61,16,0,3,80,7,0,0,0,10,870,182,4,10,1064,176,220,13,6,417,392,84,7,0,487,212,77,3,5,293,96,8,0,0,107,45,36,0,0,83,30,18,0,0,55,24,13,0,0,38,71,27,0,0,99,13,4,0,0,18,1061,490,28,17,1589
LGA25490,91,237,15,5,348,22,21,3,0,41,30,50,0,0,82,0,4,0,0,4,10,30,6,0,40,7,6,0,0,19,13,14,0,0,20,9,18,0,0,23,0,7,0,0,11,177,387,24,7,591,436,310,0,18,775,73,10,0,0,86,98,29,0,0,131,22,10,0,0,30,24,8,0,0,33,10,10,0,0,22,18,8,0,0,23,43,10,0,4,59,12,0,0,0,12,732,402,0,30,1166,525,554,12,31,1122,99,31,3,0,130,131,84,0,3,215,22,10,0,0,33,32,38,6,0,76,16,19,0,0,38,26,22,0,0,45,51,28,0,3,84,11,14,0,0,25,915,789,19,31,1755
LGA25620,51,126,20,3,209,34,32,0,0,65,40,48,0,0,91,4,4,0,0,6,21,37,0,0,57,6,10,0,0,18,12,6,0,0,19,10,11,0,0,17,9,0,0,0,3,179,274,30,9,477,159,60,0,3,222,70,12,0,0,87,134,28,0,3,166,32,3,0,0,33,18,9,0,0,18,13,8,0,0,19,25,0,0,0,23,48,7,0,0,64,14,4,0,0,16,507,131,6,6,653,213,186,23,6,430,106,44,0,0,145,171,81,0,3,254,29,7,0,0,38,35,41,0,0,74,22,16,0,0,39,30,9,0,0,42,65,22,0,0,82,21,4,0,0,19,688,403,25,18,1132
LGA25710,145,403,52,4,606,287,206,19,0,514,177,237,8,0,415,25,34,0,0,55,88,128,3,0,228,40,48,8,0,96,35,21,0,0,61,38,28,0,0,65,23,17,0,0,36,855,1120,99,9,2079,115,57,0,0,177,627,81,4,0,721,355,67,0,0,418,177,16,0,0,197,106,15,0,0,124,34,7,4,0,48,38,6,0,0,38,78,16,0,0,102,21,4,0,0,23,1548,276,10,4,1842,264,459,55,5,782,915,294,25,3,1234,528,302,8,0,843,203,53,0,0,251,196,148,3,0,348,81,52,11,0,139,73,23,0,0,99,114,44,0,0,162,42,19,0,0,61,2405,1397,104,14,3923
LGA25810,61,139,15,0,212,11,12,0,0,26,3,20,0,0,29,5,3,0,0,7,6,22,3,0,33,0,6,0,0,11,5,9,0,0,16,4,3,0,0,14,0,0,0,0,4,95,219,20,0,341,125,91,0,3,226,36,10,0,0,45,66,21,0,0,90,19,6,0,0,28,15,11,0,0,26,6,6,0,0,14,13,7,0,0,19,23,4,0,0,30,9,3,0,0,5,313,159,0,3,477,184,232,15,7,435,42,25,0,0,75,74,40,0,0,113,23,10,0,0,34,21,32,3,0,55,15,14,0,0,26,22,15,0,0,39,24,14,0,0,39,8,3,0,0,6,412,378,20,9,816
LGA25900,498,1496,432,7,2439,986,1112,140,3,2239,176,256,18,3,453,77,91,9,0,176,185,179,22,0,384,125,186,27,0,345,158,13,20,0,191,50,51,8,0,111,79,61,7,7,148,2335,3449,682,19,6483,298,154,30,0,480,1630,239,20,0,1893,532,78,0,0,617,387,34,0,0,424,187,18,0,0,205,109,27,5,0,137,370,0,11,0,385,202,30,0,3,232,76,14,0,0,86,3795,586,74,3,4464,796,1649,463,7,2913,2616,1353,164,7,4135,702,340,21,0,1067,471,126,5,0,601,372,196,23,0,586,240,210,29,0,480,535,14,32,0,579,245,76,10,3,339,150,72,7,4,233,6125,4034,758,24,10941
LGA25990,45,88,5,0,132,9,7,0,0,17,11,11,0,0,23,5,0,0,0,5,0,11,0,0,20,0,0,0,0,3,10,0,0,0,9,0,0,0,0,7,0,0,0,0,0,76,124,5,4,203,93,60,0,3,150,15,0,0,0,17,33,8,0,0,43,4,0,0,4,13,10,7,0,0,14,10,0,0,0,12,10,3,0,0,15,5,0,0,0,8,3,0,0,0,3,184,82,0,6,268,137,142,5,5,283,25,6,0,0,32,40,19,0,0,61,9,0,0,4,9,15,15,0,4,28,11,4,0,0,17,18,4,0,0,27,8,6,0,0,13,3,0,0,0,3,262,200,5,8,477
LGA26080,5,42,6,0,49,31,20,0,0,53,9,12,0,0,22,0,0,0,0,8,7,5,3,0,10,3,6,0,0,4,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,54,88,8,0,152,26,9,0,0,36,46,3,0,0,47,28,4,0,0,41,4,3,0,0,7,0,0,0,0,0,6,5,0,0,9,0,0,0,0,0,8,0,0,0,7,7,0,0,0,7,126,30,0,0,157,25,57,6,0,89,72,26,4,0,106,38,20,0,0,57,8,4,0,0,13,12,4,3,0,12,9,6,0,0,18,0,0,0,0,0,11,8,0,0,19,7,0,0,0,8,182,116,15,0,310
LGA26170,126,264,27,3,427,52,60,10,0,122,37,70,3,0,110,3,10,0,0,15,36,65,8,7,111,7,34,9,0,43,20,26,0,0,49,15,28,0,0,44,6,7,0,0,10,307,557,61,16,940,540,270,0,16,836,170,40,3,3,220,230,66,0,0,292,77,7,0,3,87,48,21,0,0,75,23,15,0,0,33,31,11,0,5,44,96,26,0,0,122,21,3,0,0,26,1246,452,11,25,1740,672,534,33,18,1262,223,97,17,3,338,270,133,3,7,408,80,18,0,3,106,81,92,8,10,188,33,44,9,0,76,51,37,0,5,91,115,47,3,5,172,33,4,0,0,38,1558,1012,67,45,2676
