POW_LGA_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA26610,25,4,0,0,0,25,116,0,0,0,0,118,0,0,0,0,0,6,7,0,0,0,0,7,40,3,0,0,0,43,22,7,0,0,0,23,27,0,0,0,0,29,79,3,0,0,8,90,90,0,5,3,3,108,6,3,0,0,0,12,119,5,3,3,7,138,328,6,0,3,0,343,90,0,13,17,19,136,8132,785,670,369,175,10132
LGA26670,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,6,7,0,0,0,0,7,0,0,0,0,0,0,25,0,12,0,0,45,0,0,0,0,0,8,0,0,0,0,0,0,32,6,3,0,0,37,15,4,7,0,7,37,1433,205,404,168,46,2256
LGA26700,12,0,0,0,0,11,104,0,5,0,0,108,0,0,0,0,0,0,5,0,0,0,0,5,33,7,4,0,0,42,26,0,0,0,0,34,5,0,0,0,0,10,17,0,0,0,0,16,258,24,30,9,4,316,22,4,5,0,0,29,14,0,3,0,0,19,146,18,9,4,0,179,104,20,11,10,11,153,11003,942,1088,363,159,13560
LGA26730,13,0,0,0,0,11,146,0,3,0,0,155,4,0,0,0,0,5,10,0,0,0,0,10,62,4,5,0,0,71,73,0,0,0,0,80,45,0,0,0,0,46,32,8,4,0,0,47,276,22,30,3,0,344,31,0,3,4,0,34,62,0,0,0,0,67,228,11,10,0,4,247,84,8,13,0,6,112,15125,902,1133,179,155,17487
LGA26810,18,4,0,0,0,28,163,4,0,0,0,168,10,0,3,0,0,17,9,0,0,0,0,10,55,3,4,5,0,65,35,0,0,0,0,44,17,0,0,0,0,15,35,0,5,0,0,42,429,19,41,16,11,515,36,0,3,0,0,40,26,8,5,4,0,47,162,16,23,5,5,217,164,9,34,4,25,240,14266,971,1767,485,265,17756
LGA26890,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,21,0,7,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,10,14,4,6,9,0,29,921,139,416,238,39,1754
LGA26980,268,23,23,0,0,316,822,18,18,9,0,867,142,10,18,6,0,169,394,27,40,3,0,471,559,44,29,5,0,633,1429,75,54,12,7,1571,330,52,38,8,0,427,205,18,18,0,4,245,2102,144,128,16,4,2398,293,14,16,0,0,321,840,73,77,19,7,1015,2971,183,175,42,25,3392,147,23,13,3,15,196,63739,5451,4223,923,316,74657
LGA27070,376,61,70,4,3,514,1078,18,32,8,3,1135,83,9,3,0,4,97,125,3,8,3,0,138,225,20,18,0,0,261,1056,104,99,17,3,1277,68,5,10,0,0,79,212,8,14,5,0,238,1227,99,59,12,13,1407,133,5,6,3,0,146,1656,109,107,32,18,1923,4123,446,378,79,45,5070,220,25,13,8,32,294,58882,5483,4300,795,465,69926
LGA27170,15,0,0,0,0,17,173,0,3,0,0,180,3,0,0,0,0,3,5,0,0,0,0,11,62,4,3,0,0,74,31,5,0,0,0,36,5,0,0,0,0,8,17,4,4,0,0,25,443,26,31,3,0,503,44,3,0,0,0,52,85,0,4,0,4,94,360,24,23,4,7,420,123,8,3,4,6,153,18787,1018,1056,173,136,21166
LGA27260,675,137,191,26,6,1047,2590,60,92,13,4,2763,168,13,13,0,0,194,287,34,24,7,0,343,453,40,34,12,0,543,819,86,106,19,5,1036,97,15,7,0,0,123,421,9,22,6,0,464,2008,123,145,24,6,2313,209,12,10,0,3,240,1866,127,106,23,17,2138,6469,492,513,112,73,7653,253,17,16,7,27,315,74602,6273,5066,1085,522,87535
LGA27350,357,11,12,0,3,387,1469,10,16,5,3,1503,152,9,11,0,0,177,441,15,20,4,0,485,687,52,26,6,0,769,1013,25,17,6,6,1066,235,18,15,0,0,268,417,25,22,8,0,475,3666,284,248,33,13,4245,770,56,53,0,0,888,1324,111,115,22,11,1589,5123,271,293,46,33,5766,181,23,18,5,17,242,82946,6067,4597,614,363,94588
LGA27450,51,4,3,0,0,59,280,5,16,3,0,304,44,5,10,4,0,63,66,3,7,3,0,81,203,36,37,0,0,272,270,27,14,8,0,319,38,3,3,0,0,45,162,9,12,3,0,187,1576,240,297,64,10,2190,113,13,25,9,0,152,167,12,19,5,3,209,1363,142,138,40,10,1693,169,36,15,11,17,240,34988,4406,4676,960,294,45331
LGA27630,0,0,0,0,0,0,11,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,25,0,0,0,0,29,3,0,0,0,0,5,0,0,0,0,0,0,22,0,0,0,0,29,22,3,6,4,4,43,1759,276,318,179,46,2576
LGA29399,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,4,4,0,0,0,0,4,12,0,0,0,0,8,3,0,0,0,0,3,31,0,0,0,0,31,0,0,0,0,0,0,101,4,5,0,0,104,24,0,0,0,0,24,0,0,0,0,0,0,70,5,0,0,0,73,13,0,0,0,0,15,2187,97,90,38,12,2422
LGA29499,290,60,236,7,15,616,506,38,161,13,12,725,179,51,108,5,4,350,200,31,94,8,0,330,395,74,170,14,9,664,564,127,258,24,11,976,80,11,53,7,0,158,216,16,80,5,3,322,2532,560,1582,70,64,4815,310,37,143,13,0,505,607,148,348,36,20,1159,4044,860,2191,120,104,7321,660,149,314,47,114,1284,79049,16470,37324,2452,2182,137478
LGA29799,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,196,0,0,0,0,194
