POW_LGA_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA24900,371,196,61,5522,32,10,27,86,11,164,353,6,17,25,5,405,283,20,38,39,10,390,288,29,54,45,13,427,391,43,60,39,7,542,706,68,111,46,11,941,1064,86,112,41,12,1315,1315,107,137,28,19,1610,1423,140,141,15,27,1744,927,86,86,23,19,1137,698,87,67,10,6,876,447,68,44,4,3,573,602,105,60,8,6,786,76,48,15,5,0,148,76,68,31,3,4,180,91,23,17,11,14,170,8777,994,1022,445,173,11409
LGA24970,1840,550,214,56765,366,58,39,185,13,651,2320,60,161,60,8,2615,2824,92,220,72,19,3217,2796,178,281,111,30,3401,3370,223,296,71,22,3981,5639,370,467,115,37,6630,7159,442,482,102,50,8240,10549,619,570,83,57,11877,13963,766,597,82,54,15462,11726,613,413,53,29,12835,10847,682,338,44,35,11942,8296,516,212,36,21,9084,14856,917,321,44,24,16165,3203,344,108,14,12,3690,4539,964,253,38,17,5816,861,78,64,21,71,1086,103315,6922,4821,1136,497,116697
LGA25060,1391,296,100,21530,138,29,18,107,5,297,1477,17,64,32,8,1593,1556,35,122,45,12,1769,1403,68,154,31,11,1666,1600,90,159,37,14,1902,2431,148,250,53,22,2909,3065,218,297,43,19,3641,3898,311,307,45,24,4581,4170,399,388,43,23,5027,3286,323,244,28,12,3895,2862,387,247,31,13,3538,1995,300,183,15,7,2504,3401,558,277,21,11,4264,610,228,91,10,3,940,858,504,183,14,6,1567,334,43,30,7,39,445,33081,3647,3027,548,238,40540
LGA25150,369,155,38,5010,32,7,12,52,4,110,401,4,26,13,0,443,362,13,42,22,3,444,318,25,58,35,4,433,361,35,66,20,8,490,610,60,96,36,14,812,816,86,92,30,14,1038,1004,115,105,21,14,1264,998,133,115,16,12,1279,734,100,79,25,9,940,591,126,62,10,8,792,369,56,38,9,4,483,602,96,32,7,4,744,97,27,14,0,0,145,97,76,28,6,0,218,80,19,13,7,7,122,7474,986,874,319,99,9746
LGA25250,2025,315,97,22605,147,32,36,96,7,309,1011,9,112,45,12,1192,1256,57,186,41,13,1552,1417,68,281,48,11,1826,1815,113,311,50,18,2310,2962,215,488,80,21,3761,3640,307,531,69,31,4567,4573,364,596,50,36,5614,4839,499,613,58,29,6033,3559,394,431,33,17,4438,2905,482,335,13,14,3751,2041,322,232,13,8,2613,2844,561,353,17,9,3781,477,215,123,3,4,823,601,408,173,16,9,1200,338,51,45,10,39,487,34407,4086,4851,648,268,44261
LGA25340,2531,634,259,30957,156,37,39,186,11,437,2266,34,106,63,19,2487,1849,54,225,83,30,2240,1788,119,287,88,32,2313,2338,132,322,80,46,2914,3966,311,482,90,67,4910,4837,408,535,91,47,5922,6393,536,615,78,74,7688,6412,703,728,76,71,7986,4203,671,548,46,34,5504,3345,717,504,42,40,4648,2242,542,314,33,29,3156,3453,887,491,50,34,4910,515,293,107,15,7,940,704,707,243,53,21,1731,434,84,66,34,62,681,44901,6236,5607,1103,629,58473
LGA25430,504,95,43,3734,10,3,11,24,0,49,210,4,18,19,3,251,170,3,41,12,8,231,202,17,79,25,8,319,269,22,94,15,9,409,446,39,140,14,5,643,672,45,112,17,16,864,899,49,134,10,9,1107,946,74,135,7,7,1174,564,49,68,5,9,700,496,54,58,13,5,629,319,30,44,9,9,407,409,66,75,7,7,561,56,15,5,0,0,80,64,54,29,0,3,151,53,3,11,6,10,83,5797,525,1064,182,108,7670
LGA25490,420,174,60,2658,10,8,14,49,0,74,166,0,18,22,9,210,123,19,30,34,3,215,111,14,42,26,9,198,192,15,66,35,10,312,320,26,78,29,14,460,409,32,108,24,8,580,564,61,144,43,13,825,647,74,161,52,22,950,509,54,111,13,13,698,390,75,88,18,14,592,339,52,75,9,12,485,362,58,108,14,9,550,50,25,34,3,5,111,82,82,72,12,11,253,52,11,19,15,10,108,4329,591,1166,390,165,6639
LGA25620,238,128,27,2339,11,0,9,38,3,61,149,8,15,19,4,195,100,7,41,23,3,180,140,11,26,12,4,200,173,26,47,19,3,268,307,26,68,34,6,438,383,48,64,16,3,517,471,50,80,23,8,624,510,64,91,13,9,688,307,44,54,12,10,418,254,63,42,3,5,376,155,33,34,3,0,226,208,48,35,8,0,305,28,19,11,4,0,56,44,29,22,8,0,106,50,7,16,5,9,85,3301,477,653,249,71,4757
LGA25710,958,172,42,8143,42,15,8,50,0,126,759,10,64,21,3,853,628,25,90,27,4,778,487,42,93,30,6,654,589,55,123,17,9,799,954,104,146,24,15,1238,1011,140,173,17,9,1349,1228,182,207,26,11,1650,1272,226,234,18,4,1769,1002,202,172,14,6,1392,813,274,152,16,8,1261,556,163,92,10,8,829,863,310,125,10,8,1320,148,99,45,9,0,311,192,211,100,9,6,518,119,21,19,6,15,179,10671,2079,1842,315,99,15013
LGA25810,170,76,30,2422,17,0,5,16,0,46,112,0,0,15,3,143,123,7,21,13,3,163,139,6,17,20,4,190,168,8,40,15,8,237,317,21,65,23,10,431,456,38,50,8,8,570,671,42,52,9,12,787,615,44,53,15,15,741,433,40,43,9,5,527,329,37,42,5,5,412,184,21,18,5,4,234,309,26,33,10,6,371,39,10,16,5,0,73,36,25,21,0,6,88,44,5,0,4,7,60,3995,341,477,180,86,5082
LGA25900,1912,345,140,35560,196,43,42,93,12,378,862,35,73,28,6,1003,1195,54,136,25,10,1426,1441,78,182,65,19,1777,1871,104,242,35,17,2272,3063,187,348,60,27,3681,3800,294,386,52,22,4559,6145,402,470,62,33,7105,8781,532,532,60,37,9939,7847,487,439,37,22,8832,7116,551,354,22,17,8065,5200,526,280,33,18,6056,10841,1074,431,29,19,12390,2769,470,162,19,5,3424,4967,1579,351,44,24,6968,457,69,40,11,59,635,66550,6483,4464,678,345,78518
LGA25990,82,86,11,943,6,0,10,34,0,43,50,3,8,14,4,72,35,0,10,24,0,70,55,14,13,12,6,93,48,15,26,22,5,118,113,19,25,21,3,182,136,19,30,11,0,201,191,30,26,10,6,256,210,28,33,12,4,293,165,14,27,9,3,215,149,18,25,10,6,197,109,12,6,0,0,132,141,17,8,6,4,181,19,8,3,0,0,29,13,14,14,0,0,36,18,9,0,3,5,41,1462,203,268,188,34,2158
LGA26080,76,25,8,867,4,0,0,12,0,22,65,0,3,0,0,62,50,0,6,5,0,53,56,4,13,0,0,73,51,11,16,8,0,86,111,5,20,0,3,145,122,3,6,4,0,132,128,10,19,0,0,164,153,17,12,6,5,192,104,12,8,0,3,133,102,12,17,0,0,140,84,15,14,6,0,111,118,21,16,0,3,154,15,10,3,0,0,38,31,21,6,0,0,66,17,0,0,0,0,19,1222,152,157,39,20,1590
LGA26170,676,262,107,5689,33,8,35,83,0,160,380,3,34,34,13,459,314,24,72,41,11,465,284,26,99,53,14,471,424,45,115,41,15,646,682,67,154,39,21,969,852,57,176,44,25,1161,1105,104,205,42,23,1477,1196,108,194,35,22,1568,799,108,158,24,22,1101,677,98,142,11,16,953,482,69,86,8,11,658,657,98,98,30,8,894,100,34,37,3,3,181,92,69,88,6,10,277,119,19,36,14,22,206,8217,940,1740,511,242,11645
LGA26260,369,169,56,3864,16,6,9,35,3,70,212,0,13,23,5,249,159,4,29,9,6,214,197,16,51,36,13,305,236,16,49,28,20,349,480,20,74,23,11,608,672,32,108,39,8,867,846,48,112,36,15,1060,964,45,133,30,20,1187,625,47,93,35,9,800,485,66,80,17,14,659,293,50,60,10,7,414,378,54,69,13,10,532,56,10,20,4,0,91,52,53,60,37,10,214,42,3,11,8,8,68,5704,474,964,389,148,7685
LGA26350,1904,421,130,34409,192,50,33,123,5,397,1619,29,65,27,4,1752,1934,39,117,41,13,2142,2159,69,124,52,11,2419,2525,107,181,36,16,2857,3767,190,251,69,18,4296,4332,252,321,44,17,4968,5527,354,350,68,32,6337,6692,448,441,59,25,7666,5159,413,389,39,16,6010,4363,504,332,51,12,5266,3024,382,261,27,9,3704,5134,851,427,59,13,6487,1101,426,151,25,8,1708,2036,1478,568,78,20,4177,454,71,22,27,33,605,50037,5659,4029,812,253,60787
LGA26430,193,120,32,1973,8,0,9,34,0,55,109,4,5,11,4,133,100,10,24,20,0,162,108,6,31,19,5,165,135,15,29,19,12,214,252,17,57,15,10,359,391,35,60,21,11,514,447,29,70,31,6,592,456,45,58,24,13,588,268,44,41,10,3,357,202,35,28,11,8,280,118,26,12,8,0,170,150,24,40,11,0,226,22,13,13,0,0,57,37,42,25,9,0,116,34,0,14,16,5,67,2842,348,516,277,68,4045
LGA26490,724,198,33,6167,35,6,21,39,0,100,537,0,36,24,9,598,402,16,54,20,0,490,402,21,72,37,5,534,441,29,87,26,3,593,778,66,128,35,8,1017,935,77,135,31,9,1186,1093,109,168,24,8,1403,1062,149,187,25,10,1427,785,153,147,23,11,1117,613,198,159,20,3,991,374,136,94,13,4,624,546,201,132,23,6,903,110,80,36,7,0,232,152,180,70,17,3,418,80,19,19,8,7,133,8340,1440,1551,360,90,11779
LGA26610,255,156,67,4792,29,3,14,45,8,104,196,5,15,13,3,228,216,4,20,25,6,273,250,14,30,27,9,333,402,23,41,28,15,516,690,53,64,32,17,861,996,53,56,23,21,1155,1367,74,85,21,28,1577,1413,95,102,44,14,1669,816,94,65,23,4,1005,589,81,40,26,13,747,421,74,27,9,6,539,477,71,49,12,6,623,69,27,17,9,0,122,100,73,19,16,6,216,99,20,14,9,14,159,8132,785,670,369,175,10132
LGA26670,140,82,19,1120,6,0,7,14,0,32,64,0,3,9,0,69,36,0,23,17,0,84,52,11,20,14,0,97,66,9,26,15,3,113,114,27,37,20,8,195,169,13,42,20,11,254,196,21,49,10,7,280,253,31,39,14,7,345,162,23,38,13,3,237,101,21,34,9,4,167,68,15,26,0,3,107,101,21,29,0,4,159,18,6,10,0,0,39,19,13,19,3,0,48,13,4,3,5,3,36,1433,205,404,168,46,2256
LGA26700,422,185,68,7258,25,8,21,58,0,112,470,4,25,28,9,536,311,10,41,23,12,402,300,28,61,36,8,428,430,26,69,38,10,572,859,61,97,36,19,1083,1141,85,116,19,20,1382,1700,99,132,27,20,1973,1816,127,132,37,22,2141,1211,88,89,15,8,1410,930,88,99,7,10,1135,643,72,51,3,5,775,847,110,71,11,3,1038,96,49,28,3,0,177,132,67,53,5,0,270,98,12,13,9,5,140,11003,942,1088,363,159,13560
LGA26730,486,100,75,9607,62,3,13,19,0,106,652,3,21,7,9,691,525,9,37,13,9,587,476,10,47,21,10,565,739,18,63,21,12,848,1269,30,98,16,14,1435,1601,57,101,12,12,1785,2192,63,128,17,21,2417,2413,112,142,18,18,2705,1666,94,111,12,15,1897,1210,116,87,3,7,1420,819,74,61,3,3,964,1050,144,98,7,5,1294,136,49,29,0,4,220,177,104,89,6,5,383,136,18,15,6,10,175,15125,902,1133,179,155,17487
LGA26810,718,237,118,8701,39,13,30,97,13,180,544,3,43,31,7,626,413,19,81,46,14,570,407,29,112,48,15,617,666,41,135,35,23,899,1128,72,167,51,30,1450,1424,84,201,43,20,1769,1851,78,177,33,33,2169,1941,129,192,18,33,2314,1449,97,165,20,15,1752,1380,78,115,18,20,1620,872,75,87,11,10,1059,1342,114,112,9,10,1588,259,33,32,7,5,331,403,97,73,8,0,585,140,14,29,26,17,226,14266,971,1767,485,265,17756
LGA26890,131,88,18,733,4,0,4,22,0,35,23,0,0,9,0,29,23,3,8,7,0,42,32,3,11,13,0,63,32,4,24,17,4,82,82,14,18,14,4,130,103,0,41,19,0,166,148,6,57,20,9,239,150,13,48,16,3,226,107,13,36,26,5,190,69,13,49,14,0,147,37,11,33,13,0,100,78,17,32,21,0,156,14,8,15,0,3,35,7,15,34,9,3,64,9,0,12,18,4,42,921,139,416,238,39,1754
LGA26980,1896,496,145,40307,219,39,38,148,7,449,2202,45,132,62,5,2446,2258,80,238,61,16,2663,2218,167,239,94,12,2743,2474,201,270,73,25,3038,4014,275,390,92,37,4807,5146,419,362,62,23,6007,7018,483,449,85,35,8074,8514,615,472,72,34,9707,6659,454,369,32,25,7538,6172,506,318,35,16,7050,4686,350,201,18,9,5268,8189,750,358,34,9,9345,1462,324,109,11,7,1909,1996,686,248,18,11,2956,506,57,32,16,50,662,63739,5451,4223,923,316,74657
LGA27070,1539,381,169,33745,254,44,45,119,19,474,2002,23,120,53,15,2206,2255,58,195,60,11,2573,2030,110,261,75,21,2493,2563,155,295,72,29,3120,4157,298,466,78,34,5030,5690,409,481,82,52,6715,8325,556,538,56,76,9553,8999,735,577,61,45,10416,6499,606,350,43,28,7525,5225,590,317,24,22,6174,3407,455,163,22,16,4067,5033,664,250,19,16,5972,800,227,62,10,8,1104,1035,482,133,10,6,1672,603,79,45,17,70,818,58882,5483,4300,795,465,69926
LGA27170,431,95,55,9800,39,8,4,25,3,85,549,4,15,10,6,574,439,10,37,12,4,503,376,15,48,11,4,456,595,17,64,17,6,701,1192,34,95,14,16,1352,1706,64,119,28,15,1924,2671,112,123,8,16,2925,3205,144,138,12,19,3524,2373,119,117,8,10,2622,1980,107,77,10,7,2188,1368,83,66,0,6,1524,1710,130,91,5,7,1950,178,60,21,3,0,267,244,97,43,0,0,388,144,10,11,7,10,189,18787,1018,1056,173,136,21166
LGA27260,2045,550,161,39223,349,43,53,197,9,652,2252,47,148,62,11,2511,2513,79,255,75,15,2938,2431,149,319,96,31,3030,2868,182,367,83,34,3530,4823,352,512,118,32,5833,6736,496,579,117,57,7979,10678,714,666,91,67,12209,11840,886,640,88,61,13513,8881,628,463,37,40,10051,7059,645,335,27,34,8106,4581,448,186,19,22,5264,6477,708,254,21,19,7481,1096,281,68,12,6,1473,1231,558,162,18,3,1973,796,60,50,10,74,985,74602,6273,5066,1085,522,87535
LGA27350,2092,295,168,48562,213,27,40,109,3,396,1185,27,78,34,6,1331,1547,51,127,36,18,1772,1821,77,139,40,23,2103,2301,94,216,33,21,2664,4025,166,325,41,22,4584,5348,247,357,45,29,6029,7641,327,458,56,30,8512,10882,490,589,52,41,12047,10095,433,402,34,25,10977,9131,604,404,29,28,10194,6701,516,275,15,13,7518,13399,1047,508,38,20,15010,3059,453,142,14,6,3669,4991,1448,511,25,15,6989,611,63,41,14,68,793,82946,6067,4597,614,363,94588
LGA27450,2141,542,130,23483,156,23,54,152,5,390,1847,27,126,71,9,2078,1732,64,211,88,11,2111,1521,115,235,84,14,1966,1954,128,314,66,19,2487,3068,246,463,86,27,3894,3654,304,512,63,37,4576,4727,429,549,95,25,5826,4726,573,590,65,39,5989,3402,456,421,40,28,4352,2660,578,348,45,13,3644,1737,365,228,27,10,2368,2420,549,329,27,9,3332,462,177,83,13,3,732,472,314,149,11,6,957,439,46,61,26,48,610,34988,4406,4676,960,294,45331
LGA27630,84,78,20,1169,0,0,5,27,0,37,44,0,0,7,0,55,56,0,3,6,0,72,60,6,7,12,3,92,89,8,9,8,5,127,150,15,28,12,5,201,198,20,36,18,6,269,286,34,32,10,9,375,281,45,54,20,7,410,188,27,37,12,0,270,126,32,36,8,0,202,81,23,19,3,4,129,132,22,31,11,0,196,14,11,10,5,0,42,25,31,10,6,0,79,21,6,0,7,0,37,1759,276,318,179,46,2576
LGA29399,42,16,4,1116,9,0,0,11,0,17,46,0,3,0,0,49,76,0,0,0,0,76,118,0,6,3,0,131,108,0,3,9,0,123,271,0,12,3,0,293,375,10,12,0,0,400,426,7,5,5,0,441,301,12,20,0,4,339,148,9,8,0,0,171,105,5,5,0,0,115,60,5,3,0,0,67,81,17,9,4,0,103,13,9,0,0,0,25,24,11,7,3,0,47,23,0,0,0,3,31,2187,97,90,38,12,2422
LGA29499,9329,1060,549,39201,549,102,238,423,45,1362,2079,77,762,137,43,3096,2654,177,1553,156,93,4632,3147,340,1999,198,98,5784,4141,423,2304,187,148,7203,7036,837,3640,246,238,11993,7837,1251,3998,192,222,13506,9397,1747,4557,204,285,16185,10444,2307,5252,171,260,18435,7985,2080,3911,103,176,14253,6838,2134,3245,112,132,12470,4923,1418,2027,72,67,8507,7255,1929,2340,108,84,11703,1551,521,426,26,16,2539,2042,859,670,69,34,3674,1179,261,406,53,236,2136,79049,16470,37324,2452,2182,137478
LGA29799,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,3,4,0,0,0,0,4,15,0,0,0,0,14,0,0,0,0,0,0,9,0,0,0,0,9,14,0,0,0,0,14,57,0,0,0,0,60,18,0,0,0,0,19,64,0,0,0,0,64,0,0,0,0,0,0,196,0,0,0,0,194
