POW_LGA_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
LGA22310,49,21,19,50,0,148,545,13,36,11,4,603,502,26,59,22,4,608,367,54,74,33,7,540,471,67,115,12,0,669,674,114,142,23,3,958,830,171,160,18,8,1194,1296,198,241,24,7,1765,1513,271,270,35,9,2103,1307,251,206,22,10,1790,1162,320,191,16,3,1702,988,256,150,15,5,1413,1680,508,201,28,5,2416,405,191,75,3,0,672,650,523,174,12,6,1361,125,41,33,11,18,226,12566,3027,2146,340,99,18173,72,16,18,77,0,189,771,15,75,27,3,901,810,29,111,31,3,985,810,60,121,33,4,1028,987,56,145,28,10,1227,1520,90,203,31,4,1857,1808,107,220,25,15,2180,2346,118,224,28,6,2724,2578,126,220,27,6,2962,1984,89,182,16,0,2270,1655,142,141,15,4,1953,1172,103,100,17,0,1396,1571,208,184,15,9,1984,238,72,57,6,0,371,363,156,110,15,8,660,150,22,19,5,21,225,18846,1417
LGA22410,13,5,11,26,3,52,102,0,3,3,0,111,60,0,5,17,0,85,49,8,19,9,0,84,93,9,32,15,0,154,160,17,45,12,8,238,239,19,50,18,9,331,369,22,54,14,9,475,478,35,52,12,13,591,413,38,31,11,7,502,344,44,43,9,3,446,248,26,25,3,6,310,555,38,50,7,3,651,57,13,12,4,0,84,61,20,29,9,4,122,36,11,11,8,6,78,3273,292,483,167,83,4304,12,5,5,12,0,34,148,5,13,6,3,176,150,0,29,16,0,195,138,10,28,16,3,195,204,9,35,10,0,270,371,8,46,9,10,446,450,16,31,21,7,532,434,11,41,15,9,511,414,15,25,11,7,473,280,11,23,8,5,317,228,14,26,6,6,278,124,10,12,0,0,159,157,17,13,4,0,191,18,6,4,0,0,25,22,11,12,8,0,43,32,0,11,3,4,60,3184,149
LGA22490,3,0,5,15,0,23,35,4,0,6,0,51,45,5,12,10,0,67,37,7,23,3,4,75,46,19,17,12,0,84,70,23,34,11,4,140,125,28,36,14,5,203,195,33,41,13,3,283,255,44,54,5,4,370,178,41,49,3,0,270,131,46,27,3,5,215,94,39,19,0,0,158,131,48,33,10,4,227,23,25,11,0,0,60,29,27,14,0,0,67,16,12,10,0,4,40,1407,396,386,114,35,2336,9,0,4,27,0,40,88,0,23,10,0,126,86,0,17,10,0,118,98,14,21,15,3,151,105,14,20,14,5,153,194,15,25,8,3,242,203,12,27,14,0,254,193,8,28,5,0,239,208,18,27,9,3,261,136,15,25,4,4,178,98,12,6,6,0,122,57,12,3,3,0,74,79,15,8,4,0,110,11,3,0,0,0,20,10,15,9,0,0,32,21,0,4,3,0,29,1597,160
LGA22620,64,4,6,46,5,133,681,7,18,14,5,723,490,12,35,14,3,559,393,22,78,28,15,532,567,38,112,29,10,761,1064,78,167,38,18,1355,1574,92,175,22,23,1885,2807,163,212,22,27,3231,3236,244,202,20,20,3721,2321,227,187,16,11,2764,2196,218,157,18,19,2606,1615,165,104,3,7,1892,2640,302,132,16,12,3102,440,126,43,5,5,618,498,252,84,10,5,854,184,20,20,11,25,257,20758,1977,1733,310,213,24989,77,6,10,51,0,141,917,7,45,31,3,1001,937,18,84,39,5,1090,887,22,90,39,6,1047,1254,30,93,33,15,1425,2380,64,135,35,30,2639,2981,67,145,23,19,3242,3551,101,150,26,14,3842,3430,108,129,18,4,3689,2521,88,82,11,11,2710,2087,83,63,13,5,2250,1353,55,60,6,3,1480,1549,103,69,11,3,1731,193,44,16,6,5,258,217,91,29,7,0,339,170,9,12,7,11,212,24494,890
LGA22670,201,39,19,100,10,367,676,18,31,24,4,752,732,27,65,36,9,869,877,83,124,35,5,1119,1178,105,166,37,18,1504,2036,202,254,40,31,2560,4160,371,270,48,51,4897,9270,565,433,50,78,10398,11556,656,450,52,64,12772,8362,525,298,25,40,9250,6560,627,240,21,25,7470,4501,435,152,15,16,5123,7010,725,169,26,16,7949,1253,243,44,3,3,1551,1747,660,111,12,12,2539,583,76,34,17,63,773,60698,5363,2858,521,454,69890,188,10,6,92,4,311,845,17,33,29,5,927,1175,33,98,39,4,1352,1337,75,103,37,17,1572,1693,70,119,35,4,1927,2890,94,152,54,20,3213,4537,130,155,37,31,4897,6509,169,122,29,31,6860,6712,178,133,20,27,7068,4617,116,73,11,13,4835,3452,157,47,12,8,3674,2197,94,41,9,5,2346,2611,135,49,9,4,2810,348,59,12,3,0,423,439,109,35,4,3,589,394,18,21,10,28,475,39955,1472
LGA22750,124,19,37,80,8,265,1516,13,65,24,8,1623,1223,19,116,42,7,1404,1039,52,144,47,22,1307,1413,100,197,31,24,1768,2279,162,285,41,35,2802,3102,255,350,33,36,3777,5199,377,445,36,44,6100,6838,569,603,47,47,8099,5130,518,427,40,42,6160,4615,615,380,27,31,5670,3689,449,235,20,19,4404,6712,852,344,33,28,7966,1172,270,90,11,14,1548,1602,742,291,26,19,2675,452,60,27,6,69,612,46098,5083,4030,532,457,56197,170,10,37,118,10,350,2230,20,109,49,10,2421,2187,46,203,59,11,2507,2334,62,227,57,16,2699,3086,74,239,73,28,3491,4989,139,338,60,39,5571,6209,160,352,55,28,6801,7408,211,346,39,34,8039,7625,262,327,41,29,8285,5777,202,254,31,23,6279,4646,199,188,34,15,5087,3104,133,117,14,8,3378,4118,240,178,22,8,4559,486,97,54,8,3,648,673,224,131,17,8,1055,446,23,24,12,29,533,55478,2097
LGA22830,49,13,18,52,3,139,344,7,19,19,7,389,250,8,42,17,4,327,208,26,43,24,15,310,347,45,63,29,9,494,637,67,94,27,15,848,1052,123,106,28,19,1322,1834,150,124,34,22,2165,2205,199,145,25,29,2605,1640,146,92,18,27,1923,1258,165,82,15,10,1534,902,113,74,9,7,1107,1253,194,74,11,13,1544,187,75,15,5,0,283,267,165,48,14,3,497,118,20,17,23,24,197,12553,1520,1055,339,200,15675,58,4,14,41,6,117,498,0,9,12,5,528,460,10,43,25,9,543,493,27,60,28,11,627,724,24,52,20,8,827,1242,42,68,24,16,1399,1804,65,78,18,20,1986,2110,64,92,23,21,2310,2103,79,68,16,14,2282,1422,55,43,4,4,1532,1147,60,38,8,7,1251,659,37,27,6,0,723,826,71,33,11,3,940,99,15,6,0,0,126,113,54,18,8,0,195,136,13,11,14,12,181,13890,622
LGA22910,7,0,9,11,4,34,48,0,3,3,5,61,52,3,16,11,3,85,36,7,39,18,0,97,42,12,33,10,8,97,101,34,55,15,8,207,135,21,49,9,5,217,234,35,68,15,8,354,245,42,56,10,7,355,155,31,43,9,0,241,143,29,47,10,5,233,72,27,24,6,4,128,102,57,21,4,4,186,25,15,4,0,0,50,32,34,22,6,3,97,6,5,9,5,4,35,1437,352,502,123,57,2474,5,0,7,11,0,23,79,0,13,10,0,105,98,8,21,18,5,150,109,11,34,16,3,168,167,13,36,7,12,235,255,18,58,14,3,347,299,21,51,15,0,389,309,18,47,9,0,387,284,22,45,9,5,357,156,22,27,3,3,208,132,23,14,0,0,183,61,9,16,0,0,86,82,13,14,3,0,118,13,4,12,0,0,27,17,9,8,0,0,34,16,0,0,4,3,29,2079,195
LGA22980,3,5,0,10,0,17,17,0,0,3,0,19,11,0,4,9,0,21,10,3,14,3,6,29,15,4,10,4,0,38,35,0,12,9,0,59,66,4,25,8,3,100,165,10,35,3,0,206,150,7,35,8,5,201,84,17,22,6,0,128,56,14,20,9,6,108,36,7,14,0,0,58,67,17,23,0,5,114,15,5,6,0,0,24,14,10,12,6,0,46,7,0,5,5,0,21,747,103,232,84,24,1189,5,0,0,3,0,14,22,0,7,0,0,25,22,0,3,5,0,29,32,0,0,3,0,37,44,3,7,0,0,49,90,0,11,6,0,114,127,3,5,5,3,139,128,0,16,3,0,150,139,3,14,0,0,159,83,4,7,3,0,102,70,6,6,7,0,87,19,5,3,0,0,30,38,8,13,4,0,64,4,0,0,0,0,9,4,5,0,5,0,11,9,0,0,3,0,18,845,39
LGA23110,66,19,9,26,3,116,393,4,16,0,0,414,339,8,26,9,0,383,304,36,44,14,4,407,412,34,44,10,7,503,698,84,94,16,7,903,992,120,126,14,10,1260,2000,163,150,21,22,2355,2565,212,181,19,14,2995,2102,173,128,16,11,2428,1983,242,96,11,7,2345,1552,172,75,4,0,1807,3054,307,125,8,12,3508,736,106,34,0,5,882,874,268,76,14,0,1233,168,36,9,0,19,230,18236,1981,1241,179,126,21762,62,3,8,42,0,114,484,6,40,13,5,545,586,9,53,14,0,664,624,28,55,30,4,742,720,20,73,17,5,833,1125,56,104,23,8,1317,1498,54,115,18,11,1689,2002,58,98,18,14,2185,1832,94,117,9,4,2056,1259,62,86,8,9,1415,941,77,70,8,5,1093,573,67,44,5,0,691,853,79,63,6,0,1005,135,37,22,0,0,197,146,69,40,10,0,266,113,8,6,3,9,140,12944,723
LGA23190,7,0,8,11,0,24,103,3,3,8,0,115,87,4,9,7,3,110,70,3,13,8,6,110,98,10,25,3,3,138,203,18,26,12,5,264,318,28,34,12,8,398,564,52,63,16,13,701,652,70,73,21,5,820,444,49,42,19,10,555,379,47,40,8,7,481,256,35,20,9,3,327,365,66,38,5,3,481,47,21,7,0,0,80,72,45,28,4,5,151,23,8,9,3,10,53,3697,445,449,144,76,4815,18,0,0,10,0,29,175,0,9,7,4,199,151,0,21,8,0,185,165,7,20,12,6,206,257,3,18,3,0,287,416,10,21,6,3,456,510,16,22,15,6,568,632,21,21,12,5,696,683,23,30,6,8,741,440,9,25,11,0,495,377,26,21,10,7,438,172,16,4,5,0,200,226,19,16,3,0,271,25,10,0,3,0,43,26,21,17,9,4,72,35,6,0,9,7,56,4313,198
LGA23270,208,32,41,83,6,369,852,16,27,21,8,919,913,43,78,29,14,1071,946,76,140,37,14,1208,1295,142,219,48,13,1730,2168,236,331,41,36,2806,3731,384,427,39,49,4636,7368,593,552,49,65,8637,9117,774,549,36,82,10551,6957,604,354,33,32,7982,5813,712,237,23,26,6822,4062,497,187,8,18,4765,6947,747,216,20,10,7937,1353,239,51,6,5,1657,1975,495,104,7,8,2593,588,97,37,12,80,816,54294,5704,3555,485,460,64496,207,10,23,86,5,335,1169,16,87,31,14,1313,1538,27,129,57,16,1773,1552,67,139,54,21,1832,1906,80,144,39,14,2181,3255,118,194,59,17,3648,4505,151,161,42,25,4882,5626,191,168,34,30,6046,5560,167,182,28,16,5965,3857,135,96,4,8,4105,3162,173,79,15,8,3437,1828,95,60,3,4,1987,2440,142,78,11,9,2683,306,46,20,3,0,378,328,115,28,8,0,478,368,20,23,15,26,451,37611,1551
LGA23350,7,6,6,24,3,45,71,3,13,5,0,93,48,8,19,7,0,80,29,7,17,12,3,72,45,16,31,9,0,105,86,25,37,17,10,164,122,19,36,21,0,198,200,30,44,12,9,292,304,28,56,11,4,403,238,34,42,8,5,332,218,24,28,4,0,276,174,22,18,5,5,224,217,41,36,4,3,297,32,12,12,0,0,59,23,20,8,7,3,57,17,0,3,10,0,33,1823,304,405,153,45,2741,9,0,3,15,0,32,130,0,8,12,0,147,100,4,21,9,4,132,74,9,26,16,0,128,132,15,26,14,4,185,189,7,35,13,5,256,253,11,31,13,3,308,264,19,33,9,0,328,297,29,36,9,0,375,214,22,13,8,0,257,143,17,19,0,0,179,103,10,7,0,0,121,109,26,16,0,0,155,16,3,0,0,0,30,4,11,5,0,3,22,22,3,0,3,0,29,2055,187
LGA23430,124,41,19,69,11,258,985,19,23,18,8,1050,866,36,60,34,13,1007,783,80,107,39,14,1024,971,93,122,42,13,1243,1643,195,227,34,18,2122,2581,298,249,42,21,3193,5192,435,336,44,42,6053,6220,564,388,49,37,7259,4792,531,335,33,22,5702,3819,629,284,26,16,4780,2663,464,184,23,9,3342,4627,876,250,27,18,5798,951,317,64,14,4,1346,1504,655,127,18,4,2310,359,68,49,8,54,534,38074,5288,2833,510,302,47015,141,13,19,103,7,285,1383,9,80,32,6,1508,1426,43,126,38,4,1636,1411,57,146,39,13,1662,1699,64,150,41,14,1972,2818,114,235,46,22,3233,3703,158,221,43,17,4137,4744,195,232,32,26,5232,4719,210,213,28,14,5191,3443,153,118,18,13,3741,2414,189,114,17,3,2738,1433,119,73,11,3,1640,1999,239,107,11,4,2358,313,87,27,5,0,434,384,181,56,7,0,625,274,6,17,11,28,342,32300,1843
LGA23670,123,33,22,59,0,234,854,17,39,16,0,925,777,24,64,18,3,887,621,65,110,49,5,847,711,90,134,32,3,965,1205,142,203,45,9,1614,2059,228,221,39,7,2556,3989,328,318,28,32,4697,5093,462,356,34,31,5967,3885,391,275,18,18,4590,3360,511,231,15,10,4124,2324,343,168,12,8,2860,4297,609,205,11,13,5131,919,230,63,4,0,1215,1288,464,115,7,4,1880,305,66,33,9,31,439,31815,4010,2553,384,174,38930,97,8,23,50,0,183,1153,10,93,32,5,1297,1348,36,123,51,0,1560,1283,59,157,50,3,1562,1422,59,136,38,13,1674,2582,118,191,35,16,2938,3275,116,182,39,11,3623,4207,163,189,43,11,4614,4394,168,153,29,11,4750,3170,134,103,14,5,3433,2406,127,98,11,9,2654,1450,92,57,0,0,1608,1810,160,85,3,0,2069,310,53,27,0,0,390,361,103,38,6,0,506,249,17,9,5,16,306,29523,1432
LGA23810,53,3,14,32,0,103,406,4,20,16,0,446,260,7,30,3,5,307,231,18,46,20,8,313,324,19,56,10,10,421,598,39,83,21,12,750,899,63,89,7,15,1064,1490,83,106,17,18,1711,1788,137,102,21,16,2065,1511,95,88,6,16,1724,1482,114,80,8,16,1697,1299,77,35,6,13,1427,2374,145,72,5,10,2602,593,45,23,5,4,671,863,114,46,4,6,1033,189,14,21,5,24,256,14353,979,905,171,162,16574,67,3,8,32,4,106,546,8,26,14,10,604,605,4,48,22,9,686,652,13,61,16,11,757,891,16,60,19,15,996,1526,28,72,25,13,1664,1922,35,82,9,11,2066,2207,47,74,10,7,2345,2212,60,68,14,15,2374,1523,36,59,5,3,1623,1316,51,32,3,13,1413,796,24,19,8,5,845,930,44,36,5,5,1015,123,8,8,3,0,142,138,24,20,4,0,185,135,8,16,12,7,183,15595,407
LGA23940,5,0,11,25,0,45,18,0,4,3,0,26,16,0,13,10,0,45,19,4,15,14,5,48,33,7,20,10,3,71,49,19,32,9,7,106,81,14,30,14,4,143,139,30,37,16,11,232,165,35,44,12,4,257,121,17,29,4,4,175,82,19,21,14,4,137,44,16,20,6,0,83,67,19,19,10,0,114,10,4,0,0,0,15,17,7,3,4,0,31,16,3,11,8,3,38,876,197,319,145,40,1585,3,0,3,16,0,23,37,0,3,8,5,50,21,0,12,13,0,48,35,9,10,12,0,63,44,8,9,5,0,70,83,11,17,11,7,121,95,11,23,9,0,141,119,8,19,6,6,158,104,8,28,8,0,150,60,4,9,4,0,79,43,6,6,3,0,63,28,4,4,3,0,39,36,8,8,3,0,54,5,0,0,0,0,5,5,0,0,0,0,4,14,6,0,6,3,35,749,81
LGA24130,21,7,10,30,0,70,292,9,13,9,4,324,158,6,22,14,6,212,119,15,42,19,6,197,143,24,42,14,8,225,283,45,63,21,9,414,372,74,76,11,7,541,622,80,103,15,9,829,740,130,123,22,13,1027,541,136,110,13,11,805,474,128,83,5,0,693,369,80,58,5,0,505,543,164,72,9,4,790,107,63,23,0,5,198,114,129,49,8,9,307,58,13,14,0,8,98,4957,1098,896,193,96,7242,8,3,3,42,0,70,440,3,30,21,7,501,406,9,67,30,0,512,365,13,57,21,8,471,443,13,69,23,9,555,773,50,92,24,3,938,844,48,111,13,8,1025,839,50,102,13,8,1007,760,74,99,17,9,956,537,49,59,11,3,660,462,63,34,8,0,568,291,47,39,6,3,384,349,56,56,9,4,471,56,36,19,6,0,121,66,46,31,10,0,152,71,7,10,0,0,89,6713,562
LGA24210,47,18,11,44,0,114,575,8,37,12,0,627,483,27,36,17,0,565,356,69,82,25,0,530,424,67,77,24,4,595,569,102,124,36,0,831,698,183,136,26,4,1054,923,185,174,21,11,1314,1250,249,215,33,12,1753,951,214,136,15,5,1319,860,214,126,17,7,1228,609,185,102,13,0,912,1240,323,139,17,4,1723,299,125,43,9,0,472,482,347,106,13,6,945,119,21,14,0,21,169,9896,2340,1538,316,72,14163,57,12,15,62,5,148,900,14,57,34,4,1011,1001,28,81,42,6,1153,970,48,103,41,6,1170,991,52,100,32,6,1186,1531,94,112,45,7,1775,1647,108,131,27,10,1918,1754,98,148,30,4,2029,1749,114,133,23,11,2036,1253,90,79,14,3,1442,1010,99,82,11,0,1211,606,71,46,6,3,733,985,125,70,15,0,1199,123,43,19,8,0,196,144,104,45,9,0,302,109,8,12,13,8,146,14835,1102
LGA24250,0,0,4,14,0,22,41,0,4,0,0,48,32,3,7,4,0,45,32,8,8,6,3,53,39,7,6,5,0,63,80,11,14,10,9,126,107,18,28,8,3,167,153,33,35,8,0,223,238,30,38,13,4,326,147,17,48,9,3,221,111,17,29,7,0,168,74,13,26,6,0,115,119,28,31,3,4,180,17,10,6,0,0,34,23,30,8,3,0,69,13,5,0,0,3,31,1236,231,288,96,33,1889,0,0,0,15,0,17,76,0,9,3,0,90,75,4,12,8,5,96,80,0,15,12,6,116,99,6,14,9,0,130,163,11,25,7,0,202,244,14,25,5,0,285,244,21,25,0,3,301,218,15,19,8,0,261,130,12,14,8,0,161,100,5,10,3,0,124,63,5,8,0,0,81,84,12,8,4,0,114,7,5,4,0,0,21,7,10,3,0,0,21,6,9,0,5,4,23,1620,133
LGA24330,82,10,13,39,0,140,432,6,13,14,0,463,458,9,30,6,0,509,444,29,66,19,7,567,563,57,88,17,4,729,932,78,112,11,6,1144,1235,121,156,17,16,1542,2002,176,178,21,22,2397,2485,226,210,17,7,2945,1906,171,153,9,6,2247,1609,213,111,16,12,1954,1277,171,82,3,3,1534,2221,291,126,17,11,2658,468,101,39,3,0,610,771,254,79,7,3,1109,169,25,9,3,26,227,17052,1930,1471,196,139,20783,91,3,19,29,5,147,712,6,29,4,0,752,892,10,43,23,3,972,1017,31,88,20,4,1162,1075,38,76,15,5,1206,1745,55,111,18,9,1940,2090,54,107,18,8,2283,2577,64,114,10,16,2782,2562,90,138,16,11,2814,2013,70,84,6,5,2183,1729,59,70,6,6,1867,1187,54,42,6,4,1292,1427,79,72,3,4,1589,249,38,20,3,0,307,289,64,32,0,0,391,168,7,6,5,15,198,19835,726
LGA24410,70,26,8,47,9,160,653,10,30,12,5,709,571,13,47,10,3,641,394,33,48,15,5,503,513,58,85,16,3,679,867,123,106,20,9,1122,1299,166,152,19,13,1649,2223,217,186,22,14,2657,3001,299,237,24,14,3570,2268,273,194,8,9,2746,1988,364,150,7,12,2518,1367,242,95,3,9,1712,2085,438,153,7,16,2696,355,157,51,0,0,562,516,321,89,5,0,936,188,27,26,12,31,288,18343,2765,1652,243,141,23142,64,9,8,54,0,133,1019,14,63,20,5,1113,1086,25,85,27,6,1228,1027,34,108,30,8,1203,1267,58,106,25,6,1475,1944,87,132,29,14,2202,2378,85,159,24,12,2658,2794,108,132,13,3,3053,2951,112,140,23,6,3230,2033,110,103,10,11,2259,1480,114,73,10,0,1669,932,59,45,8,4,1051,1259,130,75,8,5,1476,150,45,26,0,0,227,196,74,29,3,3,303,177,11,11,4,13,218,20748,1068
LGA24600,506,83,64,144,20,814,1292,41,74,33,12,1449,1953,50,103,37,12,2162,2362,125,143,53,29,2714,2959,144,169,61,39,3369,5004,240,278,70,44,5631,6824,371,326,58,58,7627,11536,522,420,80,82,12636,19831,740,521,95,77,21262,21364,613,417,50,58,22495,23877,777,340,51,57,25102,22910,661,257,37,47,23910,62649,1434,578,44,63,64763,20389,728,246,16,30,21408,38760,3441,2166,47,78,44493,1562,128,82,22,165,1953,243778,10097,6182,886,871,261805,674,31,38,162,25,928,1842,22,105,39,21,2032,3205,45,162,53,42,3502,3971,93,167,73,39,4343,5119,106,178,64,35,5509,8755,161,269,65,42,9299,11236,207,297,68,56,11860,17006,250,307,52,53,17663,27951,307,281,66,60,28666,28330,266,231,26,40,28887,29500,266,167,47,49,30034,23696,226,151,21,24,24117,44195,429,317,30,39,45013,10134,202,140,15,12,10504,15538,717,822,38,27,17137,1523,47,52,28,99,1750,232677,3397
LGA24650,77,17,15,41,3,147,565,13,18,12,0,611,453,16,40,17,0,519,347,37,62,17,3,476,507,54,102,16,6,688,767,110,151,20,14,1065,1092,221,173,36,14,1536,1815,303,202,29,28,2379,2415,378,287,24,19,3119,1892,291,181,21,10,2392,1513,283,126,12,7,1942,1081,194,91,7,4,1372,1480,280,104,10,10,1875,252,104,27,0,5,385,301,175,50,0,11,532,180,28,24,10,28,261,14734,2505,1658,266,154,19319,91,6,23,49,7,176,816,11,55,34,3,917,921,19,81,22,8,1052,781,31,91,38,16,957,941,47,84,18,3,1094,1470,73,117,27,13,1695,1882,91,117,18,18,2130,2235,102,101,18,10,2469,2076,111,80,25,7,2297,1637,59,60,3,4,1764,1253,63,41,6,5,1372,789,48,36,0,0,871,985,57,28,5,5,1077,118,20,9,0,0,151,108,33,14,4,0,161,145,10,8,8,19,189,16237,785
LGA24780,33,6,12,48,3,106,252,6,11,16,5,293,204,6,21,21,3,261,163,12,38,21,12,258,316,18,57,28,6,431,517,55,82,32,18,706,850,78,80,35,20,1053,1463,94,120,30,25,1734,1637,157,133,35,22,1980,1081,125,91,17,17,1325,899,119,102,17,13,1143,547,93,60,11,6,719,846,132,58,15,9,1064,108,44,24,0,3,182,165,120,48,15,7,346,117,13,16,13,21,186,9202,1074,958,352,188,11777,36,5,12,34,3,85,405,3,13,7,8,434,370,9,37,26,9,450,427,15,33,27,7,514,533,18,47,23,13,630,1045,31,68,33,19,1187,1400,52,78,26,16,1574,1638,50,67,26,17,1798,1620,60,79,20,9,1785,1006,46,43,12,7,1109,839,46,40,11,10,945,504,36,19,6,3,570,591,43,33,10,3,676,65,19,3,0,0,96,71,29,6,9,0,119,109,8,15,13,14,152,10657,468
LGA24850,26,8,3,24,0,65,218,6,6,9,5,243,142,11,16,8,3,181,120,15,21,20,0,171,152,12,29,15,4,215,243,47,59,12,3,362,361,33,43,10,7,461,573,56,97,11,8,743,818,120,96,10,10,1049,595,76,63,8,10,747,543,92,67,9,0,707,397,61,42,11,0,506,617,74,50,5,3,746,99,33,5,6,0,145,90,70,21,4,0,188,60,10,5,5,16,97,5048,724,624,150,73,6619,34,0,3,37,0,77,295,0,11,13,0,325,314,16,47,19,5,399,270,8,43,17,8,350,372,17,37,12,0,434,677,27,57,13,7,785,761,40,49,16,3,861,829,38,48,11,3,923,752,26,58,9,6,846,593,27,39,9,5,663,477,25,18,6,3,536,252,11,13,3,0,282,358,23,28,0,0,413,33,10,4,0,0,43,29,17,15,4,0,65,75,3,0,12,4,97,6111,296
